CASEID,OFFICE_NAME,STATE,OFFICE_TYPE,JURIS,ACCR_IACME,ACCR_NAME,FT_TOT,PT_TOT,BUD_TOTAL,BUD_PERS_TOTAL,REP_CASE_NUM,ACC_CASE_NUM,COMPL_AUTO_TOTAL,CMS,WITHIN_BUSNSS
10101784,Alaska State Medical Examiner's Office,AK,Medical examiner office,Alaska State,No,No,18,0,3241600,2349900,1889,1081,518,Yes,No
10201785,Alabama Department of Forensic Sciences-Huntsville Medical,AL,Medical examiner office,"Blount, Calhoun, Cherokee, Cleburne, Colbert, Cullman, DeKalb, Etowah, Fayette, Franklin, Jackson, Lamar, Lauderdale, Lawrence, Limestone, Madison, Marion, Marshall, Morgan, St. Clair, Walker and Winston Counties",Not in short questionnaire,Not in short questionnaire,8,0,70000,Not in short questionnaire,481,481,481,Yes,Not in short questionnaire
10201787,Alabama Department of Forensic Sciences-Montgomery Medical,AL,Medical examiner office,14 Prosecutorial Jurisdictions In Alabama,No,Yes,20,0,2456204,1559810,1300,1300,781,Yes,No
10201788,Autauga County Coroner,AL,Coroner office,"Autauga County ,alabama",No,No,1,0,30000,14600,150,150,0,No,No
10201789,Baldwin County Coroner,AL,Coroner office,Baldwin County,Will be by 2020,No,2,1,208618,73600,520,405,90,No,No
10201791,Bibb County Coroner,AL,Coroner office,Bibb County,No,No,0,1,17,Logical skip,Logical skip,Logical skip,0,No,No
10201792,Blount County Coroner,AL,Sheriff-coroner office,Blount County Alabama And All Municipalities,No,No,5,0,60000,33000,Logical skip,Logical skip,50,No,No
10201793,Bullock County Coroner,AL,Coroner office,Bullock County,No,No,0,0,1000,Logical skip,Logical skip,Logical skip,0,No,No
10201794,Butler County Coroner,AL,Coroner office,Butler County,Not in short questionnaire,Not in short questionnaire,1,0,2400,Not in short questionnaire,1200,75,6,No,Not in short questionnaire
10201796,Chambers County Coroner,AL,Coroner office,"Chambers County, Alabama",No,No,1,0,10000,Logical skip,120,120,20,Yes,Yes
10201799,Choctaw County Coroner,AL,Coroner office,"Choctaw County, Al.",Yes,No,0,0,23000,Logical skip,45,35,40,No,Yes
10201801,Clay County Coroner,AL,Coroner office,Clay County,Not in short questionnaire,Not in short questionnaire,1,1,22158,Not in short questionnaire,38,33,12,No,Not in short questionnaire
10201802,Cleburne County Coroner,AL,Coroner office,Cleburne County,Not in short questionnaire,Not in short questionnaire,1,0,21000,Not in short questionnaire,Logical skip,Logical skip,2,No,Not in short questionnaire
10201803,Coffee County Coroner,AL,Coroner office,Coffee County,Not in short questionnaire,Not in short questionnaire,0,0,0,Not in short questionnaire,100,100,0,No,Not in short questionnaire
10201805,Conecuh County Coroner,AL,Coroner office,Conecuh County,Not in short questionnaire,Not in short questionnaire,1,0,15000,Not in short questionnaire,36,36,0,No,Not in short questionnaire
10201808,Crenshaw County Coroner,AL,Coroner office,Crenshaw County,Not in short questionnaire,Not in short questionnaire,0,0,19000,Not in short questionnaire,34,34,0,No,Not in short questionnaire
10201809,Cullman County Coroner,AL,Coroner office,Cullman County Alabama,No,No,1,0,27700,12500,247,247,0,No,No
10201810,Dale County Coroner,AL,Coroner office,Dale County,Not in short questionnaire,Not in short questionnaire,1,1,50000,Not in short questionnaire,100,75,35,No,Not in short questionnaire
10201811,Dekalb County Coroner,AL,Coroner office,Dekalb County,No,No,1,0,0,Logical skip,200,200,25,No,Yes
10201813,Escambia Medical Examiner,AL,Medical examiner office,Escambia County,Not in short questionnaire,Not in short questionnaire,0,3,8944,Not in short questionnaire,224,199,0,Yes,Not in short questionnaire
10201814,Etowah County Coroner,AL,Coroner office,Etowah County,No,No,0,2,23747,15200,239,239,0,No,No
10201815,Fayette County Coroner,AL,Coroner office,"Fayette County, Alabama",No,No,1,0,12500,10000,120,75,0,No,No
10201816,Franklin County Coroner,AL,Coroner office,Franklin County,No,No,3,0,12400,4200,Logical skip,Logical skip,4,No,No
10201817,Geneva County Coroner,AL,Coroner office,"Geneva County, Alabama",No,No,1,0,20000,500,100,100,25,Yes,Yes
10201820,Henry County Coroner,AL,Coroner office,"Henry County, Alabama",No,No,3,0,20000,Logical skip,Logical skip,Logical skip,10,No,Yes
10201821,Houston County Coroner,AL,Coroner office,Houston County,Not in short questionnaire,Not in short questionnaire,2,1,36000,Not in short questionnaire,225,175,40,Yes,Not in short questionnaire
10201822,Jackson County Coroner,AL,Coroner office,Jackson County,Not in short questionnaire,Not in short questionnaire,0,0,38000,Not in short questionnaire,350,350,0,No,Not in short questionnaire
10201823,Jefferson County Coroner/Medical Examiner,AL,Medical examiner office,Jefferson County Of Alabama,No,Yes,24,2,3500000,2800000,4621,911,608,Yes,Yes
10201824,Lamar County Coroner,AL,Coroner office,"Lamar County, Alabama",No,No,1,0,175,Logical skip,Logical skip,Logical skip,0,No,Yes
10201827,Lee County Coroner,AL,Coroner office,Lee County,Not in short questionnaire,Not in short questionnaire,1,3,69233,Not in short questionnaire,600,600,0,No,Not in short questionnaire
