"cs_code","year","state","cs_name","total_deaths","population","total_deaths_lag1","pop_lag1","covid_deaths","num_counties","death_offset","death_offset_lag1","total_death_rate","death_rate_lag1","time","time_orig_vals","fitted_deaths","fitted_death_rate","pred_deaths_lwr_ci","pred_deaths_upr_ci","pred_death_rate_lwr_ci","pred_death_rate_upr_ci","pred_death_std_err","pred_death_rate_std_err","covid_deaths_2020","covid_excess_ratio"
"01CS001",2011,"AL","Autauga",456,55227,433,54773,0,1,55.227,54.773,8.25683089793036,7.90535482810874,13,13,493.979118974117,8.9445220449077,445,546,8.05765295960309,9.88646857515346,26.026605910399,0.471265973353595,59,0.633153223562272
"01CS001",2012,"AL","Autauga",514,54954,456,55227,0,1,54.954,55.227,9.35327728645776,8.25683089793036,14,14,496.46162876712,9.03413088705316,447,550,8.13407577246424,10.0083706372603,26.2616535932041,0.477884295832953,59,0.633153223562272
"01CS001",2013,"AL","Autauga",535,54727,514,54954,0,1,54.727,54.954,9.77579622489813,9.35327728645776,15,15,493.869566339941,9.02423970508051,438.95,547,8.02072103349352,9.99506642059678,26.4263441032365,0.482875803593044,59,0.633153223562272
"01CS001",2014,"AL","Autauga",482,54893,535,54727,0,1,54.893,54.727,8.78071885304137,9.77579622489813,16,16,499.802711823805,9.10503546579355,445,551.025,8.10668026888674,10.0381651576704,26.9544869802482,0.491036871372455,59,0.633153223562272
"01CS001",2015,"AL","Autauga",523,54864,482,54893,0,1,54.864,54.893,9.53266258384369,8.78071885304137,17,17,514.734768671189,9.38201313559327,462,569.025,8.42082239720035,10.3715551181102,27.632001710309,0.503645408834737,59,0.633153223562272
"01CS001",2016,"AL","Autauga",520,55243,523,54864,0,1,55.243,54.864,9.41295729775718,9.53266258384369,18,18,520.378744524575,9.41981327090446,470,572.025,8.50786524989591,10.3547055735568,27.1689991260906,0.491808901147487,59,0.633153223562272
"01CS001",2017,"AL","Autauga",528,55390,520,55243,0,1,55.39,55.243,9.53240657158332,9.41295729775718,19,19,530.691312587686,9.58099499165347,476.975,589,8.61121141000181,10.6336883914064,28.5321461226169,0.515113668940547,59,0.633153223562272
"01CS001",2018,"AL","Autauga",536,55533,528,55390,0,1,55.533,55.39,9.65191867898367,9.53240657158332,20,20,539.246756277264,9.7103840289065,492,594.025,8.85959699638053,10.6967928979166,27.0521461183694,0.487136407512099,59,0.633153223562272
"01CS001",2019,"AL","Autauga",545,55869,536,55533,0,1,55.869,55.533,9.75496250156616,9.65191867898367,21,21,549.835392038738,9.84151125022353,495,606.025,8.86001181334908,10.8472498165351,28.2346642846567,0.505372644662634,59,0.633153223562272
"01CS001",2020,"AL","Autauga",651,55911,545,55869,59,1,55.911,55.869,11.6435048559317,9.75496250156616,22,22,557.815605126273,9.97684901229226,497,612.025,8.88912736313069,10.9464148378673,28.7100849873347,0.513496181204677,59,0.633153223562272
"01CS002",2011,"AL","Baldwin",1852,186558,1798,183112,0,1,186.558,183.112,9.92720762443851,9.81912709161606,13,13,1804.70397649401,9.67368848558631,1696,1916.05,9.09100655024175,10.2705324885558,55.1279216345378,0.295500174929715,179,0.653180265998875
