year,state,state_code,county,county_code,race,ethnicity,deaths,population,crude_rate,age_adjusted_rate
2018,Alabama,01,"Autauga County, AL",01001,Black or African American,Not Hispanic or Latino,89.0,10755.0,827.5,897.0
2018,Alabama,01,"Autauga County, AL",01001,White,Not Hispanic or Latino,439.0,41316.0,1062.5,833.3
2018,Alabama,01,"Baldwin County, AL",01003,Black or African American,Not Hispanic or Latino,148.0,19151.0,772.8,863.9
2018,Alabama,01,"Baldwin County, AL",01003,White,Hispanic or Latino,21.0,9100.0,230.8,425.3
2018,Alabama,01,"Baldwin County, AL",01003,White,Not Hispanic or Latino,2170.0,181201.0,1197.6,804.8
2018,Alabama,01,"Barbour County, AL",01005,Black or African American,Not Hispanic or Latino,121.0,11951.0,1012.5,963.7
2018,Alabama,01,"Barbour County, AL",01005,White,Not Hispanic or Latino,188.0,11356.0,1655.5,962.0
2018,Alabama,01,"Bibb County, AL",01007,Black or African American,Not Hispanic or Latino,44.0,4731.0,930.0,1048.0
2018,Alabama,01,"Bibb County, AL",01007,White,Not Hispanic or Latino,232.0,16708.0,1388.6,1076.4
2018,Alabama,01,"Blount County, AL",01009,White,Not Hispanic or Latino,672.0,50255.0,1337.2,990.9
2018,Alabama,01,"Bullock County, AL",01011,Black or African American,Not Hispanic or Latino,83.0,7050.0,1177.3,1034.3
2018,Alabama,01,"Bullock County, AL",01011,White,Not Hispanic or Latino,29.0,2151.0,1348.2,754.9
2018,Alabama,01,"Butler County, AL",01013,Black or African American,Not Hispanic or Latino,110.0,8769.0,1254.4,1103.6
2018,Alabama,01,"Butler County, AL",01013,White,Not Hispanic or Latino,185.0,10087.0,1834.0,1085.9
2018,Alabama,01,"Calhoun County, AL",01015,Black or African American,Not Hispanic or Latino,246.0,23827.0,1032.4,1133.5
2018,Alabama,01,"Calhoun County, AL",01015,White,Not Hispanic or Latino,1327.0,82308.0,1612.2,1160.6
2018,Alabama,01,"Chambers County, AL",01017,Black or African American,Not Hispanic or Latino,114.0,13300.0,857.1,772.3
2018,Alabama,01,"Chambers County, AL",01017,White,Not Hispanic or Latino,302.0,18566.0,1626.6,1023.1
2018,Alabama,01,"Cherokee County, AL",01019,Black or African American,Not Hispanic or Latino,14.0,1104.0,Unreliable,Unreliable
2018,Alabama,01,"Cherokee County, AL",01019,White,Not Hispanic or Latino,331.0,23860.0,1387.3,951.8
2018,Alabama,01,"Chilton County, AL",01021,Black or African American,Not Hispanic or Latino,36.0,4401.0,818.0,852.4
2018,Alabama,01,"Chilton County, AL",01021,White,Not Hispanic or Latino,470.0,35384.0,1328.3,1026.6
2018,Alabama,01,"Choctaw County, AL",01023,Black or African American,Not Hispanic or Latino,73.0,5331.0,1369.3,1019.6
2018,Alabama,01,"Choctaw County, AL",01023,White,Not Hispanic or Latino,117.0,7241.0,1615.8,940.8
2018,Alabama,01,"Clarke County, AL",01025,Black or African American,Not Hispanic or Latino,139.0,10603.0,1310.9,1159.3
2018,Alabama,01,"Clarke County, AL",01025,White,Not Hispanic or Latino,175.0,12560.0,1393.3,831.4
2018,Alabama,01,"Clay County, AL",01027,Black or African American,Not Hispanic or Latino,29.0,1836.0,1579.5,1360.0
2018,Alabama,01,"Clay County, AL",01027,White,Not Hispanic or Latino,155.0,10690.0,1450.0,958.0
2018,Alabama,01,"Cleburne County, AL",01029,White,Not Hispanic or Latino,168.0,13907.0,1208.0,847.5
2018,Alabama,01,"Coffee County, AL",01031,Black or African American,Not Hispanic or Latino,95.0,8922.0,1064.8,1048.9
2018,Alabama,01,"Coffee County, AL",01031,White,Not Hispanic or Latino,486.0,36261.0,1340.3,954.5
2018,Alabama,01,"Colbert County, AL",01033,Black or African American,Not Hispanic or Latino,111.0,8761.0,1267.0,1019.4
2018,Alabama,01,"Colbert County, AL",01033,White,Not Hispanic or Latino,666.0,42932.0,1551.3,1059.9
2018,Alabama,01,"Conecuh County, AL",01035,Black or African American,Not Hispanic or Latino,74.0,5606.0,1320.0,1083.6
2018,Alabama,01,"Conecuh County, AL",01035,White,Not Hispanic or Latino,103.0,6176.0,1667.7,900.0
2018,Alabama,01,"Coosa County, AL",01037,Black or African American,Not Hispanic or Latino,39.0,3265.0,1194.5,897.7
2018,Alabama,01,"Coosa County, AL",01037,White,Not Hispanic or Latino,109.0,7006.0,1555.8,944.5
2018,Alabama,01,"Covington County, AL",01039,Black or African American,Not Hispanic or Latino,54.0,4602.0,1173.4,1094.6
2018,Alabama,01,"Covington County, AL",01039,White,Not Hispanic or Latino,519.0,30768.0,1686.8,1044.6
2018,Alabama,01,"Crenshaw County, AL",01041,Black or African American,Not Hispanic or Latino,30.0,3210.0,934.6,769.6
2018,Alabama,01,"Crenshaw County, AL",01041,White,Not Hispanic or Latino,146.0,9808.0,1488.6,1033.0
2018,Alabama,01,"Cullman County, AL",01043,White,Not Hispanic or Latino,1067.0,76646.0,1392.1,1068.5
2018,Alabama,01,"Dale County, AL",01045,Black or African American,Not Hispanic or Latino,105.0,10012.0,1048.7,1204.0
2018,Alabama,01,"Dale County, AL",01045,White,Not Hispanic or Latino,421.0,33470.0,1257.8,908.1
2018,Alabama,01,"Dallas County, AL",01047,Black or African American,Not Hispanic or Latino,355.0,26839.0,1322.7,1271.0
2018,Alabama,01,"Dallas County, AL",01047,White,Not Hispanic or Latino,207.0,10413.0,1987.9,1062.7
2018,Alabama,01,"DeKalb County, AL",01049,Black or African American,Not Hispanic or Latino,13.0,1034.0,Unreliable,Unreliable
2018,Alabama,01,"DeKalb County, AL",01049,White,Not Hispanic or Latino,823.0,57199.0,1438.8,1049.2
2018,Alabama,01,"Elmore County, AL",01051,Black or African American,Not Hispanic or Latino,145.0,17372.0,834.7,1179.1
2018,Alabama,01,"Elmore County, AL",01051,White,Not Hispanic or Latino,663.0,59771.0,1109.2,895.4
2018,Alabama,01,"Escambia County, AL",01053,American Indian or Alaska Native,Not Hispanic or Latino,13.0,1370.0,Unreliable,Unreliable
2018,Alabama,01,"Escambia County, AL",01053,Black or African American,Not Hispanic or Latino,115.0,11540.0,996.5,961.9
2018,Alabama,01,"Escambia County, AL",01053,White,Not Hispanic or Latino,343.0,22106.0,1551.6,1060.9
2018,Alabama,01,"Etowah County, AL",01055,Black or African American,Not Hispanic or Latino,173.0,15871.0,1090.0,1125.0
2018,Alabama,01,"Etowah County, AL",01055,White,Not Hispanic or Latino,1274.0,79629.0,1599.9,1112.4
2018,Alabama,01,"Fayette County, AL",01057,Black or African American,Not Hispanic or Latino,33.0,1948.0,1694.0,1417.4
2018,Alabama,01,"Fayette County, AL",01057,White,Not Hispanic or Latino,200.0,13829.0,1446.2,983.9
2018,Alabama,01,"Franklin County, AL",01059,Black or African American,Not Hispanic or Latino,15.0,1218.0,Unreliable,Unreliable
2018,Alabama,01,"Franklin County, AL",01059,White,Not Hispanic or Latino,352.0,23891.0,1473.4,1056.0
2018,Alabama,01,"Geneva County, AL",01061,Black or African American,Not Hispanic or Latino,26.0,2451.0,1060.8,861.4
2018,Alabama,01,"Geneva County, AL",01061,White,Not Hispanic or Latino,363.0,22020.0,1648.5,1129.2
2018,Alabama,01,"Greene County, AL",01063,Black or African American,Not Hispanic or Latino,74.0,6554.0,1129.1,815.2
2018,Alabama,01,"Greene County, AL",01063,White,Not Hispanic or Latino,37.0,1443.0,2564.1,1281.2
2018,Alabama,01,"Hale County, AL",01065,Black or African American,Not Hispanic or Latino,82.0,8512.0,963.3,809.5
