year,state,state_code,county,county_code,cause_category,cause,cause_code,deaths,population,crude_rate
2018,Alabama,01,"Baldwin County, AL",01003,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,22.0,218022.0,10.1
2018,Alabama,01,"Baldwin County, AL",01003,Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,10.0,218022.0,Unreliable
2018,Alabama,01,"Baldwin County, AL",01003,Nontransport accidents,Exposure to unspecified factor causing other and unspecified injury,X59.9,11.0,218022.0,Unreliable
2018,Alabama,01,"Baldwin County, AL",01003,Intentional self-harm (suicide),"Intentional self-harm by hanging, strangulation and suffocation",X70,19.0,218022.0,Unreliable
2018,Alabama,01,"Baldwin County, AL",01003,Intentional self-harm (suicide),Intentional self-harm by other and unspecified firearm discharge,X74,14.0,218022.0,Unreliable
2018,Alabama,01,"Calhoun County, AL",01015,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,21.0,114277.0,18.4
2018,Alabama,01,"Calhoun County, AL",01015,Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,13.0,114277.0,Unreliable
2018,Alabama,01,"Calhoun County, AL",01015,Intentional self-harm (suicide),Intentional self-harm by other and unspecified firearm discharge,X74,19.0,114277.0,Unreliable
2018,Alabama,01,"Calhoun County, AL",01015,Assault (homicide),Assault by other and unspecified firearm discharge,X95,13.0,114277.0,Unreliable
2018,Alabama,01,"Colbert County, AL",01033,Intentional self-harm (suicide),Intentional self-harm by other and unspecified firearm discharge,X74,10.0,54762.0,Unreliable
2018,Alabama,01,"Cullman County, AL",01043,Transport accidents (unintentional injuries),Person injured in collision between other specified motor vehicles (traffic),V87.7,10.0,83442.0,Unreliable
2018,Alabama,01,"Dale County, AL",01045,Intentional self-harm (suicide),Intentional self-harm by other and unspecified firearm discharge,X74,10.0,48956.0,Unreliable
2018,Alabama,01,"Dallas County, AL",01047,Assault (homicide),Assault by other and unspecified firearm discharge,X95,16.0,38310.0,Unreliable
2018,Alabama,01,"DeKalb County, AL",01049,Intentional self-harm (suicide),Intentional self-harm by other and unspecified firearm discharge,X74,10.0,71385.0,Unreliable
2018,Alabama,01,"Elmore County, AL",01051,Intentional self-harm (suicide),Intentional self-harm by other and unspecified firearm discharge,X74,16.0,81887.0,Unreliable
2018,Alabama,01,"Etowah County, AL",01055,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,10.0,102501.0,Unreliable
2018,Alabama,01,"Etowah County, AL",01055,Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,13.0,102501.0,Unreliable
2018,Alabama,01,"Etowah County, AL",01055,Intentional self-harm (suicide),Intentional self-harm by other and unspecified firearm discharge,X74,15.0,102501.0,Unreliable
2018,Alabama,01,"Houston County, AL",01069,Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,11.0,104722.0,Unreliable
2018,Alabama,01,"Houston County, AL",01069,Intentional self-harm (suicide),Intentional self-harm by other and unspecified firearm discharge,X74,14.0,104722.0,Unreliable
2018,Alabama,01,"Jackson County, AL",01071,Intentional self-harm (suicide),Intentional self-harm by other and unspecified firearm discharge,X74,13.0,51736.0,Unreliable
2018,Alabama,01,"Jefferson County, AL",01073,Transport accidents (unintentional injuries),Pedestrian injured in traffic accident involving other and unspecified motor vehicles,V09.2,21.0,659300.0,3.2
2018,Alabama,01,"Jefferson County, AL",01073,Transport accidents (unintentional injuries),Person injured in collision between other specified motor vehicles (traffic),V87.7,29.0,659300.0,4.4
2018,Alabama,01,"Jefferson County, AL",01073,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,29.0,659300.0,4.4
2018,Alabama,01,"Jefferson County, AL",01073,Nontransport accidents,Unspecified fall,W19,20.0,659300.0,3.0
2018,Alabama,01,"Jefferson County, AL",01073,Nontransport accidents,Exposure to uncontrolled fire in building or structure,X00,11.0,659300.0,Unreliable
