year,state,state_code,county,county_code,race,ethnicity,deaths,population,crude_rate,age_adjusted_rate
2018,Alaska,02,"Anchorage Borough, AK",02020,American Indian or Alaska Native,Not Hispanic or Latino,251.0,23553.0,1065.7,1399.2
2018,Alaska,02,"Anchorage Borough, AK",02020,Asian,Not Hispanic or Latino,88.0,28757.0,306.0,364.3
2018,Alaska,02,"Anchorage Borough, AK",02020,Black or African American,Not Hispanic or Latino,104.0,15883.0,654.8,948.1
2018,Alaska,02,"Anchorage Borough, AK",02020,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,34.0,7488.0,454.1,887.1
2018,Alaska,02,"Anchorage Borough, AK",02020,White,Hispanic or Latino,59.0,19217.0,307.0,597.5
2018,Alaska,02,"Anchorage Borough, AK",02020,White,Not Hispanic or Latino,1084.0,167099.0,648.7,628.1
2018,Alaska,02,"Anchorage Borough, AK",02020,More than one race,Not Hispanic or Latino,52.0,21651.0,240.2,757.0
2018,Alaska,02,"Bethel Census Area, AK",02050,American Indian or Alaska Native,Not Hispanic or Latino,110.0,14998.0,733.4,1213.9
2018,Alaska,02,"Dillingham Census Area, AK",02070,American Indian or Alaska Native,Not Hispanic or Latino,28.0,3524.0,794.6,1117.6
2018,Alaska,02,"Fairbanks North Star Borough, AK",02090,American Indian or Alaska Native,Not Hispanic or Latino,61.0,7321.0,833.2,1065.2
2018,Alaska,02,"Fairbanks North Star Borough, AK",02090,Asian,Not Hispanic or Latino,12.0,3328.0,Unreliable,Unreliable
2018,Alaska,02,"Fairbanks North Star Borough, AK",02090,Black or African American,Not Hispanic or Latino,11.0,4850.0,Unreliable,Unreliable
2018,Alaska,02,"Fairbanks North Star Borough, AK",02090,White,Hispanic or Latino,10.0,6392.0,Unreliable,Unreliable
2018,Alaska,02,"Fairbanks North Star Borough, AK",02090,White,Not Hispanic or Latino,340.0,68542.0,496.0,606.5
2018,Alaska,02,"Fairbanks North Star Borough, AK",02090,More than one race,Not Hispanic or Latino,25.0,6157.0,406.0,993.8
2018,Alaska,02,"Haines Borough, AK",02100,White,Not Hispanic or Latino,10.0,1915.0,Unreliable,Unreliable
2018,Alaska,02,"Juneau Borough, AK",02110,American Indian or Alaska Native,Not Hispanic or Latino,31.0,3492.0,887.7,1091.2
2018,Alaska,02,"Juneau Borough, AK",02110,White,Not Hispanic or Latino,117.0,20637.0,566.9,521.0
2018,Alaska,02,"Juneau Borough, AK",02110,More than one race,Not Hispanic or Latino,22.0,2810.0,782.9,1612.6
2018,Alaska,02,"Kenai Peninsula Borough, AK",02122,American Indian or Alaska Native,Not Hispanic or Latino,36.0,4423.0,813.9,1227.2
2018,Alaska,02,"Kenai Peninsula Borough, AK",02122,White,Not Hispanic or Latino,441.0,46873.0,940.8,768.7
2018,Alaska,02,"Kenai Peninsula Borough, AK",02122,More than one race,Not Hispanic or Latino,18.0,3192.0,Unreliable,Unreliable
2018,Alaska,02,"Ketchikan Gateway Borough, AK",02130,American Indian or Alaska Native,Not Hispanic or Latino,21.0,1814.0,1157.7,1109.1
2018,Alaska,02,"Ketchikan Gateway Borough, AK",02130,White,Not Hispanic or Latino,71.0,8793.0,807.5,669.3
2018,Alaska,02,"Kodiak Island Borough, AK",02150,American Indian or Alaska Native,Not Hispanic or Latino,16.0,1586.0,Unreliable,Unreliable
2018,Alaska,02,"Kodiak Island Borough, AK",02150,White,Not Hispanic or Latino,40.0,6554.0,610.3,806.7
2018,Alaska,02,"Matanuska-Susitna Borough, AK",02170,American Indian or Alaska Native,Not Hispanic or Latino,34.0,6877.0,494.4,842.4
2018,Alaska,02,"Matanuska-Susitna Borough, AK",02170,Asian,Not Hispanic or Latino,11.0,1812.0,Unreliable,Unreliable
2018,Alaska,02,"Matanuska-Susitna Borough, AK",02170,White,Hispanic or Latino,15.0,4087.0,Unreliable,Unreliable
2018,Alaska,02,"Matanuska-Susitna Borough, AK",02170,White,Not Hispanic or Latino,533.0,84961.0,627.3,678.9
2018,Alaska,02,"Matanuska-Susitna Borough, AK",02170,More than one race,Not Hispanic or Latino,13.0,6888.0,Unreliable,Unreliable
2018,Alaska,02,"Nome Census Area, AK",02180,American Indian or Alaska Native,Not Hispanic or Latino,60.0,7417.0,809.0,1463.4
2018,Alaska,02,"North Slope Borough, AK",02185,American Indian or Alaska Native,Not Hispanic or Latino,39.0,5007.0,778.9,1002.4
2018,Alaska,02,"Northwest Arctic Borough, AK",02188,American Indian or Alaska Native,Not Hispanic or Latino,58.0,5950.0,974.8,1296.3
2018,Alaska,02,"Petersburg Borough/Census Area, AK",02195,White,Not Hispanic or Latino,21.0,2294.0,915.4,604.3
2018,Alaska,02,"Prince of Wales-Hyder Census Area, AK",02198,American Indian or Alaska Native,Not Hispanic or Latino,26.0,2643.0,983.7,1019.7
2018,Alaska,02,"Prince of Wales-Hyder Census Area, AK",02198,White,Not Hispanic or Latino,21.0,2921.0,718.9,512.0
2018,Alaska,02,"Sitka Borough, AK",02220,American Indian or Alaska Native,Not Hispanic or Latino,19.0,1255.0,Unreliable,Unreliable
2018,Alaska,02,"Sitka Borough, AK",02220,White,Not Hispanic or Latino,48.0,5282.0,908.7,688.3
2018,Alaska,02,"Southeast Fairbanks Census Area, AK",02240,White,Not Hispanic or Latino,33.0,5042.0,654.5,679.7
2018,Alaska,02,"Valdez-Cordova Census Area, AK",02261,American Indian or Alaska Native,Not Hispanic or Latino,17.0,1216.0,Unreliable,Unreliable
2018,Alaska,02,"Valdez-Cordova Census Area, AK",02261,White,Not Hispanic or Latino,46.0,6333.0,726.4,779.5
2018,Alaska,02,"Wade Hampton Census Area, AK",02270,American Indian or Alaska Native,Not Hispanic or Latino,53.0,7515.0,705.3,1219.8
2018,Alaska,02,"Wrangell City and Borough, AK",02275,White,Not Hispanic or Latino,17.0,1675.0,Unreliable,Unreliable
2018,Alaska,02,"Yukon-Koyukuk Census Area, AK",02290,American Indian or Alaska Native,Not Hispanic or Latino,46.0,3642.0,1263.0,1297.4
2019,Alaska,02,"Anchorage Borough, AK",02020,American Indian or Alaska Native,Not Hispanic or Latino,268.0,23808.0,1125.7,1385.8
2019,Alaska,02,"Anchorage Borough, AK",02020,Asian,Not Hispanic or Latino,118.0,28106.0,419.8,453.9
2019,Alaska,02,"Anchorage Borough, AK",02020,Black or African American,Not Hispanic or Latino,93.0,15359.0,605.5,783.4
2019,Alaska,02,"Anchorage Borough, AK",02020,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,49.0,7740.0,633.1,1240.9
2019,Alaska,02,"Anchorage Borough, AK",02020,White,Hispanic or Latino,53.0,19206.0,276.0,526.2
2019,Alaska,02,"Anchorage Borough, AK",02020,White,Not Hispanic or Latino,1163.0,164464.0,707.1,661.3
2019,Alaska,02,"Anchorage Borough, AK",02020,More than one race,Not Hispanic or Latino,75.0,21531.0,348.3,1132.6
2019,Alaska,02,"Bethel Census Area, AK",02050,American Indian or Alaska Native,Not Hispanic or Latino,113.0,15117.0,747.5,1250.5
2019,Alaska,02,"Dillingham Census Area, AK",02070,American Indian or Alaska Native,Not Hispanic or Latino,41.0,3492.0,1174.1,1449.5
2019,Alaska,02,"Fairbanks North Star Borough, AK",02090,American Indian or Alaska Native,Not Hispanic or Latino,58.0,7423.0,781.4,1004.1
2019,Alaska,02,"Fairbanks North Star Borough, AK",02090,Black or African American,Not Hispanic or Latino,13.0,4638.0,Unreliable,Unreliable
2019,Alaska,02,"Fairbanks North Star Borough, AK",02090,White,Hispanic or Latino,12.0,6166.0,Unreliable,Unreliable
2019,Alaska,02,"Fairbanks North Star Borough, AK",02090,White,Not Hispanic or Latino,362.0,67064.0,539.8,586.6
2019,Alaska,02,"Fairbanks North Star Borough, AK",02090,More than one race,Not Hispanic or Latino,13.0,6103.0,Unreliable,Unreliable
2019,Alaska,02,"Juneau Borough, AK",02110,American Indian or Alaska Native,Not Hispanic or Latino,36.0,3504.0,1027.4,1174.9
2019,Alaska,02,"Juneau Borough, AK",02110,White,Not Hispanic or Latino,116.0,20481.0,566.4,529.9
