year,state,state_code,county,county_code,cause_category,cause,cause_code,deaths,population,crude_rate
2018,Alaska,02,"Anchorage Borough, AK",02020,Sepsis,"Septicaemia, unspecified",A41.9,24.0,291538.0,8.2
2018,Alaska,02,"Anchorage Borough, AK",02020,Malignant neoplasms,"Colon, unspecified - Malignant neoplasms",C18.9,18.0,291538.0,Unreliable
2018,Alaska,02,"Anchorage Borough, AK",02020,Malignant neoplasms,Liver cell carcinoma - Malignant neoplasms,C22.0,14.0,291538.0,Unreliable
2018,Alaska,02,"Anchorage Borough, AK",02020,Malignant neoplasms,"Pancreas, unspecified - Malignant neoplasms",C25.9,24.0,291538.0,8.2
2018,Alaska,02,"Anchorage Borough, AK",02020,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,66.0,291538.0,22.6
2018,Alaska,02,"Anchorage Borough, AK",02020,Malignant neoplasms,"Breast, unspecified - Malignant neoplasms",C50.9,26.0,291538.0,8.9
2018,Alaska,02,"Anchorage Borough, AK",02020,Malignant neoplasms,Malignant neoplasm of prostate,C61,21.0,291538.0,7.2
2018,Alaska,02,"Anchorage Borough, AK",02020,Malignant neoplasms,Malignant neoplasm without specification of site,C80,20.0,291538.0,6.9
2018,Alaska,02,"Anchorage Borough, AK",02020,Diabetes,"Non-insulin-dependent diabetes mellitus, without complications",E11.9,15.0,291538.0,Unreliable
2018,Alaska,02,"Anchorage Borough, AK",02020,Diabetes,"Unspecified diabetes mellitus, without complications",E14.9,17.0,291538.0,Unreliable
2018,Alaska,02,"Anchorage Borough, AK",02020,Alzheimer disease and dementia,"Vascular dementia, unspecified",F01.9,28.0,291538.0,9.6
2018,Alaska,02,"Anchorage Borough, AK",02020,Alzheimer disease and dementia,Unspecified dementia,F03,49.0,291538.0,16.8
2018,Alaska,02,"Anchorage Borough, AK",02020,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,69.0,291538.0,23.7
