year,state,state_code,county,county_code,race,ethnicity,deaths,population,crude_rate,age_adjusted_rate
2018,Arizona,04,"Apache County, AZ",04001,American Indian or Alaska Native,Not Hispanic or Latino,488.0,52541.0,928.8,961.6
2018,Arizona,04,"Apache County, AZ",04001,White,Hispanic or Latino,23.0,3052.0,753.6,688.3
2018,Arizona,04,"Apache County, AZ",04001,White,Not Hispanic or Latino,167.0,13017.0,1282.9,753.9
2018,Arizona,04,"Cochise County, AZ",04003,Asian,Not Hispanic or Latino,13.0,2597.0,Unreliable,Unreliable
2018,Arizona,04,"Cochise County, AZ",04003,Black or African American,Not Hispanic or Latino,25.0,5003.0,499.7,579.3
2018,Arizona,04,"Cochise County, AZ",04003,White,Hispanic or Latino,253.0,41652.0,607.4,638.5
2018,Arizona,04,"Cochise County, AZ",04003,White,Not Hispanic or Latino,1029.0,69543.0,1479.7,778.9
2018,Arizona,04,"Cochise County, AZ",04003,White,Not Stated,16.0,Not Applicable,Not Applicable,Not Applicable
2018,Arizona,04,"Cochise County, AZ",04003,More than one race,Not Hispanic or Latino,12.0,3022.0,Unreliable,Unreliable
2018,Arizona,04,"Coconino County, AZ",04005,American Indian or Alaska Native,Not Hispanic or Latino,290.0,37090.0,781.9,938.7
2018,Arizona,04,"Coconino County, AZ",04005,Black or African American,Not Hispanic or Latino,11.0,1787.0,Unreliable,Unreliable
2018,Arizona,04,"Coconino County, AZ",04005,White,Hispanic or Latino,69.0,16684.0,413.6,676.6
2018,Arizona,04,"Coconino County, AZ",04005,White,Not Hispanic or Latino,486.0,77128.0,630.1,605.9
2018,Arizona,04,"Coconino County, AZ",04005,More than one race,Not Hispanic or Latino,11.0,3500.0,Unreliable,Unreliable
2018,Arizona,04,"Gila County, AZ",04007,American Indian or Alaska Native,Not Hispanic or Latino,98.0,8870.0,1104.8,1396.2
2018,Arizona,04,"Gila County, AZ",04007,White,Hispanic or Latino,61.0,8910.0,684.6,618.1
2018,Arizona,04,"Gila County, AZ",04007,White,Not Hispanic or Latino,592.0,33402.0,1772.3,849.9
2018,Arizona,04,"Graham County, AZ",04009,American Indian or Alaska Native,Not Hispanic or Latino,45.0,4688.0,959.9,1261.8
2018,Arizona,04,"Graham County, AZ",04009,White,Hispanic or Latino,78.0,11699.0,666.7,789.2
2018,Arizona,04,"Graham County, AZ",04009,White,Not Hispanic or Latino,204.0,19416.0,1050.7,793.1
2018,Arizona,04,"Greenlee County, AZ",04011,White,Hispanic or Latino,27.0,4211.0,641.2,599.1
2018,Arizona,04,"Greenlee County, AZ",04011,White,Not Hispanic or Latino,39.0,4339.0,898.8,755.3
2018,Arizona,04,"La Paz County, AZ",04012,American Indian or Alaska Native,Not Hispanic or Latino,41.0,2450.0,1673.5,1651.4
2018,Arizona,04,"La Paz County, AZ",04012,White,Hispanic or Latino,22.0,4186.0,525.6,627.9
2018,Arizona,04,"La Paz County, AZ",04012,White,Not Hispanic or Latino,235.0,11957.0,1965.4,956.2
2018,Arizona,04,"Maricopa County, AZ",04013,American Indian or Alaska Native,Hispanic or Latino,85.0,50340.0,168.9,375.6
2018,Arizona,04,"Maricopa County, AZ",04013,American Indian or Alaska Native,Not Hispanic or Latino,381.0,73474.0,518.6,770.5
2018,Arizona,04,"Maricopa County, AZ",04013,Asian,Hispanic or Latino,25.0,12813.0,195.1,759.7
