year,state,state_code,county,county_code,cause_category,cause,cause_code,deaths,population,crude_rate
2018,Arizona,04,"Apache County, AZ",04001,Sepsis,"Septicaemia, unspecified",A41.9,10.0,71818.0,Unreliable
2018,Arizona,04,"Apache County, AZ",04001,Malignant neoplasms,"Pancreas, unspecified - Malignant neoplasms",C25.9,11.0,71818.0,Unreliable
2018,Arizona,04,"Apache County, AZ",04001,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,18.0,71818.0,Unreliable
2018,Arizona,04,"Apache County, AZ",04001,Alzheimer disease and dementia,Unspecified dementia,F03,25.0,71818.0,34.8
2018,Arizona,04,"Apache County, AZ",04001,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,11.0,71818.0,Unreliable
2018,Arizona,04,"Apache County, AZ",04001,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,22.0,71818.0,30.6
2018,Arizona,04,"Apache County, AZ",04001,Ischemic heart disease,Atherosclerotic heart disease,I25.1,37.0,71818.0,51.5
2018,Arizona,04,"Apache County, AZ",04001,Influenza and pneumonia,"Pneumonia, unspecified",J18.9,10.0,71818.0,Unreliable
2018,Arizona,04,"Apache County, AZ",04001,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,12.0,71818.0,Unreliable
2018,Arizona,04,"Cochise County, AZ",04003,Sepsis,"Septicaemia, unspecified",A41.9,10.0,126770.0,Unreliable
2018,Arizona,04,"Cochise County, AZ",04003,Malignant neoplasms,"Colon, unspecified - Malignant neoplasms",C18.9,15.0,126770.0,Unreliable
2018,Arizona,04,"Cochise County, AZ",04003,Malignant neoplasms,"Pancreas, unspecified - Malignant neoplasms",C25.9,25.0,126770.0,19.7
2018,Arizona,04,"Cochise County, AZ",04003,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,75.0,126770.0,59.2
2018,Arizona,04,"Cochise County, AZ",04003,Malignant neoplasms,"Breast, unspecified - Malignant neoplasms",C50.9,16.0,126770.0,Unreliable
2018,Arizona,04,"Cochise County, AZ",04003,Malignant neoplasms,Malignant neoplasm of prostate,C61,20.0,126770.0,15.8
2018,Arizona,04,"Cochise County, AZ",04003,Malignant neoplasms,"Malignant neoplasm of kidney, except renal pelvis",C64,10.0,126770.0,Unreliable
2018,Arizona,04,"Cochise County, AZ",04003,Malignant neoplasms,Malignant neoplasm without specification of site,C80,14.0,126770.0,Unreliable
2018,Arizona,04,"Cochise County, AZ",04003,Diabetes,"Non-insulin-dependent diabetes mellitus, without complications",E11.9,13.0,126770.0,Unreliable
2018,Arizona,04,"Cochise County, AZ",04003,Diabetes,"Unspecified diabetes mellitus, with renal complications",E14.2,10.0,126770.0,Unreliable
2018,Arizona,04,"Cochise County, AZ",04003,Diabetes,"Unspecified diabetes mellitus, without complications",E14.9,16.0,126770.0,Unreliable
2018,Arizona,04,"Cochise County, AZ",04003,Alzheimer disease and dementia,"Vascular dementia, unspecified",F01.9,12.0,126770.0,Unreliable
2018,Arizona,04,"Cochise County, AZ",04003,Alzheimer disease and dementia,Unspecified dementia,F03,37.0,126770.0,29.2
2018,Arizona,04,"Cochise County, AZ",04003,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,24.0,126770.0,18.9
2018,Arizona,04,"Cochise County, AZ",04003,Hypertensive diseases,Hypertensive heart disease with (congestive) heart failure,I11.0,16.0,126770.0,Unreliable
2018,Arizona,04,"Cochise County, AZ",04003,Hypertensive diseases,Hypertensive heart disease without (congestive) heart failure,I11.9,11.0,126770.0,Unreliable
2018,Arizona,04,"Cochise County, AZ",04003,Hypertensive diseases,Hypertensive renal disease with renal failure,I12.0,10.0,126770.0,Unreliable
2018,Arizona,04,"Cochise County, AZ",04003,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,50.0,126770.0,39.4
2018,Arizona,04,"Cochise County, AZ",04003,Ischemic heart disease,"Atherosclerotic cardiovascular disease, so described",I25.0,36.0,126770.0,28.4
2018,Arizona,04,"Cochise County, AZ",04003,Ischemic heart disease,Atherosclerotic heart disease,I25.1,118.0,126770.0,93.1
2018,Arizona,04,"Cochise County, AZ",04003,Other diseases of the circulatory system,Atrial fibrillation and flutter,I48,12.0,126770.0,Unreliable
2018,Arizona,04,"Cochise County, AZ",04003,Other diseases of the circulatory system,Congestive heart failure,I50.0,16.0,126770.0,Unreliable
2018,Arizona,04,"Cochise County, AZ",04003,Cerebrovascular diseases,"Cerebral infarction, unspecified",I63.9,17.0,126770.0,Unreliable
2018,Arizona,04,"Cochise County, AZ",04003,Cerebrovascular diseases,"Stroke, not specified as haemorrhage or infarction",I64,14.0,126770.0,Unreliable
2018,Arizona,04,"Cochise County, AZ",04003,Cerebrovascular diseases,"Cerebrovascular disease, unspecified",I67.9,10.0,126770.0,Unreliable
2018,Arizona,04,"Cochise County, AZ",04003,Influenza and pneumonia,"Pneumonia, unspecified",J18.9,16.0,126770.0,Unreliable
2018,Arizona,04,"Cochise County, AZ",04003,Chronic lower respiratory diseases,"Emphysema, unspecified",J43.9,10.0,126770.0,Unreliable
2018,Arizona,04,"Cochise County, AZ",04003,Chronic lower respiratory diseases,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,13.0,126770.0,Unreliable
2018,Arizona,04,"Cochise County, AZ",04003,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,64.0,126770.0,50.5
2018,Arizona,04,"Coconino County, AZ",04005,Malignant neoplasms,"Colon, unspecified - Malignant neoplasms",C18.9,11.0,142854.0,Unreliable
2018,Arizona,04,"Coconino County, AZ",04005,Malignant neoplasms,"Pancreas, unspecified - Malignant neoplasms",C25.9,15.0,142854.0,Unreliable
2018,Arizona,04,"Coconino County, AZ",04005,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,27.0,142854.0,18.9
2018,Arizona,04,"Coconino County, AZ",04005,Malignant neoplasms,"Breast, unspecified - Malignant neoplasms",C50.9,13.0,142854.0,Unreliable
2018,Arizona,04,"Coconino County, AZ",04005,Malignant neoplasms,Malignant neoplasm without specification of site,C80,10.0,142854.0,Unreliable
2018,Arizona,04,"Coconino County, AZ",04005,Alzheimer disease and dementia,Unspecified dementia,F03,13.0,142854.0,Unreliable
2018,Arizona,04,"Coconino County, AZ",04005,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,34.0,142854.0,23.8
2018,Arizona,04,"Coconino County, AZ",04005,Hypertensive diseases,Essential (primary) hypertension,I10,10.0,142854.0,Unreliable
2018,Arizona,04,"Coconino County, AZ",04005,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,11.0,142854.0,Unreliable
2018,Arizona,04,"Coconino County, AZ",04005,Ischemic heart disease,"Atherosclerotic cardiovascular disease, so described",I25.0,21.0,142854.0,14.7
2018,Arizona,04,"Coconino County, AZ",04005,Ischemic heart disease,Atherosclerotic heart disease,I25.1,41.0,142854.0,28.7
2018,Arizona,04,"Coconino County, AZ",04005,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,25.0,142854.0,17.5
2018,Arizona,04,"Coconino County, AZ",04005,Renal failure,"Chronic kidney disease, stage 5",N18.5,12.0,142854.0,Unreliable
2018,Arizona,04,"Gila County, AZ",04007,Malignant neoplasms,"Colon, unspecified - Malignant neoplasms",C18.9,13.0,53889.0,Unreliable
