year,state,state_code,county,county_code,cause_category,cause,cause_code,deaths,population,crude_rate
2018,Arizona,04,"Apache County, AZ",04001,Transport accidents (unintentional injuries),Person injured in collision between other specified motor vehicles (traffic),V87.7,10.0,71818.0,Unreliable
2018,Arizona,04,"Apache County, AZ",04001,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,16.0,71818.0,Unreliable
2018,Arizona,04,"Apache County, AZ",04001,Nontransport accidents,Accidental poisoning by and exposure to alcohol,X45,18.0,71818.0,Unreliable
2018,Arizona,04,"Apache County, AZ",04001,Intentional self-harm (suicide),"Intentional self-harm by hanging, strangulation and suffocation",X70,17.0,71818.0,Unreliable
2018,Arizona,04,"Cochise County, AZ",04003,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,16.0,126770.0,Unreliable
2018,Arizona,04,"Cochise County, AZ",04003,Nontransport accidents,Unspecified fall,W19,20.0,126770.0,15.8
2018,Arizona,04,"Cochise County, AZ",04003,Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,10.0,126770.0,Unreliable
2018,Arizona,04,"Cochise County, AZ",04003,Intentional self-harm (suicide),Intentional self-harm by other and unspecified firearm discharge,X74,11.0,126770.0,Unreliable
2018,Arizona,04,"Coconino County, AZ",04005,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,11.0,142854.0,Unreliable
2018,Arizona,04,"Coconino County, AZ",04005,Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,12.0,142854.0,Unreliable
2018,Arizona,04,"Coconino County, AZ",04005,Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,10.0,142854.0,Unreliable
2018,Arizona,04,"Coconino County, AZ",04005,Nontransport accidents,Accidental poisoning by and exposure to alcohol,X45,17.0,142854.0,Unreliable
2018,Arizona,04,"Coconino County, AZ",04005,Intentional self-harm (suicide),"Intentional self-harm by hanging, strangulation and suffocation",X70,22.0,142854.0,15.4
2018,Arizona,04,"Gila County, AZ",04007,Intentional self-harm (suicide),"Intentional self-harm by hanging, strangulation and suffocation",X70,11.0,53889.0,Unreliable
2018,Arizona,04,"Gila County, AZ",04007,Intentional self-harm (suicide),Intentional self-harm by other and unspecified firearm discharge,X74,14.0,53889.0,Unreliable
2018,Arizona,04,"Maricopa County, AZ",04013,Transport accidents (unintentional injuries),Pedestrian injured in traffic accident involving other and unspecified motor vehicles,V09.2,133.0,4410824.0,3.0
2018,Arizona,04,"Maricopa County, AZ",04013,Transport accidents (unintentional injuries),Driver injured in collision with other and unspecified motor vehicles in traffic accident,V29.4,17.0,4410824.0,Unreliable
2018,Arizona,04,"Maricopa County, AZ",04013,Transport accidents (unintentional injuries),Motorcycle rider [any] injured in unspecified traffic accident,V29.9,48.0,4410824.0,1.1
2018,Arizona,04,"Maricopa County, AZ",04013,Transport accidents (unintentional injuries),Person injured in collision between other specified motor vehicles (traffic),V87.7,36.0,4410824.0,0.8
2018,Arizona,04,"Maricopa County, AZ",04013,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,224.0,4410824.0,5.1
2018,Arizona,04,"Maricopa County, AZ",04013,Nontransport accidents,Fall on and from stairs and steps,W10,10.0,4410824.0,Unreliable
2018,Arizona,04,"Maricopa County, AZ",04013,Nontransport accidents,Other fall on same level,W18,332.0,4410824.0,7.5
2018,Arizona,04,"Maricopa County, AZ",04013,Nontransport accidents,Unspecified fall,W19,291.0,4410824.0,6.6
2018,Arizona,04,"Maricopa County, AZ",04013,Nontransport accidents,Drowning and submersion while in bath-tub,W65,10.0,4410824.0,Unreliable
2018,Arizona,04,"Maricopa County, AZ",04013,Nontransport accidents,Drowning and submersion while in swimming-pool,W67,29.0,4410824.0,0.7
2018,Arizona,04,"Maricopa County, AZ",04013,Nontransport accidents,Drowning and submersion while in natural water,W69,11.0,4410824.0,Unreliable
2018,Arizona,04,"Maricopa County, AZ",04013,Nontransport accidents,Inhalation and ingestion of food causing obstruction of respiratory tract,W79,25.0,4410824.0,0.6
2018,Arizona,04,"Maricopa County, AZ",04013,Nontransport accidents,Inhalation and ingestion of other objects causing obstruction of respiratory tract,W80,11.0,4410824.0,Unreliable
2018,Arizona,04,"Maricopa County, AZ",04013,Nontransport accidents,Exposure to excessive natural heat,X30,61.0,4410824.0,1.4
2018,Arizona,04,"Maricopa County, AZ",04013,Accidental drug overdose,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,173.0,4410824.0,3.9
2018,Arizona,04,"Maricopa County, AZ",04013,Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,350.0,4410824.0,7.9
2018,Arizona,04,"Maricopa County, AZ",04013,Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,431.0,4410824.0,9.8
2018,Arizona,04,"Maricopa County, AZ",04013,Nontransport accidents,Accidental poisoning by and exposure to alcohol,X45,41.0,4410824.0,0.9
2018,Arizona,04,"Maricopa County, AZ",04013,Nontransport accidents,Exposure to unspecified factor causing other and unspecified injury,X59.9,39.0,4410824.0,0.9
2018,Arizona,04,"Maricopa County, AZ",04013,Intentional self-harm (suicide),"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X61,17.0,4410824.0,Unreliable
2018,Arizona,04,"Maricopa County, AZ",04013,Intentional self-harm (suicide),"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X62,10.0,4410824.0,Unreliable
2018,Arizona,04,"Maricopa County, AZ",04013,Intentional self-harm (suicide),"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,63.0,4410824.0,1.4
2018,Arizona,04,"Maricopa County, AZ",04013,Intentional self-harm (suicide),Intentional self-poisoning by and exposure to other gases and vapours,X67,19.0,4410824.0,Unreliable
2018,Arizona,04,"Maricopa County, AZ",04013,Intentional self-harm (suicide),"Intentional self-harm by hanging, strangulation and suffocation",X70,178.0,4410824.0,4.0
2018,Arizona,04,"Maricopa County, AZ",04013,Intentional self-harm (suicide),Intentional self-harm by handgun discharge,X72,25.0,4410824.0,0.6
2018,Arizona,04,"Maricopa County, AZ",04013,Intentional self-harm (suicide),"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,25.0,4410824.0,0.6
2018,Arizona,04,"Maricopa County, AZ",04013,Intentional self-harm (suicide),Intentional self-harm by other and unspecified firearm discharge,X74,356.0,4410824.0,8.1
2018,Arizona,04,"Maricopa County, AZ",04013,Intentional self-harm (suicide),Intentional self-harm by sharp object,X78,13.0,4410824.0,Unreliable
2018,Arizona,04,"Maricopa County, AZ",04013,Intentional self-harm (suicide),Intentional self-harm by jumping from a high place,X80,10.0,4410824.0,Unreliable
2018,Arizona,04,"Maricopa County, AZ",04013,Assault (homicide),Assault by other and unspecified firearm discharge,X95,187.0,4410824.0,4.2
2018,Arizona,04,"Maricopa County, AZ",04013,Assault (homicide),Assault by sharp object,X99,19.0,4410824.0,Unreliable
2018,Arizona,04,"Maricopa County, AZ",04013,Assault (homicide),Assault by unspecified means,Y09,16.0,4410824.0,Unreliable
2018,Arizona,04,"Maricopa County, AZ",04013,,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent",Y14,16.0,4410824.0,Unreliable
2018,Arizona,04,"Maricopa County, AZ",04013,,Legal intervention involving firearm discharge,Y35.0,15.0,4410824.0,Unreliable
