year,state,state_code,county,county_code,race,ethnicity,deaths,population,crude_rate,age_adjusted_rate
2018,Arkansas,05,"Arkansas County, AR",05001,Black or African American,Not Hispanic or Latino,45.0,4346.0,1035.4,954.2
2018,Arkansas,05,"Arkansas County, AR",05001,White,Not Hispanic or Latino,202.0,12342.0,1636.7,1040.7
2018,Arkansas,05,"Ashley County, AR",05003,Black or African American,Not Hispanic or Latino,53.0,4911.0,1079.2,856.3
2018,Arkansas,05,"Ashley County, AR",05003,White,Not Hispanic or Latino,206.0,13692.0,1504.5,997.1
2018,Arkansas,05,"Baxter County, AR",05005,White,Not Hispanic or Latino,677.0,39314.0,1722.0,852.0
2018,Arkansas,05,"Benton County, AR",05007,American Indian or Alaska Native,Not Hispanic or Latino,12.0,3984.0,Unreliable,Unreliable
2018,Arkansas,05,"Benton County, AR",05007,Asian,Not Hispanic or Latino,11.0,10806.0,Unreliable,Unreliable
2018,Arkansas,05,"Benton County, AR",05007,Black or African American,Not Hispanic or Latino,18.0,4878.0,Unreliable,Unreliable
2018,Arkansas,05,"Benton County, AR",05007,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,10.0,1759.0,Unreliable,Unreliable
2018,Arkansas,05,"Benton County, AR",05007,White,Hispanic or Latino,61.0,42811.0,142.5,452.4
2018,Arkansas,05,"Benton County, AR",05007,White,Not Hispanic or Latino,1836.0,198924.0,923.0,741.9
2018,Arkansas,05,"Boone County, AR",05009,White,Not Hispanic or Latino,447.0,35082.0,1274.2,873.6
2018,Arkansas,05,"Bradley County, AR",05011,Black or African American,Not Hispanic or Latino,43.0,2968.0,1448.8,1234.4
2018,Arkansas,05,"Bradley County, AR",05011,White,Not Hispanic or Latino,97.0,6023.0,1610.5,893.9
2018,Arkansas,05,"Calhoun County, AR",05013,Black or African American,Not Hispanic or Latino,11.0,1120.0,Unreliable,Unreliable
2018,Arkansas,05,"Calhoun County, AR",05013,White,Not Hispanic or Latino,59.0,3812.0,1547.7,942.2
2018,Arkansas,05,"Carroll County, AR",05015,White,Not Hispanic or Latino,325.0,22351.0,1454.1,913.1
2018,Arkansas,05,"Chicot County, AR",05017,Black or African American,Not Hispanic or Latino,83.0,5575.0,1488.8,1175.2
2018,Arkansas,05,"Chicot County, AR",05017,White,Not Hispanic or Latino,64.0,4062.0,1575.6,832.9
2018,Arkansas,05,"Clark County, AR",05019,Black or African American,Not Hispanic or Latino,48.0,5319.0,902.4,922.7
2018,Arkansas,05,"Clark County, AR",05019,White,Not Hispanic or Latino,188.0,15098.0,1245.2,919.0
2018,Arkansas,05,"Clay County, AR",05021,White,Not Hispanic or Latino,237.0,14131.0,1677.2,1106.7
2018,Arkansas,05,"Cleburne County, AR",05023,White,Not Hispanic or Latino,381.0,23642.0,1611.5,909.8
2018,Arkansas,05,"Cleveland County, AR",05025,White,Not Hispanic or Latino,91.0,6759.0,1346.4,918.4
2018,Arkansas,05,"Columbia County, AR",05027,Black or African American,Not Hispanic or Latino,91.0,8319.0,1093.9,1035.1
2018,Arkansas,05,"Columbia County, AR",05027,White,Not Hispanic or Latino,177.0,13919.0,1271.6,835.7
2018,Arkansas,05,"Conway County, AR",05029,Black or African American,Not Hispanic or Latino,23.0,2363.0,973.3,684.5
2018,Arkansas,05,"Conway County, AR",05029,White,Not Hispanic or Latino,239.0,16988.0,1406.9,936.9
2018,Arkansas,05,"Craighead County, AR",05031,Black or African American,Not Hispanic or Latino,79.0,17401.0,454.0,1247.6
2018,Arkansas,05,"Craighead County, AR",05031,White,Not Hispanic or Latino,869.0,82067.0,1058.9,842.1
2018,Arkansas,05,"Crawford County, AR",05033,White,Not Hispanic or Latino,600.0,53145.0,1129.0,863.6
2018,Arkansas,05,"Crittenden County, AR",05035,Black or African American,Not Hispanic or Latino,241.0,25941.0,929.0,1147.8
2018,Arkansas,05,"Crittenden County, AR",05035,White,Not Hispanic or Latino,272.0,20050.0,1356.6,951.2
2018,Arkansas,05,"Cross County, AR",05037,Black or African American,Not Hispanic or Latino,55.0,3789.0,1451.6,1275.6
2018,Arkansas,05,"Cross County, AR",05037,White,Not Hispanic or Latino,196.0,12130.0,1615.8,1133.1
2018,Arkansas,05,"Dallas County, AR",05039,Black or African American,Not Hispanic or Latino,36.0,2960.0,1216.2,828.7
2018,Arkansas,05,"Dallas County, AR",05039,White,Not Hispanic or Latino,72.0,3811.0,1889.3,970.2
2018,Arkansas,05,"Desha County, AR",05041,Black or African American,Not Hispanic or Latino,80.0,5398.0,1482.0,1358.2
2018,Arkansas,05,"Desha County, AR",05041,White,Not Hispanic or Latino,98.0,5125.0,1912.2,1188.2
2018,Arkansas,05,"Drew County, AR",05043,Black or African American,Not Hispanic or Latino,51.0,5104.0,999.2,955.1
2018,Arkansas,05,"Drew County, AR",05043,White,Not Hispanic or Latino,163.0,12118.0,1345.1,938.9
2018,Arkansas,05,"Faulkner County, AR",05045,Black or African American,Not Hispanic or Latino,72.0,14979.0,480.7,807.8
2018,Arkansas,05,"Faulkner County, AR",05045,White,Not Hispanic or Latino,951.0,99820.0,952.7,904.9
2018,Arkansas,05,"Franklin County, AR",05047,White,Not Hispanic or Latino,220.0,16293.0,1350.3,967.4
2018,Arkansas,05,"Fulton County, AR",05049,White,Not Hispanic or Latino,171.0,11659.0,1466.7,816.6
2018,Arkansas,05,"Garland County, AR",05051,Black or African American,Not Hispanic or Latino,83.0,8459.0,981.2,1043.2
2018,Arkansas,05,"Garland County, AR",05051,White,Hispanic or Latino,17.0,5195.0,Unreliable,Unreliable
2018,Arkansas,05,"Garland County, AR",05051,White,Not Hispanic or Latino,1288.0,81108.0,1588.0,900.6
2018,Arkansas,05,"Garland County, AR",05051,More than one race,Not Hispanic or Latino,15.0,2284.0,Unreliable,Unreliable
2018,Arkansas,05,"Grant County, AR",05053,White,Not Hispanic or Latino,183.0,16793.0,1089.7,812.1
2018,Arkansas,05,"Greene County, AR",05055,White,Not Hispanic or Latino,494.0,41991.0,1176.4,969.0
2018,Arkansas,05,"Hempstead County, AR",05057,Black or African American,Not Hispanic or Latino,80.0,6443.0,1241.7,1082.8
2018,Arkansas,05,"Hempstead County, AR",05057,White,Not Hispanic or Latino,186.0,11810.0,1574.9,978.4
2018,Arkansas,05,"Hot Spring County, AR",05059,Black or African American,Not Hispanic or Latino,30.0,3754.0,799.1,747.9
2018,Arkansas,05,"Hot Spring County, AR",05059,White,Not Hispanic or Latino,400.0,27794.0,1439.2,1030.7
2018,Arkansas,05,"Howard County, AR",05061,Black or African American,Not Hispanic or Latino,28.0,2739.0,1022.3,893.0
2018,Arkansas,05,"Howard County, AR",05061,White,Not Hispanic or Latino,137.0,8499.0,1612.0,988.7
2018,Arkansas,05,"Independence County, AR",05063,White,Not Hispanic or Latino,401.0,33286.0,1204.7,886.0
2018,Arkansas,05,"Izard County, AR",05065,White,Not Hispanic or Latino,204.0,12597.0,1619.4,927.6
2018,Arkansas,05,"Jackson County, AR",05067,Black or African American,Not Hispanic or Latino,30.0,2941.0,1020.1,1125.3
2018,Arkansas,05,"Jackson County, AR",05067,White,Not Hispanic or Latino,202.0,12877.0,1568.7,1109.1
2018,Arkansas,05,"Jefferson County, AR",05069,Black or African American,Not Hispanic or Latino,379.0,38668.0,980.1,975.5
2018,Arkansas,05,"Jefferson County, AR",05069,White,Not Hispanic or Latino,428.0,26298.0,1627.5,992.7
2018,Arkansas,05,"Johnson County, AR",05071,White,Not Hispanic or Latino,258.0,21110.0,1222.2,912.9
2018,Arkansas,05,"Lafayette County, AR",05073,Black or African American,Not Hispanic or Latino,36.0,2399.0,1500.6,1046.2
2018,Arkansas,05,"Lafayette County, AR",05073,White,Not Hispanic or Latino,63.0,3958.0,1591.7,854.2
2018,Arkansas,05,"Lawrence County, AR",05075,White,Not Hispanic or Latino,225.0,15585.0,1443.7,1033.0
2018,Arkansas,05,"Lee County, AR",05077,Black or African American,Not Hispanic or Latino,54.0,4841.0,1115.5,859.9
2018,Arkansas,05,"Lee County, AR",05077,White,Not Hispanic or Latino,60.0,3705.0,1619.4,1040.1
2018,Arkansas,05,"Lincoln County, AR",05079,Black or African American,Not Hispanic or Latino,24.0,4049.0,592.7,564.5
2018,Arkansas,05,"Lincoln County, AR",05079,White,Not Hispanic or Latino,128.0,8572.0,1493.2,1105.5
2018,Arkansas,05,"Little River County, AR",05081,Black or African American,Not Hispanic or Latino,26.0,2417.0,1075.7,912.6
2018,Arkansas,05,"Little River County, AR",05081,White,Not Hispanic or Latino,131.0,8952.0,1463.4,956.4
2018,Arkansas,05,"Logan County, AR",05083,White,Not Hispanic or Latino,273.0,19641.0,1389.9,963.9
2018,Arkansas,05,"Lonoke County, AR",05085,Black or African American,Not Hispanic or Latino,42.0,4591.0,914.8,910.2
2018,Arkansas,05,"Lonoke County, AR",05085,White,Not Hispanic or Latino,626.0,63065.0,992.6,957.6
2018,Arkansas,05,"Madison County, AR",05087,White,Not Hispanic or Latino,215.0,14724.0,1460.2,1061.2
2018,Arkansas,05,"Marion County, AR",05089,White,Not Hispanic or Latino,266.0,15688.0,1695.6,971.6
2018,Arkansas,05,"Miller County, AR",05091,Black or African American,Not Hispanic or Latino,118.0,10830.0,1089.6,1125.7
2018,Arkansas,05,"Miller County, AR",05091,White,Not Hispanic or Latino,410.0,29892.0,1371.6,1000.2
2018,Arkansas,05,"Mississippi County, AR",05093,Black or African American,Not Hispanic or Latino,134.0,14607.0,917.4,1123.4
2018,Arkansas,05,"Mississippi County, AR",05093,White,Not Hispanic or Latino,362.0,24015.0,1507.4,1136.2
2018,Arkansas,05,"Monroe County, AR",05095,Black or African American,Not Hispanic or Latino,38.0,2733.0,1390.4,1090.8
2018,Arkansas,05,"Monroe County, AR",05095,White,Not Hispanic or Latino,87.0,3744.0,2323.7,1270.1
2018,Arkansas,05,"Montgomery County, AR",05097,White,Not Hispanic or Latino,125.0,8053.0,1552.2,801.4
2018,Arkansas,05,"Nevada County, AR",05099,Black or African American,Not Hispanic or Latino,43.0,2555.0,1683.0,1259.8
2018,Arkansas,05,"Nevada County, AR",05099,White,Not Hispanic or Latino,64.0,5220.0,1226.1,729.9
2018,Arkansas,05,"Newton County, AR",05101,White,Not Hispanic or Latino,99.0,7299.0,1356.4,860.1
2018,Arkansas,05,"Ouachita County, AR",05103,Black or African American,Not Hispanic or Latino,112.0,9396.0,1192.0,975.8
2018,Arkansas,05,"Ouachita County, AR",05103,White,Not Hispanic or Latino,214.0,12954.0,1652.0,968.6
2018,Arkansas,05,"Perry County, AR",05105,White,Not Hispanic or Latino,114.0,9500.0,1200.0,809.5
2018,Arkansas,05,"Phillips County, AR",05107,Black or African American,Not Hispanic or Latino,140.0,11077.0,1263.9,1151.8
2018,Arkansas,05,"Phillips County, AR",05107,White,Not Hispanic or Latino,122.0,6240.0,1955.1,1163.3
2018,Arkansas,05,"Pike County, AR",05109,White,Not Hispanic or Latino,150.0,9323.0,1608.9,1075.6
2018,Arkansas,05,"Poinsett County, AR",05111,Black or African American,Not Hispanic or Latino,24.0,1969.0,1218.9,1429.6
2018,Arkansas,05,"Poinsett County, AR",05111,White,Not Hispanic or Latino,319.0,20700.0,1541.1,1189.7
2018,Arkansas,05,"Polk County, AR",05113,White,Not Hispanic or Latino,278.0,17572.0,1582.1,974.3
2018,Arkansas,05,"Pope County, AR",05115,Black or African American,Not Hispanic or Latino,15.0,2029.0,Unreliable,Unreliable
2018,Arkansas,05,"Pope County, AR",05115,White,Not Hispanic or Latino,607.0,53526.0,1134.0,891.2
2018,Arkansas,05,"Prairie County, AR",05117,Black or African American,Not Hispanic or Latino,13.0,946.0,Unreliable,Unreliable
2018,Arkansas,05,"Prairie County, AR",05117,White,Not Hispanic or Latino,110.0,6850.0,1605.8,952.7
2018,Arkansas,05,"Pulaski County, AR",05119,Asian,Not Hispanic or Latino,29.0,9039.0,320.8,555.0
2018,Arkansas,05,"Pulaski County, AR",05119,Black or African American,Not Hispanic or Latino,1167.0,146099.0,798.8,968.4
2018,Arkansas,05,"Pulaski County, AR",05119,White,Hispanic or Latino,40.0,21694.0,184.4,379.6
2018,Arkansas,05,"Pulaski County, AR",05119,White,Not Hispanic or Latino,2581.0,203921.0,1265.7,824.5
2018,Arkansas,05,"Pulaski County, AR",05119,More than one race,Not Hispanic or Latino,12.0,7811.0,Unreliable,Unreliable
2018,Arkansas,05,"Randolph County, AR",05121,White,Not Hispanic or Latino,237.0,16715.0,1417.9,995.9
2018,Arkansas,05,"St. Francis County, AR",05123,Black or African American,Not Hispanic or Latino,138.0,13301.0,1037.5,1133.2
2018,Arkansas,05,"St. Francis County, AR",05123,White,Not Hispanic or Latino,140.0,10131.0,1381.9,895.6
2018,Arkansas,05,"Saline County, AR",05125,Black or African American,Not Hispanic or Latino,48.0,9579.0,501.1,867.3
2018,Arkansas,05,"Saline County, AR",05125,White,Not Hispanic or Latino,1123.0,101925.0,1101.8,814.8
2018,Arkansas,05,"Scott County, AR",05127,White,Not Hispanic or Latino,126.0,8704.0,1447.6,1011.2
2018,Arkansas,05,"Searcy County, AR",05129,White,Not Hispanic or Latino,117.0,7388.0,1583.6,942.3
