year,state,state_code,county,county_code,cause_category,cause,cause_code,deaths,population,crude_rate
2018,Arkansas,05,"Arkansas County, AR",05001,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,11.0,17769.0,Unreliable
2018,Arkansas,05,"Arkansas County, AR",05001,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,15.0,17769.0,Unreliable
2018,Arkansas,05,"Arkansas County, AR",05001,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,20.0,17769.0,112.6
2018,Arkansas,05,"Arkansas County, AR",05001,Ischemic heart disease,Atherosclerotic heart disease,I25.1,10.0,17769.0,Unreliable
2018,Arkansas,05,"Arkansas County, AR",05001,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,16.0,17769.0,Unreliable
2018,Arkansas,05,"Ashley County, AR",05003,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,20.0,20046.0,99.8
2018,Arkansas,05,"Ashley County, AR",05003,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,16.0,20046.0,Unreliable
2018,Arkansas,05,"Ashley County, AR",05003,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,21.0,20046.0,104.8
2018,Arkansas,05,"Ashley County, AR",05003,Ischemic heart disease,Atherosclerotic heart disease,I25.1,11.0,20046.0,Unreliable
2018,Arkansas,05,"Ashley County, AR",05003,Other diseases of the circulatory system,Congestive heart failure,I50.0,11.0,20046.0,Unreliable
2018,Arkansas,05,"Ashley County, AR",05003,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,16.0,20046.0,Unreliable
2018,Arkansas,05,"Baxter County, AR",05005,Malignant neoplasms,"Pancreas, unspecified - Malignant neoplasms",C25.9,14.0,41619.0,Unreliable
2018,Arkansas,05,"Baxter County, AR",05005,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,49.0,41619.0,117.7
2018,Arkansas,05,"Baxter County, AR",05005,Malignant neoplasms,"Bladder, unspecified - Malignant neoplasms",C67.9,10.0,41619.0,Unreliable
2018,Arkansas,05,"Baxter County, AR",05005,Alzheimer disease and dementia,Unspecified dementia,F03,27.0,41619.0,64.9
2018,Arkansas,05,"Baxter County, AR",05005,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,18.0,41619.0,Unreliable
2018,Arkansas,05,"Baxter County, AR",05005,Alzheimer disease and dementia,"Senile degeneration of brain, not elsewhere classified",G31.1,24.0,41619.0,57.7
2018,Arkansas,05,"Baxter County, AR",05005,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,54.0,41619.0,129.7
2018,Arkansas,05,"Baxter County, AR",05005,Ischemic heart disease,Atherosclerotic heart disease,I25.1,20.0,41619.0,48.1
2018,Arkansas,05,"Baxter County, AR",05005,Ischemic heart disease,"Chronic ischaemic heart disease, unspecified",I25.9,11.0,41619.0,Unreliable
2018,Arkansas,05,"Baxter County, AR",05005,Other diseases of the circulatory system,Congestive heart failure,I50.0,15.0,41619.0,Unreliable
2018,Arkansas,05,"Baxter County, AR",05005,Cerebrovascular diseases,"Cerebral infarction, unspecified",I63.9,14.0,41619.0,Unreliable
2018,Arkansas,05,"Baxter County, AR",05005,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,55.0,41619.0,132.2
2018,Arkansas,05,"Benton County, AR",05007,Malignant neoplasms,"Oesophagus, unspecified - Malignant neoplasms",C15.9,10.0,272608.0,Unreliable
2018,Arkansas,05,"Benton County, AR",05007,Malignant neoplasms,"Colon, unspecified - Malignant neoplasms",C18.9,22.0,272608.0,8.1
2018,Arkansas,05,"Benton County, AR",05007,Malignant neoplasms,"Pancreas, unspecified - Malignant neoplasms",C25.9,28.0,272608.0,10.3
2018,Arkansas,05,"Benton County, AR",05007,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,102.0,272608.0,37.4
2018,Arkansas,05,"Benton County, AR",05007,Malignant neoplasms,"Breast, unspecified - Malignant neoplasms",C50.9,29.0,272608.0,10.6
2018,Arkansas,05,"Benton County, AR",05007,Malignant neoplasms,Malignant neoplasm of ovary,C56,13.0,272608.0,Unreliable
2018,Arkansas,05,"Benton County, AR",05007,Malignant neoplasms,Malignant neoplasm of prostate,C61,29.0,272608.0,10.6
2018,Arkansas,05,"Benton County, AR",05007,Malignant neoplasms,"Brain, unspecified - Malignant neoplasms",C71.9,12.0,272608.0,Unreliable
2018,Arkansas,05,"Benton County, AR",05007,Malignant neoplasms,Malignant neoplasm without specification of site,C80,51.0,272608.0,18.7
2018,Arkansas,05,"Benton County, AR",05007,Diabetes,"Unspecified diabetes mellitus, with renal complications",E14.2,21.0,272608.0,7.7
2018,Arkansas,05,"Benton County, AR",05007,Diabetes,"Unspecified diabetes mellitus, without complications",E14.9,75.0,272608.0,27.5
2018,Arkansas,05,"Benton County, AR",05007,Alzheimer disease and dementia,Unspecified dementia,F03,44.0,272608.0,16.1
2018,Arkansas,05,"Benton County, AR",05007,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,73.0,272608.0,26.8
2018,Arkansas,05,"Benton County, AR",05007,Hypertensive diseases,Essential (primary) hypertension,I10,24.0,272608.0,8.8
2018,Arkansas,05,"Benton County, AR",05007,Hypertensive diseases,Hypertensive heart disease with (congestive) heart failure,I11.0,24.0,272608.0,8.8
2018,Arkansas,05,"Benton County, AR",05007,Hypertensive diseases,Hypertensive heart disease without (congestive) heart failure,I11.9,62.0,272608.0,22.7
2018,Arkansas,05,"Benton County, AR",05007,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,182.0,272608.0,66.8
2018,Arkansas,05,"Benton County, AR",05007,Ischemic heart disease,"Atherosclerotic cardiovascular disease, so described",I25.0,63.0,272608.0,23.1
2018,Arkansas,05,"Benton County, AR",05007,Ischemic heart disease,Atherosclerotic heart disease,I25.1,75.0,272608.0,27.5
2018,Arkansas,05,"Benton County, AR",05007,Other diseases of the circulatory system,Congestive heart failure,I50.0,16.0,272608.0,Unreliable
2018,Arkansas,05,"Benton County, AR",05007,Cerebrovascular diseases,"Cerebral infarction, unspecified",I63.9,11.0,272608.0,Unreliable
2018,Arkansas,05,"Benton County, AR",05007,Cerebrovascular diseases,"Stroke, not specified as haemorrhage or infarction",I64,34.0,272608.0,12.5
2018,Arkansas,05,"Benton County, AR",05007,Cerebrovascular diseases,"Cerebrovascular disease, unspecified",I67.9,11.0,272608.0,Unreliable
2018,Arkansas,05,"Benton County, AR",05007,Cerebrovascular diseases,"Sequelae of stroke, not specified as haemorrhage or infarction",I69.4,16.0,272608.0,Unreliable
2018,Arkansas,05,"Benton County, AR",05007,Influenza and pneumonia,"Pneumonia, unspecified",J18.9,10.0,272608.0,Unreliable
2018,Arkansas,05,"Benton County, AR",05007,Chronic lower respiratory diseases,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,11.0,272608.0,Unreliable
2018,Arkansas,05,"Benton County, AR",05007,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,152.0,272608.0,55.8
2018,Arkansas,05,"Benton County, AR",05007,Other diseases of the respiratory system,Other interstitial pulmonary diseases with fibrosis,J84.1,17.0,272608.0,Unreliable
2018,Arkansas,05,"Benton County, AR",05007,Renal failure,"Chronic kidney disease, stage 5",N18.5,11.0,272608.0,Unreliable
2018,Arkansas,05,"Boone County, AR",05009,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,15.0,37480.0,Unreliable
2018,Arkansas,05,"Boone County, AR",05009,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,30.0,37480.0,80.0
2018,Arkansas,05,"Boone County, AR",05009,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,65.0,37480.0,173.4
2018,Arkansas,05,"Boone County, AR",05009,Ischemic heart disease,Atherosclerotic heart disease,I25.1,44.0,37480.0,117.4
2018,Arkansas,05,"Boone County, AR",05009,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,19.0,37480.0,Unreliable
2018,Arkansas,05,"Bradley County, AR",05011,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,18.0,10897.0,Unreliable
2018,Arkansas,05,"Calhoun County, AR",05013,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,10.0,5277.0,Unreliable
2018,Arkansas,05,"Carroll County, AR",05015,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,20.0,28223.0,70.9
2018,Arkansas,05,"Carroll County, AR",05015,Alzheimer disease and dementia,Unspecified dementia,F03,12.0,28223.0,Unreliable
2018,Arkansas,05,"Carroll County, AR",05015,Hypertensive diseases,Hypertensive heart disease without (congestive) heart failure,I11.9,12.0,28223.0,Unreliable
2018,Arkansas,05,"Carroll County, AR",05015,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,37.0,28223.0,131.1
2018,Arkansas,05,"Carroll County, AR",05015,Ischemic heart disease,Atherosclerotic heart disease,I25.1,10.0,28223.0,Unreliable
2018,Arkansas,05,"Carroll County, AR",05015,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,13.0,28223.0,Unreliable
2018,Arkansas,05,"Chicot County, AR",05017,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,10.0,10438.0,Unreliable
2018,Arkansas,05,"Chicot County, AR",05017,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,20.0,10438.0,191.6
2018,Arkansas,05,"Chicot County, AR",05017,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,11.0,10438.0,Unreliable
2018,Arkansas,05,"Clark County, AR",05019,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,15.0,22061.0,Unreliable
2018,Arkansas,05,"Clark County, AR",05019,Alzheimer disease and dementia,Unspecified dementia,F03,11.0,22061.0,Unreliable
2018,Arkansas,05,"Clark County, AR",05019,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,17.0,22061.0,Unreliable
2018,Arkansas,05,"Clark County, AR",05019,Ischemic heart disease,Atherosclerotic heart disease,I25.1,24.0,22061.0,108.8
2018,Arkansas,05,"Clark County, AR",05019,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,15.0,22061.0,Unreliable
2018,Arkansas,05,"Clay County, AR",05021,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,19.0,14847.0,Unreliable
2018,Arkansas,05,"Clay County, AR",05021,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,10.0,14847.0,Unreliable
2018,Arkansas,05,"Clay County, AR",05021,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,25.0,14847.0,168.4
2018,Arkansas,05,"Clay County, AR",05021,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,18.0,14847.0,Unreliable
2018,Arkansas,05,"Cleburne County, AR",05023,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,28.0,24965.0,112.2
2018,Arkansas,05,"Cleburne County, AR",05023,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,23.0,24965.0,92.1
2018,Arkansas,05,"Cleburne County, AR",05023,Hypertensive diseases,Essential (primary) hypertension,I10,10.0,24965.0,Unreliable
2018,Arkansas,05,"Cleburne County, AR",05023,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,20.0,24965.0,80.1
2018,Arkansas,05,"Cleburne County, AR",05023,Ischemic heart disease,Atherosclerotic heart disease,I25.1,10.0,24965.0,Unreliable
2018,Arkansas,05,"Cleburne County, AR",05023,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,20.0,24965.0,80.1
2018,Arkansas,05,"Cleveland County, AR",05025,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,10.0,8018.0,Unreliable
2018,Arkansas,05,"Columbia County, AR",05027,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,12.0,23537.0,Unreliable
2018,Arkansas,05,"Columbia County, AR",05027,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,19.0,23537.0,Unreliable
2018,Arkansas,05,"Columbia County, AR",05027,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,11.0,23537.0,Unreliable
2018,Arkansas,05,"Columbia County, AR",05027,Ischemic heart disease,Atherosclerotic heart disease,I25.1,16.0,23537.0,Unreliable
2018,Arkansas,05,"Columbia County, AR",05027,Cerebrovascular diseases,"Stroke, not specified as haemorrhage or infarction",I64,11.0,23537.0,Unreliable
2018,Arkansas,05,"Columbia County, AR",05027,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,23.0,23537.0,97.7
2018,Arkansas,05,"Conway County, AR",05029,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,10.0,20891.0,Unreliable
2018,Arkansas,05,"Conway County, AR",05029,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,12.0,20891.0,Unreliable
2018,Arkansas,05,"Conway County, AR",05029,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,23.0,20891.0,110.1
2018,Arkansas,05,"Conway County, AR",05029,Ischemic heart disease,Atherosclerotic heart disease,I25.1,11.0,20891.0,Unreliable
