year,state,state_code,county,county_code,race,ethnicity,deaths,population,crude_rate,age_adjusted_rate
2018,California,06,"Alameda County, CA",06001,American Indian or Alaska Native,Not Hispanic or Latino,26.0,4181.0,621.9,615.9
2018,California,06,"Alameda County, CA",06001,Asian,Hispanic or Latino,18.0,10771.0,Unreliable,Unreliable
2018,California,06,"Alameda County, CA",06001,Asian,Not Hispanic or Latino,1988.0,518439.0,383.5,369.4
2018,California,06,"Alameda County, CA",06001,Black or African American,Hispanic or Latino,13.0,14412.0,Unreliable,Unreliable
2018,California,06,"Alameda County, CA",06001,Black or African American,Not Hispanic or Latino,1880.0,171518.0,1096.1,924.3
2018,California,06,"Alameda County, CA",06001,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,84.0,13482.0,623.1,696.9
2018,California,06,"Alameda County, CA",06001,White,Hispanic or Latino,1087.0,310996.0,349.5,526.3
2018,California,06,"Alameda County, CA",06001,White,Not Hispanic or Latino,4651.0,517970.0,897.9,596.0
2018,California,06,"Alameda County, CA",06001,More than one race,Hispanic or Latino,39.0,20681.0,188.6,475.6
2018,California,06,"Alameda County, CA",06001,More than one race,Not Hispanic or Latino,132.0,68123.0,193.8,336.7
2018,California,06,"Alpine County, CA",06003,White,Not Hispanic or Latino,12.0,706.0,Unreliable,Unreliable
2018,California,06,"Amador County, CA",06005,White,Hispanic or Latino,27.0,4827.0,559.4,679.8
2018,California,06,"Amador County, CA",06005,White,Not Hispanic or Latino,393.0,30485.0,1289.2,665.9
2018,California,06,"Butte County, CA",06007,American Indian or Alaska Native,Not Hispanic or Latino,27.0,3533.0,764.2,599.6
2018,California,06,"Butte County, CA",06007,Asian,Not Hispanic or Latino,46.0,11017.0,417.5,571.9
2018,California,06,"Butte County, CA",06007,Black or African American,Not Hispanic or Latino,31.0,3546.0,874.2,933.1
2018,California,06,"Butte County, CA",06007,White,Hispanic or Latino,143.0,33014.0,433.1,712.4
2018,California,06,"Butte County, CA",06007,White,Not Hispanic or Latino,2260.0,165658.0,1364.3,867.3
2018,California,06,"Butte County, CA",06007,More than one race,Not Hispanic or Latino,21.0,8489.0,247.4,558.2
2018,California,06,"Calaveras County, CA",06009,American Indian or Alaska Native,Not Hispanic or Latino,13.0,566.0,Unreliable,Unreliable
2018,California,06,"Calaveras County, CA",06009,White,Hispanic or Latino,27.0,4794.0,563.2,520.0
2018,California,06,"Calaveras County, CA",06009,White,Not Hispanic or Latino,478.0,36800.0,1298.9,701.6
2018,California,06,"Colusa County, CA",06011,White,Hispanic or Latino,45.0,12296.0,366.0,568.7
2018,California,06,"Colusa County, CA",06011,White,Not Hispanic or Latino,109.0,7425.0,1468.0,803.0
2018,California,06,"Contra Costa County, CA",06013,American Indian or Alaska Native,Not Hispanic or Latino,25.0,3202.0,780.8,657.8
2018,California,06,"Contra Costa County, CA",06013,Asian,Hispanic or Latino,10.0,7208.0,Unreliable,Unreliable
2018,California,06,"Contra Costa County, CA",06013,Asian,Not Hispanic or Latino,744.0,200038.0,371.9,341.7
2018,California,06,"Contra Costa County, CA",06013,Black or African American,Not Hispanic or Latino,873.0,100415.0,869.4,828.6
2018,California,06,"Contra Costa County, CA",06013,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,39.0,5221.0,747.0,798.3
2018,California,06,"Contra Costa County, CA",06013,White,Hispanic or Latino,814.0,255881.0,318.1,480.4
2018,California,06,"Contra Costa County, CA",06013,White,Not Hispanic or Latino,5159.0,497460.0,1037.1,607.3
2018,California,06,"Contra Costa County, CA",06013,White,Not Stated,23.0,Not Applicable,Not Applicable,Not Applicable
2018,California,06,"Contra Costa County, CA",06013,More than one race,Hispanic or Latino,23.0,14879.0,154.6,347.9
2018,California,06,"Contra Costa County, CA",06013,More than one race,Not Hispanic or Latino,111.0,46624.0,238.1,439.3
2018,California,06,"Del Norte County, CA",06015,American Indian or Alaska Native,Not Hispanic or Latino,14.0,1962.0,Unreliable,Unreliable
2018,California,06,"Del Norte County, CA",06015,White,Hispanic or Latino,11.0,4452.0,Unreliable,Unreliable
2018,California,06,"Del Norte County, CA",06015,White,Not Hispanic or Latino,242.0,17356.0,1394.3,832.2
2018,California,06,"El Dorado County, CA",06017,Asian,Not Hispanic or Latino,31.0,8639.0,358.8,383.2
2018,California,06,"El Dorado County, CA",06017,Black or African American,Not Hispanic or Latino,14.0,1697.0,Unreliable,Unreliable
2018,California,06,"El Dorado County, CA",06017,White,Hispanic or Latino,79.0,21457.0,368.2,530.4
2018,California,06,"El Dorado County, CA",06017,White,Not Hispanic or Latino,1452.0,147978.0,981.2,603.6
2018,California,06,"El Dorado County, CA",06017,More than one race,Not Hispanic or Latino,12.0,5873.0,Unreliable,Unreliable
2018,California,06,"Fresno County, CA",06019,American Indian or Alaska Native,Not Hispanic or Latino,58.0,5962.0,972.8,912.6
2018,California,06,"Fresno County, CA",06019,Asian,Not Hispanic or Latino,588.0,101870.0,577.2,648.6
2018,California,06,"Fresno County, CA",06019,Black or African American,Not Hispanic or Latino,407.0,46131.0,882.3,1024.0
2018,California,06,"Fresno County, CA",06019,White,Hispanic or Latino,2062.0,473926.0,435.1,674.9
2018,California,06,"Fresno County, CA",06019,White,Not Hispanic or Latino,3902.0,288757.0,1351.3,802.2
2018,California,06,"Fresno County, CA",06019,More than one race,Hispanic or Latino,19.0,13085.0,Unreliable,Unreliable
2018,California,06,"Fresno County, CA",06019,More than one race,Not Hispanic or Latino,46.0,18667.0,246.4,403.4
2018,California,06,"Glenn County, CA",06021,White,Hispanic or Latino,39.0,10768.0,362.2,606.8
2018,California,06,"Glenn County, CA",06021,White,Not Hispanic or Latino,251.0,14235.0,1763.3,989.6
2018,California,06,"Humboldt County, CA",06023,American Indian or Alaska Native,Not Hispanic or Latino,69.0,7147.0,965.4,1100.5
2018,California,06,"Humboldt County, CA",06023,Asian,Not Hispanic or Latino,18.0,3640.0,Unreliable,Unreliable
2018,California,06,"Humboldt County, CA",06023,Black or African American,Not Hispanic or Latino,14.0,1650.0,Unreliable,Unreliable
2018,California,06,"Humboldt County, CA",06023,White,Hispanic or Latino,49.0,12594.0,389.1,771.2
2018,California,06,"Humboldt County, CA",06023,White,Not Hispanic or Latino,1156.0,101099.0,1143.4,801.9
2018,California,06,"Humboldt County, CA",06023,More than one race,Not Hispanic or Latino,28.0,6319.0,443.1,757.6
2018,California,06,"Imperial County, CA",06025,American Indian or Alaska Native,Not Hispanic or Latino,18.0,1405.0,Unreliable,Unreliable
2018,California,06,"Imperial County, CA",06025,Asian,Not Hispanic or Latino,10.0,2175.0,Unreliable,Unreliable
2018,California,06,"Imperial County, CA",06025,Black or African American,Not Hispanic or Latino,23.0,4510.0,510.0,718.9
2018,California,06,"Imperial County, CA",06025,White,Hispanic or Latino,806.0,144932.0,556.1,598.2
2018,California,06,"Imperial County, CA",06025,White,Not Hispanic or Latino,298.0,18828.0,1582.7,863.2
2018,California,06,"Inyo County, CA",06027,American Indian or Alaska Native,Not Hispanic or Latino,26.0,1910.0,1361.3,1207.9
2018,California,06,"Inyo County, CA",06027,White,Not Hispanic or Latino,164.0,11110.0,1476.1,619.6
2018,California,06,"Kern County, CA",06029,American Indian or Alaska Native,Hispanic or Latino,10.0,18075.0,Unreliable,Unreliable
2018,California,06,"Kern County, CA",06029,American Indian or Alaska Native,Not Hispanic or Latino,52.0,5574.0,932.9,862.8
2018,California,06,"Kern County, CA",06029,Asian,Not Hispanic or Latino,227.0,42168.0,538.3,532.1
2018,California,06,"Kern County, CA",06029,Black or African American,Not Hispanic or Latino,396.0,46686.0,848.2,1088.8
2018,California,06,"Kern County, CA",06029,White,Hispanic or Latino,1579.0,437740.0,360.7,656.4
2018,California,06,"Kern County, CA",06029,White,Not Hispanic or Latino,3884.0,300436.0,1292.8,925.6
2018,California,06,"Kern County, CA",06029,More than one race,Hispanic or Latino,17.0,11285.0,Unreliable,Unreliable
2018,California,06,"Kern County, CA",06029,More than one race,Not Hispanic or Latino,66.0,16941.0,389.6,618.3
2018,California,06,"Kings County, CA",06031,American Indian or Alaska Native,Not Hispanic or Latino,10.0,1322.0,Unreliable,Unreliable
2018,California,06,"Kings County, CA",06031,Asian,Not Hispanic or Latino,34.0,5917.0,574.6,481.0
2018,California,06,"Kings County, CA",06031,Black or African American,Not Hispanic or Latino,41.0,9286.0,441.5,732.6
2018,California,06,"Kings County, CA",06031,White,Hispanic or Latino,281.0,74526.0,377.0,611.7
2018,California,06,"Kings County, CA",06031,White,Not Hispanic or Latino,485.0,48089.0,1008.5,761.9
2018,California,06,"Lake County, CA",06033,American Indian or Alaska Native,Not Hispanic or Latino,22.0,1614.0,1363.1,1324.8
2018,California,06,"Lake County, CA",06033,Black or African American,Not Hispanic or Latino,27.0,1133.0,2383.1,1338.5
2018,California,06,"Lake County, CA",06033,White,Hispanic or Latino,52.0,11291.0,460.5,568.0
2018,California,06,"Lake County, CA",06033,White,Not Hispanic or Latino,749.0,44863.0,1669.5,968.9
2018,California,06,"Lake County, CA",06033,More than one race,Not Hispanic or Latino,20.0,2148.0,931.1,935.5
2018,California,06,"Lassen County, CA",06035,White,Hispanic or Latino,11.0,4934.0,Unreliable,Unreliable
2018,California,06,"Lassen County, CA",06035,White,Not Hispanic or Latino,226.0,20054.0,1127.0,807.9
