year,state,state_code,county,county_code,cause_category,cause,cause_code,deaths,population,crude_rate
2018,California,06,"Alameda County, CA",06001,Sepsis,"Septicaemia, unspecified",A41.9,78.0,1666753.0,4.7
2018,California,06,"Alameda County, CA",06001,Malignant neoplasms,"Tongue, unspecified - Malignant neoplasms",C02.9,13.0,1666753.0,Unreliable
2018,California,06,"Alameda County, CA",06001,Malignant neoplasms,"Oesophagus, unspecified - Malignant neoplasms",C15.9,42.0,1666753.0,2.5
2018,California,06,"Alameda County, CA",06001,Malignant neoplasms,"Stomach, unspecified - Malignant neoplasms",C16.9,68.0,1666753.0,4.1
2018,California,06,"Alameda County, CA",06001,Malignant neoplasms,"Colon, unspecified - Malignant neoplasms",C18.9,155.0,1666753.0,9.3
2018,California,06,"Alameda County, CA",06001,Malignant neoplasms,Malignant neoplasm of rectosigmoid junction,C19,10.0,1666753.0,Unreliable
2018,California,06,"Alameda County, CA",06001,Malignant neoplasms,Malignant neoplasm of rectum,C20,32.0,1666753.0,1.9
2018,California,06,"Alameda County, CA",06001,Malignant neoplasms,Liver cell carcinoma - Malignant neoplasms,C22.0,73.0,1666753.0,4.4
2018,California,06,"Alameda County, CA",06001,Malignant neoplasms,Intrahepatic bile duct carcinoma - Malignant neoplasms,C22.1,42.0,1666753.0,2.5
2018,California,06,"Alameda County, CA",06001,Malignant neoplasms,"Liver, unspecified - Malignant neoplasms",C22.9,38.0,1666753.0,2.3
2018,California,06,"Alameda County, CA",06001,Malignant neoplasms,Malignant neoplasm of gallbladder,C23,10.0,1666753.0,Unreliable
2018,California,06,"Alameda County, CA",06001,Malignant neoplasms,"Pancreas, unspecified - Malignant neoplasms",C25.9,185.0,1666753.0,11.1
2018,California,06,"Alameda County, CA",06001,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,426.0,1666753.0,25.6
2018,California,06,"Alameda County, CA",06001,Malignant neoplasms,"Malignant melanoma of skin, unspecified - Malignant neoplasms",C43.9,28.0,1666753.0,1.7
2018,California,06,"Alameda County, CA",06001,Malignant neoplasms,"Connective and soft tissue, unspecified - Malignant neoplasms",C49.9,15.0,1666753.0,Unreliable
2018,California,06,"Alameda County, CA",06001,Malignant neoplasms,"Breast, unspecified - Malignant neoplasms",C50.9,161.0,1666753.0,9.7
2018,California,06,"Alameda County, CA",06001,Malignant neoplasms,Endometrium - Malignant neoplasms,C54.1,36.0,1666753.0,2.2
