year,state,state_code,county,county_code,cause_category,cause,cause_code,deaths,population,crude_rate
2018,California,06,"Alameda County, CA",06001,Transport accidents (unintentional injuries),Pedestrian injured in traffic accident involving other and unspecified motor vehicles,V09.2,27.0,1666753.0,1.6
2018,California,06,"Alameda County, CA",06001,Transport accidents (unintentional injuries),Person injured in collision between other specified motor vehicles (traffic),V87.7,19.0,1666753.0,Unreliable
2018,California,06,"Alameda County, CA",06001,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,31.0,1666753.0,1.9
2018,California,06,"Alameda County, CA",06001,Nontransport accidents,Other fall on same level,W18,40.0,1666753.0,2.4
2018,California,06,"Alameda County, CA",06001,Nontransport accidents,Unspecified fall,W19,14.0,1666753.0,Unreliable
2018,California,06,"Alameda County, CA",06001,Nontransport accidents,Drowning and submersion while in natural water,W69,11.0,1666753.0,Unreliable
2018,California,06,"Alameda County, CA",06001,Accidental drug overdose,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,39.0,1666753.0,2.3
2018,California,06,"Alameda County, CA",06001,Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,54.0,1666753.0,3.2
2018,California,06,"Alameda County, CA",06001,Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,75.0,1666753.0,4.5
2018,California,06,"Alameda County, CA",06001,Nontransport accidents,Accidental poisoning by and exposure to alcohol,X45,12.0,1666753.0,Unreliable
2018,California,06,"Alameda County, CA",06001,Nontransport accidents,Exposure to unspecified factor causing other and unspecified injury,X59.9,16.0,1666753.0,Unreliable
2018,California,06,"Alameda County, CA",06001,Intentional self-harm (suicide),"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,15.0,1666753.0,Unreliable
2018,California,06,"Alameda County, CA",06001,Intentional self-harm (suicide),"Intentional self-harm by hanging, strangulation and suffocation",X70,60.0,1666753.0,3.6
2018,California,06,"Alameda County, CA",06001,Intentional self-harm (suicide),Intentional self-harm by handgun discharge,X72,41.0,1666753.0,2.5
2018,California,06,"Alameda County, CA",06001,Assault (homicide),Assault by handgun discharge,X93,35.0,1666753.0,2.1
2018,California,06,"Alameda County, CA",06001,Assault (homicide),Assault by other and unspecified firearm discharge,X95,22.0,1666753.0,1.3
2018,California,06,"Butte County, CA",06007,Nontransport accidents,Unspecified fall,W19,18.0,231256.0,Unreliable
2018,California,06,"Butte County, CA",06007,Nontransport accidents,"Exposure to uncontrolled fire, not in building or structure",X01,73.0,231256.0,31.6
2018,California,06,"Butte County, CA",06007,Accidental drug overdose,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,18.0,231256.0,Unreliable
2018,California,06,"Butte County, CA",06007,Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,14.0,231256.0,Unreliable
2018,California,06,"Butte County, CA",06007,Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,16.0,231256.0,Unreliable
2018,California,06,"Butte County, CA",06007,Intentional self-harm (suicide),"Intentional self-harm by hanging, strangulation and suffocation",X70,12.0,231256.0,Unreliable
2018,California,06,"Butte County, CA",06007,Intentional self-harm (suicide),Intentional self-harm by handgun discharge,X72,21.0,231256.0,9.1
2018,California,06,"Contra Costa County, CA",06013,Transport accidents (unintentional injuries),Pedestrian injured in traffic accident involving other and unspecified motor vehicles,V09.2,11.0,1150215.0,Unreliable
2018,California,06,"Contra Costa County, CA",06013,Transport accidents (unintentional injuries),Person injured in collision between other specified motor vehicles (traffic),V87.7,24.0,1150215.0,2.1
2018,California,06,"Contra Costa County, CA",06013,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,35.0,1150215.0,3.0
2018,California,06,"Contra Costa County, CA",06013,Nontransport accidents,Other fall on same level,W18,13.0,1150215.0,Unreliable
2018,California,06,"Contra Costa County, CA",06013,Nontransport accidents,Unspecified fall,W19,48.0,1150215.0,4.2
2018,California,06,"Contra Costa County, CA",06013,Accidental drug overdose,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,38.0,1150215.0,3.3
2018,California,06,"Contra Costa County, CA",06013,Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,30.0,1150215.0,2.6
2018,California,06,"Contra Costa County, CA",06013,Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,74.0,1150215.0,6.4
2018,California,06,"Contra Costa County, CA",06013,Nontransport accidents,Accidental poisoning by and exposure to alcohol,X45,11.0,1150215.0,Unreliable
2018,California,06,"Contra Costa County, CA",06013,Intentional self-harm (suicide),"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,13.0,1150215.0,Unreliable
2018,California,06,"Contra Costa County, CA",06013,Intentional self-harm (suicide),"Intentional self-harm by hanging, strangulation and suffocation",X70,44.0,1150215.0,3.8
2018,California,06,"Contra Costa County, CA",06013,Intentional self-harm (suicide),Intentional self-harm by other and unspecified firearm discharge,X74,33.0,1150215.0,2.9
2018,California,06,"Contra Costa County, CA",06013,Assault (homicide),Assault by other and unspecified firearm discharge,X95,35.0,1150215.0,3.0
2018,California,06,"El Dorado County, CA",06017,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,17.0,190678.0,Unreliable
2018,California,06,"El Dorado County, CA",06017,Nontransport accidents,Unspecified fall,W19,11.0,190678.0,Unreliable
2018,California,06,"El Dorado County, CA",06017,Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,24.0,190678.0,12.6
2018,California,06,"Fresno County, CA",06019,Transport accidents (unintentional injuries),"Pedestrian injured in collision with car, pick-up truck or van, traffic accident",V03.1,41.0,994400.0,4.1
2018,California,06,"Fresno County, CA",06019,Transport accidents (unintentional injuries),"Car occupant injured in collision with car, pick-up truck or van, unspecified car occupant injured in traffic accident",V43.9,18.0,994400.0,Unreliable
2018,California,06,"Fresno County, CA",06019,Transport accidents (unintentional injuries),"Car occupant injured in collision with fixed or stationary object, unspecified car occupant injured in traffic accident",V47.9,10.0,994400.0,Unreliable
2018,California,06,"Fresno County, CA",06019,Transport accidents (unintentional injuries),Person injured in collision between other specified motor vehicles (traffic),V87.7,10.0,994400.0,Unreliable
2018,California,06,"Fresno County, CA",06019,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,29.0,994400.0,2.9
2018,California,06,"Fresno County, CA",06019,Nontransport accidents,Other fall on same level,W18,32.0,994400.0,3.2
2018,California,06,"Fresno County, CA",06019,Nontransport accidents,Unspecified fall,W19,20.0,994400.0,2.0
2018,California,06,"Fresno County, CA",06019,Nontransport accidents,Inhalation and ingestion of food causing obstruction of respiratory tract,W79,10.0,994400.0,Unreliable
2018,California,06,"Fresno County, CA",06019,Accidental drug overdose,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,56.0,994400.0,5.6
2018,California,06,"Fresno County, CA",06019,Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,21.0,994400.0,2.1
2018,California,06,"Fresno County, CA",06019,Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,23.0,994400.0,2.3
2018,California,06,"Fresno County, CA",06019,Nontransport accidents,Accidental poisoning by and exposure to alcohol,X45,24.0,994400.0,2.4
2018,California,06,"Fresno County, CA",06019,Nontransport accidents,Exposure to unspecified factor causing other and unspecified injury,X59.9,17.0,994400.0,Unreliable
2018,California,06,"Fresno County, CA",06019,Intentional self-harm (suicide),"Intentional self-harm by hanging, strangulation and suffocation",X70,48.0,994400.0,4.8
2018,California,06,"Fresno County, CA",06019,Intentional self-harm (suicide),Intentional self-harm by other and unspecified firearm discharge,X74,31.0,994400.0,3.1
2018,California,06,"Fresno County, CA",06019,Assault (homicide),Assault by other and unspecified firearm discharge,X95,37.0,994400.0,3.7
2018,California,06,"Fresno County, CA",06019,Assault (homicide),Assault by sharp object,X99,12.0,994400.0,Unreliable
2018,California,06,"Humboldt County, CA",06023,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,15.0,136373.0,Unreliable
2018,California,06,"Humboldt County, CA",06023,Nontransport accidents,Other fall on same level,W18,10.0,136373.0,Unreliable
2018,California,06,"Humboldt County, CA",06023,Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,12.0,136373.0,Unreliable
2018,California,06,"Humboldt County, CA",06023,Intentional self-harm (suicide),"Intentional self-harm by hanging, strangulation and suffocation",X70,15.0,136373.0,Unreliable
2018,California,06,"Imperial County, CA",06025,Accidental drug overdose,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,15.0,181827.0,Unreliable
2018,California,06,"Imperial County, CA",06025,Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,19.0,181827.0,Unreliable
2018,California,06,"Kern County, CA",06029,Transport accidents (unintentional injuries),Pedestrian injured in traffic accident involving other and unspecified motor vehicles,V09.2,19.0,896764.0,Unreliable
2018,California,06,"Kern County, CA",06029,Transport accidents (unintentional injuries),Person injured in collision between other specified motor vehicles (traffic),V87.7,49.0,896764.0,5.5
2018,California,06,"Kern County, CA",06029,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,41.0,896764.0,4.6
2018,California,06,"Kern County, CA",06029,Nontransport accidents,Other fall on same level,W18,27.0,896764.0,3.0
2018,California,06,"Kern County, CA",06029,Accidental drug overdose,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,93.0,896764.0,10.4
2018,California,06,"Kern County, CA",06029,Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,46.0,896764.0,5.1
2018,California,06,"Kern County, CA",06029,Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,72.0,896764.0,8.0
2018,California,06,"Kern County, CA",06029,Nontransport accidents,Exposure to unspecified factor causing other and unspecified injury,X59.9,11.0,896764.0,Unreliable
2018,California,06,"Kern County, CA",06029,Intentional self-harm (suicide),"Intentional self-harm by hanging, strangulation and suffocation",X70,41.0,896764.0,4.6
2018,California,06,"Kern County, CA",06029,Intentional self-harm (suicide),Intentional self-harm by handgun discharge,X72,19.0,896764.0,Unreliable
2018,California,06,"Kern County, CA",06029,Intentional self-harm (suicide),Intentional self-harm by other and unspecified firearm discharge,X74,17.0,896764.0,Unreliable
2018,California,06,"Kern County, CA",06029,Assault (homicide),Assault by handgun discharge,X93,38.0,896764.0,4.2
2018,California,06,"Kern County, CA",06029,Assault (homicide),Assault by other and unspecified firearm discharge,X95,40.0,896764.0,4.5
2018,California,06,"Kern County, CA",06029,Assault (homicide),Assault by sharp object,X99,17.0,896764.0,Unreliable
2018,California,06,"Kings County, CA",06031,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,13.0,151366.0,Unreliable
2018,California,06,"Kings County, CA",06031,Intentional self-harm (suicide),"Intentional self-harm by hanging, strangulation and suffocation",X70,10.0,151366.0,Unreliable
2018,California,06,"Lake County, CA",06033,Accidental drug overdose,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,17.0,64382.0,Unreliable
2018,California,06,"Lake County, CA",06033,Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,18.0,64382.0,Unreliable
2018,California,06,"Los Angeles County, CA",06037,Transport accidents (unintentional injuries),"Pedestrian injured in collision with car, pick-up truck or van, traffic accident",V03.1,197.0,10105518.0,1.9
2018,California,06,"Los Angeles County, CA",06037,Transport accidents (unintentional injuries),Unspecified whether traffic or nontraffic accident,V05.9,10.0,10105518.0,Unreliable
2018,California,06,"Los Angeles County, CA",06037,Transport accidents (unintentional injuries),Pedestrian injured in traffic accident involving other and unspecified motor vehicles,V09.2,80.0,10105518.0,0.8
2018,California,06,"Los Angeles County, CA",06037,Transport accidents (unintentional injuries),"Pedal cyclist injured in collision with car, pick-up truck or van, unspecified pedal cyclist injured in traffic accident",V13.9,16.0,10105518.0,Unreliable
2018,California,06,"Los Angeles County, CA",06037,Transport accidents (unintentional injuries),"Motorcycle rider injured in collision with car, pick-up truck or van, driver injured in traffic accident",V23.4,61.0,10105518.0,0.6
2018,California,06,"Los Angeles County, CA",06037,Transport accidents (unintentional injuries),"Motorcycle rider injured in collision with fixed or stationary object, driver injured in traffic accident",V27.4,19.0,10105518.0,Unreliable
2018,California,06,"Los Angeles County, CA",06037,Transport accidents (unintentional injuries),Driver injured in collision with other and unspecified motor vehicles in traffic accident,V29.4,13.0,10105518.0,Unreliable
2018,California,06,"Los Angeles County, CA",06037,Transport accidents (unintentional injuries),"Car occupant injured in collision with car, pick-up truck or van, driver injured in traffic accident",V43.5,88.0,10105518.0,0.9
2018,California,06,"Los Angeles County, CA",06037,Transport accidents (unintentional injuries),"Car occupant injured in collision with car, pick-up truck or van, passenger injured in traffic accident",V43.6,40.0,10105518.0,0.4
2018,California,06,"Los Angeles County, CA",06037,Transport accidents (unintentional injuries),"Car occupant injured in collision with fixed or stationary object, driver injured in traffic accident",V47.5,60.0,10105518.0,0.6
2018,California,06,"Los Angeles County, CA",06037,Transport accidents (unintentional injuries),"Car occupant injured in collision with fixed or stationary object, passenger injured in traffic accident",V47.6,18.0,10105518.0,Unreliable
