year,state,state_code,county,county_code,race,ethnicity,deaths,population,crude_rate,age_adjusted_rate
2018,Colorado,08,"Adams County, CO",08001,American Indian or Alaska Native,Hispanic or Latino,13.0,8631.0,Unreliable,Unreliable
2018,Colorado,08,"Adams County, CO",08001,American Indian or Alaska Native,Not Hispanic or Latino,25.0,3023.0,827.0,1112.5
2018,Colorado,08,"Adams County, CO",08001,Asian,Not Hispanic or Latino,73.0,20795.0,351.0,461.7
2018,Colorado,08,"Adams County, CO",08001,Black or African American,Not Hispanic or Latino,89.0,16321.0,545.3,861.3
2018,Colorado,08,"Adams County, CO",08001,White,Hispanic or Latino,629.0,186413.0,337.4,624.3
2018,Colorado,08,"Adams County, CO",08001,White,Not Hispanic or Latino,2188.0,253905.0,861.7,782.8
2018,Colorado,08,"Alamosa County, CO",08003,White,Hispanic or Latino,56.0,6494.0,862.3,1108.5
2018,Colorado,08,"Alamosa County, CO",08003,White,Not Hispanic or Latino,80.0,8065.0,991.9,781.3
2018,Colorado,08,"Arapahoe County, CO",08005,American Indian or Alaska Native,Not Hispanic or Latino,15.0,2890.0,Unreliable,Unreliable
2018,Colorado,08,"Arapahoe County, CO",08005,Asian,Not Hispanic or Latino,112.0,40799.0,274.5,346.9
2018,Colorado,08,"Arapahoe County, CO",08005,Black or African American,Not Hispanic or Latino,324.0,68474.0,473.2,704.3
2018,Colorado,08,"Arapahoe County, CO",08005,White,Hispanic or Latino,285.0,109573.0,260.1,565.0
2018,Colorado,08,"Arapahoe County, CO",08005,White,Not Hispanic or Latino,3129.0,390078.0,802.1,643.6
2018,Colorado,08,"Arapahoe County, CO",08005,More than one race,Not Hispanic or Latino,21.0,20563.0,102.1,282.1
2018,Colorado,08,"Archuleta County, CO",08007,White,Not Hispanic or Latino,90.0,10572.0,851.3,565.3
2018,Colorado,08,"Baca County, CO",08009,White,Not Hispanic or Latino,56.0,3029.0,1848.8,850.0
2018,Colorado,08,"Bent County, CO",08011,White,Hispanic or Latino,21.0,1681.0,1249.3,1322.7
2018,Colorado,08,"Bent County, CO",08011,White,Not Hispanic or Latino,57.0,3327.0,1713.3,1053.3
2018,Colorado,08,"Boulder County, CO",08013,Asian,Not Hispanic or Latino,24.0,15795.0,151.9,240.5
2018,Colorado,08,"Boulder County, CO",08013,Black or African American,Not Hispanic or Latino,14.0,3116.0,Unreliable,Unreliable
2018,Colorado,08,"Boulder County, CO",08013,White,Hispanic or Latino,119.0,41093.0,289.6,545.5
2018,Colorado,08,"Boulder County, CO",08013,White,Not Hispanic or Latino,1702.0,253017.0,672.7,562.1
2018,Colorado,08,"Broomfield County, CO",08014,Asian,Not Hispanic or Latino,13.0,4559.0,Unreliable,Unreliable
2018,Colorado,08,"Broomfield County, CO",08014,White,Hispanic or Latino,21.0,7872.0,266.8,566.8
2018,Colorado,08,"Broomfield County, CO",08014,White,Not Hispanic or Latino,380.0,53088.0,715.8,615.8
2018,Colorado,08,"Chaffee County, CO",08015,White,Not Hispanic or Latino,170.0,17065.0,996.2,575.3
2018,Colorado,08,"Cheyenne County, CO",08017,White,Not Hispanic or Latino,20.0,1584.0,1262.6,657.4
2018,Colorado,08,"Clear Creek County, CO",08019,White,Not Hispanic or Latino,54.0,8475.0,637.2,450.5
2018,Colorado,08,"Conejos County, CO",08021,White,Hispanic or Latino,37.0,3801.0,973.4,809.4
2018,Colorado,08,"Conejos County, CO",08021,White,Not Hispanic or Latino,43.0,3718.0,1156.5,971.8
2018,Colorado,08,"Costilla County, CO",08023,White,Hispanic or Latino,23.0,2040.0,1127.5,670.3
2018,Colorado,08,"Costilla County, CO",08023,White,Not Hispanic or Latino,22.0,1335.0,1647.9,1158.1
2018,Colorado,08,"Crowley County, CO",08025,White,Not Hispanic or Latino,33.0,3162.0,1043.6,762.5
2018,Colorado,08,"Custer County, CO",08027,White,Not Hispanic or Latino,46.0,4454.0,1032.8,799.3
2018,Colorado,08,"Delta County, CO",08029,White,Hispanic or Latino,13.0,4263.0,Unreliable,Unreliable
2018,Colorado,08,"Delta County, CO",08029,White,Not Hispanic or Latino,403.0,25114.0,1604.7,852.4
2018,Colorado,08,"Denver County, CO",08031,American Indian or Alaska Native,Hispanic or Latino,17.0,9250.0,Unreliable,Unreliable
2018,Colorado,08,"Denver County, CO",08031,American Indian or Alaska Native,Not Hispanic or Latino,32.0,3650.0,876.7,1044.7
2018,Colorado,08,"Denver County, CO",08031,Asian,Not Hispanic or Latino,101.0,28033.0,360.3,431.8
2018,Colorado,08,"Denver County, CO",08031,Black or African American,Not Hispanic or Latino,612.0,64126.0,954.4,884.6
2018,Colorado,08,"Denver County, CO",08031,White,Hispanic or Latino,905.0,188568.0,479.9,714.8
2018,Colorado,08,"Denver County, CO",08031,White,Not Hispanic or Latino,2833.0,390336.0,725.8,653.5
2018,Colorado,08,"Denver County, CO",08031,White,Not Stated,21.0,Not Applicable,Not Applicable,Not Applicable
2018,Colorado,08,"Denver County, CO",08031,More than one race,Not Hispanic or Latino,19.0,16804.0,Unreliable,Unreliable
2018,Colorado,08,"Dolores County, CO",08033,White,Not Hispanic or Latino,21.0,1823.0,1151.9,716.4
2018,Colorado,08,"Douglas County, CO",08035,Asian,Not Hispanic or Latino,31.0,17387.0,178.3,377.4
2018,Colorado,08,"Douglas County, CO",08035,Black or African American,Not Hispanic or Latino,18.0,4660.0,Unreliable,Unreliable
2018,Colorado,08,"Douglas County, CO",08035,White,Hispanic or Latino,56.0,27588.0,203.0,472.3
2018,Colorado,08,"Douglas County, CO",08035,White,Not Hispanic or Latino,1321.0,280777.0,470.5,515.6
2018,Colorado,08,"Eagle County, CO",08037,White,Hispanic or Latino,23.0,15161.0,151.7,450.9
2018,Colorado,08,"Eagle County, CO",08037,White,Not Hispanic or Latino,104.0,36749.0,283.0,299.0
2018,Colorado,08,"Elbert County, CO",08039,White,Not Hispanic or Latino,150.0,23187.0,646.9,612.7
2018,Colorado,08,"El Paso County, CO",08041,American Indian or Alaska Native,Hispanic or Latino,14.0,5283.0,Unreliable,Unreliable
2018,Colorado,08,"El Paso County, CO",08041,American Indian or Alaska Native,Not Hispanic or Latino,33.0,4465.0,739.1,966.0
2018,Colorado,08,"El Paso County, CO",08041,Asian,Not Hispanic or Latino,95.0,20872.0,455.2,442.2
2018,Colorado,08,"El Paso County, CO",08041,Black or African American,Not Hispanic or Latino,314.0,43321.0,724.8,989.0
2018,Colorado,08,"El Paso County, CO",08041,White,Hispanic or Latino,412.0,103156.0,399.4,685.0
2018,Colorado,08,"El Paso County, CO",08041,White,Not Hispanic or Latino,3982.0,491494.0,810.2,728.3
2018,Colorado,08,"El Paso County, CO",08041,White,Not Stated,40.0,Not Applicable,Not Applicable,Not Applicable
2018,Colorado,08,"El Paso County, CO",08041,More than one race,Not Hispanic or Latino,41.0,26966.0,152.0,621.8
2018,Colorado,08,"Fremont County, CO",08043,White,Hispanic or Latino,25.0,5963.0,419.3,623.3
2018,Colorado,08,"Fremont County, CO",08043,White,Not Hispanic or Latino,543.0,37854.0,1434.5,855.4
2018,Colorado,08,"Garfield County, CO",08045,White,Hispanic or Latino,36.0,15532.0,231.8,633.1
2018,Colorado,08,"Garfield County, CO",08045,White,Not Hispanic or Latino,329.0,40595.0,810.4,679.5
2018,Colorado,08,"Gilpin County, CO",08047,White,Not Hispanic or Latino,21.0,5346.0,392.8,469.3
2018,Colorado,08,"Grand County, CO",08049,White,Not Hispanic or Latino,74.0,13525.0,547.1,457.8
2018,Colorado,08,"Gunnison County, CO",08051,White,Not Hispanic or Latino,61.0,15026.0,406.0,436.8
2018,Colorado,08,"Huerfano County, CO",08055,White,Hispanic or Latino,39.0,1884.0,2070.1,1270.3
2018,Colorado,08,"Huerfano County, CO",08055,White,Not Hispanic or Latino,64.0,4245.0,1507.7,741.5
2018,Colorado,08,"Jackson County, CO",08057,White,Not Hispanic or Latino,11.0,1185.0,Unreliable,Unreliable
2018,Colorado,08,"Jefferson County, CO",08059,American Indian or Alaska Native,Hispanic or Latino,14.0,3955.0,Unreliable,Unreliable
2018,Colorado,08,"Jefferson County, CO",08059,American Indian or Alaska Native,Not Hispanic or Latino,28.0,2989.0,936.8,1540.0
2018,Colorado,08,"Jefferson County, CO",08059,Asian,Not Hispanic or Latino,70.0,16896.0,414.3,467.9
2018,Colorado,08,"Jefferson County, CO",08059,Black or African American,Not Hispanic or Latino,36.0,6637.0,542.4,1198.8
2018,Colorado,08,"Jefferson County, CO",08059,White,Hispanic or Latino,347.0,79526.0,436.3,622.6
2018,Colorado,08,"Jefferson County, CO",08059,White,Not Hispanic or Latino,3911.0,452555.0,864.2,648.4
2018,Colorado,08,"Jefferson County, CO",08059,White,Not Stated,10.0,Not Applicable,Not Applicable,Not Applicable
2018,Colorado,08,"Jefferson County, CO",08059,More than one race,Not Hispanic or Latino,10.0,10794.0,Unreliable,Unreliable
2018,Colorado,08,"Kiowa County, CO",08061,White,Not Hispanic or Latino,15.0,1229.0,Unreliable,Unreliable
2018,Colorado,08,"Kit Carson County, CO",08063,White,Not Hispanic or Latino,73.0,5578.0,1308.7,826.0
