year,state,state_code,county,county_code,cause_category,cause,cause_code,deaths,population,crude_rate
2018,Colorado,08,"Adams County, CO",08001,Sepsis,"Septicaemia, unspecified",A41.9,31.0,511868.0,6.1
2018,Colorado,08,"Adams County, CO",08001,Malignant neoplasms,"Oesophagus, unspecified - Malignant neoplasms",C15.9,19.0,511868.0,Unreliable
2018,Colorado,08,"Adams County, CO",08001,Malignant neoplasms,"Stomach, unspecified - Malignant neoplasms",C16.9,11.0,511868.0,Unreliable
2018,Colorado,08,"Adams County, CO",08001,Malignant neoplasms,"Colon, unspecified - Malignant neoplasms",C18.9,36.0,511868.0,7.0
2018,Colorado,08,"Adams County, CO",08001,Malignant neoplasms,Malignant neoplasm of rectum,C20,10.0,511868.0,Unreliable
2018,Colorado,08,"Adams County, CO",08001,Malignant neoplasms,Liver cell carcinoma - Malignant neoplasms,C22.0,19.0,511868.0,Unreliable
2018,Colorado,08,"Adams County, CO",08001,Malignant neoplasms,"Pancreas, unspecified - Malignant neoplasms",C25.9,43.0,511868.0,8.4
2018,Colorado,08,"Adams County, CO",08001,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,115.0,511868.0,22.5
2018,Colorado,08,"Adams County, CO",08001,Malignant neoplasms,"Breast, unspecified - Malignant neoplasms",C50.9,44.0,511868.0,8.6
2018,Colorado,08,"Adams County, CO",08001,Malignant neoplasms,Malignant neoplasm of ovary,C56,19.0,511868.0,Unreliable
2018,Colorado,08,"Adams County, CO",08001,Malignant neoplasms,Malignant neoplasm of prostate,C61,28.0,511868.0,5.5
2018,Colorado,08,"Adams County, CO",08001,Malignant neoplasms,"Malignant neoplasm of kidney, except renal pelvis",C64,10.0,511868.0,Unreliable
2018,Colorado,08,"Adams County, CO",08001,Malignant neoplasms,"Bladder, unspecified - Malignant neoplasms",C67.9,17.0,511868.0,Unreliable
2018,Colorado,08,"Adams County, CO",08001,Malignant neoplasms,"Brain, unspecified - Malignant neoplasms",C71.9,15.0,511868.0,Unreliable
2018,Colorado,08,"Adams County, CO",08001,Malignant neoplasms,Malignant neoplasm without specification of site,C80,46.0,511868.0,9.0
2018,Colorado,08,"Adams County, CO",08001,Malignant neoplasms,Multiple myeloma - Malignant neoplasms,C90.0,11.0,511868.0,Unreliable
2018,Colorado,08,"Adams County, CO",08001,Malignant neoplasms,Acute myeloid leukaemia - Malignant neoplasms,C92.0,15.0,511868.0,Unreliable
2018,Colorado,08,"Adams County, CO",08001,Diabetes,"Non-insulin-dependent diabetes mellitus, with renal complications",E11.2,17.0,511868.0,Unreliable
2018,Colorado,08,"Adams County, CO",08001,Diabetes,"Non-insulin-dependent diabetes mellitus, without complications",E11.9,11.0,511868.0,Unreliable
2018,Colorado,08,"Adams County, CO",08001,Diabetes,"Unspecified diabetes mellitus, with renal complications",E14.2,14.0,511868.0,Unreliable
2018,Colorado,08,"Adams County, CO",08001,Diabetes,"Unspecified diabetes mellitus, without complications",E14.9,18.0,511868.0,Unreliable
2018,Colorado,08,"Adams County, CO",08001,Alzheimer disease and dementia,"Vascular dementia, unspecified",F01.9,23.0,511868.0,4.5
2018,Colorado,08,"Adams County, CO",08001,Alzheimer disease and dementia,Unspecified dementia,F03,78.0,511868.0,15.2
2018,Colorado,08,"Adams County, CO",08001,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,131.0,511868.0,25.6
2018,Colorado,08,"Adams County, CO",08001,Hypertensive diseases,Hypertensive heart disease with (congestive) heart failure,I11.0,12.0,511868.0,Unreliable
2018,Colorado,08,"Adams County, CO",08001,Hypertensive diseases,Hypertensive heart disease without (congestive) heart failure,I11.9,31.0,511868.0,6.1
2018,Colorado,08,"Adams County, CO",08001,Hypertensive diseases,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure,I13.2,11.0,511868.0,Unreliable
2018,Colorado,08,"Adams County, CO",08001,Ischemic heart disease,Acute subendocardial myocardial infarction,I21.4,12.0,511868.0,Unreliable
2018,Colorado,08,"Adams County, CO",08001,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,112.0,511868.0,21.9
2018,Colorado,08,"Adams County, CO",08001,Ischemic heart disease,"Atherosclerotic cardiovascular disease, so described",I25.0,27.0,511868.0,5.3
2018,Colorado,08,"Adams County, CO",08001,Ischemic heart disease,Atherosclerotic heart disease,I25.1,112.0,511868.0,21.9
2018,Colorado,08,"Adams County, CO",08001,Ischemic heart disease,Ischaemic cardiomyopathy,I25.5,13.0,511868.0,Unreliable
2018,Colorado,08,"Adams County, CO",08001,Other diseases of the circulatory system,Pulmonary embolism without mention of acute cor pulmonale,I26.9,17.0,511868.0,Unreliable
2018,Colorado,08,"Adams County, CO",08001,Other diseases of the circulatory system,Other secondary pulmonary hypertension,I27.2,21.0,511868.0,4.1
2018,Colorado,08,"Adams County, CO",08001,Other diseases of the circulatory system,Aortic (valve) stenosis,I35.0,11.0,511868.0,Unreliable
2018,Colorado,08,"Adams County, CO",08001,Other diseases of the circulatory system,"Cardiac arrest, unspecified",I46.9,13.0,511868.0,Unreliable
2018,Colorado,08,"Adams County, CO",08001,Other diseases of the circulatory system,Atrial fibrillation and flutter,I48,33.0,511868.0,6.4
2018,Colorado,08,"Adams County, CO",08001,Other diseases of the circulatory system,Congestive heart failure,I50.0,39.0,511868.0,7.6
2018,Colorado,08,"Adams County, CO",08001,Other diseases of the circulatory system,"Heart failure, unspecified",I50.9,18.0,511868.0,Unreliable
2018,Colorado,08,"Adams County, CO",08001,Cerebrovascular diseases,"Intracranial haemorrhage (nontraumatic), unspecified",I62.9,10.0,511868.0,Unreliable
2018,Colorado,08,"Adams County, CO",08001,Cerebrovascular diseases,"Cerebral infarction, unspecified",I63.9,18.0,511868.0,Unreliable
2018,Colorado,08,"Adams County, CO",08001,Cerebrovascular diseases,"Stroke, not specified as haemorrhage or infarction",I64,45.0,511868.0,8.8
2018,Colorado,08,"Adams County, CO",08001,Cerebrovascular diseases,Cerebral atherosclerosis,I67.2,10.0,511868.0,Unreliable
2018,Colorado,08,"Adams County, CO",08001,Cerebrovascular diseases,"Cerebrovascular disease, unspecified",I67.9,10.0,511868.0,Unreliable
