year,state,state_code,county,county_code,cause_category,cause,cause_code,deaths,population,crude_rate
2018,Colorado,08,"Adams County, CO",08001,Transport accidents (unintentional injuries),Person injured in collision between other specified motor vehicles (traffic),V87.7,10.0,511868.0,Unreliable
2018,Colorado,08,"Adams County, CO",08001,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,23.0,511868.0,4.5
2018,Colorado,08,"Adams County, CO",08001,Nontransport accidents,Unspecified fall,W19,67.0,511868.0,13.1
2018,Colorado,08,"Adams County, CO",08001,Accidental drug overdose,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,16.0,511868.0,Unreliable
2018,Colorado,08,"Adams County, CO",08001,Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,41.0,511868.0,8.0
2018,Colorado,08,"Adams County, CO",08001,Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,32.0,511868.0,6.3
2018,Colorado,08,"Adams County, CO",08001,Intentional self-harm (suicide),"Intentional self-harm by hanging, strangulation and suffocation",X70,36.0,511868.0,7.0
2018,Colorado,08,"Adams County, CO",08001,Intentional self-harm (suicide),Intentional self-harm by other and unspecified firearm discharge,X74,43.0,511868.0,8.4
2018,Colorado,08,"Adams County, CO",08001,Assault (homicide),Assault by other and unspecified firearm discharge,X95,23.0,511868.0,4.5
2018,Colorado,08,"Arapahoe County, CO",08005,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,25.0,651215.0,3.8
2018,Colorado,08,"Arapahoe County, CO",08005,Nontransport accidents,Other fall on same level,W18,14.0,651215.0,Unreliable
2018,Colorado,08,"Arapahoe County, CO",08005,Nontransport accidents,Unspecified fall,W19,61.0,651215.0,9.4
2018,Colorado,08,"Arapahoe County, CO",08005,Accidental drug overdose,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,12.0,651215.0,Unreliable
2018,Colorado,08,"Arapahoe County, CO",08005,Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,37.0,651215.0,5.7
2018,Colorado,08,"Arapahoe County, CO",08005,Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,45.0,651215.0,6.9
2018,Colorado,08,"Arapahoe County, CO",08005,Intentional self-harm (suicide),"Intentional self-harm by hanging, strangulation and suffocation",X70,34.0,651215.0,5.2
2018,Colorado,08,"Arapahoe County, CO",08005,Intentional self-harm (suicide),Intentional self-harm by other and unspecified firearm discharge,X74,45.0,651215.0,6.9
2018,Colorado,08,"Arapahoe County, CO",08005,Assault (homicide),Assault by other and unspecified firearm discharge,X95,17.0,651215.0,Unreliable
2018,Colorado,08,"Boulder County, CO",08013,Nontransport accidents,Other fall on same level,W18,49.0,326078.0,15.0
2018,Colorado,08,"Boulder County, CO",08013,Nontransport accidents,Unspecified fall,W19,17.0,326078.0,Unreliable
2018,Colorado,08,"Boulder County, CO",08013,Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,13.0,326078.0,Unreliable
2018,Colorado,08,"Boulder County, CO",08013,Intentional self-harm (suicide),"Intentional self-harm by hanging, strangulation and suffocation",X70,19.0,326078.0,Unreliable
2018,Colorado,08,"Boulder County, CO",08013,Intentional self-harm (suicide),Intentional self-harm by handgun discharge,X72,20.0,326078.0,6.1
2018,Colorado,08,"Boulder County, CO",08013,Intentional self-harm (suicide),"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,11.0,326078.0,Unreliable
