year,state,state_code,county,county_code,race,ethnicity,deaths,population,crude_rate,age_adjusted_rate
2018,Connecticut,09,"Fairfield County, CT",09001,Asian,Not Hispanic or Latino,96.0,53638.0,179.0,239.8
2018,Connecticut,09,"Fairfield County, CT",09001,Black or African American,Hispanic or Latino,12.0,16521.0,Unreliable,Unreliable
2018,Connecticut,09,"Fairfield County, CT",09001,Black or African American,Not Hispanic or Latino,640.0,103579.0,617.9,648.9
2018,Connecticut,09,"Fairfield County, CT",09001,White,Hispanic or Latino,473.0,162061.0,291.9,431.1
2018,Connecticut,09,"Fairfield County, CT",09001,White,Not Hispanic or Latino,5626.0,580580.0,969.0,567.0
2018,Connecticut,09,"Hartford County, CT",09003,Asian,Not Hispanic or Latino,106.0,50930.0,208.1,350.5
2018,Connecticut,09,"Hartford County, CT",09003,Black or African American,Hispanic or Latino,24.0,21612.0,111.0,206.5
2018,Connecticut,09,"Hartford County, CT",09003,Black or African American,Not Hispanic or Latino,790.0,118190.0,668.4,715.5
2018,Connecticut,09,"Hartford County, CT",09003,White,Hispanic or Latino,624.0,130512.0,478.1,708.6
2018,Connecticut,09,"Hartford County, CT",09003,White,Not Hispanic or Latino,6679.0,541169.0,1234.2,688.7
2018,Connecticut,09,"Litchfield County, CT",09005,Black or African American,Not Hispanic or Latino,18.0,2957.0,Unreliable,Unreliable
2018,Connecticut,09,"Litchfield County, CT",09005,White,Hispanic or Latino,22.0,9954.0,221.0,494.1
2018,Connecticut,09,"Litchfield County, CT",09005,White,Not Hispanic or Latino,1856.0,159502.0,1163.6,708.1
2018,Connecticut,09,"Middlesex County, CT",09007,Asian,Not Hispanic or Latino,11.0,5030.0,Unreliable,Unreliable
2018,Connecticut,09,"Middlesex County, CT",09007,Black or African American,Not Hispanic or Latino,59.0,7781.0,758.3,772.8
2018,Connecticut,09,"Middlesex County, CT",09007,White,Hispanic or Latino,18.0,8508.0,Unreliable,Unreliable
