year,state,state_code,county,county_code,cause_category,cause,cause_code,deaths,population,crude_rate
2018,Connecticut,09,"Fairfield County, CT",09001,Sepsis,"Septicaemia, unspecified",A41.9,128.0,943823.0,13.6
2018,Connecticut,09,"Fairfield County, CT",09001,Malignant neoplasms,"Oesophagus, unspecified - Malignant neoplasms",C15.9,34.0,943823.0,3.6
2018,Connecticut,09,"Fairfield County, CT",09001,Malignant neoplasms,"Stomach, unspecified - Malignant neoplasms",C16.9,21.0,943823.0,2.2
2018,Connecticut,09,"Fairfield County, CT",09001,Malignant neoplasms,"Colon, unspecified - Malignant neoplasms",C18.9,93.0,943823.0,9.9
2018,Connecticut,09,"Fairfield County, CT",09001,Malignant neoplasms,Malignant neoplasm of rectum,C20,20.0,943823.0,2.1
2018,Connecticut,09,"Fairfield County, CT",09001,Malignant neoplasms,Liver cell carcinoma - Malignant neoplasms,C22.0,19.0,943823.0,Unreliable
2018,Connecticut,09,"Fairfield County, CT",09001,Malignant neoplasms,Intrahepatic bile duct carcinoma - Malignant neoplasms,C22.1,28.0,943823.0,3.0
2018,Connecticut,09,"Fairfield County, CT",09001,Malignant neoplasms,"Liver, unspecified - Malignant neoplasms",C22.9,11.0,943823.0,Unreliable
2018,Connecticut,09,"Fairfield County, CT",09001,Malignant neoplasms,"Pancreas, unspecified - Malignant neoplasms",C25.9,132.0,943823.0,14.0
2018,Connecticut,09,"Fairfield County, CT",09001,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,306.0,943823.0,32.4
2018,Connecticut,09,"Fairfield County, CT",09001,Malignant neoplasms,"Malignant melanoma of skin, unspecified - Malignant neoplasms",C43.9,24.0,943823.0,2.5
2018,Connecticut,09,"Fairfield County, CT",09001,Malignant neoplasms,"Connective and soft tissue, unspecified - Malignant neoplasms",C49.9,18.0,943823.0,Unreliable
2018,Connecticut,09,"Fairfield County, CT",09001,Malignant neoplasms,"Breast, unspecified - Malignant neoplasms",C50.9,107.0,943823.0,11.3
2018,Connecticut,09,"Fairfield County, CT",09001,Malignant neoplasms,Endometrium - Malignant neoplasms,C54.1,13.0,943823.0,Unreliable
2018,Connecticut,09,"Fairfield County, CT",09001,Malignant neoplasms,"Malignant neoplasm of uterus, part unspecified",C55,14.0,943823.0,Unreliable
2018,Connecticut,09,"Fairfield County, CT",09001,Malignant neoplasms,Malignant neoplasm of ovary,C56,53.0,943823.0,5.6
2018,Connecticut,09,"Fairfield County, CT",09001,Malignant neoplasms,Malignant neoplasm of prostate,C61,73.0,943823.0,7.7
2018,Connecticut,09,"Fairfield County, CT",09001,Malignant neoplasms,"Malignant neoplasm of kidney, except renal pelvis",C64,28.0,943823.0,3.0
2018,Connecticut,09,"Fairfield County, CT",09001,Malignant neoplasms,"Bladder, unspecified - Malignant neoplasms",C67.9,43.0,943823.0,4.6
2018,Connecticut,09,"Fairfield County, CT",09001,Malignant neoplasms,"Brain, unspecified - Malignant neoplasms",C71.9,38.0,943823.0,4.0
2018,Connecticut,09,"Fairfield County, CT",09001,Malignant neoplasms,Secondary malignant neoplasm of other specified sites - Malignant neoplasms,C79.8,11.0,943823.0,Unreliable
2018,Connecticut,09,"Fairfield County, CT",09001,Malignant neoplasms,Malignant neoplasm without specification of site,C80,83.0,943823.0,8.8
2018,Connecticut,09,"Fairfield County, CT",09001,Malignant neoplasms,"Non-Hodgkin lymphoma, unspecified type",C85.9,25.0,943823.0,2.6
2018,Connecticut,09,"Fairfield County, CT",09001,Malignant neoplasms,Multiple myeloma - Malignant neoplasms,C90.0,25.0,943823.0,2.6
2018,Connecticut,09,"Fairfield County, CT",09001,Malignant neoplasms,Chronic lymphocytic leukaemia - Malignant neoplasms,C91.1,18.0,943823.0,Unreliable
2018,Connecticut,09,"Fairfield County, CT",09001,Malignant neoplasms,Acute myeloid leukaemia - Malignant neoplasms,C92.0,43.0,943823.0,4.6
2018,Connecticut,09,"Fairfield County, CT",09001,Malignant neoplasms,Malignant neoplasms of independent (primary) multiple sites,C97,15.0,943823.0,Unreliable
2018,Connecticut,09,"Fairfield County, CT",09001,Diabetes,"Non-insulin-dependent diabetes mellitus, with renal complications",E11.2,10.0,943823.0,Unreliable
2018,Connecticut,09,"Fairfield County, CT",09001,Diabetes,"Non-insulin-dependent diabetes mellitus, without complications",E11.9,13.0,943823.0,Unreliable
2018,Connecticut,09,"Fairfield County, CT",09001,Diabetes,"Unspecified diabetes mellitus, with renal complications",E14.2,23.0,943823.0,2.4
2018,Connecticut,09,"Fairfield County, CT",09001,Diabetes,"Unspecified diabetes mellitus, without complications",E14.9,77.0,943823.0,8.2
2018,Connecticut,09,"Fairfield County, CT",09001,Alzheimer disease and dementia,"Vascular dementia, unspecified",F01.9,39.0,943823.0,4.1
