year,state,state_code,county,county_code,cause_category,cause,cause_code,deaths,population,crude_rate
2018,Delaware,10,"Kent County, DE",10001,Sepsis,"Septicaemia, unspecified",A41.9,19.0,178550.0,Unreliable
2018,Delaware,10,"Kent County, DE",10001,Malignant neoplasms,"Oesophagus, unspecified - Malignant neoplasms",C15.9,11.0,178550.0,Unreliable
2018,Delaware,10,"Kent County, DE",10001,Malignant neoplasms,"Colon, unspecified - Malignant neoplasms",C18.9,27.0,178550.0,15.1
2018,Delaware,10,"Kent County, DE",10001,Malignant neoplasms,"Pancreas, unspecified - Malignant neoplasms",C25.9,26.0,178550.0,14.6
2018,Delaware,10,"Kent County, DE",10001,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,111.0,178550.0,62.2
2018,Delaware,10,"Kent County, DE",10001,Malignant neoplasms,"Breast, unspecified - Malignant neoplasms",C50.9,26.0,178550.0,14.6
2018,Delaware,10,"Kent County, DE",10001,Malignant neoplasms,Malignant neoplasm of ovary,C56,10.0,178550.0,Unreliable
2018,Delaware,10,"Kent County, DE",10001,Malignant neoplasms,Malignant neoplasm of prostate,C61,14.0,178550.0,Unreliable
2018,Delaware,10,"Kent County, DE",10001,Malignant neoplasms,Malignant neoplasm without specification of site,C80,16.0,178550.0,Unreliable
2018,Delaware,10,"Kent County, DE",10001,Diabetes,"Unspecified diabetes mellitus, without complications",E14.9,18.0,178550.0,Unreliable
2018,Delaware,10,"Kent County, DE",10001,Alzheimer disease and dementia,"Vascular dementia, unspecified",F01.9,10.0,178550.0,Unreliable
2018,Delaware,10,"Kent County, DE",10001,Alzheimer disease and dementia,Unspecified dementia,F03,54.0,178550.0,30.2
2018,Delaware,10,"Kent County, DE",10001,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,95.0,178550.0,53.2
2018,Delaware,10,"Kent County, DE",10001,Hypertensive diseases,Hypertensive heart disease without (congestive) heart failure,I11.9,20.0,178550.0,11.2
2018,Delaware,10,"Kent County, DE",10001,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,42.0,178550.0,23.5
2018,Delaware,10,"Kent County, DE",10001,Ischemic heart disease,"Atherosclerotic cardiovascular disease, so described",I25.0,47.0,178550.0,26.3
2018,Delaware,10,"Kent County, DE",10001,Ischemic heart disease,Atherosclerotic heart disease,I25.1,112.0,178550.0,62.7
