year,state,state_code,county,county_code,cause_category,cause,cause_code,deaths,population,crude_rate
2018,District of Columbia,11,"District of Columbia, DC",11001,Sepsis,"Septicaemia, unspecified",A41.9,55.0,702455.0,7.8
2018,District of Columbia,11,"District of Columbia, DC",11001,Malignant neoplasms,"Oesophagus, unspecified - Malignant neoplasms",C15.9,17.0,702455.0,Unreliable
2018,District of Columbia,11,"District of Columbia, DC",11001,Malignant neoplasms,"Stomach, unspecified - Malignant neoplasms",C16.9,27.0,702455.0,3.8
2018,District of Columbia,11,"District of Columbia, DC",11001,Malignant neoplasms,"Colon, unspecified - Malignant neoplasms",C18.9,70.0,702455.0,10.0
2018,District of Columbia,11,"District of Columbia, DC",11001,Malignant neoplasms,Malignant neoplasm of rectum,C20,12.0,702455.0,Unreliable
2018,District of Columbia,11,"District of Columbia, DC",11001,Malignant neoplasms,Liver cell carcinoma - Malignant neoplasms,C22.0,35.0,702455.0,5.0
2018,District of Columbia,11,"District of Columbia, DC",11001,Malignant neoplasms,Intrahepatic bile duct carcinoma - Malignant neoplasms,C22.1,17.0,702455.0,Unreliable
2018,District of Columbia,11,"District of Columbia, DC",11001,Malignant neoplasms,"Pancreas, unspecified - Malignant neoplasms",C25.9,106.0,702455.0,15.1
2018,District of Columbia,11,"District of Columbia, DC",11001,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,165.0,702455.0,23.5
2018,District of Columbia,11,"District of Columbia, DC",11001,Malignant neoplasms,"Breast, unspecified - Malignant neoplasms",C50.9,106.0,702455.0,15.1
2018,District of Columbia,11,"District of Columbia, DC",11001,Malignant neoplasms,Endometrium - Malignant neoplasms,C54.1,33.0,702455.0,4.7
2018,District of Columbia,11,"District of Columbia, DC",11001,Malignant neoplasms,Malignant neoplasm of ovary,C56,27.0,702455.0,3.8
2018,District of Columbia,11,"District of Columbia, DC",11001,Malignant neoplasms,Malignant neoplasm of prostate,C61,90.0,702455.0,12.8
2018,District of Columbia,11,"District of Columbia, DC",11001,Malignant neoplasms,"Malignant neoplasm of kidney, except renal pelvis",C64,19.0,702455.0,Unreliable
2018,District of Columbia,11,"District of Columbia, DC",11001,Malignant neoplasms,"Bladder, unspecified - Malignant neoplasms",C67.9,29.0,702455.0,4.1
2018,District of Columbia,11,"District of Columbia, DC",11001,Malignant neoplasms,"Brain, unspecified - Malignant neoplasms",C71.9,27.0,702455.0,3.8
2018,District of Columbia,11,"District of Columbia, DC",11001,Malignant neoplasms,Malignant neoplasm without specification of site,C80,50.0,702455.0,7.1
2018,District of Columbia,11,"District of Columbia, DC",11001,Malignant neoplasms,Multiple myeloma - Malignant neoplasms,C90.0,31.0,702455.0,4.4
2018,District of Columbia,11,"District of Columbia, DC",11001,Malignant neoplasms,Acute myeloid leukaemia - Malignant neoplasms,C92.0,13.0,702455.0,Unreliable
2018,District of Columbia,11,"District of Columbia, DC",11001,Diabetes,"Non-insulin-dependent diabetes mellitus, without complications",E11.9,18.0,702455.0,Unreliable
2018,District of Columbia,11,"District of Columbia, DC",11001,Diabetes,"Unspecified diabetes mellitus, with ketoacidosis",E14.1,18.0,702455.0,Unreliable
2018,District of Columbia,11,"District of Columbia, DC",11001,Diabetes,"Unspecified diabetes mellitus, with renal complications",E14.2,27.0,702455.0,3.8
2018,District of Columbia,11,"District of Columbia, DC",11001,Diabetes,"Unspecified diabetes mellitus, without complications",E14.9,55.0,702455.0,7.8
2018,District of Columbia,11,"District of Columbia, DC",11001,Alzheimer disease and dementia,"Vascular dementia, unspecified",F01.9,26.0,702455.0,3.7
2018,District of Columbia,11,"District of Columbia, DC",11001,Alzheimer disease and dementia,Unspecified dementia,F03,107.0,702455.0,15.2
