year,state,state_code,county,county_code,race,ethnicity,deaths,population,crude_rate,age_adjusted_rate
2018,Florida,12,"Alachua County, FL",12001,Asian,Not Hispanic or Latino,18.0,16600.0,Unreliable,Unreliable
2018,Florida,12,"Alachua County, FL",12001,Black or African American,Not Hispanic or Latino,393.0,53882.0,729.4,888.3
2018,Florida,12,"Alachua County, FL",12001,White,Hispanic or Latino,82.0,24424.0,335.7,501.7
2018,Florida,12,"Alachua County, FL",12001,White,Not Hispanic or Latino,1512.0,164160.0,921.1,734.5
2018,Florida,12,"Alachua County, FL",12001,More than one race,Not Hispanic or Latino,20.0,6750.0,296.3,802.8
2018,Florida,12,"Baker County, FL",12003,Black or African American,Not Hispanic or Latino,19.0,3917.0,Unreliable,Unreliable
2018,Florida,12,"Baker County, FL",12003,White,Not Hispanic or Latino,262.0,22907.0,1143.8,1006.4
2018,Florida,12,"Bay County, FL",12005,Asian,Not Hispanic or Latino,18.0,4107.0,Unreliable,Unreliable
2018,Florida,12,"Bay County, FL",12005,Black or African American,Not Hispanic or Latino,168.0,20779.0,808.5,895.4
2018,Florida,12,"Bay County, FL",12005,White,Hispanic or Latino,24.0,10313.0,232.7,363.3
2018,Florida,12,"Bay County, FL",12005,White,Not Hispanic or Latino,1768.0,141071.0,1253.3,894.7
2018,Florida,12,"Bay County, FL",12005,More than one race,Not Hispanic or Latino,17.0,5527.0,Unreliable,Unreliable
2018,Florida,12,"Bradford County, FL",12007,Black or African American,Not Hispanic or Latino,39.0,5461.0,714.2,897.2
2018,Florida,12,"Bradford County, FL",12007,White,Not Hispanic or Latino,294.0,20307.0,1447.8,969.6
2018,Florida,12,"Brevard County, FL",12009,Asian,Not Hispanic or Latino,69.0,15212.0,453.6,372.3
2018,Florida,12,"Brevard County, FL",12009,Black or African American,Hispanic or Latino,12.0,4558.0,Unreliable,Unreliable
2018,Florida,12,"Brevard County, FL",12009,Black or African American,Not Hispanic or Latino,593.0,59458.0,997.3,884.0
2018,Florida,12,"Brevard County, FL",12009,White,Hispanic or Latino,284.0,54756.0,518.7,506.2
2018,Florida,12,"Brevard County, FL",12009,White,Not Hispanic or Latino,6608.0,442087.0,1494.7,799.8
2018,Florida,12,"Brevard County, FL",12009,More than one race,Not Hispanic or Latino,25.0,13816.0,180.9,308.1
2018,Florida,12,"Broward County, FL",12011,American Indian or Alaska Native,Not Hispanic or Latino,12.0,3782.0,Unreliable,Unreliable
2018,Florida,12,"Broward County, FL",12011,Asian,Not Hispanic or Latino,245.0,72908.0,336.0,365.1
2018,Florida,12,"Broward County, FL",12011,Black or African American,Hispanic or Latino,85.0,34093.0,249.3,372.3
2018,Florida,12,"Broward County, FL",12011,Black or African American,Not Hispanic or Latino,2980.0,553089.0,538.8,623.5
2018,Florida,12,"Broward County, FL",12011,White,Hispanic or Latino,2193.0,538888.0,406.9,425.9
2018,Florida,12,"Broward County, FL",12011,White,Not Hispanic or Latino,9511.0,694707.0,1369.1,692.5
2018,Florida,12,"Broward County, FL",12011,White,Not Stated,51.0,Not Applicable,Not Applicable,Not Applicable
2018,Florida,12,"Broward County, FL",12011,More than one race,Hispanic or Latino,10.0,12536.0,Unreliable,Unreliable
2018,Florida,12,"Broward County, FL",12011,More than one race,Not Hispanic or Latino,56.0,31798.0,176.1,290.3
2018,Florida,12,"Calhoun County, FL",12013,Black or African American,Not Hispanic or Latino,18.0,1897.0,Unreliable,Unreliable
2018,Florida,12,"Calhoun County, FL",12013,White,Not Hispanic or Latino,175.0,11268.0,1553.1,1076.6
2018,Florida,12,"Charlotte County, FL",12015,Asian,Not Hispanic or Latino,10.0,2564.0,Unreliable,Unreliable
2018,Florida,12,"Charlotte County, FL",12015,Black or African American,Not Hispanic or Latino,97.0,10180.0,952.8,557.0
2018,Florida,12,"Charlotte County, FL",12015,White,Hispanic or Latino,74.0,12006.0,616.4,501.1
2018,Florida,12,"Charlotte County, FL",12015,White,Not Hispanic or Latino,2532.0,155327.0,1630.1,641.5
2018,Florida,12,"Citrus County, FL",12017,Asian,Not Hispanic or Latino,11.0,2423.0,Unreliable,Unreliable
2018,Florida,12,"Citrus County, FL",12017,Black or African American,Not Hispanic or Latino,43.0,4244.0,1013.2,724.9
2018,Florida,12,"Citrus County, FL",12017,White,Hispanic or Latino,69.0,7825.0,881.8,691.3
2018,Florida,12,"Citrus County, FL",12017,White,Not Hispanic or Latino,2610.0,129756.0,2011.5,940.6
2018,Florida,12,"Citrus County, FL",12017,More than one race,Not Hispanic or Latino,15.0,2188.0,Unreliable,Unreliable
2018,Florida,12,"Clay County, FL",12019,Asian,Not Hispanic or Latino,28.0,6540.0,428.1,398.2
2018,Florida,12,"Clay County, FL",12019,Black or African American,Not Hispanic or Latino,118.0,24468.0,482.3,684.7
2018,Florida,12,"Clay County, FL",12019,White,Hispanic or Latino,53.0,18391.0,288.2,535.7
2018,Florida,12,"Clay County, FL",12019,White,Not Hispanic or Latino,1618.0,155772.0,1038.7,841.5
2018,Florida,12,"Clay County, FL",12019,More than one race,Not Hispanic or Latino,11.0,5863.0,Unreliable,Unreliable
2018,Florida,12,"Collier County, FL",12021,Black or African American,Not Hispanic or Latino,113.0,25332.0,446.1,468.5
2018,Florida,12,"Collier County, FL",12021,White,Hispanic or Latino,320.0,101268.0,316.0,427.8
2018,Florida,12,"Collier County, FL",12021,White,Not Hispanic or Latino,3075.0,236691.0,1299.2,444.5
2018,Florida,12,"Columbia County, FL",12023,Black or African American,Not Hispanic or Latino,107.0,12717.0,841.4,945.3
2018,Florida,12,"Columbia County, FL",12023,White,Hispanic or Latino,15.0,3898.0,Unreliable,Unreliable
2018,Florida,12,"Columbia County, FL",12023,White,Not Hispanic or Latino,707.0,50953.0,1387.6,937.5
2018,Florida,12,"DeSoto County, FL",12027,Black or African American,Not Hispanic or Latino,39.0,4467.0,873.1,1037.8
2018,Florida,12,"DeSoto County, FL",12027,White,Hispanic or Latino,25.0,11143.0,224.4,477.6
2018,Florida,12,"DeSoto County, FL",12027,White,Not Hispanic or Latino,319.0,20434.0,1561.1,745.5
2018,Florida,12,"Dixie County, FL",12029,Black or African American,Not Hispanic or Latino,10.0,1598.0,Unreliable,Unreliable
2018,Florida,12,"Dixie County, FL",12029,White,Not Hispanic or Latino,211.0,14004.0,1506.7,875.2
2018,Florida,12,"Duval County, FL",12031,American Indian or Alaska Native,Not Hispanic or Latino,11.0,2990.0,Unreliable,Unreliable
2018,Florida,12,"Duval County, FL",12031,Asian,Not Hispanic or Latino,153.0,46818.0,326.8,367.7
2018,Florida,12,"Duval County, FL",12031,Black or African American,Hispanic or Latino,15.0,10530.0,Unreliable,Unreliable
2018,Florida,12,"Duval County, FL",12031,Black or African American,Not Hispanic or Latino,2292.0,279975.0,818.6,969.3
2018,Florida,12,"Duval County, FL",12031,Black or African American,Not Stated,12.0,Not Applicable,Not Applicable,Not Applicable
2018,Florida,12,"Duval County, FL",12031,White,Hispanic or Latino,303.0,78274.0,387.1,579.6
2018,Florida,12,"Duval County, FL",12031,White,Not Hispanic or Latino,5784.0,499458.0,1158.1,883.1
2018,Florida,12,"Duval County, FL",12031,White,Not Stated,34.0,Not Applicable,Not Applicable,Not Applicable
2018,Florida,12,"Duval County, FL",12031,More than one race,Not Hispanic or Latino,62.0,23829.0,260.2,667.4
2018,Florida,12,"Escambia County, FL",12033,American Indian or Alaska Native,Not Hispanic or Latino,10.0,2406.0,Unreliable,Unreliable
2018,Florida,12,"Escambia County, FL",12033,Asian,Not Hispanic or Latino,41.0,10440.0,392.7,385.4
2018,Florida,12,"Escambia County, FL",12033,Black or African American,Not Hispanic or Latino,721.0,71684.0,1005.8,1093.5
2018,Florida,12,"Escambia County, FL",12033,White,Hispanic or Latino,48.0,14954.0,321.0,524.7
2018,Florida,12,"Escambia County, FL",12033,White,Not Hispanic or Latino,2647.0,202512.0,1307.1,917.9
2018,Florida,12,"Escambia County, FL",12033,More than one race,Not Hispanic or Latino,27.0,9652.0,279.7,482.3
2018,Florida,12,"Flagler County, FL",12035,Asian,Not Hispanic or Latino,11.0,2788.0,Unreliable,Unreliable
2018,Florida,12,"Flagler County, FL",12035,Black or African American,Hispanic or Latino,10.0,870.0,Unreliable,Unreliable
2018,Florida,12,"Flagler County, FL",12035,Black or African American,Not Hispanic or Latino,126.0,11165.0,1128.5,710.2
2018,Florida,12,"Flagler County, FL",12035,White,Hispanic or Latino,56.0,10231.0,547.4,394.4
2018,Florida,12,"Flagler County, FL",12035,White,Not Hispanic or Latino,1209.0,83849.0,1441.9,704.7
2018,Florida,12,"Franklin County, FL",12037,Black or African American,Not Hispanic or Latino,14.0,1427.0,Unreliable,Unreliable
2018,Florida,12,"Franklin County, FL",12037,White,Not Hispanic or Latino,111.0,9315.0,1191.6,752.2
2018,Florida,12,"Gadsden County, FL",12039,Black or African American,Not Hispanic or Latino,268.0,25298.0,1059.4,973.6
2018,Florida,12,"Gadsden County, FL",12039,White,Hispanic or Latino,13.0,4171.0,Unreliable,Unreliable
2018,Florida,12,"Gadsden County, FL",12039,White,Not Hispanic or Latino,222.0,14944.0,1485.5,828.3
2018,Florida,12,"Gilchrist County, FL",12041,White,Not Hispanic or Latino,221.0,15662.0,1411.1,894.7
2018,Florida,12,"Glades County, FL",12043,Black or African American,Not Hispanic or Latino,12.0,1788.0,Unreliable,Unreliable
2018,Florida,12,"Glades County, FL",12043,White,Not Hispanic or Latino,107.0,8245.0,1297.8,574.0
2018,Florida,12,"Gulf County, FL",12045,Black or African American,Not Hispanic or Latino,21.0,2720.0,772.1,949.5
2018,Florida,12,"Gulf County, FL",12045,White,Not Hispanic or Latino,171.0,12235.0,1397.6,869.3
2018,Florida,12,"Hamilton County, FL",12047,Black or African American,Not Hispanic or Latino,39.0,4597.0,848.4,862.2
2018,Florida,12,"Hamilton County, FL",12047,White,Not Hispanic or Latino,105.0,7874.0,1333.5,849.6
2018,Florida,12,"Hardee County, FL",12049,Black or African American,Not Hispanic or Latino,23.0,1815.0,1267.2,1089.1
2018,Florida,12,"Hardee County, FL",12049,White,Hispanic or Latino,34.0,11358.0,299.3,507.7
2018,Florida,12,"Hardee County, FL",12049,White,Not Hispanic or Latino,160.0,12737.0,1256.2,695.1
2018,Florida,12,"Hendry County, FL",12051,Black or African American,Not Hispanic or Latino,47.0,4497.0,1045.1,1009.8
2018,Florida,12,"Hendry County, FL",12051,White,Hispanic or Latino,85.0,21432.0,396.6,587.0
