year,state,state_code,county,county_code,cause_category,cause,cause_code,deaths,population,crude_rate
2018,Florida,12,"Alachua County, FL",12001,Sepsis,"Septicaemia, unspecified",A41.9,27.0,269956.0,10.0
2018,Florida,12,"Alachua County, FL",12001,Malignant neoplasms,"Oesophagus, unspecified - Malignant neoplasms",C15.9,14.0,269956.0,Unreliable
2018,Florida,12,"Alachua County, FL",12001,Malignant neoplasms,"Colon, unspecified - Malignant neoplasms",C18.9,16.0,269956.0,Unreliable
2018,Florida,12,"Alachua County, FL",12001,Malignant neoplasms,Liver cell carcinoma - Malignant neoplasms,C22.0,10.0,269956.0,Unreliable
2018,Florida,12,"Alachua County, FL",12001,Malignant neoplasms,"Pancreas, unspecified - Malignant neoplasms",C25.9,36.0,269956.0,13.3
2018,Florida,12,"Alachua County, FL",12001,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,105.0,269956.0,38.9
2018,Florida,12,"Alachua County, FL",12001,Malignant neoplasms,"Breast, unspecified - Malignant neoplasms",C50.9,25.0,269956.0,9.3
2018,Florida,12,"Alachua County, FL",12001,Malignant neoplasms,Malignant neoplasm of prostate,C61,29.0,269956.0,10.7
2018,Florida,12,"Alachua County, FL",12001,Malignant neoplasms,"Malignant neoplasm of kidney, except renal pelvis",C64,10.0,269956.0,Unreliable
2018,Florida,12,"Alachua County, FL",12001,Malignant neoplasms,"Brain, unspecified - Malignant neoplasms",C71.9,14.0,269956.0,Unreliable
2018,Florida,12,"Alachua County, FL",12001,Malignant neoplasms,Malignant neoplasm without specification of site,C80,17.0,269956.0,Unreliable
2018,Florida,12,"Alachua County, FL",12001,Malignant neoplasms,"Non-Hodgkin lymphoma, unspecified type",C85.9,11.0,269956.0,Unreliable
2018,Florida,12,"Alachua County, FL",12001,Malignant neoplasms,Multiple myeloma - Malignant neoplasms,C90.0,15.0,269956.0,Unreliable
2018,Florida,12,"Alachua County, FL",12001,Malignant neoplasms,Acute myeloid leukaemia - Malignant neoplasms,C92.0,11.0,269956.0,Unreliable
2018,Florida,12,"Alachua County, FL",12001,Diabetes,"Non-insulin-dependent diabetes mellitus, without complications",E11.9,14.0,269956.0,Unreliable
2018,Florida,12,"Alachua County, FL",12001,Diabetes,"Unspecified diabetes mellitus, with renal complications",E14.2,12.0,269956.0,Unreliable
2018,Florida,12,"Alachua County, FL",12001,Diabetes,"Unspecified diabetes mellitus, without complications",E14.9,15.0,269956.0,Unreliable
2018,Florida,12,"Alachua County, FL",12001,Alzheimer disease and dementia,"Vascular dementia, unspecified",F01.9,28.0,269956.0,10.4
2018,Florida,12,"Alachua County, FL",12001,Alzheimer disease and dementia,Unspecified dementia,F03,113.0,269956.0,41.9
2018,Florida,12,"Alachua County, FL",12001,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,40.0,269956.0,14.8
2018,Florida,12,"Alachua County, FL",12001,Alzheimer disease and dementia,"Senile degeneration of brain, not elsewhere classified",G31.1,19.0,269956.0,Unreliable
2018,Florida,12,"Alachua County, FL",12001,Hypertensive diseases,Essential (primary) hypertension,I10,16.0,269956.0,Unreliable
2018,Florida,12,"Alachua County, FL",12001,Hypertensive diseases,Hypertensive heart disease with (congestive) heart failure,I11.0,12.0,269956.0,Unreliable
2018,Florida,12,"Alachua County, FL",12001,Hypertensive diseases,Hypertensive renal disease with renal failure,I12.0,12.0,269956.0,Unreliable
2018,Florida,12,"Alachua County, FL",12001,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,54.0,269956.0,20.0
2018,Florida,12,"Alachua County, FL",12001,Ischemic heart disease,Atherosclerotic heart disease,I25.1,121.0,269956.0,44.8
2018,Florida,12,"Alachua County, FL",12001,Ischemic heart disease,"Chronic ischaemic heart disease, unspecified",I25.9,15.0,269956.0,Unreliable
