year,state,state_code,county,county_code,cause_category,cause,cause_code,deaths,population,crude_rate
2018,Florida,12,"Alachua County, FL",12001,Nontransport accidents,Unspecified fall,W19,48.0,269956.0,17.8
2018,Florida,12,"Alachua County, FL",12001,Intentional self-harm (suicide),"Intentional self-harm by hanging, strangulation and suffocation",X70,15.0,269956.0,Unreliable
2018,Florida,12,"Alachua County, FL",12001,Intentional self-harm (suicide),Intentional self-harm by other and unspecified firearm discharge,X74,18.0,269956.0,Unreliable
2018,Florida,12,"Alachua County, FL",12001,Assault (homicide),Assault by other and unspecified firearm discharge,X95,11.0,269956.0,Unreliable
2018,Florida,12,"Bay County, FL",12005,Nontransport accidents,Unspecified fall,W19,12.0,185287.0,Unreliable
2018,Florida,12,"Bay County, FL",12005,Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,10.0,185287.0,Unreliable
2018,Florida,12,"Bay County, FL",12005,Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,13.0,185287.0,Unreliable
2018,Florida,12,"Bay County, FL",12005,Intentional self-harm (suicide),Intentional self-harm by other and unspecified firearm discharge,X74,30.0,185287.0,16.2
2018,Florida,12,"Brevard County, FL",12009,Transport accidents (unintentional injuries),Motorcycle rider [any] injured in unspecified traffic accident,V29.9,14.0,596849.0,Unreliable
2018,Florida,12,"Brevard County, FL",12009,Transport accidents (unintentional injuries),"Car occupant injured in collision with car, pick-up truck or van, driver injured in traffic accident",V43.5,13.0,596849.0,Unreliable
2018,Florida,12,"Brevard County, FL",12009,Nontransport accidents,Unspecified fall,W19,110.0,596849.0,18.4
2018,Florida,12,"Brevard County, FL",12009,Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,122.0,596849.0,20.4
2018,Florida,12,"Brevard County, FL",12009,Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,104.0,596849.0,17.4
2018,Florida,12,"Brevard County, FL",12009,Intentional self-harm (suicide),"Intentional self-harm by hanging, strangulation and suffocation",X70,34.0,596849.0,5.7
2018,Florida,12,"Brevard County, FL",12009,Intentional self-harm (suicide),Intentional self-harm by other and unspecified firearm discharge,X74,61.0,596849.0,10.2
2018,Florida,12,"Brevard County, FL",12009,Assault (homicide),Assault by other and unspecified firearm discharge,X95,24.0,596849.0,4.0
2018,Florida,12,"Broward County, FL",12011,Transport accidents (unintentional injuries),"Pedestrian injured in collision with car, pick-up truck or van, traffic accident",V03.1,63.0,1951260.0,3.2
