year,state,state_code,county,county_code,race,ethnicity,deaths,population,crude_rate,age_adjusted_rate
2018,Georgia,13,"Appling County, GA",13001,Black or African American,Not Hispanic or Latino,39.0,3493.0,1116.5,1113.8
2018,Georgia,13,"Appling County, GA",13001,White,Not Hispanic or Latino,174.0,12699.0,1370.2,951.9
2018,Georgia,13,"Atkinson County, GA",13003,Black or African American,Not Hispanic or Latino,17.0,1332.0,Unreliable,Unreliable
2018,Georgia,13,"Atkinson County, GA",13003,White,Not Hispanic or Latino,53.0,4695.0,1128.9,992.9
2018,Georgia,13,"Bacon County, GA",13005,Black or African American,Not Hispanic or Latino,19.0,1800.0,Unreliable,Unreliable
2018,Georgia,13,"Bacon County, GA",13005,White,Not Hispanic or Latino,117.0,8164.0,1433.1,1140.0
2018,Georgia,13,"Baker County, GA",13007,Black or African American,Not Hispanic or Latino,13.0,1359.0,Unreliable,Unreliable
2018,Georgia,13,"Baker County, GA",13007,White,Not Hispanic or Latino,16.0,1469.0,Unreliable,Unreliable
2018,Georgia,13,"Baldwin County, GA",13009,Black or African American,Not Hispanic or Latino,174.0,18917.0,919.8,966.7
2018,Georgia,13,"Baldwin County, GA",13009,White,Not Hispanic or Latino,309.0,23508.0,1314.4,999.7
2018,Georgia,13,"Banks County, GA",13011,White,Not Hispanic or Latino,187.0,16609.0,1125.9,927.7
2018,Georgia,13,"Barrow County, GA",13013,Black or African American,Not Hispanic or Latino,69.0,9597.0,719.0,894.9
2018,Georgia,13,"Barrow County, GA",13013,White,Hispanic or Latino,21.0,8129.0,258.3,640.3
2018,Georgia,13,"Barrow County, GA",13013,White,Not Hispanic or Latino,561.0,56990.0,984.4,913.4
2018,Georgia,13,"Bartow County, GA",13015,Black or African American,Not Hispanic or Latino,90.0,11503.0,782.4,984.1
2018,Georgia,13,"Bartow County, GA",13015,White,Hispanic or Latino,15.0,8101.0,Unreliable,Unreliable
2018,Georgia,13,"Bartow County, GA",13015,White,Not Hispanic or Latino,873.0,82242.0,1061.5,929.0
2018,Georgia,13,"Ben Hill County, GA",13017,Black or African American,Not Hispanic or Latino,71.0,5997.0,1183.9,1121.9
2018,Georgia,13,"Ben Hill County, GA",13017,White,Not Hispanic or Latino,161.0,9362.0,1719.7,1140.2
2018,Georgia,13,"Berrien County, GA",13019,Black or African American,Not Hispanic or Latino,18.0,2065.0,Unreliable,Unreliable
2018,Georgia,13,"Berrien County, GA",13019,White,Not Hispanic or Latino,218.0,15737.0,1385.3,1043.6
2018,Georgia,13,"Bibb County, GA",13021,Asian,Not Hispanic or Latino,12.0,3221.0,Unreliable,Unreliable
2018,Georgia,13,"Bibb County, GA",13021,Black or African American,Not Hispanic or Latino,807.0,84136.0,959.2,1052.3
2018,Georgia,13,"Bibb County, GA",13021,White,Not Hispanic or Latino,912.0,57923.0,1574.5,947.4
2018,Georgia,13,"Bleckley County, GA",13023,Black or African American,Not Hispanic or Latino,31.0,3377.0,918.0,1260.6
2018,Georgia,13,"Bleckley County, GA",13023,White,Not Hispanic or Latino,100.0,8758.0,1141.8,710.1
2018,Georgia,13,"Brantley County, GA",13025,White,Not Hispanic or Latino,199.0,17400.0,1143.7,946.0
2018,Georgia,13,"Brooks County, GA",13027,Black or African American,Not Hispanic or Latino,66.0,5336.0,1236.9,1118.2
2018,Georgia,13,"Brooks County, GA",13027,White,Not Hispanic or Latino,139.0,8813.0,1577.2,1041.6
2018,Georgia,13,"Bryan County, GA",13029,Black or African American,Not Hispanic or Latino,37.0,5411.0,683.8,948.9
2018,Georgia,13,"Bryan County, GA",13029,White,Not Hispanic or Latino,249.0,27910.0,892.2,975.3
2018,Georgia,13,"Bulloch County, GA",13031,Black or African American,Not Hispanic or Latino,125.0,22538.0,554.6,831.4
2018,Georgia,13,"Bulloch County, GA",13031,White,Not Hispanic or Latino,386.0,48995.0,787.8,774.5
2018,Georgia,13,"Burke County, GA",13033,Black or African American,Not Hispanic or Latino,119.0,10514.0,1131.8,1180.3
2018,Georgia,13,"Burke County, GA",13033,White,Not Hispanic or Latino,132.0,10651.0,1239.3,955.4
2018,Georgia,13,"Butts County, GA",13035,Black or African American,Not Hispanic or Latino,82.0,6844.0,1198.1,1390.8
2018,Georgia,13,"Butts County, GA",13035,White,Not Hispanic or Latino,229.0,15978.0,1433.2,1091.8
2018,Georgia,13,"Calhoun County, GA",13037,Black or African American,Not Hispanic or Latino,38.0,3826.0,993.2,925.9
2018,Georgia,13,"Calhoun County, GA",13037,White,Not Hispanic or Latino,28.0,2090.0,1339.7,838.3
2018,Georgia,13,"Camden County, GA",13039,Black or African American,Not Hispanic or Latino,78.0,9948.0,784.1,895.4
2018,Georgia,13,"Camden County, GA",13039,White,Hispanic or Latino,12.0,2988.0,Unreliable,Unreliable
2018,Georgia,13,"Camden County, GA",13039,White,Not Hispanic or Latino,284.0,37358.0,760.2,751.6
2018,Georgia,13,"Candler County, GA",13043,Black or African American,Not Hispanic or Latino,37.0,2629.0,1407.4,1443.3
2018,Georgia,13,"Candler County, GA",13043,White,Not Hispanic or Latino,91.0,6654.0,1367.6,948.2
2018,Georgia,13,"Carroll County, GA",13045,Black or African American,Not Hispanic or Latino,155.0,22412.0,691.6,997.1
2018,Georgia,13,"Carroll County, GA",13045,White,Not Hispanic or Latino,930.0,83463.0,1114.3,975.8
2018,Georgia,13,"Catoosa County, GA",13047,White,Not Hispanic or Latino,650.0,61094.0,1063.9,797.9
2018,Georgia,13,"Charlton County, GA",13049,Black or African American,Not Hispanic or Latino,28.0,3727.0,751.3,943.6
2018,Georgia,13,"Charlton County, GA",13049,White,Not Hispanic or Latino,112.0,7985.0,1402.6,975.2
2018,Georgia,13,"Chatham County, GA",13051,Asian,Not Hispanic or Latino,26.0,8228.0,316.0,381.3
2018,Georgia,13,"Chatham County, GA",13051,Black or African American,Not Hispanic or Latino,968.0,116022.0,834.3,915.5
2018,Georgia,13,"Chatham County, GA",13051,White,Hispanic or Latino,33.0,14704.0,224.4,460.4
2018,Georgia,13,"Chatham County, GA",13051,White,Not Hispanic or Latino,1435.0,139361.0,1029.7,706.4
2018,Georgia,13,"Chattahoochee County, GA",13053,Black or African American,Not Hispanic or Latino,13.0,2047.0,Unreliable,Unreliable
2018,Georgia,13,"Chattahoochee County, GA",13053,White,Not Hispanic or Latino,26.0,6095.0,426.6,1008.2
2018,Georgia,13,"Chattooga County, GA",13055,Black or African American,Not Hispanic or Latino,28.0,2400.0,1166.7,1072.6
2018,Georgia,13,"Chattooga County, GA",13055,White,Not Hispanic or Latino,323.0,20437.0,1580.5,1158.2
2018,Georgia,13,"Cherokee County, GA",13057,Asian,Not Hispanic or Latino,10.0,4878.0,Unreliable,Unreliable
2018,Georgia,13,"Cherokee County, GA",13057,Black or African American,Not Hispanic or Latino,70.0,17239.0,406.1,798.6
2018,Georgia,13,"Cherokee County, GA",13057,White,Hispanic or Latino,47.0,23854.0,197.0,461.7
2018,Georgia,13,"Cherokee County, GA",13057,White,Not Hispanic or Latino,1510.0,199249.0,757.8,710.6
2018,Georgia,13,"Clarke County, GA",13059,Black or African American,Not Hispanic or Latino,293.0,35405.0,827.6,1036.8
2018,Georgia,13,"Clarke County, GA",13059,White,Hispanic or Latino,15.0,12090.0,Unreliable,Unreliable
2018,Georgia,13,"Clarke County, GA",13059,White,Not Hispanic or Latino,500.0,70134.0,712.9,727.7
2018,Georgia,13,"Clay County, GA",13061,Black or African American,Not Hispanic or Latino,12.0,1743.0,Unreliable,Unreliable
2018,Georgia,13,"Clay County, GA",13061,White,Not Hispanic or Latino,25.0,1045.0,2392.3,1343.1
2018,Georgia,13,"Clayton County, GA",13063,Asian,Not Hispanic or Latino,58.0,14627.0,396.5,411.7
2018,Georgia,13,"Clayton County, GA",13063,Black or African American,Not Hispanic or Latino,1080.0,202332.0,533.8,833.7
2018,Georgia,13,"Clayton County, GA",13063,White,Hispanic or Latino,56.0,28975.0,193.3,425.3
