year,state,state_code,county,county_code,cause_category,cause,cause_code,deaths,population,crude_rate
2018,Georgia,13,"Appling County, GA",13001,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,12.0,18507.0,Unreliable
2018,Georgia,13,"Appling County, GA",13001,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,12.0,18507.0,Unreliable
2018,Georgia,13,"Appling County, GA",13001,Ischemic heart disease,Atherosclerotic heart disease,I25.1,21.0,18507.0,113.5
2018,Georgia,13,"Bacon County, GA",13005,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,13.0,11185.0,Unreliable
2018,Georgia,13,"Bacon County, GA",13005,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,10.0,11185.0,Unreliable
2018,Georgia,13,"Baldwin County, GA",13009,Sepsis,"Septicaemia, unspecified",A41.9,10.0,44823.0,Unreliable
2018,Georgia,13,"Baldwin County, GA",13009,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,25.0,44823.0,55.8
2018,Georgia,13,"Baldwin County, GA",13009,Malignant neoplasms,Malignant neoplasm without specification of site,C80,12.0,44823.0,Unreliable
2018,Georgia,13,"Baldwin County, GA",13009,Alzheimer disease and dementia,Unspecified dementia,F03,20.0,44823.0,44.6
2018,Georgia,13,"Baldwin County, GA",13009,Hypertensive diseases,Hypertensive heart disease with (congestive) heart failure,I11.0,43.0,44823.0,95.9
2018,Georgia,13,"Baldwin County, GA",13009,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,12.0,44823.0,Unreliable
2018,Georgia,13,"Baldwin County, GA",13009,Ischemic heart disease,Atherosclerotic heart disease,I25.1,19.0,44823.0,Unreliable
2018,Georgia,13,"Baldwin County, GA",13009,Other diseases of the circulatory system,Congestive heart failure,I50.0,17.0,44823.0,Unreliable
2018,Georgia,13,"Baldwin County, GA",13009,Other diseases of the circulatory system,"Heart failure, unspecified",I50.9,16.0,44823.0,Unreliable
2018,Georgia,13,"Baldwin County, GA",13009,Influenza and pneumonia,"Pneumonia, unspecified",J18.9,10.0,44823.0,Unreliable
2018,Georgia,13,"Baldwin County, GA",13009,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,19.0,44823.0,Unreliable
2018,Georgia,13,"Banks County, GA",13011,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,23.0,18988.0,121.1
2018,Georgia,13,"Banks County, GA",13011,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,11.0,18988.0,Unreliable
2018,Georgia,13,"Banks County, GA",13011,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,11.0,18988.0,Unreliable
2018,Georgia,13,"Barrow County, GA",13013,Malignant neoplasms,"Colon, unspecified - Malignant neoplasms",C18.9,15.0,80809.0,Unreliable
2018,Georgia,13,"Barrow County, GA",13013,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,39.0,80809.0,48.3
2018,Georgia,13,"Barrow County, GA",13013,Malignant neoplasms,"Breast, unspecified - Malignant neoplasms",C50.9,12.0,80809.0,Unreliable
2018,Georgia,13,"Barrow County, GA",13013,Diabetes,"Unspecified diabetes mellitus, without complications",E14.9,14.0,80809.0,Unreliable
2018,Georgia,13,"Barrow County, GA",13013,Alzheimer disease and dementia,Unspecified dementia,F03,18.0,80809.0,Unreliable
2018,Georgia,13,"Barrow County, GA",13013,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,33.0,80809.0,40.8
2018,Georgia,13,"Barrow County, GA",13013,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,10.0,80809.0,Unreliable
2018,Georgia,13,"Barrow County, GA",13013,Ischemic heart disease,Atherosclerotic heart disease,I25.1,23.0,80809.0,28.5
2018,Georgia,13,"Barrow County, GA",13013,Other diseases of the circulatory system,Congestive heart failure,I50.0,31.0,80809.0,38.4
2018,Georgia,13,"Barrow County, GA",13013,Cerebrovascular diseases,"Stroke, not specified as haemorrhage or infarction",I64,11.0,80809.0,Unreliable
2018,Georgia,13,"Barrow County, GA",13013,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,51.0,80809.0,63.1
2018,Georgia,13,"Bartow County, GA",13015,Sepsis,"Septicaemia, unspecified",A41.9,25.0,106408.0,23.5
2018,Georgia,13,"Bartow County, GA",13015,Malignant neoplasms,"Colon, unspecified - Malignant neoplasms",C18.9,19.0,106408.0,Unreliable
2018,Georgia,13,"Bartow County, GA",13015,Malignant neoplasms,"Pancreas, unspecified - Malignant neoplasms",C25.9,16.0,106408.0,Unreliable
2018,Georgia,13,"Bartow County, GA",13015,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,58.0,106408.0,54.5
2018,Georgia,13,"Bartow County, GA",13015,Malignant neoplasms,"Breast, unspecified - Malignant neoplasms",C50.9,16.0,106408.0,Unreliable
2018,Georgia,13,"Bartow County, GA",13015,Diabetes,"Unspecified diabetes mellitus, without complications",E14.9,13.0,106408.0,Unreliable
2018,Georgia,13,"Bartow County, GA",13015,Alzheimer disease and dementia,Unspecified dementia,F03,24.0,106408.0,22.6
2018,Georgia,13,"Bartow County, GA",13015,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,36.0,106408.0,33.8
2018,Georgia,13,"Bartow County, GA",13015,Alzheimer disease and dementia,"Senile degeneration of brain, not elsewhere classified",G31.1,20.0,106408.0,18.8
2018,Georgia,13,"Bartow County, GA",13015,Hypertensive diseases,Hypertensive heart disease with (congestive) heart failure,I11.0,19.0,106408.0,Unreliable
2018,Georgia,13,"Bartow County, GA",13015,Hypertensive diseases,Hypertensive heart disease without (congestive) heart failure,I11.9,28.0,106408.0,26.3
2018,Georgia,13,"Bartow County, GA",13015,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,23.0,106408.0,21.6
2018,Georgia,13,"Bartow County, GA",13015,Ischemic heart disease,"Atherosclerotic cardiovascular disease, so described",I25.0,16.0,106408.0,Unreliable
2018,Georgia,13,"Bartow County, GA",13015,Ischemic heart disease,Atherosclerotic heart disease,I25.1,41.0,106408.0,38.5
2018,Georgia,13,"Bartow County, GA",13015,Other diseases of the circulatory system,Atrial fibrillation and flutter,I48,10.0,106408.0,Unreliable
2018,Georgia,13,"Bartow County, GA",13015,Other diseases of the circulatory system,Congestive heart failure,I50.0,16.0,106408.0,Unreliable
