year,state,state_code,county,county_code,cause_category,cause,cause_code,deaths,population,crude_rate
2018,Georgia,13,"Bartow County, GA",13015,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,11.0,106408.0,Unreliable
2018,Georgia,13,"Bartow County, GA",13015,Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,14.0,106408.0,Unreliable
2018,Georgia,13,"Bartow County, GA",13015,Intentional self-harm (suicide),Intentional self-harm by other and unspecified firearm discharge,X74,13.0,106408.0,Unreliable
2018,Georgia,13,"Bibb County, GA",13021,Nontransport accidents,Unspecified fall,W19,12.0,153095.0,Unreliable
2018,Georgia,13,"Bibb County, GA",13021,Assault (homicide),Assault by other and unspecified firearm discharge,X95,28.0,153095.0,18.3
2018,Georgia,13,"Chatham County, GA",13051,Nontransport accidents,Unspecified fall,W19,15.0,289195.0,Unreliable
2018,Georgia,13,"Chatham County, GA",13051,Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,18.0,289195.0,Unreliable
2018,Georgia,13,"Chatham County, GA",13051,Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,13.0,289195.0,Unreliable
2018,Georgia,13,"Chatham County, GA",13051,Intentional self-harm (suicide),"Intentional self-harm by hanging, strangulation and suffocation",X70,13.0,289195.0,Unreliable
2018,Georgia,13,"Chatham County, GA",13051,Intentional self-harm (suicide),Intentional self-harm by other and unspecified firearm discharge,X74,24.0,289195.0,8.3
2018,Georgia,13,"Chatham County, GA",13051,Assault (homicide),Assault by other and unspecified firearm discharge,X95,28.0,289195.0,9.7
2018,Georgia,13,"Cherokee County, GA",13057,Nontransport accidents,Other fall on same level,W18,10.0,254149.0,Unreliable
2018,Georgia,13,"Cherokee County, GA",13057,Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,14.0,254149.0,Unreliable
2018,Georgia,13,"Cherokee County, GA",13057,Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,24.0,254149.0,9.4
2018,Georgia,13,"Cherokee County, GA",13057,Intentional self-harm (suicide),Intentional self-harm by other and unspecified firearm discharge,X74,27.0,254149.0,10.6
2018,Georgia,13,"Clayton County, GA",13063,Transport accidents (unintentional injuries),Pedestrian injured in traffic accident involving other and unspecified motor vehicles,V09.2,13.0,289615.0,Unreliable
2018,Georgia,13,"Clayton County, GA",13063,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,15.0,289615.0,Unreliable
2018,Georgia,13,"Clayton County, GA",13063,Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,13.0,289615.0,Unreliable
2018,Georgia,13,"Clayton County, GA",13063,Intentional self-harm (suicide),Intentional self-harm by other and unspecified firearm discharge,X74,12.0,289615.0,Unreliable
2018,Georgia,13,"Clayton County, GA",13063,Assault (homicide),Assault by other and unspecified firearm discharge,X95,37.0,289615.0,12.8
2018,Georgia,13,"Cobb County, GA",13067,Transport accidents (unintentional injuries),Person injured in collision between other specified motor vehicles (traffic),V87.7,10.0,756865.0,Unreliable
2018,Georgia,13,"Cobb County, GA",13067,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,29.0,756865.0,3.8
2018,Georgia,13,"Cobb County, GA",13067,Nontransport accidents,Other fall on same level,W18,22.0,756865.0,2.9
2018,Georgia,13,"Cobb County, GA",13067,Nontransport accidents,Unspecified fall,W19,18.0,756865.0,Unreliable
2018,Georgia,13,"Cobb County, GA",13067,Accidental drug overdose,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,14.0,756865.0,Unreliable
2018,Georgia,13,"Cobb County, GA",13067,Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,34.0,756865.0,4.5
2018,Georgia,13,"Cobb County, GA",13067,Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,48.0,756865.0,6.3
2018,Georgia,13,"Cobb County, GA",13067,Intentional self-harm (suicide),"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,10.0,756865.0,Unreliable
2018,Georgia,13,"Cobb County, GA",13067,Intentional self-harm (suicide),"Intentional self-harm by hanging, strangulation and suffocation",X70,23.0,756865.0,3.0
2018,Georgia,13,"Cobb County, GA",13067,Intentional self-harm (suicide),Intentional self-harm by other and unspecified firearm discharge,X74,42.0,756865.0,5.5
2018,Georgia,13,"Cobb County, GA",13067,Assault (homicide),Assault by other and unspecified firearm discharge,X95,20.0,756865.0,2.6
2018,Georgia,13,"Columbia County, GA",13073,Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,13.0,154291.0,Unreliable
2018,Georgia,13,"Columbia County, GA",13073,Intentional self-harm (suicide),Intentional self-harm by other and unspecified firearm discharge,X74,13.0,154291.0,Unreliable
2018,Georgia,13,"Coweta County, GA",13077,Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,10.0,145864.0,Unreliable
2018,Georgia,13,"Coweta County, GA",13077,Intentional self-harm (suicide),Intentional self-harm by other and unspecified firearm discharge,X74,15.0,145864.0,Unreliable
2018,Georgia,13,"DeKalb County, GA",13089,Transport accidents (unintentional injuries),Pedestrian injured in traffic accident involving other and unspecified motor vehicles,V09.2,23.0,756558.0,3.0
2018,Georgia,13,"DeKalb County, GA",13089,Transport accidents (unintentional injuries),Person injured in collision between other specified motor vehicles (traffic),V87.7,12.0,756558.0,Unreliable
2018,Georgia,13,"DeKalb County, GA",13089,Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,26.0,756558.0,3.4
2018,Georgia,13,"DeKalb County, GA",13089,Nontransport accidents,Other fall on same level,W18,23.0,756558.0,3.0
2018,Georgia,13,"DeKalb County, GA",13089,Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,43.0,756558.0,5.7
