year,state,state_code,county,county_code,race,ethnicity,deaths,population,crude_rate,age_adjusted_rate
2018,Hawaii,15,"Hawaii County, HI",15001,Asian,Not Hispanic or Latino,455.0,40392.0,1126.5,446.4
2018,Hawaii,15,"Hawaii County, HI",15001,Black or African American,Not Hispanic or Latino,11.0,1349.0,Unreliable,Unreliable
2018,Hawaii,15,"Hawaii County, HI",15001,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,130.0,23847.0,545.1,545.0
2018,Hawaii,15,"Hawaii County, HI",15001,White,Hispanic or Latino,60.0,7683.0,780.9,839.6
2018,Hawaii,15,"Hawaii County, HI",15001,White,Not Hispanic or Latino,727.0,60965.0,1192.5,658.9
2018,Hawaii,15,"Hawaii County, HI",15001,More than one race,Hispanic or Latino,57.0,13128.0,434.2,2604.9
2018,Hawaii,15,"Hawaii County, HI",15001,More than one race,Not Hispanic or Latino,281.0,47778.0,588.1,762.1
2018,Hawaii,15,"Honolulu County, HI",15003,Asian,Not Hispanic or Latino,4347.0,409241.0,1062.2,465.9
2018,Hawaii,15,"Honolulu County, HI",15003,Asian,Not Stated,55.0,Not Applicable,Not Applicable,Not Applicable
2018,Hawaii,15,"Honolulu County, HI",15003,Black or African American,Not Hispanic or Latino,64.0,25028.0,255.7,561.5
2018,Hawaii,15,"Honolulu County, HI",15003,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,522.0,87527.0,596.4,594.1
2018,Hawaii,15,"Honolulu County, HI",15003,Native Hawaiian or Other Pacific Islander,Not Stated,13.0,Not Applicable,Not Applicable,Not Applicable
2018,Hawaii,15,"Honolulu County, HI",15003,White,Hispanic or Latino,122.0,36240.0,336.6,705.5
2018,Hawaii,15,"Honolulu County, HI",15003,White,Not Hispanic or Latino,1329.0,176454.0,753.2,589.4
2018,Hawaii,15,"Honolulu County, HI",15003,White,Not Stated,50.0,Not Applicable,Not Applicable,Not Applicable
2018,Hawaii,15,"Honolulu County, HI",15003,More than one race,Hispanic or Latino,213.0,39329.0,541.6,26702.7
2018,Hawaii,15,"Honolulu County, HI",15003,More than one race,Not Hispanic or Latino,1186.0,182043.0,651.5,833.2
2018,Hawaii,15,"Kauai County, HI",15007,Asian,Not Hispanic or Latino,234.0,21326.0,1097.3,464.9
2018,Hawaii,15,"Kauai County, HI",15007,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,34.0,6116.0,555.9,520.4
2018,Hawaii,15,"Kauai County, HI",15007,White,Hispanic or Latino,15.0,2619.0,Unreliable,Unreliable
2018,Hawaii,15,"Kauai County, HI",15007,White,Not Hispanic or Latino,185.0,21202.0,872.6,522.0
2018,Hawaii,15,"Kauai County, HI",15007,More than one race,Hispanic or Latino,15.0,3653.0,Unreliable,Unreliable
2018,Hawaii,15,"Kauai County, HI",15007,More than one race,Not Hispanic or Latino,79.0,14792.0,534.1,785.7
2018,Hawaii,15,"Maui County, HI",15009,Asian,Not Hispanic or Latino,372.0,46751.0,795.7,396.3
2018,Hawaii,15,"Maui County, HI",15009,Black or African American,Not Hispanic or Latino,11.0,1131.0,Unreliable,Unreliable
2018,Hawaii,15,"Maui County, HI",15009,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,75.0,16675.0,449.8,468.5
2018,Hawaii,15,"Maui County, HI",15009,White,Hispanic or Latino,32.0,7963.0,401.9,544.1
2018,Hawaii,15,"Maui County, HI",15009,White,Not Hispanic or Latino,460.0,50399.0,912.7,575.5
2018,Hawaii,15,"Maui County, HI",15009,More than one race,Hispanic or Latino,16.0,7413.0,Unreliable,Unreliable
2018,Hawaii,15,"Maui County, HI",15009,More than one race,Not Hispanic or Latino,188.0,32568.0,577.3,825.3
2019,Hawaii,15,"Hawaii County, HI",15001,Asian,Not Hispanic or Latino,499.0,40676.0,1226.8,479.2
2019,Hawaii,15,"Hawaii County, HI",15001,Black or African American,Not Hispanic or Latino,11.0,1423.0,Unreliable,Unreliable
2019,Hawaii,15,"Hawaii County, HI",15001,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,119.0,23736.0,501.3,495.8
2019,Hawaii,15,"Hawaii County, HI",15001,White,Hispanic or Latino,55.0,7747.0,710.0,747.6
2019,Hawaii,15,"Hawaii County, HI",15001,White,Not Hispanic or Latino,725.0,60857.0,1191.3,638.5
2019,Hawaii,15,"Hawaii County, HI",15001,More than one race,Hispanic or Latino,63.0,13226.0,476.3,3285.6
