year,state,state_code,county,county_code,cause_category,cause,cause_code,deaths,population,crude_rate
2018,Hawaii,15,"Hawaii County, HI",15001,Sepsis,"Septicaemia, unspecified",A41.9,27.0,200983.0,13.4
2018,Hawaii,15,"Hawaii County, HI",15001,Malignant neoplasms,"Colon, unspecified - Malignant neoplasms",C18.9,25.0,200983.0,12.4
2018,Hawaii,15,"Hawaii County, HI",15001,Malignant neoplasms,"Pancreas, unspecified - Malignant neoplasms",C25.9,29.0,200983.0,14.4
2018,Hawaii,15,"Hawaii County, HI",15001,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,71.0,200983.0,35.3
2018,Hawaii,15,"Hawaii County, HI",15001,Malignant neoplasms,"Breast, unspecified - Malignant neoplasms",C50.9,24.0,200983.0,11.9
2018,Hawaii,15,"Hawaii County, HI",15001,Malignant neoplasms,Malignant neoplasm of ovary,C56,10.0,200983.0,Unreliable
2018,Hawaii,15,"Hawaii County, HI",15001,Malignant neoplasms,Malignant neoplasm of prostate,C61,35.0,200983.0,17.4
2018,Hawaii,15,"Hawaii County, HI",15001,Malignant neoplasms,"Bladder, unspecified - Malignant neoplasms",C67.9,14.0,200983.0,Unreliable
2018,Hawaii,15,"Hawaii County, HI",15001,Malignant neoplasms,Malignant neoplasm without specification of site,C80,22.0,200983.0,10.9
2018,Hawaii,15,"Hawaii County, HI",15001,Malignant neoplasms,Multiple myeloma - Malignant neoplasms,C90.0,11.0,200983.0,Unreliable
2018,Hawaii,15,"Hawaii County, HI",15001,Diabetes,"Non-insulin-dependent diabetes mellitus, with renal complications",E11.2,11.0,200983.0,Unreliable
2018,Hawaii,15,"Hawaii County, HI",15001,Diabetes,"Unspecified diabetes mellitus, with renal complications",E14.2,15.0,200983.0,Unreliable
2018,Hawaii,15,"Hawaii County, HI",15001,Diabetes,"Unspecified diabetes mellitus, without complications",E14.9,13.0,200983.0,Unreliable
2018,Hawaii,15,"Hawaii County, HI",15001,Alzheimer disease and dementia,"Vascular dementia, unspecified",F01.9,30.0,200983.0,14.9
2018,Hawaii,15,"Hawaii County, HI",15001,Alzheimer disease and dementia,Unspecified dementia,F03,64.0,200983.0,31.8
2018,Hawaii,15,"Hawaii County, HI",15001,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,49.0,200983.0,24.4
2018,Hawaii,15,"Hawaii County, HI",15001,Hypertensive diseases,Hypertensive heart disease without (congestive) heart failure,I11.9,23.0,200983.0,11.4
2018,Hawaii,15,"Hawaii County, HI",15001,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,55.0,200983.0,27.4
2018,Hawaii,15,"Hawaii County, HI",15001,Ischemic heart disease,"Atherosclerotic cardiovascular disease, so described",I25.0,50.0,200983.0,24.9
2018,Hawaii,15,"Hawaii County, HI",15001,Ischemic heart disease,Atherosclerotic heart disease,I25.1,98.0,200983.0,48.8
2018,Hawaii,15,"Hawaii County, HI",15001,Other diseases of the circulatory system,Aortic (valve) stenosis,I35.0,12.0,200983.0,Unreliable
2018,Hawaii,15,"Hawaii County, HI",15001,Other diseases of the circulatory system,"Cardiomyopathy, unspecified",I42.9,16.0,200983.0,Unreliable
2018,Hawaii,15,"Hawaii County, HI",15001,Other diseases of the circulatory system,"Cardiac arrest, unspecified",I46.9,17.0,200983.0,Unreliable
2018,Hawaii,15,"Hawaii County, HI",15001,Other diseases of the circulatory system,Congestive heart failure,I50.0,30.0,200983.0,14.9
2018,Hawaii,15,"Hawaii County, HI",15001,Other diseases of the circulatory system,"Heart failure, unspecified",I50.9,10.0,200983.0,Unreliable
2018,Hawaii,15,"Hawaii County, HI",15001,Other diseases of the circulatory system,Cardiomegaly,I51.7,28.0,200983.0,13.9
2018,Hawaii,15,"Hawaii County, HI",15001,Cerebrovascular diseases,"Cerebral infarction, unspecified",I63.9,12.0,200983.0,Unreliable
2018,Hawaii,15,"Hawaii County, HI",15001,Cerebrovascular diseases,"Stroke, not specified as haemorrhage or infarction",I64,50.0,200983.0,24.9
2018,Hawaii,15,"Hawaii County, HI",15001,Cerebrovascular diseases,Cerebral atherosclerosis,I67.2,11.0,200983.0,Unreliable
2018,Hawaii,15,"Hawaii County, HI",15001,Influenza and pneumonia,"Pneumonia, unspecified",J18.9,22.0,200983.0,10.9
2018,Hawaii,15,"Hawaii County, HI",15001,Chronic lower respiratory diseases,"Emphysema, unspecified",J43.9,14.0,200983.0,Unreliable
2018,Hawaii,15,"Hawaii County, HI",15001,Chronic lower respiratory diseases,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,13.0,200983.0,Unreliable
2018,Hawaii,15,"Hawaii County, HI",15001,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,52.0,200983.0,25.9
2018,Hawaii,15,"Hawaii County, HI",15001,Renal failure,"Chronic kidney disease, stage 5",N18.5,18.0,200983.0,Unreliable
2018,Hawaii,15,"Honolulu County, HI",15003,Sepsis,"Septicaemia, unspecified",A41.9,72.0,980080.0,7.3
2018,Hawaii,15,"Honolulu County, HI",15003,Malignant neoplasms,"Oesophagus, unspecified - Malignant neoplasms",C15.9,37.0,980080.0,3.8
2018,Hawaii,15,"Honolulu County, HI",15003,Malignant neoplasms,"Stomach, unspecified - Malignant neoplasms",C16.9,40.0,980080.0,4.1
2018,Hawaii,15,"Honolulu County, HI",15003,Malignant neoplasms,"Colon, unspecified - Malignant neoplasms",C18.9,102.0,980080.0,10.4
2018,Hawaii,15,"Honolulu County, HI",15003,Malignant neoplasms,Malignant neoplasm of rectosigmoid junction,C19,13.0,980080.0,Unreliable
2018,Hawaii,15,"Honolulu County, HI",15003,Malignant neoplasms,Malignant neoplasm of rectum,C20,25.0,980080.0,2.6
2018,Hawaii,15,"Honolulu County, HI",15003,Malignant neoplasms,Liver cell carcinoma - Malignant neoplasms,C22.0,58.0,980080.0,5.9
2018,Hawaii,15,"Honolulu County, HI",15003,Malignant neoplasms,Intrahepatic bile duct carcinoma - Malignant neoplasms,C22.1,23.0,980080.0,2.3
2018,Hawaii,15,"Honolulu County, HI",15003,Malignant neoplasms,"Liver, unspecified - Malignant neoplasms",C22.9,18.0,980080.0,Unreliable
2018,Hawaii,15,"Honolulu County, HI",15003,Malignant neoplasms,Malignant neoplasm of gallbladder,C23,10.0,980080.0,Unreliable
2018,Hawaii,15,"Honolulu County, HI",15003,Malignant neoplasms,"Pancreas, unspecified - Malignant neoplasms",C25.9,128.0,980080.0,13.1
2018,Hawaii,15,"Honolulu County, HI",15003,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,343.0,980080.0,35.0
2018,Hawaii,15,"Honolulu County, HI",15003,Malignant neoplasms,"Malignant melanoma of skin, unspecified - Malignant neoplasms",C43.9,13.0,980080.0,Unreliable
2018,Hawaii,15,"Honolulu County, HI",15003,Malignant neoplasms,"Connective and soft tissue, unspecified - Malignant neoplasms",C49.9,11.0,980080.0,Unreliable
2018,Hawaii,15,"Honolulu County, HI",15003,Malignant neoplasms,"Breast, unspecified - Malignant neoplasms",C50.9,108.0,980080.0,11.0
2018,Hawaii,15,"Honolulu County, HI",15003,Malignant neoplasms,Endometrium - Malignant neoplasms,C54.1,24.0,980080.0,2.4
2018,Hawaii,15,"Honolulu County, HI",15003,Malignant neoplasms,Malignant neoplasm of ovary,C56,23.0,980080.0,2.3
2018,Hawaii,15,"Honolulu County, HI",15003,Malignant neoplasms,Malignant neoplasm of prostate,C61,76.0,980080.0,7.8
2018,Hawaii,15,"Honolulu County, HI",15003,Malignant neoplasms,"Malignant neoplasm of kidney, except renal pelvis",C64,32.0,980080.0,3.3
2018,Hawaii,15,"Honolulu County, HI",15003,Malignant neoplasms,"Bladder, unspecified - Malignant neoplasms",C67.9,39.0,980080.0,4.0
2018,Hawaii,15,"Honolulu County, HI",15003,Malignant neoplasms,"Brain, unspecified - Malignant neoplasms",C71.9,23.0,980080.0,2.3
2018,Hawaii,15,"Honolulu County, HI",15003,Malignant neoplasms,Malignant neoplasm of thyroid gland,C73,10.0,980080.0,Unreliable
2018,Hawaii,15,"Honolulu County, HI",15003,Malignant neoplasms,Malignant neoplasm without specification of site,C80,89.0,980080.0,9.1
2018,Hawaii,15,"Honolulu County, HI",15003,Malignant neoplasms,Non-Hodgkin lymphoma large cell (diffuse),C83.3,20.0,980080.0,2.0
2018,Hawaii,15,"Honolulu County, HI",15003,Malignant neoplasms,"B-cell lymphoma, unspecified - Malignant neoplasms",C85.1,11.0,980080.0,Unreliable
2018,Hawaii,15,"Honolulu County, HI",15003,Malignant neoplasms,"Non-Hodgkin lymphoma, unspecified type",C85.9,18.0,980080.0,Unreliable
2018,Hawaii,15,"Honolulu County, HI",15003,Malignant neoplasms,Multiple myeloma - Malignant neoplasms,C90.0,31.0,980080.0,3.2
2018,Hawaii,15,"Honolulu County, HI",15003,Malignant neoplasms,Acute myeloid leukaemia - Malignant neoplasms,C92.0,26.0,980080.0,2.7
2018,Hawaii,15,"Honolulu County, HI",15003,Diabetes,"Non-insulin-dependent diabetes mellitus, with renal complications",E11.2,23.0,980080.0,2.3
2018,Hawaii,15,"Honolulu County, HI",15003,Diabetes,"Non-insulin-dependent diabetes mellitus, without complications",E11.9,34.0,980080.0,3.5
2018,Hawaii,15,"Honolulu County, HI",15003,Diabetes,"Unspecified diabetes mellitus, with renal complications",E14.2,52.0,980080.0,5.3
2018,Hawaii,15,"Honolulu County, HI",15003,Diabetes,"Unspecified diabetes mellitus, with multiple complications",E14.7,14.0,980080.0,Unreliable
