year,state,state_code,county,county_code,race,ethnicity,deaths,population,crude_rate,age_adjusted_rate
2018,Idaho,16,"Ada County, ID",16001,Asian,Not Hispanic or Latino,33.0,12878.0,256.3,370.6
2018,Idaho,16,"Ada County, ID",16001,Black or African American,Not Hispanic or Latino,16.0,5829.0,Unreliable,Unreliable
2018,Idaho,16,"Ada County, ID",16001,White,Hispanic or Latino,90.0,34769.0,258.9,585.8
2018,Idaho,16,"Ada County, ID",16001,White,Not Hispanic or Latino,2970.0,396964.0,748.2,654.6
2018,Idaho,16,"Ada County, ID",16001,White,Not Stated,10.0,Not Applicable,Not Applicable,Not Applicable
2018,Idaho,16,"Ada County, ID",16001,More than one race,Not Hispanic or Latino,12.0,11864.0,Unreliable,Unreliable
2018,Idaho,16,"Adams County, ID",16003,White,Not Hispanic or Latino,43.0,3873.0,1110.3,691.1
2018,Idaho,16,"Bannock County, ID",16005,American Indian or Alaska Native,Not Hispanic or Latino,27.0,2470.0,1093.1,1330.0
2018,Idaho,16,"Bannock County, ID",16005,White,Hispanic or Latino,26.0,6210.0,418.7,769.3
2018,Idaho,16,"Bannock County, ID",16005,White,Not Hispanic or Latino,728.0,72788.0,1000.2,903.9
2018,Idaho,16,"Bear Lake County, ID",16007,White,Not Hispanic or Latino,64.0,5650.0,1132.7,766.2
2018,Idaho,16,"Benewah County, ID",16009,American Indian or Alaska Native,Not Hispanic or Latino,12.0,672.0,Unreliable,Unreliable
2018,Idaho,16,"Benewah County, ID",16009,White,Not Hispanic or Latino,95.0,7812.0,1216.1,819.2
2018,Idaho,16,"Bingham County, ID",16011,American Indian or Alaska Native,Not Hispanic or Latino,31.0,2574.0,1204.4,1353.5
2018,Idaho,16,"Bingham County, ID",16011,White,Hispanic or Latino,24.0,7069.0,339.5,599.9
2018,Idaho,16,"Bingham County, ID",16011,White,Not Hispanic or Latino,356.0,34023.0,1046.4,873.5
2018,Idaho,16,"Blaine County, ID",16013,White,Not Hispanic or Latino,94.0,16832.0,558.5,396.9
2018,Idaho,16,"Boise County, ID",16015,White,Not Hispanic or Latino,57.0,6900.0,826.1,596.2
2018,Idaho,16,"Bonner County, ID",16017,White,Not Hispanic or Latino,434.0,41545.0,1044.7,674.9
2018,Idaho,16,"Bonneville County, ID",16019,White,Hispanic or Latino,46.0,13718.0,335.3,710.7
2018,Idaho,16,"Bonneville County, ID",16019,White,Not Hispanic or Latino,872.0,96633.0,902.4,813.8
2018,Idaho,16,"Boundary County, ID",16021,White,Not Hispanic or Latino,117.0,10757.0,1087.7,733.3
2018,Idaho,16,"Butte County, ID",16023,White,Not Hispanic or Latino,38.0,2385.0,1593.3,986.4
2018,Idaho,16,"Camas County, ID",16025,White,Not Hispanic or Latino,13.0,993.0,Unreliable,Unreliable
2018,Idaho,16,"Canyon County, ID",16027,Asian,Not Hispanic or Latino,12.0,1959.0,Unreliable,Unreliable
2018,Idaho,16,"Canyon County, ID",16027,White,Hispanic or Latino,121.0,51775.0,233.7,467.7
2018,Idaho,16,"Canyon County, ID",16027,White,Not Hispanic or Latino,1487.0,156681.0,949.1,793.5
2018,Idaho,16,"Canyon County, ID",16027,More than one race,Not Hispanic or Latino,12.0,4470.0,Unreliable,Unreliable
2018,Idaho,16,"Caribou County, ID",16029,White,Not Hispanic or Latino,59.0,6491.0,909.0,720.6
2018,Idaho,16,"Cassia County, ID",16031,White,Hispanic or Latino,15.0,5994.0,Unreliable,Unreliable
2018,Idaho,16,"Cassia County, ID",16031,White,Not Hispanic or Latino,194.0,16564.0,1171.2,889.1
2018,Idaho,16,"Clearwater County, ID",16035,White,Not Hispanic or Latino,97.0,7865.0,1233.3,634.5
2018,Idaho,16,"Custer County, ID",16037,White,Not Hispanic or Latino,55.0,3924.0,1401.6,734.3
2018,Idaho,16,"Elmore County, ID",16039,White,Not Hispanic or Latino,197.0,19751.0,997.4,886.4
2018,Idaho,16,"Franklin County, ID",16041,White,Not Hispanic or Latino,124.0,12498.0,992.2,862.4
2018,Idaho,16,"Fremont County, ID",16043,White,Not Hispanic or Latino,97.0,11188.0,867.0,671.3
2018,Idaho,16,"Gem County, ID",16045,White,Not Hispanic or Latino,227.0,15451.0,1469.2,955.7
2018,Idaho,16,"Gooding County, ID",16047,White,Not Hispanic or Latino,124.0,10218.0,1213.5,751.0
2018,Idaho,16,"Idaho County, ID",16049,White,Not Hispanic or Latino,197.0,14975.0,1315.5,704.2
