year,state,state_code,county,county_code,cause_category,cause,cause_code,deaths,population,crude_rate
2018,Illinois,17,"Adams County, IL",17001,Sepsis,"Septicaemia, unspecified",A41.9,25.0,65691.0,38.1
2018,Illinois,17,"Adams County, IL",17001,Malignant neoplasms,"Pancreas, unspecified - Malignant neoplasms",C25.9,11.0,65691.0,Unreliable
2018,Illinois,17,"Adams County, IL",17001,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,49.0,65691.0,74.6
2018,Illinois,17,"Adams County, IL",17001,Malignant neoplasms,"Breast, unspecified - Malignant neoplasms",C50.9,11.0,65691.0,Unreliable
2018,Illinois,17,"Adams County, IL",17001,Malignant neoplasms,Malignant neoplasm without specification of site,C80,10.0,65691.0,Unreliable
2018,Illinois,17,"Adams County, IL",17001,Alzheimer disease and dementia,Unspecified dementia,F03,51.0,65691.0,77.6
2018,Illinois,17,"Adams County, IL",17001,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,48.0,65691.0,73.1
2018,Illinois,17,"Adams County, IL",17001,Hypertensive diseases,Essential (primary) hypertension,I10,15.0,65691.0,Unreliable
2018,Illinois,17,"Adams County, IL",17001,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,36.0,65691.0,54.8
2018,Illinois,17,"Adams County, IL",17001,Ischemic heart disease,Atherosclerotic heart disease,I25.1,48.0,65691.0,73.1
2018,Illinois,17,"Adams County, IL",17001,Other diseases of the circulatory system,Congestive heart failure,I50.0,24.0,65691.0,36.5
2018,Illinois,17,"Adams County, IL",17001,Cerebrovascular diseases,"Stroke, not specified as haemorrhage or infarction",I64,22.0,65691.0,33.5
2018,Illinois,17,"Adams County, IL",17001,Influenza and pneumonia,"Pneumonia, unspecified",J18.9,14.0,65691.0,Unreliable
2018,Illinois,17,"Adams County, IL",17001,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,37.0,65691.0,56.3
2018,Illinois,17,"Adams County, IL",17001,Other diseases of the respiratory system,Pneumonitis due to food and vomit,J69.0,10.0,65691.0,Unreliable
2018,Illinois,17,"Adams County, IL",17001,Other diseases of the respiratory system,"Respiratory failure, unspecified",J96.9,11.0,65691.0,Unreliable
2018,Illinois,17,"Adams County, IL",17001,Renal failure,"Chronic kidney disease, stage 5",N18.5,10.0,65691.0,Unreliable
2018,Illinois,17,"Bond County, IL",17005,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,11.0,16630.0,Unreliable
2018,Illinois,17,"Boone County, IL",17007,Malignant neoplasms,"Pancreas, unspecified - Malignant neoplasms",C25.9,11.0,53577.0,Unreliable
2018,Illinois,17,"Boone County, IL",17007,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,24.0,53577.0,44.8
2018,Illinois,17,"Boone County, IL",17007,Alzheimer disease and dementia,Unspecified dementia,F03,25.0,53577.0,46.7
2018,Illinois,17,"Boone County, IL",17007,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,17.0,53577.0,Unreliable
2018,Illinois,17,"Boone County, IL",17007,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,23.0,53577.0,42.9
2018,Illinois,17,"Boone County, IL",17007,Ischemic heart disease,Atherosclerotic heart disease,I25.1,24.0,53577.0,44.8
2018,Illinois,17,"Boone County, IL",17007,Other diseases of the circulatory system,Congestive heart failure,I50.0,17.0,53577.0,Unreliable
2018,Illinois,17,"Boone County, IL",17007,Other diseases of the circulatory system,"Heart failure, unspecified",I50.9,12.0,53577.0,Unreliable
