year,state,county,cause_category,cause,cause_code,deaths,population,crude_rate
2018,Illinois,"Champaign County, IL",Nontransport accidents,Other fall on same level,W18,20.0,209983.0,9.5
2018,Illinois,"Champaign County, IL",Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,19.0,209983.0,Unreliable
2018,Illinois,"Champaign County, IL",Intentional self-harm (suicide),"Intentional self-harm by hanging, strangulation and suffocation",X70,12.0,209983.0,Unreliable
2018,Illinois,"Cook County, IL",Transport accidents (unintentional injuries),"Pedestrian injured in collision with car, pick-up truck or van, traffic accident",V03.1,22.0,5180493.0,0.4
2018,Illinois,"Cook County, IL",Transport accidents (unintentional injuries),Pedestrian injured in traffic accident involving other and unspecified motor vehicles,V09.2,54.0,5180493.0,1.0
2018,Illinois,"Cook County, IL",Transport accidents (unintentional injuries),"Car occupant injured in collision with fixed or stationary object, driver injured in traffic accident",V47.5,20.0,5180493.0,0.4
2018,Illinois,"Cook County, IL",Transport accidents (unintentional injuries),"Car occupant injured in collision with fixed or stationary object, passenger injured in traffic accident",V47.6,12.0,5180493.0,Unreliable
2018,Illinois,"Cook County, IL",Transport accidents (unintentional injuries),Person injured in collision between other specified motor vehicles (traffic),V87.7,25.0,5180493.0,0.5
2018,Illinois,"Cook County, IL",Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,98.0,5180493.0,1.9
2018,Illinois,"Cook County, IL",Nontransport accidents,Fall on and from stairs and steps,W10,37.0,5180493.0,0.7
2018,Illinois,"Cook County, IL",Nontransport accidents,Other fall from one level to another,W17,13.0,5180493.0,Unreliable
2018,Illinois,"Cook County, IL",Nontransport accidents,Other fall on same level,W18,36.0,5180493.0,0.7
2018,Illinois,"Cook County, IL",Nontransport accidents,Unspecified fall,W19,239.0,5180493.0,4.6
2018,Illinois,"Cook County, IL",Nontransport accidents,Drowning and submersion while in bath-tub,W65,19.0,5180493.0,Unreliable
2018,Illinois,"Cook County, IL",Nontransport accidents,Drowning and submersion while in natural water,W69,14.0,5180493.0,Unreliable
2018,Illinois,"Cook County, IL",Nontransport accidents,Accidental suffocation and strangulation in bed,W75,11.0,5180493.0,Unreliable
2018,Illinois,"Cook County, IL",Nontransport accidents,Inhalation and ingestion of food causing obstruction of respiratory tract,W79,30.0,5180493.0,0.6
2018,Illinois,"Cook County, IL",Nontransport accidents,Inhalation and ingestion of other objects causing obstruction of respiratory tract,W80,35.0,5180493.0,0.7
2018,Illinois,"Cook County, IL",Nontransport accidents,Exposure to uncontrolled fire in building or structure,X00,45.0,5180493.0,0.9
2018,Illinois,"Cook County, IL",Nontransport accidents,Exposure to excessive natural cold,X31,23.0,5180493.0,0.4
2018,Illinois,"Cook County, IL",Accidental drug overdose,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,30.0,5180493.0,0.6
2018,Illinois,"Cook County, IL",Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,707.0,5180493.0,13.6
2018,Illinois,"Cook County, IL",Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,413.0,5180493.0,8.0
2018,Illinois,"Cook County, IL",Nontransport accidents,Accidental poisoning by and exposure to alcohol,X45,31.0,5180493.0,0.6
2018,Illinois,"Cook County, IL",Nontransport accidents,Exposure to unspecified factor causing fracture,X59.0,16.0,5180493.0,Unreliable
2018,Illinois,"Cook County, IL",Nontransport accidents,Exposure to unspecified factor causing other and unspecified injury,X59.9,49.0,5180493.0,0.9
