year,state,state_code,county,county_code,race,ethnicity,deaths,population,crude_rate,age_adjusted_rate
2018,Indiana,18,"Adams County, IN",18001,White,Not Hispanic or Latino,306.0,33305.0,918.8,706.2
2018,Indiana,18,"Allen County, IN",18003,Asian,Not Hispanic or Latino,54.0,16096.0,335.5,557.5
2018,Indiana,18,"Allen County, IN",18003,Black or African American,Not Hispanic or Latino,391.0,43446.0,900.0,1109.9
2018,Indiana,18,"Allen County, IN",18003,White,Hispanic or Latino,68.0,24056.0,282.7,631.6
2018,Indiana,18,"Allen County, IN",18003,White,Not Hispanic or Latino,2975.0,275761.0,1078.8,829.0
2018,Indiana,18,"Bartholomew County, IN",18005,Black or African American,Not Hispanic or Latino,11.0,1750.0,Unreliable,Unreliable
2018,Indiana,18,"Bartholomew County, IN",18005,White,Not Hispanic or Latino,726.0,67367.0,1077.7,793.8
2018,Indiana,18,"Benton County, IN",18007,White,Not Hispanic or Latino,94.0,7988.0,1176.8,830.1
2018,Indiana,18,"Blackford County, IN",18009,White,Not Hispanic or Latino,152.0,11384.0,1335.2,865.4
2018,Indiana,18,"Boone County, IN",18011,White,Not Hispanic or Latino,538.0,60384.0,891.0,850.5
2018,Indiana,18,"Brown County, IN",18013,White,Not Hispanic or Latino,156.0,14547.0,1072.4,696.3
2018,Indiana,18,"Carroll County, IN",18015,White,Not Hispanic or Latino,201.0,18926.0,1062.0,746.6
2018,Indiana,18,"Cass County, IN",18017,White,Hispanic or Latino,10.0,5203.0,Unreliable,Unreliable
2018,Indiana,18,"Cass County, IN",18017,White,Not Hispanic or Latino,414.0,29988.0,1380.6,898.7
2018,Indiana,18,"Clark County, IN",18019,Black or African American,Not Hispanic or Latino,76.0,9230.0,823.4,1095.4
2018,Indiana,18,"Clark County, IN",18019,White,Not Hispanic or Latino,1183.0,97282.0,1216.1,969.6
2018,Indiana,18,"Clay County, IN",18021,White,Not Hispanic or Latino,320.0,25133.0,1273.2,966.8
2018,Indiana,18,"Clinton County, IN",18023,White,Not Hispanic or Latino,354.0,26333.0,1344.3,913.4
2018,Indiana,18,"Crawford County, IN",18025,White,Not Hispanic or Latino,132.0,10130.0,1303.1,1020.2
2018,Indiana,18,"Daviess County, IN",18027,White,Not Hispanic or Latino,358.0,30282.0,1182.2,962.4
2018,Indiana,18,"Dearborn County, IN",18029,White,Not Hispanic or Latino,510.0,47688.0,1069.5,845.5
2018,Indiana,18,"Decatur County, IN",18031,White,Not Hispanic or Latino,301.0,25444.0,1183.0,922.1
2018,Indiana,18,"De Kalb County, IN",18033,White,Not Hispanic or Latino,443.0,41071.0,1078.6,879.4
2018,Indiana,18,"Delaware County, IN",18035,Black or African American,Not Hispanic or Latino,66.0,7979.0,827.2,950.3
2018,Indiana,18,"Delaware County, IN",18035,White,Not Hispanic or Latino,1307.0,99560.0,1312.8,982.0
2018,Indiana,18,"Dubois County, IN",18037,White,Not Hispanic or Latino,415.0,38351.0,1082.1,743.2
2018,Indiana,18,"Elkhart County, IN",18039,Black or African American,Not Hispanic or Latino,93.0,11664.0,797.3,1145.1
2018,Indiana,18,"Elkhart County, IN",18039,White,Hispanic or Latino,57.0,30685.0,185.8,473.2
2018,Indiana,18,"Elkhart County, IN",18039,White,Not Hispanic or Latino,1573.0,153297.0,1026.1,752.8
2018,Indiana,18,"Fayette County, IN",18041,White,Not Hispanic or Latino,340.0,21999.0,1545.5,1106.2
2018,Indiana,18,"Floyd County, IN",18043,Black or African American,Not Hispanic or Latino,45.0,4166.0,1080.2,1386.9
2018,Indiana,18,"Floyd County, IN",18043,White,Not Hispanic or Latino,790.0,68217.0,1158.1,918.0
2018,Indiana,18,"Fountain County, IN",18045,White,Not Hispanic or Latino,216.0,15539.0,1390.1,933.7
2018,Indiana,18,"Franklin County, IN",18047,White,Not Hispanic or Latino,205.0,21916.0,935.4,690.3
2018,Indiana,18,"Fulton County, IN",18049,White,Not Hispanic or Latino,255.0,18418.0,1384.5,988.9
2018,Indiana,18,"Gibson County, IN",18051,Black or African American,Not Hispanic or Latino,10.0,683.0,Unreliable,Unreliable
2018,Indiana,18,"Gibson County, IN",18051,White,Not Hispanic or Latino,392.0,31338.0,1250.9,925.9
2018,Indiana,18,"Grant County, IN",18053,Black or African American,Not Hispanic or Latino,75.0,4619.0,1623.7,1433.4
2018,Indiana,18,"Grant County, IN",18053,White,Hispanic or Latino,11.0,2501.0,Unreliable,Unreliable
2018,Indiana,18,"Grant County, IN",18053,White,Not Hispanic or Latino,793.0,55985.0,1416.5,975.6
