year,state,state_code,county,county_code,cause_category,cause,cause_code,deaths,population,crude_rate
2018,Indiana,18,"Adams County, IN",18001,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,10.0,35636.0,Unreliable
2018,Indiana,18,"Adams County, IN",18001,Alzheimer disease and dementia,Unspecified dementia,F03,14.0,35636.0,Unreliable
2018,Indiana,18,"Adams County, IN",18001,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,11.0,35636.0,Unreliable
2018,Indiana,18,"Adams County, IN",18001,Ischemic heart disease,Atherosclerotic heart disease,I25.1,20.0,35636.0,56.1
2018,Indiana,18,"Adams County, IN",18001,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,18.0,35636.0,Unreliable
2018,Indiana,18,"Allen County, IN",18003,Sepsis,"Septicaemia, unspecified",A41.9,46.0,375351.0,12.3
2018,Indiana,18,"Allen County, IN",18003,Malignant neoplasms,"Oesophagus, unspecified - Malignant neoplasms",C15.9,28.0,375351.0,7.5
2018,Indiana,18,"Allen County, IN",18003,Malignant neoplasms,"Colon, unspecified - Malignant neoplasms",C18.9,23.0,375351.0,6.1
2018,Indiana,18,"Allen County, IN",18003,Malignant neoplasms,Malignant neoplasm of rectum,C20,11.0,375351.0,Unreliable
2018,Indiana,18,"Allen County, IN",18003,Malignant neoplasms,Liver cell carcinoma - Malignant neoplasms,C22.0,10.0,375351.0,Unreliable
2018,Indiana,18,"Allen County, IN",18003,Malignant neoplasms,"Liver, unspecified - Malignant neoplasms",C22.9,10.0,375351.0,Unreliable
2018,Indiana,18,"Allen County, IN",18003,Malignant neoplasms,"Pancreas, unspecified - Malignant neoplasms",C25.9,58.0,375351.0,15.5
2018,Indiana,18,"Allen County, IN",18003,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,154.0,375351.0,41.0
2018,Indiana,18,"Allen County, IN",18003,Malignant neoplasms,"Breast, unspecified - Malignant neoplasms",C50.9,52.0,375351.0,13.9
2018,Indiana,18,"Allen County, IN",18003,Malignant neoplasms,Endometrium - Malignant neoplasms,C54.1,12.0,375351.0,Unreliable
2018,Indiana,18,"Allen County, IN",18003,Malignant neoplasms,Malignant neoplasm of ovary,C56,11.0,375351.0,Unreliable
2018,Indiana,18,"Allen County, IN",18003,Malignant neoplasms,Malignant neoplasm of prostate,C61,49.0,375351.0,13.1
2018,Indiana,18,"Allen County, IN",18003,Malignant neoplasms,"Malignant neoplasm of kidney, except renal pelvis",C64,17.0,375351.0,Unreliable
2018,Indiana,18,"Allen County, IN",18003,Malignant neoplasms,"Bladder, unspecified - Malignant neoplasms",C67.9,17.0,375351.0,Unreliable
2018,Indiana,18,"Allen County, IN",18003,Malignant neoplasms,"Brain, unspecified - Malignant neoplasms",C71.9,20.0,375351.0,5.3
2018,Indiana,18,"Allen County, IN",18003,Malignant neoplasms,Malignant neoplasm without specification of site,C80,20.0,375351.0,5.3
2018,Indiana,18,"Allen County, IN",18003,Malignant neoplasms,"Non-Hodgkin lymphoma, unspecified type",C85.9,11.0,375351.0,Unreliable
2018,Indiana,18,"Allen County, IN",18003,Malignant neoplasms,Multiple myeloma - Malignant neoplasms,C90.0,13.0,375351.0,Unreliable
2018,Indiana,18,"Allen County, IN",18003,Malignant neoplasms,Acute myeloid leukaemia - Malignant neoplasms,C92.0,20.0,375351.0,5.3
2018,Indiana,18,"Allen County, IN",18003,Diabetes,"Non-insulin-dependent diabetes mellitus, with renal complications",E11.2,12.0,375351.0,Unreliable
2018,Indiana,18,"Allen County, IN",18003,Diabetes,"Non-insulin-dependent diabetes mellitus, without complications",E11.9,28.0,375351.0,7.5
2018,Indiana,18,"Allen County, IN",18003,Diabetes,"Unspecified diabetes mellitus, with renal complications",E14.2,36.0,375351.0,9.6
2018,Indiana,18,"Allen County, IN",18003,Diabetes,"Unspecified diabetes mellitus, without complications",E14.9,40.0,375351.0,10.7
2018,Indiana,18,"Allen County, IN",18003,Alzheimer disease and dementia,"Vascular dementia, unspecified",F01.9,17.0,375351.0,Unreliable
2018,Indiana,18,"Allen County, IN",18003,Alzheimer disease and dementia,Unspecified dementia,F03,185.0,375351.0,49.3
2018,Indiana,18,"Allen County, IN",18003,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,150.0,375351.0,40.0
2018,Indiana,18,"Allen County, IN",18003,Alzheimer disease and dementia,Other specified degenerative diseases of nervous system,G31.8,10.0,375351.0,Unreliable
2018,Indiana,18,"Allen County, IN",18003,Hypertensive diseases,Essential (primary) hypertension,I10,89.0,375351.0,23.7
2018,Indiana,18,"Allen County, IN",18003,Hypertensive diseases,Hypertensive heart disease with (congestive) heart failure,I11.0,17.0,375351.0,Unreliable
2018,Indiana,18,"Allen County, IN",18003,Hypertensive diseases,Hypertensive heart disease without (congestive) heart failure,I11.9,66.0,375351.0,17.6
2018,Indiana,18,"Allen County, IN",18003,Hypertensive diseases,Hypertensive renal disease with renal failure,I12.0,24.0,375351.0,6.4
2018,Indiana,18,"Allen County, IN",18003,Ischemic heart disease,Acute subendocardial myocardial infarction,I21.4,10.0,375351.0,Unreliable
2018,Indiana,18,"Allen County, IN",18003,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,99.0,375351.0,26.4
2018,Indiana,18,"Allen County, IN",18003,Ischemic heart disease,"Atherosclerotic cardiovascular disease, so described",I25.0,20.0,375351.0,5.3
2018,Indiana,18,"Allen County, IN",18003,Ischemic heart disease,Atherosclerotic heart disease,I25.1,181.0,375351.0,48.2
2018,Indiana,18,"Allen County, IN",18003,Ischemic heart disease,Ischaemic cardiomyopathy,I25.5,18.0,375351.0,Unreliable
2018,Indiana,18,"Allen County, IN",18003,Ischemic heart disease,"Chronic ischaemic heart disease, unspecified",I25.9,17.0,375351.0,Unreliable
2018,Indiana,18,"Allen County, IN",18003,Other diseases of the circulatory system,Pulmonary embolism without mention of acute cor pulmonale,I26.9,11.0,375351.0,Unreliable
2018,Indiana,18,"Allen County, IN",18003,Other diseases of the circulatory system,Other secondary pulmonary hypertension,I27.2,10.0,375351.0,Unreliable
2018,Indiana,18,"Allen County, IN",18003,Other diseases of the circulatory system,Aortic (valve) stenosis,I35.0,20.0,375351.0,5.3
2018,Indiana,18,"Allen County, IN",18003,Other diseases of the circulatory system,"Cardiomyopathy, unspecified",I42.9,33.0,375351.0,8.8
2018,Indiana,18,"Allen County, IN",18003,Other diseases of the circulatory system,Atrial fibrillation and flutter,I48,35.0,375351.0,9.3
2018,Indiana,18,"Allen County, IN",18003,Other diseases of the circulatory system,"Cardiac arrhythmia, unspecified",I49.9,11.0,375351.0,Unreliable
2018,Indiana,18,"Allen County, IN",18003,Other diseases of the circulatory system,Congestive heart failure,I50.0,68.0,375351.0,18.1
2018,Indiana,18,"Allen County, IN",18003,Other diseases of the circulatory system,"Heart failure, unspecified",I50.9,18.0,375351.0,Unreliable
