year,state,state_code,county,county_code,race,ethnicity,deaths,population,crude_rate,age_adjusted_rate
2018,Kentucky,21,"Adair County, KY",21001,White,Not Hispanic or Latino,203.0,17902.0,1134.0,873.8
2018,Kentucky,21,"Allen County, KY",21003,White,Not Hispanic or Latino,248.0,20022.0,1238.6,1020.1
2018,Kentucky,21,"Anderson County, KY",21005,White,Not Hispanic or Latino,230.0,21253.0,1082.2,943.1
2018,Kentucky,21,"Ballard County, KY",21007,White,Not Hispanic or Latino,102.0,7364.0,1385.1,896.7
2018,Kentucky,21,"Barren County, KY",21009,Black or African American,Not Hispanic or Latino,24.0,1793.0,1338.5,1050.3
2018,Kentucky,21,"Barren County, KY",21009,White,Not Hispanic or Latino,515.0,39785.0,1294.5,941.7
2018,Kentucky,21,"Bath County, KY",21011,White,Not Hispanic or Latino,159.0,11743.0,1354.0,1123.6
2018,Kentucky,21,"Bell County, KY",21013,White,Not Hispanic or Latino,415.0,24981.0,1661.3,1212.3
2018,Kentucky,21,"Boone County, KY",21015,Black or African American,Not Hispanic or Latino,17.0,4503.0,Unreliable,Unreliable
2018,Kentucky,21,"Boone County, KY",21015,White,Hispanic or Latino,15.0,5049.0,Unreliable,Unreliable
2018,Kentucky,21,"Boone County, KY",21015,White,Not Hispanic or Latino,873.0,115116.0,758.4,714.4
2018,Kentucky,21,"Bourbon County, KY",21017,Black or African American,Not Hispanic or Latino,25.0,1164.0,2147.8,1311.6
2018,Kentucky,21,"Bourbon County, KY",21017,White,Not Hispanic or Latino,224.0,17091.0,1310.6,911.6
2018,Kentucky,21,"Boyd County, KY",21019,Black or African American,Not Hispanic or Latino,10.0,1323.0,Unreliable,Unreliable
2018,Kentucky,21,"Boyd County, KY",21019,White,Not Hispanic or Latino,640.0,43991.0,1454.8,1025.5
2018,Kentucky,21,"Boyle County, KY",21021,Black or African American,Not Hispanic or Latino,19.0,2325.0,Unreliable,Unreliable
2018,Kentucky,21,"Boyle County, KY",21021,White,Not Hispanic or Latino,331.0,25706.0,1287.6,852.6
2018,Kentucky,21,"Bracken County, KY",21023,White,Not Hispanic or Latino,103.0,7886.0,1306.1,1064.1
2018,Kentucky,21,"Breathitt County, KY",21025,White,Not Hispanic or Latino,218.0,12253.0,1779.2,1486.5
2018,Kentucky,21,"Breckinridge County, KY",21027,White,Not Hispanic or Latino,225.0,19178.0,1173.2,865.3
2018,Kentucky,21,"Bullitt County, KY",21029,White,Not Hispanic or Latino,648.0,76420.0,847.9,742.8
2018,Kentucky,21,"Butler County, KY",21031,White,Not Hispanic or Latino,165.0,12066.0,1367.5,1001.6
2018,Kentucky,21,"Caldwell County, KY",21033,White,Not Hispanic or Latino,168.0,11539.0,1455.9,965.0
2018,Kentucky,21,"Calloway County, KY",21035,Black or African American,Not Hispanic or Latino,10.0,1576.0,Unreliable,Unreliable
2018,Kentucky,21,"Calloway County, KY",21035,White,Not Hispanic or Latino,406.0,35051.0,1158.3,883.9
2018,Kentucky,21,"Campbell County, KY",21037,Black or African American,Not Hispanic or Latino,10.0,2653.0,Unreliable,Unreliable
2018,Kentucky,21,"Campbell County, KY",21037,White,Not Hispanic or Latino,864.0,85903.0,1005.8,814.3
2018,Kentucky,21,"Carlisle County, KY",21039,White,Not Hispanic or Latino,54.0,4449.0,1213.8,724.3
2018,Kentucky,21,"Carroll County, KY",21041,White,Not Hispanic or Latino,136.0,9502.0,1431.3,1182.6
2018,Kentucky,21,"Carter County, KY",21043,White,Not Hispanic or Latino,333.0,26084.0,1276.6,993.4
2018,Kentucky,21,"Casey County, KY",21045,White,Not Hispanic or Latino,187.0,14984.0,1248.0,914.4
2018,Kentucky,21,"Christian County, KY",21047,Black or African American,Not Hispanic or Latino,151.0,15346.0,984.0,1203.5
2018,Kentucky,21,"Christian County, KY",21047,White,Not Hispanic or Latino,498.0,46847.0,1063.0,948.7
2018,Kentucky,21,"Clark County, KY",21049,Black or African American,Not Hispanic or Latino,26.0,1707.0,1523.1,1199.7
2018,Kentucky,21,"Clark County, KY",21049,White,Not Hispanic or Latino,452.0,32637.0,1384.9,1072.5
2018,Kentucky,21,"Clay County, KY",21051,White,Not Hispanic or Latino,287.0,18627.0,1540.8,1332.3
2018,Kentucky,21,"Clinton County, KY",21053,White,Not Hispanic or Latino,121.0,9674.0,1250.8,906.2
2018,Kentucky,21,"Crittenden County, KY",21055,White,Not Hispanic or Latino,135.0,8567.0,1575.8,1132.6
2018,Kentucky,21,"Cumberland County, KY",21057,White,Not Hispanic or Latino,94.0,6225.0,1510.0,982.7
2018,Kentucky,21,"Daviess County, KY",21059,Black or African American,Not Hispanic or Latino,41.0,4953.0,827.8,924.0
2018,Kentucky,21,"Daviess County, KY",21059,White,Not Hispanic or Latino,1035.0,88742.0,1166.3,856.2
2018,Kentucky,21,"Edmonson County, KY",21061,White,Not Hispanic or Latino,141.0,11631.0,1212.3,832.8
2018,Kentucky,21,"Elliott County, KY",21063,White,Not Hispanic or Latino,75.0,7048.0,1064.1,839.2
2018,Kentucky,21,"Estill County, KY",21065,White,Not Hispanic or Latino,203.0,13778.0,1473.4,1172.1
2018,Kentucky,21,"Fayette County, KY",21067,Asian,Not Hispanic or Latino,23.0,13616.0,168.9,334.2
2018,Kentucky,21,"Fayette County, KY",21067,Black or African American,Not Hispanic or Latino,374.0,47805.0,782.3,898.9
2018,Kentucky,21,"Fayette County, KY",21067,White,Hispanic or Latino,33.0,20990.0,157.2,476.7
2018,Kentucky,21,"Fayette County, KY",21067,White,Not Hispanic or Latino,2087.0,229685.0,908.6,776.8
2018,Kentucky,21,"Fleming County, KY",21069,White,Not Hispanic or Latino,171.0,13817.0,1237.6,985.2
