year,state,state_code,county,county_code,race,ethnicity,deaths,population,crude_rate,age_adjusted_rate
2018,Louisiana,22,"Acadia Parish, LA",22001,Black or African American,Not Hispanic or Latino,125.0,11148.0,1121.3,1178.3
2018,Louisiana,22,"Acadia Parish, LA",22001,White,Not Hispanic or Latino,544.0,48053.0,1132.1,907.3
2018,Louisiana,22,"Allen Parish, LA",22003,Black or African American,Not Hispanic or Latino,52.0,5714.0,910.0,1003.1
2018,Louisiana,22,"Allen Parish, LA",22003,White,Not Hispanic or Latino,200.0,18172.0,1100.6,902.1
2018,Louisiana,22,"Ascension Parish, LA",22005,Black or African American,Not Hispanic or Latino,191.0,28968.0,659.3,914.7
2018,Louisiana,22,"Ascension Parish, LA",22005,White,Hispanic or Latino,12.0,6201.0,Unreliable,Unreliable
2018,Louisiana,22,"Ascension Parish, LA",22005,White,Not Hispanic or Latino,609.0,84955.0,716.9,738.5
2018,Louisiana,22,"Assumption Parish, LA",22007,Black or African American,Not Hispanic or Latino,67.0,6552.0,1022.6,948.7
2018,Louisiana,22,"Assumption Parish, LA",22007,White,Not Hispanic or Latino,141.0,14595.0,966.1,686.2
2018,Louisiana,22,"Avoyelles Parish, LA",22009,Black or African American,Not Hispanic or Latino,130.0,11959.0,1087.0,1253.1
2018,Louisiana,22,"Avoyelles Parish, LA",22009,White,Not Hispanic or Latino,383.0,26293.0,1456.7,1020.6
2018,Louisiana,22,"Beauregard Parish, LA",22011,Black or African American,Not Hispanic or Latino,49.0,4476.0,1094.7,1134.7
2018,Louisiana,22,"Beauregard Parish, LA",22011,White,Not Hispanic or Latino,332.0,29882.0,1111.0,921.2
2018,Louisiana,22,"Bienville Parish, LA",22013,Black or African American,Not Hispanic or Latino,78.0,5519.0,1413.3,1042.0
2018,Louisiana,22,"Bienville Parish, LA",22013,White,Not Hispanic or Latino,115.0,7260.0,1584.0,991.7
2018,Louisiana,22,"Bossier Parish, LA",22015,Black or African American,Not Hispanic or Latino,201.0,28567.0,703.6,876.4
2018,Louisiana,22,"Bossier Parish, LA",22015,White,Hispanic or Latino,17.0,7279.0,Unreliable,Unreliable
2018,Louisiana,22,"Bossier Parish, LA",22015,White,Not Hispanic or Latino,861.0,84243.0,1022.0,789.8
2018,Louisiana,22,"Caddo Parish, LA",22017,Asian,Not Hispanic or Latino,14.0,3009.0,Unreliable,Unreliable
2018,Louisiana,22,"Caddo Parish, LA",22017,Black or African American,Not Hispanic or Latino,1191.0,119992.0,992.6,1006.2
2018,Louisiana,22,"Caddo Parish, LA",22017,White,Hispanic or Latino,11.0,5378.0,Unreliable,Unreliable
2018,Louisiana,22,"Caddo Parish, LA",22017,White,Not Hispanic or Latino,1597.0,108243.0,1475.4,873.9
2018,Louisiana,22,"Calcasieu Parish, LA",22019,Black or African American,Not Hispanic or Latino,483.0,51534.0,937.2,1048.6
2018,Louisiana,22,"Calcasieu Parish, LA",22019,White,Hispanic or Latino,12.0,6314.0,Unreliable,Unreliable
2018,Louisiana,22,"Calcasieu Parish, LA",22019,White,Not Hispanic or Latino,1502.0,136433.0,1100.9,887.2
2018,Louisiana,22,"Caldwell Parish, LA",22021,Black or African American,Not Hispanic or Latino,17.0,1575.0,Unreliable,Unreliable
2018,Louisiana,22,"Caldwell Parish, LA",22021,White,Not Hispanic or Latino,111.0,7884.0,1407.9,1063.6
2018,Louisiana,22,"Cameron Parish, LA",22023,White,Not Hispanic or Latino,51.0,6232.0,818.4,702.3
2018,Louisiana,22,"Catahoula Parish, LA",22025,Black or African American,Not Hispanic or Latino,25.0,2931.0,853.0,1077.8
2018,Louisiana,22,"Catahoula Parish, LA",22025,White,Not Hispanic or Latino,96.0,6359.0,1509.7,1008.4
2018,Louisiana,22,"Claiborne Parish, LA",22027,Black or African American,Not Hispanic or Latino,66.0,8228.0,802.1,758.4
2018,Louisiana,22,"Claiborne Parish, LA",22027,White,Not Hispanic or Latino,116.0,7142.0,1624.2,870.9
2018,Louisiana,22,"Concordia Parish, LA",22029,Black or African American,Not Hispanic or Latino,105.0,7741.0,1356.4,1371.7
2018,Louisiana,22,"Concordia Parish, LA",22029,White,Not Hispanic or Latino,154.0,11188.0,1376.5,949.7
2018,Louisiana,22,"De Soto Parish, LA",22031,Black or African American,Not Hispanic or Latino,123.0,9806.0,1254.3,1098.7
2018,Louisiana,22,"De Soto Parish, LA",22031,White,Not Hispanic or Latino,174.0,16109.0,1080.1,774.9
2018,Louisiana,22,"East Baton Rouge Parish, LA",22033,Asian,Not Hispanic or Latino,43.0,14642.0,293.7,455.9
2018,Louisiana,22,"East Baton Rouge Parish, LA",22033,Black or African American,Not Hispanic or Latino,1669.0,205186.0,813.4,971.6
2018,Louisiana,22,"East Baton Rouge Parish, LA",22033,White,Hispanic or Latino,52.0,15155.0,343.1,486.3
2018,Louisiana,22,"East Baton Rouge Parish, LA",22033,White,Not Hispanic or Latino,2202.0,195801.0,1124.6,808.4
2018,Louisiana,22,"East Carroll Parish, LA",22035,Black or African American,Not Hispanic or Latino,69.0,4786.0,1441.7,1559.2
2018,Louisiana,22,"East Carroll Parish, LA",22035,White,Not Hispanic or Latino,29.0,1951.0,1486.4,840.4
2018,Louisiana,22,"East Feliciana Parish, LA",22037,Black or African American,Not Hispanic or Latino,90.0,8202.0,1097.3,1117.6
2018,Louisiana,22,"East Feliciana Parish, LA",22037,White,Not Hispanic or Latino,146.0,10382.0,1406.3,990.2
2018,Louisiana,22,"Evangeline Parish, LA",22039,Black or African American,Not Hispanic or Latino,94.0,9147.0,1027.7,1192.7
2018,Louisiana,22,"Evangeline Parish, LA",22039,White,Not Hispanic or Latino,297.0,22304.0,1331.6,1050.3
2018,Louisiana,22,"Franklin Parish, LA",22041,Black or African American,Not Hispanic or Latino,84.0,6352.0,1322.4,1274.6
2018,Louisiana,22,"Franklin Parish, LA",22041,White,Not Hispanic or Latino,199.0,13125.0,1516.2,1000.3
2018,Louisiana,22,"Grant Parish, LA",22043,Black or African American,Not Hispanic or Latino,29.0,3423.0,847.2,1129.2
2018,Louisiana,22,"Grant Parish, LA",22043,White,Not Hispanic or Latino,217.0,17209.0,1261.0,1030.8
2018,Louisiana,22,"Iberia Parish, LA",22045,Black or African American,Not Hispanic or Latino,255.0,22781.0,1119.4,1262.6
2018,Louisiana,22,"Iberia Parish, LA",22045,White,Not Hispanic or Latino,518.0,41706.0,1242.0,937.6
2018,Louisiana,22,"Iberville Parish, LA",22047,Black or African American,Not Hispanic or Latino,134.0,15791.0,848.6,866.6
2018,Louisiana,22,"Iberville Parish, LA",22047,White,Not Hispanic or Latino,198.0,15543.0,1273.9,912.9
2018,Louisiana,22,"Jackson Parish, LA",22049,Black or African American,Not Hispanic or Latino,70.0,4520.0,1548.7,1277.9
2018,Louisiana,22,"Jackson Parish, LA",22049,White,Not Hispanic or Latino,128.0,10729.0,1193.0,800.1
2018,Louisiana,22,"Jefferson Parish, LA",22051,American Indian or Alaska Native,Not Hispanic or Latino,12.0,1772.0,Unreliable,Unreliable
2018,Louisiana,22,"Jefferson Parish, LA",22051,Asian,Not Hispanic or Latino,79.0,17869.0,442.1,527.7
2018,Louisiana,22,"Jefferson Parish, LA",22051,Black or African American,Not Hispanic or Latino,941.0,116407.0,808.4,977.6
2018,Louisiana,22,"Jefferson Parish, LA",22051,White,Hispanic or Latino,243.0,56333.0,431.4,477.8
2018,Louisiana,22,"Jefferson Parish, LA",22051,White,Not Hispanic or Latino,3003.0,227223.0,1321.6,810.4
2018,Louisiana,22,"Jefferson Davis Parish, LA",22053,Black or African American,Not Hispanic or Latino,60.0,5186.0,1157.0,1173.0
2018,Louisiana,22,"Jefferson Davis Parish, LA",22053,White,Not Hispanic or Latino,324.0,24622.0,1315.9,1021.3
2018,Louisiana,22,"Lafayette Parish, LA",22055,Asian,Not Hispanic or Latino,12.0,4567.0,Unreliable,Unreliable
2018,Louisiana,22,"Lafayette Parish, LA",22055,Black or African American,Not Hispanic or Latino,460.0,64018.0,718.5,953.9
2018,Louisiana,22,"Lafayette Parish, LA",22055,White,Hispanic or Latino,24.0,9550.0,251.3,407.5
2018,Louisiana,22,"Lafayette Parish, LA",22055,White,Not Hispanic or Latino,1350.0,158659.0,850.9,730.3
2018,Louisiana,22,"Lafourche Parish, LA",22057,American Indian or Alaska Native,Not Hispanic or Latino,15.0,2755.0,Unreliable,Unreliable
2018,Louisiana,22,"Lafourche Parish, LA",22057,Black or African American,Not Hispanic or Latino,139.0,13120.0,1059.5,1272.7
2018,Louisiana,22,"Lafourche Parish, LA",22057,White,Hispanic or Latino,11.0,3567.0,Unreliable,Unreliable
2018,Louisiana,22,"Lafourche Parish, LA",22057,White,Not Hispanic or Latino,738.0,75335.0,979.6,741.7
2018,Louisiana,22,"LaSalle Parish, LA",22059,Black or African American,Not Hispanic or Latino,17.0,1786.0,Unreliable,Unreliable
2018,Louisiana,22,"LaSalle Parish, LA",22059,White,Not Hispanic or Latino,153.0,12322.0,1241.7,970.1
