year,state,state_code,county,county_code,cause_category,cause,cause_code,deaths,population,crude_rate
2018,Louisiana,22,"Acadia Parish, LA",22001,Sepsis,"Septicaemia, unspecified",A41.9,21.0,62190.0,33.8
2018,Louisiana,22,"Acadia Parish, LA",22001,Malignant neoplasms,"Colon, unspecified - Malignant neoplasms",C18.9,12.0,62190.0,Unreliable
2018,Louisiana,22,"Acadia Parish, LA",22001,Malignant neoplasms,"Pancreas, unspecified - Malignant neoplasms",C25.9,11.0,62190.0,Unreliable
2018,Louisiana,22,"Acadia Parish, LA",22001,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,39.0,62190.0,62.7
2018,Louisiana,22,"Acadia Parish, LA",22001,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,46.0,62190.0,74.0
2018,Louisiana,22,"Acadia Parish, LA",22001,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,53.0,62190.0,85.2
2018,Louisiana,22,"Acadia Parish, LA",22001,Ischemic heart disease,Atherosclerotic heart disease,I25.1,32.0,62190.0,51.5
2018,Louisiana,22,"Acadia Parish, LA",22001,Other diseases of the circulatory system,"Cardiac arrest, unspecified",I46.9,12.0,62190.0,Unreliable
2018,Louisiana,22,"Acadia Parish, LA",22001,Other diseases of the circulatory system,Congestive heart failure,I50.0,29.0,62190.0,46.6
2018,Louisiana,22,"Acadia Parish, LA",22001,Other diseases of the circulatory system,"Heart failure, unspecified",I50.9,10.0,62190.0,Unreliable
2018,Louisiana,22,"Acadia Parish, LA",22001,Other diseases of the circulatory system,"Heart disease, unspecified",I51.9,20.0,62190.0,32.2
2018,Louisiana,22,"Acadia Parish, LA",22001,Cerebrovascular diseases,"Stroke, not specified as haemorrhage or infarction",I64,15.0,62190.0,Unreliable
2018,Louisiana,22,"Acadia Parish, LA",22001,Influenza and pneumonia,"Pneumonia, unspecified",J18.9,22.0,62190.0,35.4
2018,Louisiana,22,"Acadia Parish, LA",22001,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,33.0,62190.0,53.1
2018,Louisiana,22,"Allen Parish, LA",22003,Alzheimer disease and dementia,Unspecified dementia,F03,16.0,25605.0,Unreliable
2018,Louisiana,22,"Allen Parish, LA",22003,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,14.0,25605.0,Unreliable
2018,Louisiana,22,"Allen Parish, LA",22003,Ischemic heart disease,Atherosclerotic heart disease,I25.1,27.0,25605.0,105.4
2018,Louisiana,22,"Allen Parish, LA",22003,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,14.0,25605.0,Unreliable
2018,Louisiana,22,"Ascension Parish, LA",22005,Sepsis,"Septicaemia, unspecified",A41.9,17.0,124672.0,Unreliable
2018,Louisiana,22,"Ascension Parish, LA",22005,Malignant neoplasms,"Colon, unspecified - Malignant neoplasms",C18.9,11.0,124672.0,Unreliable
2018,Louisiana,22,"Ascension Parish, LA",22005,Malignant neoplasms,"Pancreas, unspecified - Malignant neoplasms",C25.9,11.0,124672.0,Unreliable
2018,Louisiana,22,"Ascension Parish, LA",22005,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,42.0,124672.0,33.7
2018,Louisiana,22,"Ascension Parish, LA",22005,Malignant neoplasms,"Breast, unspecified - Malignant neoplasms",C50.9,15.0,124672.0,Unreliable
2018,Louisiana,22,"Ascension Parish, LA",22005,Alzheimer disease and dementia,Unspecified dementia,F03,21.0,124672.0,16.8
2018,Louisiana,22,"Ascension Parish, LA",22005,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,35.0,124672.0,28.1
2018,Louisiana,22,"Ascension Parish, LA",22005,Hypertensive diseases,Hypertensive heart disease without (congestive) heart failure,I11.9,13.0,124672.0,Unreliable
2018,Louisiana,22,"Ascension Parish, LA",22005,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,39.0,124672.0,31.3
2018,Louisiana,22,"Ascension Parish, LA",22005,Ischemic heart disease,"Atherosclerotic cardiovascular disease, so described",I25.0,23.0,124672.0,18.4
2018,Louisiana,22,"Ascension Parish, LA",22005,Ischemic heart disease,Atherosclerotic heart disease,I25.1,25.0,124672.0,20.1
2018,Louisiana,22,"Ascension Parish, LA",22005,Other diseases of the circulatory system,Congestive heart failure,I50.0,50.0,124672.0,40.1
2018,Louisiana,22,"Ascension Parish, LA",22005,Cerebrovascular diseases,"Stroke, not specified as haemorrhage or infarction",I64,29.0,124672.0,23.3
