year,state,state_code,county,county_code,race,ethnicity,deaths,population,crude_rate,age_adjusted_rate
2018,Maine,23,"Androscoggin County, ME",23001,Black or African American,Not Hispanic or Latino,10.0,4506.0,Unreliable,Unreliable
2018,Maine,23,"Androscoggin County, ME",23001,White,Not Hispanic or Latino,1173.0,97327.0,1205.2,863.4
2018,Maine,23,"Aroostook County, ME",23003,American Indian or Alaska Native,Not Hispanic or Latino,14.0,1226.0,Unreliable,Unreliable
2018,Maine,23,"Aroostook County, ME",23003,White,Not Hispanic or Latino,835.0,63050.0,1324.3,744.1
2018,Maine,23,"Cumberland County, ME",23005,Asian,Not Hispanic or Latino,24.0,6584.0,364.5,447.0
2018,Maine,23,"Cumberland County, ME",23005,Black or African American,Not Hispanic or Latino,32.0,8874.0,360.6,809.7
2018,Maine,23,"Cumberland County, ME",23005,White,Hispanic or Latino,13.0,5402.0,Unreliable,Unreliable
2018,Maine,23,"Cumberland County, ME",23005,White,Not Hispanic or Latino,2684.0,265239.0,1011.9,694.1
2018,Maine,23,"Franklin County, ME",23007,White,Not Hispanic or Latino,370.0,28612.0,1293.2,838.3
2018,Maine,23,"Hancock County, ME",23009,White,Not Hispanic or Latino,596.0,51877.0,1148.9,676.2
2018,Maine,23,"Kennebec County, ME",23011,White,Not Hispanic or Latino,1339.0,115440.0,1159.9,794.4
2018,Maine,23,"Knox County, ME",23013,White,Not Hispanic or Latino,499.0,37832.0,1319.0,732.1
2018,Maine,23,"Lincoln County, ME",23015,White,Not Hispanic or Latino,418.0,32897.0,1270.6,694.0
2018,Maine,23,"Oxford County, ME",23017,White,Not Hispanic or Latino,699.0,54833.0,1274.8,839.0
2018,Maine,23,"Penobscot County, ME",23019,American Indian or Alaska Native,Not Hispanic or Latino,25.0,1855.0,1347.7,1576.3
2018,Maine,23,"Penobscot County, ME",23019,White,Not Hispanic or Latino,1682.0,141518.0,1188.5,842.2
2018,Maine,23,"Piscataquis County, ME",23021,White,Not Hispanic or Latino,244.0,15981.0,1526.8,866.0
2018,Maine,23,"Sagadahoc County, ME",23023,White,Not Hispanic or Latino,361.0,33661.0,1072.5,711.6
