year,state,state_code,county,county_code,cause_category,cause,cause_code,deaths,population,crude_rate
2018,Maine,23,"Androscoggin County, ME",23001,Malignant neoplasms,"Colon, unspecified - Malignant neoplasms",C18.9,16.0,107679.0,Unreliable
2018,Maine,23,"Androscoggin County, ME",23001,Malignant neoplasms,"Pancreas, unspecified - Malignant neoplasms",C25.9,20.0,107679.0,18.6
2018,Maine,23,"Androscoggin County, ME",23001,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,79.0,107679.0,73.4
2018,Maine,23,"Androscoggin County, ME",23001,Malignant neoplasms,"Malignant neoplasm of kidney, except renal pelvis",C64,13.0,107679.0,Unreliable
2018,Maine,23,"Androscoggin County, ME",23001,Malignant neoplasms,Malignant neoplasm without specification of site,C80,18.0,107679.0,Unreliable
2018,Maine,23,"Androscoggin County, ME",23001,Diabetes,"Unspecified diabetes mellitus, without complications",E14.9,14.0,107679.0,Unreliable
2018,Maine,23,"Androscoggin County, ME",23001,Alzheimer disease and dementia,"Vascular dementia, unspecified",F01.9,11.0,107679.0,Unreliable
2018,Maine,23,"Androscoggin County, ME",23001,Alzheimer disease and dementia,Unspecified dementia,F03,51.0,107679.0,47.4
2018,Maine,23,"Androscoggin County, ME",23001,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,100.0,107679.0,92.9
2018,Maine,23,"Androscoggin County, ME",23001,Hypertensive diseases,Hypertensive heart disease with (congestive) heart failure,I11.0,13.0,107679.0,Unreliable
2018,Maine,23,"Androscoggin County, ME",23001,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,32.0,107679.0,29.7
2018,Maine,23,"Androscoggin County, ME",23001,Ischemic heart disease,"Atherosclerotic cardiovascular disease, so described",I25.0,11.0,107679.0,Unreliable
2018,Maine,23,"Androscoggin County, ME",23001,Ischemic heart disease,Atherosclerotic heart disease,I25.1,77.0,107679.0,71.5
2018,Maine,23,"Androscoggin County, ME",23001,Other diseases of the circulatory system,Aortic (valve) stenosis,I35.0,13.0,107679.0,Unreliable
2018,Maine,23,"Androscoggin County, ME",23001,Other diseases of the circulatory system,Atrial fibrillation and flutter,I48,11.0,107679.0,Unreliable
2018,Maine,23,"Androscoggin County, ME",23001,Other diseases of the circulatory system,Congestive heart failure,I50.0,20.0,107679.0,18.6
2018,Maine,23,"Androscoggin County, ME",23001,Other diseases of the circulatory system,"Cardiovascular disease, unspecified",I51.6,15.0,107679.0,Unreliable
2018,Maine,23,"Androscoggin County, ME",23001,Cerebrovascular diseases,"Stroke, not specified as haemorrhage or infarction",I64,19.0,107679.0,Unreliable
2018,Maine,23,"Androscoggin County, ME",23001,Influenza and pneumonia,"Pneumonia, unspecified",J18.9,23.0,107679.0,21.4
2018,Maine,23,"Androscoggin County, ME",23001,Chronic lower respiratory diseases,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,12.0,107679.0,Unreliable
2018,Maine,23,"Androscoggin County, ME",23001,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,73.0,107679.0,67.8
2018,Maine,23,"Androscoggin County, ME",23001,Other diseases of the respiratory system,Other interstitial pulmonary diseases with fibrosis,J84.1,12.0,107679.0,Unreliable
2018,Maine,23,"Androscoggin County, ME",23001,Other diseases of the respiratory system,"Interstitial pulmonary disease, unspecified",J84.9,13.0,107679.0,Unreliable
2018,Maine,23,"Aroostook County, ME",23003,Malignant neoplasms,"Colon, unspecified - Malignant neoplasms",C18.9,14.0,67111.0,Unreliable
2018,Maine,23,"Aroostook County, ME",23003,Malignant neoplasms,"Pancreas, unspecified - Malignant neoplasms",C25.9,11.0,67111.0,Unreliable
2018,Maine,23,"Aroostook County, ME",23003,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,46.0,67111.0,68.5
2018,Maine,23,"Aroostook County, ME",23003,Malignant neoplasms,Malignant neoplasm of prostate,C61,14.0,67111.0,Unreliable
2018,Maine,23,"Aroostook County, ME",23003,Malignant neoplasms,"Malignant neoplasm of kidney, except renal pelvis",C64,10.0,67111.0,Unreliable
2018,Maine,23,"Aroostook County, ME",23003,Malignant neoplasms,Malignant neoplasm without specification of site,C80,10.0,67111.0,Unreliable
2018,Maine,23,"Aroostook County, ME",23003,Alzheimer disease and dementia,Unspecified dementia,F03,61.0,67111.0,90.9
2018,Maine,23,"Aroostook County, ME",23003,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,27.0,67111.0,40.2
2018,Maine,23,"Aroostook County, ME",23003,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,37.0,67111.0,55.1
2018,Maine,23,"Aroostook County, ME",23003,Ischemic heart disease,Atherosclerotic heart disease,I25.1,36.0,67111.0,53.6
2018,Maine,23,"Aroostook County, ME",23003,Other diseases of the circulatory system,Aortic (valve) stenosis,I35.0,14.0,67111.0,Unreliable
2018,Maine,23,"Aroostook County, ME",23003,Other diseases of the circulatory system,Atrial fibrillation and flutter,I48,12.0,67111.0,Unreliable
