year,state,state_code,county,county_code,race,ethnicity,deaths,population,crude_rate,age_adjusted_rate
2018,Maryland,24,"Allegany County, MD",24001,Black or African American,Not Hispanic or Latino,29.0,5719.0,507.1,1202.4
2018,Maryland,24,"Allegany County, MD",24001,White,Not Hispanic or Latino,836.0,61586.0,1357.5,856.1
2018,Maryland,24,"Anne Arundel County, MD",24003,Asian,Not Hispanic or Latino,91.0,23617.0,385.3,516.9
2018,Maryland,24,"Anne Arundel County, MD",24003,Black or African American,Not Hispanic or Latino,668.0,98694.0,676.8,843.9
2018,Maryland,24,"Anne Arundel County, MD",24003,White,Hispanic or Latino,84.0,38124.0,220.3,516.3
2018,Maryland,24,"Anne Arundel County, MD",24003,White,Not Hispanic or Latino,3739.0,389064.0,961.0,740.3
2018,Maryland,24,"Anne Arundel County, MD",24003,More than one race,Not Hispanic or Latino,13.0,16192.0,Unreliable,Unreliable
2018,Maryland,24,"Baltimore County, MD",24005,American Indian or Alaska Native,Not Hispanic or Latino,15.0,2209.0,Unreliable,Unreliable
2018,Maryland,24,"Baltimore County, MD",24005,Asian,Not Hispanic or Latino,148.0,51810.0,285.7,352.4
2018,Maryland,24,"Baltimore County, MD",24005,Black or African American,Not Hispanic or Latino,1839.0,240203.0,765.6,845.1
2018,Maryland,24,"Baltimore County, MD",24005,White,Hispanic or Latino,80.0,35276.0,226.8,380.7
2018,Maryland,24,"Baltimore County, MD",24005,White,Not Hispanic or Latino,6405.0,468512.0,1367.1,793.1
2018,Maryland,24,"Baltimore County, MD",24005,More than one race,Not Hispanic or Latino,14.0,18580.0,Unreliable,Unreliable
2018,Maryland,24,"Calvert County, MD",24009,Black or African American,Not Hispanic or Latino,106.0,11726.0,904.0,778.7
2018,Maryland,24,"Calvert County, MD",24009,White,Not Hispanic or Latino,554.0,71750.0,772.1,656.4
2018,Maryland,24,"Caroline County, MD",24011,Black or African American,Not Hispanic or Latino,65.0,4585.0,1417.7,1234.2
2018,Maryland,24,"Caroline County, MD",24011,White,Not Hispanic or Latino,283.0,25128.0,1126.2,867.7
2018,Maryland,24,"Carroll County, MD",24013,Black or African American,Not Hispanic or Latino,37.0,6102.0,606.4,638.6
2018,Maryland,24,"Carroll County, MD",24013,White,Not Hispanic or Latino,1625.0,149421.0,1087.5,819.0
2018,Maryland,24,"Cecil County, MD",24015,Black or African American,Not Hispanic or Latino,57.0,6821.0,835.7,1109.6
2018,Maryland,24,"Cecil County, MD",24015,White,Not Hispanic or Latino,936.0,87286.0,1072.3,889.1
2018,Maryland,24,"Charles County, MD",24017,Asian,Not Hispanic or Latino,15.0,5279.0,Unreliable,Unreliable
2018,Maryland,24,"Charles County, MD",24017,Black or African American,Not Hispanic or Latino,447.0,77309.0,578.2,817.0
2018,Maryland,24,"Charles County, MD",24017,White,Hispanic or Latino,16.0,6716.0,Unreliable,Unreliable
2018,Maryland,24,"Charles County, MD",24017,White,Not Hispanic or Latino,653.0,62340.0,1047.5,758.3
2018,Maryland,24,"Dorchester County, MD",24019,Black or African American,Not Hispanic or Latino,117.0,8942.0,1308.4,1093.6
2018,Maryland,24,"Dorchester County, MD",24019,White,Not Hispanic or Latino,289.0,20024.0,1443.3,813.2
2018,Maryland,24,"Frederick County, MD",24021,Asian,Not Hispanic or Latino,36.0,11943.0,301.4,391.8
2018,Maryland,24,"Frederick County, MD",24021,Black or African American,Not Hispanic or Latino,139.0,24579.0,565.5,741.9
2018,Maryland,24,"Frederick County, MD",24021,White,Hispanic or Latino,36.0,21884.0,164.5,347.9
2018,Maryland,24,"Frederick County, MD",24021,White,Not Hispanic or Latino,1650.0,185746.0,888.3,677.2
2018,Maryland,24,"Garrett County, MD",24023,White,Not Hispanic or Latino,344.0,28095.0,1224.4,761.8
2018,Maryland,24,"Harford County, MD",24025,Asian,Not Hispanic or Latino,30.0,7656.0,391.8,416.5
2018,Maryland,24,"Harford County, MD",24025,Black or African American,Not Hispanic or Latino,215.0,35427.0,606.9,739.6
2018,Maryland,24,"Harford County, MD",24025,White,Hispanic or Latino,22.0,9324.0,236.0,355.3
2018,Maryland,24,"Harford County, MD",24025,White,Not Hispanic or Latino,1971.0,191835.0,1027.4,769.0
2018,Maryland,24,"Howard County, MD",24027,Asian,Not Hispanic or Latino,168.0,61246.0,274.3,360.9
2018,Maryland,24,"Howard County, MD",24027,Black or African American,Not Hispanic or Latino,349.0,62362.0,559.6,663.1
2018,Maryland,24,"Howard County, MD",24027,White,Hispanic or Latino,39.0,17903.0,217.8,424.7
2018,Maryland,24,"Howard County, MD",24027,White,Not Hispanic or Latino,1214.0,165027.0,735.6,573.4
2018,Maryland,24,"Kent County, MD",24029,Black or African American,Not Hispanic or Latino,56.0,2814.0,1990.0,1193.9
2018,Maryland,24,"Kent County, MD",24029,White,Not Hispanic or Latino,223.0,15116.0,1475.3,712.4
2018,Maryland,24,"Montgomery County, MD",24031,Asian,Not Hispanic or Latino,625.0,161479.0,387.0,346.7
2018,Maryland,24,"Montgomery County, MD",24031,Black or African American,Hispanic or Latino,12.0,15191.0,Unreliable,Unreliable
2018,Maryland,24,"Montgomery County, MD",24031,Black or African American,Not Hispanic or Latino,1034.0,194272.0,532.2,591.1
2018,Maryland,24,"Montgomery County, MD",24031,White,Hispanic or Latino,404.0,177304.0,227.9,334.8
2018,Maryland,24,"Montgomery County, MD",24031,White,Not Hispanic or Latino,4321.0,456832.0,945.9,522.8
2018,Maryland,24,"Montgomery County, MD",24031,More than one race,Not Hispanic or Latino,13.0,28710.0,Unreliable,Unreliable
2018,Maryland,24,"Prince George's County, MD",24033,American Indian or Alaska Native,Not Hispanic or Latino,11.0,2240.0,Unreliable,Unreliable
2018,Maryland,24,"Prince George's County, MD",24033,Asian,Not Hispanic or Latino,144.0,39218.0,367.2,357.6
2018,Maryland,24,"Prince George's County, MD",24033,Black or African American,Hispanic or Latino,20.0,23183.0,86.3,214.6
2018,Maryland,24,"Prince George's County, MD",24033,Black or African American,Not Hispanic or Latino,4212.0,562614.0,748.6,723.5
2018,Maryland,24,"Prince George's County, MD",24033,White,Hispanic or Latino,270.0,131816.0,204.8,478.6
2018,Maryland,24,"Prince George's County, MD",24033,White,Not Hispanic or Latino,1440.0,113354.0,1270.4,742.6
2018,Maryland,24,"Prince George's County, MD",24033,More than one race,Not Hispanic or Latino,21.0,18213.0,115.3,272.1
2018,Maryland,24,"Queen Anne's County, MD",24035,Black or African American,Not Hispanic or Latino,42.0,3113.0,1349.2,985.3
2018,Maryland,24,"Queen Anne's County, MD",24035,White,Not Hispanic or Latino,401.0,43383.0,924.3,691.8
2018,Maryland,24,"St. Mary's County, MD",24037,Black or African American,Not Hispanic or Latino,156.0,16118.0,967.9,1016.1
2018,Maryland,24,"St. Mary's County, MD",24037,White,Not Hispanic or Latino,702.0,83212.0,843.6,773.2
2018,Maryland,24,"Somerset County, MD",24039,Black or African American,Not Hispanic or Latino,80.0,10622.0,753.2,989.5
2018,Maryland,24,"Somerset County, MD",24039,White,Not Hispanic or Latino,197.0,13204.0,1492.0,923.6
2018,Maryland,24,"Talbot County, MD",24041,Black or African American,Not Hispanic or Latino,61.0,4578.0,1332.5,850.6
2018,Maryland,24,"Talbot County, MD",24041,White,Not Hispanic or Latino,398.0,28735.0,1385.1,625.3
2018,Maryland,24,"Washington County, MD",24043,Black or African American,Not Hispanic or Latino,87.0,17503.0,497.1,874.8
2018,Maryland,24,"Washington County, MD",24043,White,Hispanic or Latino,14.0,6576.0,Unreliable,Unreliable
2018,Maryland,24,"Washington County, MD",24043,White,Not Hispanic or Latino,1587.0,118045.0,1344.4,891.2
2018,Maryland,24,"Wicomico County, MD",24045,Black or African American,Not Hispanic or Latino,240.0,27313.0,878.7,982.9
2018,Maryland,24,"Wicomico County, MD",24045,White,Hispanic or Latino,11.0,4270.0,Unreliable,Unreliable
2018,Maryland,24,"Wicomico County, MD",24045,White,Not Hispanic or Latino,781.0,64333.0,1214.0,860.9
2018,Maryland,24,"Worcester County, MD",24047,Black or African American,Not Hispanic or Latino,78.0,6656.0,1171.9,832.0
2018,Maryland,24,"Worcester County, MD",24047,White,Not Hispanic or Latino,560.0,41536.0,1348.2,694.3
2018,Maryland,24,"Baltimore city, MD",24510,American Indian or Alaska Native,Not Hispanic or Latino,10.0,1679.0,Unreliable,Unreliable
2018,Maryland,24,"Baltimore city, MD",24510,Asian,Not Hispanic or Latino,33.0,16249.0,203.1,307.6
2018,Maryland,24,"Baltimore city, MD",24510,Black or African American,Not Hispanic or Latino,4817.0,372960.0,1291.6,1158.3
2018,Maryland,24,"Baltimore city, MD",24510,White,Hispanic or Latino,63.0,24062.0,261.8,564.3
2018,Maryland,24,"Baltimore city, MD",24510,White,Not Hispanic or Latino,1805.0,167248.0,1079.2,902.5
2019,Maryland,24,"Allegany County, MD",24001,Black or African American,Not Hispanic or Latino,27.0,5707.0,473.1,971.5
2019,Maryland,24,"Allegany County, MD",24001,White,Not Hispanic or Latino,880.0,61036.0,1441.8,875.2
2019,Maryland,24,"Anne Arundel County, MD",24003,Asian,Not Hispanic or Latino,91.0,23841.0,381.7,458.5
2019,Maryland,24,"Anne Arundel County, MD",24003,Black or African American,Not Hispanic or Latino,644.0,101478.0,634.6,774.5
2019,Maryland,24,"Anne Arundel County, MD",24003,White,Hispanic or Latino,85.0,40027.0,212.4,455.5
2019,Maryland,24,"Anne Arundel County, MD",24003,White,Not Hispanic or Latino,3671.0,386285.0,950.3,719.7
2019,Maryland,24,"Anne Arundel County, MD",24003,More than one race,Not Hispanic or Latino,15.0,16925.0,Unreliable,Unreliable
2019,Maryland,24,"Baltimore County, MD",24005,American Indian or Alaska Native,Not Hispanic or Latino,10.0,2248.0,Unreliable,Unreliable
2019,Maryland,24,"Baltimore County, MD",24005,Asian,Not Hispanic or Latino,149.0,51603.0,288.7,352.4
2019,Maryland,24,"Baltimore County, MD",24005,Black or African American,Not Hispanic or Latino,1939.0,244532.0,792.9,853.4
2019,Maryland,24,"Baltimore County, MD",24005,White,Hispanic or Latino,100.0,36354.0,275.1,413.7
2019,Maryland,24,"Baltimore County, MD",24005,White,Not Hispanic or Latino,6273.0,461626.0,1358.9,771.9
2019,Maryland,24,"Baltimore County, MD",24005,More than one race,Not Hispanic or Latino,22.0,18997.0,115.8,222.5
2019,Maryland,24,"Calvert County, MD",24009,Black or African American,Not Hispanic or Latino,110.0,11907.0,923.8,829.9
2019,Maryland,24,"Calvert County, MD",24009,White,Hispanic or Latino,12.0,3255.0,Unreliable,Unreliable
2019,Maryland,24,"Calvert County, MD",24009,White,Not Hispanic or Latino,651.0,71709.0,907.8,749.0
2019,Maryland,24,"Caroline County, MD",24011,Black or African American,Not Hispanic or Latino,51.0,4556.0,1119.4,985.9
2019,Maryland,24,"Caroline County, MD",24011,White,Not Hispanic or Latino,257.0,25102.0,1023.8,764.4
2019,Maryland,24,"Carroll County, MD",24013,Asian,Not Hispanic or Latino,13.0,3451.0,Unreliable,Unreliable
2019,Maryland,24,"Carroll County, MD",24013,Black or African American,Not Hispanic or Latino,56.0,6289.0,890.4,892.5
2019,Maryland,24,"Carroll County, MD",24013,White,Hispanic or Latino,15.0,5629.0,Unreliable,Unreliable
2019,Maryland,24,"Carroll County, MD",24013,White,Not Hispanic or Latino,1560.0,148781.0,1048.5,776.7
2019,Maryland,24,"Cecil County, MD",24015,Black or African American,Not Hispanic or Latino,74.0,6959.0,1063.4,1370.2
2019,Maryland,24,"Cecil County, MD",24015,White,Hispanic or Latino,14.0,3818.0,Unreliable,Unreliable
2019,Maryland,24,"Cecil County, MD",24015,White,Not Hispanic or Latino,1002.0,87009.0,1151.6,937.6
2019,Maryland,24,"Charles County, MD",24017,Asian,Not Hispanic or Latino,16.0,5346.0,Unreliable,Unreliable
2019,Maryland,24,"Charles County, MD",24017,Black or African American,Not Hispanic or Latino,506.0,79891.0,633.4,850.5
2019,Maryland,24,"Charles County, MD",24017,White,Hispanic or Latino,15.0,7119.0,Unreliable,Unreliable
2019,Maryland,24,"Charles County, MD",24017,White,Not Hispanic or Latino,679.0,60813.0,1116.5,788.4
2019,Maryland,24,"Dorchester County, MD",24019,Black or African American,Not Hispanic or Latino,132.0,8906.0,1482.1,1272.4
2019,Maryland,24,"Dorchester County, MD",24019,White,Not Hispanic or Latino,278.0,19902.0,1396.8,785.7
2019,Maryland,24,"Frederick County, MD",24021,Asian,Not Hispanic or Latino,28.0,12525.0,223.6,326.9
2019,Maryland,24,"Frederick County, MD",24021,Black or African American,Not Hispanic or Latino,140.0,25804.0,542.6,740.2
2019,Maryland,24,"Frederick County, MD",24021,White,Hispanic or Latino,45.0,23221.0,193.8,415.6
2019,Maryland,24,"Frederick County, MD",24021,White,Not Hispanic or Latino,1731.0,186170.0,929.8,686.9
2019,Maryland,24,"Garrett County, MD",24023,White,Not Hispanic or Latino,357.0,27920.0,1278.7,814.1
2019,Maryland,24,"Harford County, MD",24025,Asian,Not Hispanic or Latino,32.0,7711.0,415.0,460.4
2019,Maryland,24,"Harford County, MD",24025,Black or African American,Not Hispanic or Latino,250.0,36457.0,685.7,874.9
2019,Maryland,24,"Harford County, MD",24025,White,Hispanic or Latino,24.0,9499.0,252.7,495.6
2019,Maryland,24,"Harford County, MD",24025,White,Not Hispanic or Latino,1889.0,191831.0,984.7,731.3
2019,Maryland,24,"Howard County, MD",24027,Asian,Not Hispanic or Latino,178.0,62425.0,285.1,348.8
2019,Maryland,24,"Howard County, MD",24027,Black or African American,Not Hispanic or Latino,354.0,63975.0,553.3,644.7
2019,Maryland,24,"Howard County, MD",24027,White,Hispanic or Latino,31.0,18542.0,167.2,308.9
2019,Maryland,24,"Howard County, MD",24027,White,Not Hispanic or Latino,1233.0,163681.0,753.3,578.6
2019,Maryland,24,"Kent County, MD",24029,Black or African American,Not Hispanic or Latino,49.0,2803.0,1748.1,1075.2
2019,Maryland,24,"Kent County, MD",24029,White,Not Hispanic or Latino,212.0,15109.0,1403.1,724.9
2019,Maryland,24,"Montgomery County, MD",24031,Asian,Not Hispanic or Latino,618.0,161278.0,383.2,323.3
2019,Maryland,24,"Montgomery County, MD",24031,Black or African American,Hispanic or Latino,19.0,15420.0,Unreliable,Unreliable
2019,Maryland,24,"Montgomery County, MD",24031,Black or African American,Not Hispanic or Latino,1032.0,196127.0,526.2,569.8
2019,Maryland,24,"Montgomery County, MD",24031,White,Hispanic or Latino,400.0,178836.0,223.7,309.8
2019,Maryland,24,"Montgomery County, MD",24031,White,Not Hispanic or Latino,4102.0,451227.0,909.1,502.7
2019,Maryland,24,"Montgomery County, MD",24031,More than one race,Not Hispanic or Latino,12.0,29021.0,Unreliable,Unreliable
2019,Maryland,24,"Prince George's County, MD",24033,American Indian or Alaska Native,Not Hispanic or Latino,10.0,2237.0,Unreliable,Unreliable
2019,Maryland,24,"Prince George's County, MD",24033,Asian,Not Hispanic or Latino,165.0,38337.0,430.4,388.9
2019,Maryland,24,"Prince George's County, MD",24033,Black or African American,Hispanic or Latino,37.0,24257.0,152.5,322.9
2019,Maryland,24,"Prince George's County, MD",24033,Black or African American,Not Hispanic or Latino,4382.0,561056.0,781.0,725.9
