year,state,state_code,county,county_code,cause_category,cause,cause_code,deaths,population,crude_rate
2018,Maryland,24,"Allegany County, MD",24001,Malignant neoplasms,"Colon, unspecified - Malignant neoplasms",C18.9,12.0,70975.0,Unreliable
2018,Maryland,24,"Allegany County, MD",24001,Malignant neoplasms,"Pancreas, unspecified - Malignant neoplasms",C25.9,12.0,70975.0,Unreliable
2018,Maryland,24,"Allegany County, MD",24001,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,47.0,70975.0,66.2
2018,Maryland,24,"Allegany County, MD",24001,Malignant neoplasms,"Breast, unspecified - Malignant neoplasms",C50.9,10.0,70975.0,Unreliable
2018,Maryland,24,"Allegany County, MD",24001,Malignant neoplasms,Malignant neoplasm of prostate,C61,12.0,70975.0,Unreliable
2018,Maryland,24,"Allegany County, MD",24001,Malignant neoplasms,Malignant neoplasm without specification of site,C80,11.0,70975.0,Unreliable
2018,Maryland,24,"Allegany County, MD",24001,Alzheimer disease and dementia,Unspecified dementia,F03,31.0,70975.0,43.7
2018,Maryland,24,"Allegany County, MD",24001,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,44.0,70975.0,62.0
2018,Maryland,24,"Allegany County, MD",24001,Hypertensive diseases,Hypertensive heart disease without (congestive) heart failure,I11.9,26.0,70975.0,36.6
2018,Maryland,24,"Allegany County, MD",24001,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,22.0,70975.0,31.0
2018,Maryland,24,"Allegany County, MD",24001,Ischemic heart disease,"Atherosclerotic cardiovascular disease, so described",I25.0,22.0,70975.0,31.0
2018,Maryland,24,"Allegany County, MD",24001,Ischemic heart disease,Atherosclerotic heart disease,I25.1,79.0,70975.0,111.3
2018,Maryland,24,"Allegany County, MD",24001,Other diseases of the circulatory system,Atrial fibrillation and flutter,I48,10.0,70975.0,Unreliable
2018,Maryland,24,"Allegany County, MD",24001,Other diseases of the circulatory system,Congestive heart failure,I50.0,13.0,70975.0,Unreliable
2018,Maryland,24,"Allegany County, MD",24001,Cerebrovascular diseases,"Stroke, not specified as haemorrhage or infarction",I64,22.0,70975.0,31.0
2018,Maryland,24,"Allegany County, MD",24001,Influenza and pneumonia,"Pneumonia, unspecified",J18.9,19.0,70975.0,Unreliable
2018,Maryland,24,"Allegany County, MD",24001,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,40.0,70975.0,56.4
