year,state,state_code,county,county_code,race,ethnicity,deaths,population,crude_rate,age_adjusted_rate
2018,Massachusetts,25,"Barnstable County, MA",25001,American Indian or Alaska Native,Not Hispanic or Latino,16.0,1345.0,Unreliable,Unreliable
2018,Massachusetts,25,"Barnstable County, MA",25001,Black or African American,Not Hispanic or Latino,34.0,6631.0,512.7,669.4
2018,Massachusetts,25,"Barnstable County, MA",25001,White,Hispanic or Latino,20.0,5356.0,373.4,487.1
2018,Massachusetts,25,"Barnstable County, MA",25001,White,Not Hispanic or Latino,2894.0,191570.0,1510.7,704.7
2018,Massachusetts,25,"Barnstable County, MA",25001,White,Not Stated,65.0,Not Applicable,Not Applicable,Not Applicable
2018,Massachusetts,25,"Berkshire County, MA",25003,Black or African American,Not Hispanic or Latino,41.0,3947.0,1038.8,1303.9
2018,Massachusetts,25,"Berkshire County, MA",25003,White,Hispanic or Latino,14.0,5230.0,Unreliable,Unreliable
2018,Massachusetts,25,"Berkshire County, MA",25003,White,Not Hispanic or Latino,1510.0,110955.0,1360.9,748.5
2018,Massachusetts,25,"Bristol County, MA",25005,Asian,Not Hispanic or Latino,37.0,13693.0,270.2,364.5
2018,Massachusetts,25,"Bristol County, MA",25005,Black or African American,Hispanic or Latino,12.0,6245.0,Unreliable,Unreliable
2018,Massachusetts,25,"Bristol County, MA",25005,Black or African American,Not Hispanic or Latino,105.0,25919.0,405.1,588.0
2018,Massachusetts,25,"Bristol County, MA",25005,White,Hispanic or Latino,107.0,35581.0,300.7,567.6
2018,Massachusetts,25,"Bristol County, MA",25005,White,Not Hispanic or Latino,5020.0,464754.0,1080.1,738.7
2018,Massachusetts,25,"Bristol County, MA",25005,White,Not Stated,218.0,Not Applicable,Not Applicable,Not Applicable
2018,Massachusetts,25,"Bristol County, MA",25005,More than one race,Not Hispanic or Latino,15.0,10442.0,Unreliable,Unreliable
2018,Massachusetts,25,"Dukes County, MA",25007,White,Not Hispanic or Latino,157.0,15143.0,1036.8,645.0
2018,Massachusetts,25,"Essex County, MA",25009,Asian,Not Hispanic or Latino,70.0,29371.0,238.3,331.3
2018,Massachusetts,25,"Essex County, MA",25009,Black or African American,Hispanic or Latino,15.0,29226.0,Unreliable,Unreliable
2018,Massachusetts,25,"Essex County, MA",25009,Black or African American,Not Hispanic or Latino,129.0,26750.0,482.2,762.9
2018,Massachusetts,25,"Essex County, MA",25009,White,Hispanic or Latino,424.0,123995.0,341.9,585.5
2018,Massachusetts,25,"Essex County, MA",25009,White,Not Hispanic or Latino,6438.0,549616.0,1171.4,716.1
2018,Massachusetts,25,"Essex County, MA",25009,White,Not Stated,46.0,Not Applicable,Not Applicable,Not Applicable
2018,Massachusetts,25,"Essex County, MA",25009,More than one race,Not Hispanic or Latino,13.0,10788.0,Unreliable,Unreliable
2018,Massachusetts,25,"Franklin County, MA",25011,White,Not Hispanic or Latino,592.0,64164.0,922.6,590.4
2018,Massachusetts,25,"Franklin County, MA",25011,White,Not Stated,109.0,Not Applicable,Not Applicable,Not Applicable
2018,Massachusetts,25,"Hampden County, MA",25013,Asian,Not Hispanic or Latino,30.0,12060.0,248.8,347.8
2018,Massachusetts,25,"Hampden County, MA",25013,Black or African American,Hispanic or Latino,31.0,14655.0,211.5,319.1
2018,Massachusetts,25,"Hampden County, MA",25013,Black or African American,Not Hispanic or Latino,349.0,36377.0,959.4,976.1
2018,Massachusetts,25,"Hampden County, MA",25013,White,Hispanic or Latino,463.0,99137.0,467.0,777.0
