year,state,state_code,county,county_code,cause_category,cause,cause_code,deaths,population,crude_rate
2018,Massachusetts,25,"Barnstable County, MA",25001,Sepsis,"Septicaemia, unspecified",A41.9,43.0,213413.0,20.1
2018,Massachusetts,25,"Barnstable County, MA",25001,Malignant neoplasms,"Oesophagus, unspecified - Malignant neoplasms",C15.9,21.0,213413.0,9.8
2018,Massachusetts,25,"Barnstable County, MA",25001,Malignant neoplasms,"Stomach, unspecified - Malignant neoplasms",C16.9,14.0,213413.0,Unreliable
2018,Massachusetts,25,"Barnstable County, MA",25001,Malignant neoplasms,"Colon, unspecified - Malignant neoplasms",C18.9,38.0,213413.0,17.8
2018,Massachusetts,25,"Barnstable County, MA",25001,Malignant neoplasms,Malignant neoplasm of rectum,C20,10.0,213413.0,Unreliable
2018,Massachusetts,25,"Barnstable County, MA",25001,Malignant neoplasms,Intrahepatic bile duct carcinoma - Malignant neoplasms,C22.1,11.0,213413.0,Unreliable
2018,Massachusetts,25,"Barnstable County, MA",25001,Malignant neoplasms,"Liver, unspecified - Malignant neoplasms",C22.9,10.0,213413.0,Unreliable
2018,Massachusetts,25,"Barnstable County, MA",25001,Malignant neoplasms,"Pancreas, unspecified - Malignant neoplasms",C25.9,52.0,213413.0,24.4
2018,Massachusetts,25,"Barnstable County, MA",25001,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,164.0,213413.0,76.8
2018,Massachusetts,25,"Barnstable County, MA",25001,Malignant neoplasms,"Malignant melanoma of skin, unspecified - Malignant neoplasms",C43.9,14.0,213413.0,Unreliable
2018,Massachusetts,25,"Barnstable County, MA",25001,Malignant neoplasms,"Breast, unspecified - Malignant neoplasms",C50.9,31.0,213413.0,14.5
2018,Massachusetts,25,"Barnstable County, MA",25001,Malignant neoplasms,Malignant neoplasm of ovary,C56,23.0,213413.0,10.8
2018,Massachusetts,25,"Barnstable County, MA",25001,Malignant neoplasms,Malignant neoplasm of prostate,C61,28.0,213413.0,13.1
2018,Massachusetts,25,"Barnstable County, MA",25001,Malignant neoplasms,"Malignant neoplasm of kidney, except renal pelvis",C64,16.0,213413.0,Unreliable
2018,Massachusetts,25,"Barnstable County, MA",25001,Malignant neoplasms,"Bladder, unspecified - Malignant neoplasms",C67.9,22.0,213413.0,10.3
2018,Massachusetts,25,"Barnstable County, MA",25001,Malignant neoplasms,"Brain, unspecified - Malignant neoplasms",C71.9,22.0,213413.0,10.3
