year,state,county,cause_category,cause,cause_code,deaths,population,crude_rate
2018,Massachusetts,"Barnstable County, MA",Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,10.0,213413.0,Unreliable
2018,Massachusetts,"Barnstable County, MA",Nontransport accidents,Unspecified fall,W19,39.0,213413.0,18.3
2018,Massachusetts,"Barnstable County, MA",Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,59.0,213413.0,27.6
2018,Massachusetts,"Barnstable County, MA",Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,18.0,213413.0,Unreliable
2018,Massachusetts,"Barnstable County, MA",Intentional self-harm (suicide),"Intentional self-harm by hanging, strangulation and suffocation",X70,23.0,213413.0,10.8
2018,Massachusetts,"Berkshire County, MA",Nontransport accidents,Unspecified fall,W19,14.0,126348.0,Unreliable
2018,Massachusetts,"Berkshire County, MA",Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,28.0,126348.0,22.2
2018,Massachusetts,"Berkshire County, MA",Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,16.0,126348.0,Unreliable
2018,Massachusetts,"Bristol County, MA",Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,15.0,564022.0,Unreliable
2018,Massachusetts,"Bristol County, MA",Nontransport accidents,Fall on and from stairs and steps,W10,13.0,564022.0,Unreliable
2018,Massachusetts,"Bristol County, MA",Nontransport accidents,Unspecified fall,W19,58.0,564022.0,10.3
2018,Massachusetts,"Bristol County, MA",Nontransport accidents,Inhalation and ingestion of other objects causing obstruction of respiratory tract,W80,16.0,564022.0,Unreliable
2018,Massachusetts,"Bristol County, MA",Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,159.0,564022.0,28.2
2018,Massachusetts,"Bristol County, MA",Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,69.0,564022.0,12.2
2018,Massachusetts,"Bristol County, MA",Intentional self-harm (suicide),"Intentional self-harm by hanging, strangulation and suffocation",X70,43.0,564022.0,7.6
2018,Massachusetts,"Bristol County, MA",Intentional self-harm (suicide),Intentional self-harm by other and unspecified firearm discharge,X74,19.0,564022.0,Unreliable
2018,Massachusetts,"Essex County, MA",Transport accidents (unintentional injuries),Pedestrian injured in traffic accident involving other and unspecified motor vehicles,V09.2,11.0,790638.0,Unreliable
2018,Massachusetts,"Essex County, MA",Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,12.0,790638.0,Unreliable
2018,Massachusetts,"Essex County, MA",Nontransport accidents,Other fall on same level,W18,15.0,790638.0,Unreliable
2018,Massachusetts,"Essex County, MA",Nontransport accidents,Unspecified fall,W19,87.0,790638.0,11.0
2018,Massachusetts,"Essex County, MA",Nontransport accidents,Drowning and submersion while in natural water,W69,10.0,790638.0,Unreliable
2018,Massachusetts,"Essex County, MA",Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,164.0,790638.0,20.7
2018,Massachusetts,"Essex County, MA",Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,111.0,790638.0,14.0
2018,Massachusetts,"Essex County, MA",Nontransport accidents,Exposure to unspecified factor causing fracture,X59.0,11.0,790638.0,Unreliable
2018,Massachusetts,"Essex County, MA",Intentional self-harm (suicide),"Intentional self-harm by hanging, strangulation and suffocation",X70,38.0,790638.0,4.8
