year,state,state_code,county,county_code,race,ethnicity,deaths,population,crude_rate,age_adjusted_rate
2018,Michigan,26,"Alcona County, MI",26001,White,Not Hispanic or Latino,176.0,9918.0,1774.6,749.2
2018,Michigan,26,"Alger County, MI",26003,White,Not Hispanic or Latino,112.0,7598.0,1474.1,801.9
2018,Michigan,26,"Allegan County, MI",26005,American Indian or Alaska Native,Not Hispanic or Latino,17.0,656.0,Unreliable,Unreliable
2018,Michigan,26,"Allegan County, MI",26005,Black or African American,Not Hispanic or Latino,11.0,1542.0,Unreliable,Unreliable
2018,Michigan,26,"Allegan County, MI",26005,White,Hispanic or Latino,23.0,7823.0,294.0,547.6
2018,Michigan,26,"Allegan County, MI",26005,White,Not Hispanic or Latino,950.0,103493.0,917.9,725.2
2018,Michigan,26,"Alpena County, MI",26007,White,Not Hispanic or Latino,393.0,27112.0,1449.5,843.1
2018,Michigan,26,"Antrim County, MI",26009,White,Not Hispanic or Latino,277.0,22094.0,1253.7,688.7
2018,Michigan,26,"Arenac County, MI",26011,White,Not Hispanic or Latino,186.0,14216.0,1308.4,774.1
2018,Michigan,26,"Baraga County, MI",26013,American Indian or Alaska Native,Not Hispanic or Latino,13.0,1124.0,Unreliable,Unreliable
2018,Michigan,26,"Baraga County, MI",26013,White,Not Hispanic or Latino,90.0,6018.0,1495.5,831.5
2018,Michigan,26,"Barry County, MI",26015,White,Not Hispanic or Latino,609.0,57485.0,1059.4,788.3
2018,Michigan,26,"Bay County, MI",26017,Black or African American,Not Hispanic or Latino,18.0,1734.0,Unreliable,Unreliable
2018,Michigan,26,"Bay County, MI",26017,White,Hispanic or Latino,18.0,4881.0,Unreliable,Unreliable
2018,Michigan,26,"Bay County, MI",26017,White,Not Hispanic or Latino,1230.0,93421.0,1316.6,835.2
2018,Michigan,26,"Benzie County, MI",26019,White,Not Hispanic or Latino,210.0,16601.0,1265.0,719.3
2018,Michigan,26,"Berrien County, MI",26021,Asian,Not Hispanic or Latino,10.0,3207.0,Unreliable,Unreliable
2018,Michigan,26,"Berrien County, MI",26021,Black or African American,Not Hispanic or Latino,233.0,22473.0,1036.8,1121.3
2018,Michigan,26,"Berrien County, MI",26021,White,Hispanic or Latino,19.0,7502.0,Unreliable,Unreliable
2018,Michigan,26,"Berrien County, MI",26021,White,Not Hispanic or Latino,1493.0,115163.0,1296.4,773.5
2018,Michigan,26,"Berrien County, MI",26021,White,Not Stated,22.0,Not Applicable,Not Applicable,Not Applicable
2018,Michigan,26,"Berrien County, MI",26021,More than one race,Not Hispanic or Latino,16.0,3608.0,Unreliable,Unreliable
2018,Michigan,26,"Branch County, MI",26023,White,Not Hispanic or Latino,468.0,39263.0,1192.0,891.3
2018,Michigan,26,"Calhoun County, MI",26025,Black or African American,Not Hispanic or Latino,152.0,14475.0,1050.1,1009.6
2018,Michigan,26,"Calhoun County, MI",26025,White,Hispanic or Latino,31.0,5736.0,540.4,1004.5
2018,Michigan,26,"Calhoun County, MI",26025,White,Not Hispanic or Latino,1398.0,103892.0,1345.6,912.0
2018,Michigan,26,"Calhoun County, MI",26025,More than one race,Not Hispanic or Latino,11.0,4174.0,Unreliable,Unreliable
2018,Michigan,26,"Cass County, MI",26027,Black or African American,Not Hispanic or Latino,37.0,2596.0,1425.3,1031.9
2018,Michigan,26,"Cass County, MI",26027,White,Not Hispanic or Latino,497.0,44567.0,1115.2,779.6
2018,Michigan,26,"Charlevoix County, MI",26029,White,Not Hispanic or Latino,283.0,24599.0,1150.5,686.5
2018,Michigan,26,"Cheboygan County, MI",26031,White,Not Hispanic or Latino,320.0,23380.0,1368.7,769.9
2018,Michigan,26,"Chippewa County, MI",26033,American Indian or Alaska Native,Not Hispanic or Latino,50.0,5871.0,851.6,1034.8
2018,Michigan,26,"Chippewa County, MI",26033,White,Not Hispanic or Latino,358.0,26099.0,1371.7,856.2
2018,Michigan,26,"Clare County, MI",26035,White,Not Hispanic or Latino,439.0,29135.0,1506.8,978.1
2018,Michigan,26,"Clinton County, MI",26037,White,Hispanic or Latino,13.0,3171.0,Unreliable,Unreliable
2018,Michigan,26,"Clinton County, MI",26037,White,Not Hispanic or Latino,573.0,71119.0,805.7,615.0
2018,Michigan,26,"Crawford County, MI",26039,White,Not Hispanic or Latino,191.0,13114.0,1456.5,798.0
2018,Michigan,26,"Delta County, MI",26041,White,Not Hispanic or Latino,450.0,33294.0,1351.6,784.6
2018,Michigan,26,"Dickinson County, MI",26043,White,Not Hispanic or Latino,297.0,24139.0,1230.4,740.1
2018,Michigan,26,"Eaton County, MI",26045,American Indian or Alaska Native,Not Hispanic or Latino,11.0,430.0,Unreliable,Unreliable
2018,Michigan,26,"Eaton County, MI",26045,Black or African American,Not Hispanic or Latino,43.0,7324.0,587.1,753.7
2018,Michigan,26,"Eaton County, MI",26045,White,Hispanic or Latino,26.0,5123.0,507.5,795.4
2018,Michigan,26,"Eaton County, MI",26045,White,Not Hispanic or Latino,1009.0,90926.0,1109.7,775.2
2018,Michigan,26,"Eaton County, MI",26045,More than one race,Not Hispanic or Latino,11.0,2432.0,Unreliable,Unreliable
2018,Michigan,26,"Emmet County, MI",26047,American Indian or Alaska Native,Not Hispanic or Latino,16.0,1184.0,Unreliable,Unreliable
2018,Michigan,26,"Emmet County, MI",26047,White,Not Hispanic or Latino,350.0,30369.0,1152.5,707.6
2018,Michigan,26,"Genesee County, MI",26049,Asian,Not Hispanic or Latino,19.0,4170.0,Unreliable,Unreliable
2018,Michigan,26,"Genesee County, MI",26049,Black or African American,Not Hispanic or Latino,919.0,81301.0,1130.4,1085.8
2018,Michigan,26,"Genesee County, MI",26049,White,Hispanic or Latino,70.0,11645.0,601.1,865.9
2018,Michigan,26,"Genesee County, MI",26049,White,Not Hispanic or Latino,3732.0,295060.0,1264.8,889.7
2018,Michigan,26,"Genesee County, MI",26049,More than one race,Not Hispanic or Latino,39.0,10202.0,382.3,944.4
2018,Michigan,26,"Gladwin County, MI",26051,White,Not Hispanic or Latino,393.0,24241.0,1621.2,923.1
2018,Michigan,26,"Gogebic County, MI",26053,White,Not Hispanic or Latino,172.0,13566.0,1267.9,633.4
2018,Michigan,26,"Grand Traverse County, MI",26055,American Indian or Alaska Native,Not Hispanic or Latino,11.0,1040.0,Unreliable,Unreliable
2018,Michigan,26,"Grand Traverse County, MI",26055,White,Not Hispanic or Latino,917.0,85836.0,1068.3,712.3
2018,Michigan,26,"Grand Traverse County, MI",26055,More than one race,Not Hispanic or Latino,11.0,1583.0,Unreliable,Unreliable
2018,Michigan,26,"Gratiot County, MI",26057,White,Hispanic or Latino,15.0,2272.0,Unreliable,Unreliable
2018,Michigan,26,"Gratiot County, MI",26057,White,Not Hispanic or Latino,476.0,34812.0,1367.3,904.9
2018,Michigan,26,"Hillsdale County, MI",26059,White,Not Hispanic or Latino,501.0,43284.0,1157.5,830.7
2018,Michigan,26,"Houghton County, MI",26061,White,Not Hispanic or Latino,350.0,33290.0,1051.4,770.6
2018,Michigan,26,"Huron County, MI",26063,White,Not Hispanic or Latino,491.0,29660.0,1655.4,904.7
2018,Michigan,26,"Ingham County, MI",26065,Asian,Not Hispanic or Latino,34.0,21199.0,160.4,365.1
2018,Michigan,26,"Ingham County, MI",26065,Black or African American,Not Hispanic or Latino,279.0,33646.0,829.2,1059.9
2018,Michigan,26,"Ingham County, MI",26065,White,Hispanic or Latino,78.0,18521.0,421.1,662.5
2018,Michigan,26,"Ingham County, MI",26065,White,Not Hispanic or Latino,1781.0,202703.0,878.6,738.9
2018,Michigan,26,"Ingham County, MI",26065,White,Not Stated,17.0,Not Applicable,Not Applicable,Not Applicable
2018,Michigan,26,"Ingham County, MI",26065,More than one race,Not Hispanic or Latino,27.0,10745.0,251.3,895.2
2018,Michigan,26,"Ionia County, MI",26067,White,Not Hispanic or Latino,515.0,56752.0,907.5,800.6
2018,Michigan,26,"Iosco County, MI",26069,White,Not Hispanic or Latino,420.0,23428.0,1792.7,946.8
2018,Michigan,26,"Iron County, MI",26071,White,Not Hispanic or Latino,183.0,10451.0,1751.0,792.3
2018,Michigan,26,"Isabella County, MI",26073,American Indian or Alaska Native,Not Hispanic or Latino,17.0,2413.0,Unreliable,Unreliable
2018,Michigan,26,"Isabella County, MI",26073,White,Hispanic or Latino,13.0,1978.0,Unreliable,Unreliable
2018,Michigan,26,"Isabella County, MI",26073,White,Not Hispanic or Latino,492.0,60102.0,818.6,787.5
2018,Michigan,26,"Jackson County, MI",26075,Black or African American,Not Hispanic or Latino,101.0,12589.0,802.3,1073.9
2018,Michigan,26,"Jackson County, MI",26075,White,Hispanic or Latino,24.0,4801.0,499.9,729.9
2018,Michigan,26,"Jackson County, MI",26075,White,Not Hispanic or Latino,1591.0,134369.0,1184.1,827.3
2018,Michigan,26,"Jackson County, MI",26075,More than one race,Not Hispanic or Latino,20.0,4108.0,486.9,1435.6
2018,Michigan,26,"Kalamazoo County, MI",26077,Asian,Not Hispanic or Latino,14.0,7282.0,Unreliable,Unreliable
2018,Michigan,26,"Kalamazoo County, MI",26077,Black or African American,Not Hispanic or Latino,210.0,30203.0,695.3,979.7
2018,Michigan,26,"Kalamazoo County, MI",26077,White,Hispanic or Latino,32.0,10672.0,299.9,678.0
2018,Michigan,26,"Kalamazoo County, MI",26077,White,Not Hispanic or Latino,1988.0,204597.0,971.7,747.7
2018,Michigan,26,"Kalamazoo County, MI",26077,More than one race,Not Hispanic or Latino,20.0,8373.0,238.9,794.7
2018,Michigan,26,"Kalkaska County, MI",26079,White,Not Hispanic or Latino,208.0,16676.0,1247.3,963.3
2018,Michigan,26,"Kent County, MI",26081,American Indian or Alaska Native,Not Hispanic or Latino,18.0,2209.0,Unreliable,Unreliable
2018,Michigan,26,"Kent County, MI",26081,Asian,Not Hispanic or Latino,33.0,21473.0,153.7,240.7
2018,Michigan,26,"Kent County, MI",26081,Black or African American,Not Hispanic or Latino,461.0,63126.0,730.3,999.0
2018,Michigan,26,"Kent County, MI",26081,White,Hispanic or Latino,142.0,57450.0,247.2,548.6
2018,Michigan,26,"Kent County, MI",26081,White,Not Hispanic or Latino,4248.0,480394.0,884.3,691.3
2018,Michigan,26,"Kent County, MI",26081,More than one race,Not Hispanic or Latino,27.0,16283.0,165.8,589.3
2018,Michigan,26,"Keweenaw County, MI",26083,White,Not Hispanic or Latino,28.0,2047.0,1367.9,603.0
2018,Michigan,26,"Lake County, MI",26085,Black or African American,Not Hispanic or Latino,17.0,994.0,Unreliable,Unreliable
2018,Michigan,26,"Lake County, MI",26085,White,Not Hispanic or Latino,171.0,10139.0,1686.6,976.0
2018,Michigan,26,"Lapeer County, MI",26087,White,Hispanic or Latino,10.0,3788.0,Unreliable,Unreliable
2018,Michigan,26,"Lapeer County, MI",26087,White,Not Hispanic or Latino,878.0,80815.0,1086.4,813.4
2018,Michigan,26,"Leelanau County, MI",26089,White,Not Hispanic or Latino,263.0,19556.0,1344.9,565.1
2018,Michigan,26,"Lenawee County, MI",26091,White,Hispanic or Latino,60.0,7072.0,848.4,1111.7
2018,Michigan,26,"Lenawee County, MI",26091,White,Not Hispanic or Latino,985.0,85030.0,1158.4,800.9
2018,Michigan,26,"Livingston County, MI",26093,Black or African American,Not Hispanic or Latino,12.0,1137.0,Unreliable,Unreliable
2018,Michigan,26,"Livingston County, MI",26093,White,Hispanic or Latino,16.0,4186.0,Unreliable,Unreliable
2018,Michigan,26,"Livingston County, MI",26093,White,Not Hispanic or Latino,1489.0,180153.0,826.5,664.1
2018,Michigan,26,"Luce County, MI",26095,White,Not Hispanic or Latino,77.0,4902.0,1570.8,882.5
2018,Michigan,26,"Mackinac County, MI",26097,American Indian or Alaska Native,Not Hispanic or Latino,21.0,1751.0,1199.3,1080.8
2018,Michigan,26,"Mackinac County, MI",26097,White,Not Hispanic or Latino,131.0,7873.0,1663.9,852.8
2018,Michigan,26,"Macomb County, MI",26099,American Indian or Alaska Native,Not Hispanic or Latino,11.0,2371.0,Unreliable,Unreliable
2018,Michigan,26,"Macomb County, MI",26099,Asian,Not Hispanic or Latino,109.0,35946.0,303.2,394.0
2018,Michigan,26,"Macomb County, MI",26099,Black or African American,Not Hispanic or Latino,743.0,105475.0,704.4,1075.4
2018,Michigan,26,"Macomb County, MI",26099,White,Hispanic or Latino,81.0,19513.0,415.1,602.5
2018,Michigan,26,"Macomb County, MI",26099,White,Not Hispanic or Latino,7820.0,687407.0,1137.6,773.0
2018,Michigan,26,"Macomb County, MI",26099,White,Not Stated,42.0,Not Applicable,Not Applicable,Not Applicable
2018,Michigan,26,"Macomb County, MI",26099,More than one race,Not Hispanic or Latino,33.0,19874.0,166.0,363.6
2018,Michigan,26,"Manistee County, MI",26101,White,Not Hispanic or Latino,310.0,21804.0,1421.8,756.9
2018,Michigan,26,"Marquette County, MI",26103,White,Not Hispanic or Latino,691.0,61253.0,1128.1,777.0
2018,Michigan,26,"Mason County, MI",26105,White,Not Hispanic or Latino,353.0,26552.0,1329.5,815.1
2018,Michigan,26,"Mecosta County, MI",26107,White,Not Hispanic or Latino,381.0,39679.0,960.2,732.2
2018,Michigan,26,"Mecosta County, MI",26107,More than one race,Not Hispanic or Latino,11.0,957.0,Unreliable,Unreliable
2018,Michigan,26,"Menominee County, MI",26109,White,Not Hispanic or Latino,289.0,21280.0,1358.1,712.2
2018,Michigan,26,"Midland County, MI",26111,White,Not Hispanic or Latino,746.0,76100.0,980.3,658.4
2018,Michigan,26,"Missaukee County, MI",26113,White,Not Hispanic or Latino,166.0,14120.0,1175.6,779.1
2018,Michigan,26,"Monroe County, MI",26115,Black or African American,Not Hispanic or Latino,35.0,3743.0,935.1,937.6
2018,Michigan,26,"Monroe County, MI",26115,White,Hispanic or Latino,25.0,4816.0,519.1,1063.7
2018,Michigan,26,"Monroe County, MI",26115,White,Not Hispanic or Latino,1477.0,137126.0,1077.1,781.4
2018,Michigan,26,"Monroe County, MI",26115,More than one race,Not Hispanic or Latino,11.0,2574.0,Unreliable,Unreliable
2018,Michigan,26,"Montcalm County, MI",26117,White,Not Hispanic or Latino,637.0,58612.0,1086.8,828.1
2018,Michigan,26,"Montmorency County, MI",26119,White,Not Hispanic or Latino,174.0,8866.0,1962.6,941.0
2018,Michigan,26,"Muskegon County, MI",26121,Black or African American,Not Hispanic or Latino,246.0,24012.0,1024.5,1163.5
2018,Michigan,26,"Muskegon County, MI",26121,White,Hispanic or Latino,45.0,8329.0,540.3,949.0
2018,Michigan,26,"Muskegon County, MI",26121,White,Not Hispanic or Latino,1507.0,132457.0,1137.7,815.5
2018,Michigan,26,"Muskegon County, MI",26121,More than one race,Not Hispanic or Latino,23.0,4579.0,502.3,1437.6
2018,Michigan,26,"Newaygo County, MI",26123,White,Hispanic or Latino,12.0,2556.0,Unreliable,Unreliable
2018,Michigan,26,"Newaygo County, MI",26123,White,Not Hispanic or Latino,480.0,44258.0,1084.5,764.0
2018,Michigan,26,"Oakland County, MI",26125,American Indian or Alaska Native,Not Hispanic or Latino,16.0,3003.0,Unreliable,Unreliable
2018,Michigan,26,"Oakland County, MI",26125,Asian,Not Hispanic or Latino,181.0,100819.0,179.5,274.4
2018,Michigan,26,"Oakland County, MI",26125,Black or African American,Not Hispanic or Latino,1605.0,173435.0,925.4,813.2
2018,Michigan,26,"Oakland County, MI",26125,White,Hispanic or Latino,157.0,45577.0,344.5,587.0
2018,Michigan,26,"Oakland County, MI",26125,White,Not Hispanic or Latino,8664.0,902927.0,959.5,670.0
2018,Michigan,26,"Oakland County, MI",26125,White,Not Stated,23.0,Not Applicable,Not Applicable,Not Applicable
2018,Michigan,26,"Oakland County, MI",26125,More than one race,Not Hispanic or Latino,51.0,25777.0,197.9,393.6
2018,Michigan,26,"Oceana County, MI",26127,White,Not Hispanic or Latino,241.0,21639.0,1113.7,711.0
2018,Michigan,26,"Ogemaw County, MI",26129,White,Not Hispanic or Latino,353.0,19784.0,1784.3,1029.8
2018,Michigan,26,"Ontonagon County, MI",26131,White,Not Hispanic or Latino,96.0,5484.0,1750.5,869.3
2018,Michigan,26,"Osceola County, MI",26133,White,Not Hispanic or Latino,243.0,22005.0,1104.3,759.7
2018,Michigan,26,"Oscoda County, MI",26135,White,Not Hispanic or Latino,123.0,7879.0,1561.1,906.8
