year,state,state_code,county,county_code,cause_category,cause,cause_code,deaths,population,crude_rate
2018,Michigan,26,"Alcona County, MI",26001,Ischemic heart disease,Atherosclerotic heart disease,I25.1,10.0,10362.0,Unreliable
2018,Michigan,26,"Alcona County, MI",26001,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,18.0,10362.0,Unreliable
2018,Michigan,26,"Alger County, MI",26003,Alzheimer disease and dementia,Unspecified dementia,F03,10.0,9097.0,Unreliable
2018,Michigan,26,"Allegan County, MI",26005,Malignant neoplasms,"Colon, unspecified - Malignant neoplasms",C18.9,15.0,117327.0,Unreliable
2018,Michigan,26,"Allegan County, MI",26005,Malignant neoplasms,"Pancreas, unspecified - Malignant neoplasms",C25.9,12.0,117327.0,Unreliable
2018,Michigan,26,"Allegan County, MI",26005,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,64.0,117327.0,54.5
2018,Michigan,26,"Allegan County, MI",26005,Malignant neoplasms,Malignant neoplasm of prostate,C61,11.0,117327.0,Unreliable
2018,Michigan,26,"Allegan County, MI",26005,Diabetes,"Non-insulin-dependent diabetes mellitus, without complications",E11.9,10.0,117327.0,Unreliable
2018,Michigan,26,"Allegan County, MI",26005,Diabetes,"Unspecified diabetes mellitus, without complications",E14.9,13.0,117327.0,Unreliable
2018,Michigan,26,"Allegan County, MI",26005,Alzheimer disease and dementia,Unspecified dementia,F03,45.0,117327.0,38.4
2018,Michigan,26,"Allegan County, MI",26005,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,47.0,117327.0,40.1
2018,Michigan,26,"Allegan County, MI",26005,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,26.0,117327.0,22.2
2018,Michigan,26,"Allegan County, MI",26005,Ischemic heart disease,"Atherosclerotic cardiovascular disease, so described",I25.0,16.0,117327.0,Unreliable
2018,Michigan,26,"Allegan County, MI",26005,Ischemic heart disease,Atherosclerotic heart disease,I25.1,51.0,117327.0,43.5
2018,Michigan,26,"Allegan County, MI",26005,Ischemic heart disease,Ischaemic cardiomyopathy,I25.5,14.0,117327.0,Unreliable
2018,Michigan,26,"Allegan County, MI",26005,Other diseases of the circulatory system,Congestive heart failure,I50.0,35.0,117327.0,29.8
2018,Michigan,26,"Allegan County, MI",26005,Cerebrovascular diseases,"Stroke, not specified as haemorrhage or infarction",I64,19.0,117327.0,Unreliable
2018,Michigan,26,"Allegan County, MI",26005,Influenza and pneumonia,"Pneumonia, unspecified",J18.9,13.0,117327.0,Unreliable
2018,Michigan,26,"Allegan County, MI",26005,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,51.0,117327.0,43.5
2018,Michigan,26,"Alpena County, MI",26007,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,17.0,28360.0,Unreliable
2018,Michigan,26,"Alpena County, MI",26007,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,12.0,28360.0,Unreliable
2018,Michigan,26,"Alpena County, MI",26007,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,51.0,28360.0,179.8
2018,Michigan,26,"Alpena County, MI",26007,Ischemic heart disease,Atherosclerotic heart disease,I25.1,29.0,28360.0,102.3
2018,Michigan,26,"Alpena County, MI",26007,Other diseases of the circulatory system,Congestive heart failure,I50.0,19.0,28360.0,Unreliable
2018,Michigan,26,"Alpena County, MI",26007,Cerebrovascular diseases,Sequelae of other and unspecified cerebrovascular diseases,I69.8,10.0,28360.0,Unreliable
2018,Michigan,26,"Alpena County, MI",26007,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,17.0,28360.0,Unreliable
2018,Michigan,26,"Antrim County, MI",26009,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,12.0,23365.0,Unreliable
2018,Michigan,26,"Antrim County, MI",26009,Alzheimer disease and dementia,Unspecified dementia,F03,14.0,23365.0,Unreliable
2018,Michigan,26,"Antrim County, MI",26009,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,14.0,23365.0,Unreliable
2018,Michigan,26,"Antrim County, MI",26009,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,10.0,23365.0,Unreliable
2018,Michigan,26,"Antrim County, MI",26009,Ischemic heart disease,Atherosclerotic heart disease,I25.1,16.0,23365.0,Unreliable
2018,Michigan,26,"Antrim County, MI",26009,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,15.0,23365.0,Unreliable
2018,Michigan,26,"Arenac County, MI",26011,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,18.0,15041.0,Unreliable
2018,Michigan,26,"Arenac County, MI",26011,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,19.0,15041.0,Unreliable
2018,Michigan,26,"Arenac County, MI",26011,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,16.0,15041.0,Unreliable
2018,Michigan,26,"Baraga County, MI",26013,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,10.0,8320.0,Unreliable
