year,state,county,cause_category,cause,cause_code,deaths,population,crude_rate
2018,Michigan,"Bay County, MI",Nontransport accidents,Unspecified fall,W19,11.0,103923.0,Unreliable
2018,Michigan,"Bay County, MI",,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent",Y14,14.0,103923.0,Unreliable
2018,Michigan,"Berrien County, MI",Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,13.0,154141.0,Unreliable
2018,Michigan,"Berrien County, MI",Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,10.0,154141.0,Unreliable
2018,Michigan,"Calhoun County, MI",Nontransport accidents,Other fall on same level,W18,10.0,134487.0,Unreliable
2018,Michigan,"Calhoun County, MI",Nontransport accidents,Unspecified fall,W19,10.0,134487.0,Unreliable
2018,Michigan,"Calhoun County, MI",Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,22.0,134487.0,16.4
2018,Michigan,"Calhoun County, MI",Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,23.0,134487.0,17.1
2018,Michigan,"Calhoun County, MI",Intentional self-harm (suicide),"Intentional self-harm by hanging, strangulation and suffocation",X70,11.0,134487.0,Unreliable
2018,Michigan,"Calhoun County, MI",Intentional self-harm (suicide),Intentional self-harm by other and unspecified firearm discharge,X74,10.0,134487.0,Unreliable
2018,Michigan,"Eaton County, MI",Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,11.0,109826.0,Unreliable
2018,Michigan,"Genesee County, MI",Transport accidents (unintentional injuries),Pedestrian injured in traffic accident involving other and unspecified motor vehicles,V09.2,12.0,406892.0,Unreliable
2018,Michigan,"Genesee County, MI",Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,27.0,406892.0,6.6
2018,Michigan,"Genesee County, MI",Nontransport accidents,Unspecified fall,W19,21.0,406892.0,5.2
2018,Michigan,"Genesee County, MI",Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,129.0,406892.0,31.7
2018,Michigan,"Genesee County, MI",Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,66.0,406892.0,16.2
2018,Michigan,"Genesee County, MI",Intentional self-harm (suicide),"Intentional self-harm by hanging, strangulation and suffocation",X70,11.0,406892.0,Unreliable
2018,Michigan,"Genesee County, MI",Intentional self-harm (suicide),"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,11.0,406892.0,Unreliable
2018,Michigan,"Genesee County, MI",Intentional self-harm (suicide),Intentional self-harm by other and unspecified firearm discharge,X74,32.0,406892.0,7.9
2018,Michigan,"Genesee County, MI",Assault (homicide),Assault by other and unspecified firearm discharge,X95,35.0,406892.0,8.6
2018,Michigan,"Ingham County, MI",Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,16.0,292735.0,Unreliable
2018,Michigan,"Ingham County, MI",Nontransport accidents,Other fall on same level,W18,23.0,292735.0,7.9
2018,Michigan,"Ingham County, MI",Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,37.0,292735.0,12.6
2018,Michigan,"Ingham County, MI",Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,48.0,292735.0,16.4
2018,Michigan,"Ingham County, MI",Intentional self-harm (suicide),"Intentional self-harm by hanging, strangulation and suffocation",X70,14.0,292735.0,Unreliable
2018,Michigan,"Ingham County, MI",Intentional self-harm (suicide),Intentional self-harm by other and unspecified firearm discharge,X74,15.0,292735.0,Unreliable
2018,Michigan,"Jackson County, MI",Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,10.0,158823.0,Unreliable
2018,Michigan,"Jackson County, MI",Nontransport accidents,Unspecified fall,W19,17.0,158823.0,Unreliable
2018,Michigan,"Jackson County, MI",Intentional self-harm (suicide),Intentional self-harm by other and unspecified firearm discharge,X74,20.0,158823.0,12.6
2018,Michigan,"Kalamazoo County, MI",Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,17.0,264870.0,Unreliable
2018,Michigan,"Kalamazoo County, MI",Nontransport accidents,Other fall on same level,W18,16.0,264870.0,Unreliable
2018,Michigan,"Kalamazoo County, MI",Nontransport accidents,Unspecified fall,W19,26.0,264870.0,9.8
2018,Michigan,"Kalamazoo County, MI",Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,17.0,264870.0,Unreliable
