year,state,state_code,county,county_code,race,ethnicity,deaths,population,crude_rate,age_adjusted_rate
2018,Minnesota,27,"Aitkin County, MN",27001,White,Not Hispanic or Latino,195.0,14922.0,1306.8,659.2
2018,Minnesota,27,"Anoka County, MN",27003,American Indian or Alaska Native,Not Hispanic or Latino,19.0,2222.0,Unreliable,Unreliable
2018,Minnesota,27,"Anoka County, MN",27003,Asian,Not Hispanic or Latino,41.0,16778.0,244.4,408.3
2018,Minnesota,27,"Anoka County, MN",27003,Black or African American,Not Hispanic or Latino,55.0,23619.0,232.9,636.2
2018,Minnesota,27,"Anoka County, MN",27003,White,Hispanic or Latino,24.0,13977.0,171.7,362.9
2018,Minnesota,27,"Anoka County, MN",27003,White,Not Hispanic or Latino,2084.0,285107.0,731.0,616.8
2018,Minnesota,27,"Anoka County, MN",27003,More than one race,Not Hispanic or Latino,16.0,9157.0,Unreliable,Unreliable
2018,Minnesota,27,"Becker County, MN",27005,American Indian or Alaska Native,Not Hispanic or Latino,30.0,2552.0,1175.5,1592.6
2018,Minnesota,27,"Becker County, MN",27005,White,Not Hispanic or Latino,320.0,29596.0,1081.2,694.6
2018,Minnesota,27,"Beltrami County, MN",27007,American Indian or Alaska Native,Not Hispanic or Latino,84.0,9851.0,852.7,1216.1
2018,Minnesota,27,"Beltrami County, MN",27007,White,Not Hispanic or Latino,332.0,33721.0,984.5,657.3
2018,Minnesota,27,"Benton County, MN",27009,White,Not Hispanic or Latino,379.0,36266.0,1045.1,828.9
2018,Minnesota,27,"Big Stone County, MN",27011,White,Not Hispanic or Latino,76.0,4767.0,1594.3,686.0
2018,Minnesota,27,"Blue Earth County, MN",27013,White,Not Hispanic or Latino,501.0,58993.0,849.3,684.7
2018,Minnesota,27,"Brown County, MN",27015,White,Not Hispanic or Latino,291.0,23394.0,1243.9,682.8
2018,Minnesota,27,"Carlton County, MN",27017,American Indian or Alaska Native,Not Hispanic or Latino,16.0,2004.0,Unreliable,Unreliable
2018,Minnesota,27,"Carlton County, MN",27017,White,Not Hispanic or Latino,368.0,31555.0,1166.2,811.5
2018,Minnesota,27,"Carver County, MN",27019,White,Not Hispanic or Latino,526.0,91765.0,573.2,551.6
2018,Minnesota,27,"Cass County, MN",27021,American Indian or Alaska Native,Not Hispanic or Latino,48.0,3453.0,1390.1,1798.0
