year,state,state_code,county,county_code,cause_category,cause,cause_code,deaths,population,crude_rate
2018,Minnesota,27,"Aitkin County, MN",27001,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,12.0,15902.0,Unreliable
2018,Minnesota,27,"Aitkin County, MN",27001,Ischemic heart disease,Atherosclerotic heart disease,I25.1,12.0,15902.0,Unreliable
2018,Minnesota,27,"Aitkin County, MN",27001,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,13.0,15902.0,Unreliable
2018,Minnesota,27,"Anoka County, MN",27003,Sepsis,"Septicaemia, unspecified",A41.9,22.0,353813.0,6.2
2018,Minnesota,27,"Anoka County, MN",27003,Malignant neoplasms,"Oesophagus, unspecified - Malignant neoplasms",C15.9,19.0,353813.0,Unreliable
2018,Minnesota,27,"Anoka County, MN",27003,Malignant neoplasms,"Colon, unspecified - Malignant neoplasms",C18.9,30.0,353813.0,8.5
2018,Minnesota,27,"Anoka County, MN",27003,Malignant neoplasms,Malignant neoplasm of rectum,C20,10.0,353813.0,Unreliable
2018,Minnesota,27,"Anoka County, MN",27003,Malignant neoplasms,Liver cell carcinoma - Malignant neoplasms,C22.0,12.0,353813.0,Unreliable
2018,Minnesota,27,"Anoka County, MN",27003,Malignant neoplasms,Intrahepatic bile duct carcinoma - Malignant neoplasms,C22.1,12.0,353813.0,Unreliable
2018,Minnesota,27,"Anoka County, MN",27003,Malignant neoplasms,"Pancreas, unspecified - Malignant neoplasms",C25.9,32.0,353813.0,9.0
2018,Minnesota,27,"Anoka County, MN",27003,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,151.0,353813.0,42.7
2018,Minnesota,27,"Anoka County, MN",27003,Malignant neoplasms,"Malignant melanoma of skin, unspecified - Malignant neoplasms",C43.9,11.0,353813.0,Unreliable
2018,Minnesota,27,"Anoka County, MN",27003,Malignant neoplasms,"Breast, unspecified - Malignant neoplasms",C50.9,39.0,353813.0,11.0
2018,Minnesota,27,"Anoka County, MN",27003,Malignant neoplasms,Endometrium - Malignant neoplasms,C54.1,10.0,353813.0,Unreliable
2018,Minnesota,27,"Anoka County, MN",27003,Malignant neoplasms,Malignant neoplasm of ovary,C56,12.0,353813.0,Unreliable
2018,Minnesota,27,"Anoka County, MN",27003,Malignant neoplasms,Malignant neoplasm of prostate,C61,23.0,353813.0,6.5
2018,Minnesota,27,"Anoka County, MN",27003,Malignant neoplasms,"Malignant neoplasm of kidney, except renal pelvis",C64,15.0,353813.0,Unreliable
2018,Minnesota,27,"Anoka County, MN",27003,Malignant neoplasms,"Bladder, unspecified - Malignant neoplasms",C67.9,13.0,353813.0,Unreliable
2018,Minnesota,27,"Anoka County, MN",27003,Malignant neoplasms,"Brain, unspecified - Malignant neoplasms",C71.9,10.0,353813.0,Unreliable
2018,Minnesota,27,"Anoka County, MN",27003,Malignant neoplasms,Malignant neoplasm without specification of site,C80,24.0,353813.0,6.8
2018,Minnesota,27,"Anoka County, MN",27003,Malignant neoplasms,Multiple myeloma - Malignant neoplasms,C90.0,14.0,353813.0,Unreliable
2018,Minnesota,27,"Anoka County, MN",27003,Malignant neoplasms,Acute myeloid leukaemia - Malignant neoplasms,C92.0,15.0,353813.0,Unreliable
2018,Minnesota,27,"Anoka County, MN",27003,Diabetes,"Non-insulin-dependent diabetes mellitus, with renal complications",E11.2,10.0,353813.0,Unreliable
2018,Minnesota,27,"Anoka County, MN",27003,Diabetes,"Non-insulin-dependent diabetes mellitus, without complications",E11.9,17.0,353813.0,Unreliable
2018,Minnesota,27,"Anoka County, MN",27003,Alzheimer disease and dementia,"Vascular dementia, unspecified",F01.9,25.0,353813.0,7.1
2018,Minnesota,27,"Anoka County, MN",27003,Alzheimer disease and dementia,Unspecified dementia,F03,127.0,353813.0,35.9
2018,Minnesota,27,"Anoka County, MN",27003,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,91.0,353813.0,25.7
2018,Minnesota,27,"Anoka County, MN",27003,Hypertensive diseases,Essential (primary) hypertension,I10,26.0,353813.0,7.3
2018,Minnesota,27,"Anoka County, MN",27003,Hypertensive diseases,Hypertensive heart disease with (congestive) heart failure,I11.0,19.0,353813.0,Unreliable
2018,Minnesota,27,"Anoka County, MN",27003,Ischemic heart disease,Acute subendocardial myocardial infarction,I21.4,11.0,353813.0,Unreliable
2018,Minnesota,27,"Anoka County, MN",27003,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,25.0,353813.0,7.1
2018,Minnesota,27,"Anoka County, MN",27003,Ischemic heart disease,Atherosclerotic heart disease,I25.1,115.0,353813.0,32.5
2018,Minnesota,27,"Anoka County, MN",27003,Ischemic heart disease,Ischaemic cardiomyopathy,I25.5,12.0,353813.0,Unreliable
2018,Minnesota,27,"Anoka County, MN",27003,Other diseases of the circulatory system,Aortic (valve) stenosis,I35.0,11.0,353813.0,Unreliable
2018,Minnesota,27,"Anoka County, MN",27003,Other diseases of the circulatory system,"Cardiomyopathy, unspecified",I42.9,10.0,353813.0,Unreliable
2018,Minnesota,27,"Anoka County, MN",27003,Other diseases of the circulatory system,Atrial fibrillation and flutter,I48,19.0,353813.0,Unreliable
2018,Minnesota,27,"Anoka County, MN",27003,Other diseases of the circulatory system,Congestive heart failure,I50.0,28.0,353813.0,7.9
2018,Minnesota,27,"Anoka County, MN",27003,Cerebrovascular diseases,"Stroke, not specified as haemorrhage or infarction",I64,32.0,353813.0,9.0
2018,Minnesota,27,"Anoka County, MN",27003,Cerebrovascular diseases,"Sequelae of stroke, not specified as haemorrhage or infarction",I69.4,23.0,353813.0,6.5
2018,Minnesota,27,"Anoka County, MN",27003,Influenza and pneumonia,"Pneumonia, unspecified",J18.9,13.0,353813.0,Unreliable
2018,Minnesota,27,"Anoka County, MN",27003,Chronic lower respiratory diseases,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,14.0,353813.0,Unreliable
2018,Minnesota,27,"Anoka County, MN",27003,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,113.0,353813.0,31.9
2018,Minnesota,27,"Anoka County, MN",27003,Other diseases of the respiratory system,Pneumonitis due to food and vomit,J69.0,10.0,353813.0,Unreliable
2018,Minnesota,27,"Anoka County, MN",27003,Other diseases of the respiratory system,Other interstitial pulmonary diseases with fibrosis,J84.1,11.0,353813.0,Unreliable
2018,Minnesota,27,"Anoka County, MN",27003,Renal failure,"Chronic kidney disease, stage 5",N18.5,14.0,353813.0,Unreliable
2018,Minnesota,27,"Becker County, MN",27005,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,11.0,34371.0,Unreliable
2018,Minnesota,27,"Becker County, MN",27005,Alzheimer disease and dementia,Unspecified dementia,F03,19.0,34371.0,Unreliable
2018,Minnesota,27,"Becker County, MN",27005,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,19.0,34371.0,Unreliable
2018,Minnesota,27,"Becker County, MN",27005,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,15.0,34371.0,Unreliable
2018,Minnesota,27,"Becker County, MN",27005,Ischemic heart disease,Atherosclerotic heart disease,I25.1,13.0,34371.0,Unreliable
2018,Minnesota,27,"Becker County, MN",27005,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,19.0,34371.0,Unreliable
2018,Minnesota,27,"Beltrami County, MN",27007,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,15.0,46847.0,Unreliable
2018,Minnesota,27,"Beltrami County, MN",27007,Alzheimer disease and dementia,Unspecified dementia,F03,16.0,46847.0,Unreliable
2018,Minnesota,27,"Beltrami County, MN",27007,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,16.0,46847.0,Unreliable
2018,Minnesota,27,"Beltrami County, MN",27007,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,12.0,46847.0,Unreliable
2018,Minnesota,27,"Beltrami County, MN",27007,Ischemic heart disease,Atherosclerotic heart disease,I25.1,25.0,46847.0,53.4
2018,Minnesota,27,"Beltrami County, MN",27007,Cerebrovascular diseases,"Stroke, not specified as haemorrhage or infarction",I64,17.0,46847.0,Unreliable
2018,Minnesota,27,"Beltrami County, MN",27007,Influenza and pneumonia,"Pneumonia, unspecified",J18.9,11.0,46847.0,Unreliable
2018,Minnesota,27,"Beltrami County, MN",27007,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,16.0,46847.0,Unreliable
2018,Minnesota,27,"Benton County, MN",27009,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,13.0,40545.0,Unreliable
2018,Minnesota,27,"Benton County, MN",27009,Alzheimer disease and dementia,Unspecified dementia,F03,29.0,40545.0,71.5
2018,Minnesota,27,"Benton County, MN",27009,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,25.0,40545.0,61.7
2018,Minnesota,27,"Benton County, MN",27009,Ischemic heart disease,Atherosclerotic heart disease,I25.1,16.0,40545.0,Unreliable
2018,Minnesota,27,"Benton County, MN",27009,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,18.0,40545.0,Unreliable
2018,Minnesota,27,"Blue Earth County, MN",27013,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,24.0,67427.0,35.6
2018,Minnesota,27,"Blue Earth County, MN",27013,Alzheimer disease and dementia,Unspecified dementia,F03,26.0,67427.0,38.6
2018,Minnesota,27,"Blue Earth County, MN",27013,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,38.0,67427.0,56.4
2018,Minnesota,27,"Blue Earth County, MN",27013,Ischemic heart disease,Atherosclerotic heart disease,I25.1,30.0,67427.0,44.5
2018,Minnesota,27,"Blue Earth County, MN",27013,Other diseases of the circulatory system,Congestive heart failure,I50.0,15.0,67427.0,Unreliable
