year,state,county,cause_category,cause,cause_code,deaths,population,crude_rate
2018,Minnesota,"Anoka County, MN",Nontransport accidents,Other fall on same level,W18,32.0,353813.0,9.0
2018,Minnesota,"Anoka County, MN",Nontransport accidents,Unspecified fall,W19,13.0,353813.0,Unreliable
2018,Minnesota,"Anoka County, MN",Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,16.0,353813.0,Unreliable
2018,Minnesota,"Anoka County, MN",Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,17.0,353813.0,Unreliable
2018,Minnesota,"Anoka County, MN",Intentional self-harm (suicide),"Intentional self-harm by hanging, strangulation and suffocation",X70,11.0,353813.0,Unreliable
2018,Minnesota,"Anoka County, MN",Intentional self-harm (suicide),Intentional self-harm by other and unspecified firearm discharge,X74,13.0,353813.0,Unreliable
2018,Minnesota,"Crow Wing County, MN",Nontransport accidents,Unspecified fall,W19,12.0,64889.0,Unreliable
2018,Minnesota,"Dakota County, MN",Nontransport accidents,Other fall on same level,W18,41.0,425423.0,9.6
2018,Minnesota,"Dakota County, MN",Nontransport accidents,Unspecified fall,W19,34.0,425423.0,8.0
2018,Minnesota,"Dakota County, MN",Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,14.0,425423.0,Unreliable
2018,Minnesota,"Dakota County, MN",Intentional self-harm (suicide),"Intentional self-harm by hanging, strangulation and suffocation",X70,16.0,425423.0,Unreliable
2018,Minnesota,"Dakota County, MN",Intentional self-harm (suicide),Intentional self-harm by handgun discharge,X72,14.0,425423.0,Unreliable
2018,Minnesota,"Hennepin County, MN",Transport accidents (unintentional injuries),"Pedestrian injured in collision with car, pick-up truck or van, traffic accident",V03.1,15.0,1259428.0,Unreliable
2018,Minnesota,"Hennepin County, MN",Nontransport accidents,"Fall on same level from slipping, tripping and stumbling",W01,10.0,1259428.0,Unreliable
2018,Minnesota,"Hennepin County, MN",Nontransport accidents,Fall involving bed,W06,17.0,1259428.0,Unreliable
2018,Minnesota,"Hennepin County, MN",Nontransport accidents,Fall involving chair,W07,11.0,1259428.0,Unreliable
2018,Minnesota,"Hennepin County, MN",Nontransport accidents,Fall on and from stairs and steps,W10,17.0,1259428.0,Unreliable
2018,Minnesota,"Hennepin County, MN",Nontransport accidents,Other fall on same level,W18,142.0,1259428.0,11.3
2018,Minnesota,"Hennepin County, MN",Nontransport accidents,Unspecified fall,W19,126.0,1259428.0,10.0
2018,Minnesota,"Hennepin County, MN",Accidental drug overdose,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,15.0,1259428.0,Unreliable
