year,state,state_code,county,county_code,race,ethnicity,deaths,population,crude_rate,age_adjusted_rate
2018,Mississippi,28,"Adams County, MS",28001,Black or African American,Not Hispanic or Latino,224.0,16336.0,1371.2,1218.4
2018,Mississippi,28,"Adams County, MS",28001,White,Not Hispanic or Latino,219.0,10798.0,2028.2,1086.8
2018,Mississippi,28,"Alcorn County, MS",28003,Black or African American,Not Hispanic or Latino,49.0,4497.0,1089.6,1185.9
2018,Mississippi,28,"Alcorn County, MS",28003,White,Not Hispanic or Latino,418.0,30529.0,1369.2,977.5
2018,Mississippi,28,"Amite County, MS",28005,Black or African American,Not Hispanic or Latino,58.0,4955.0,1170.5,889.7
2018,Mississippi,28,"Amite County, MS",28005,White,Not Hispanic or Latino,102.0,7062.0,1444.4,815.9
2018,Mississippi,28,"Attala County, MS",28007,Black or African American,Not Hispanic or Latino,71.0,7911.0,897.5,845.3
2018,Mississippi,28,"Attala County, MS",28007,White,Not Hispanic or Latino,170.0,9815.0,1732.0,987.5
2018,Mississippi,28,"Benton County, MS",28009,Black or African American,Not Hispanic or Latino,30.0,2900.0,1034.5,936.8
2018,Mississippi,28,"Benton County, MS",28009,White,Not Hispanic or Latino,73.0,5004.0,1458.8,920.3
2018,Mississippi,28,"Bolivar County, MS",28011,Black or African American,Not Hispanic or Latino,259.0,19919.0,1300.3,1326.4
2018,Mississippi,28,"Bolivar County, MS",28011,White,Not Hispanic or Latino,134.0,10214.0,1311.9,843.3
2018,Mississippi,28,"Calhoun County, MS",28013,Black or African American,Not Hispanic or Latino,31.0,4023.0,770.6,724.2
2018,Mississippi,28,"Calhoun County, MS",28013,White,Not Hispanic or Latino,133.0,9295.0,1430.9,895.4
2018,Mississippi,28,"Carroll County, MS",28015,Black or African American,Not Hispanic or Latino,31.0,3229.0,960.0,746.7
2018,Mississippi,28,"Carroll County, MS",28015,White,Not Hispanic or Latino,74.0,6380.0,1159.9,722.4
2018,Mississippi,28,"Chickasaw County, MS",28017,Black or African American,Not Hispanic or Latino,83.0,7512.0,1104.9,1102.0
2018,Mississippi,28,"Chickasaw County, MS",28017,White,Not Hispanic or Latino,121.0,8444.0,1433.0,881.1
2018,Mississippi,28,"Choctaw County, MS",28019,Black or African American,Not Hispanic or Latino,34.0,2469.0,1377.1,1173.3
2018,Mississippi,28,"Choctaw County, MS",28019,White,Not Hispanic or Latino,82.0,5535.0,1481.5,932.8
2018,Mississippi,28,"Claiborne County, MS",28021,Black or African American,Not Hispanic or Latino,96.0,7689.0,1248.5,1250.0
2018,Mississippi,28,"Claiborne County, MS",28021,White,Not Hispanic or Latino,17.0,1009.0,Unreliable,Unreliable
2018,Mississippi,28,"Clarke County, MS",28023,Black or African American,Not Hispanic or Latino,68.0,5388.0,1262.1,1103.8
2018,Mississippi,28,"Clarke County, MS",28023,White,Not Hispanic or Latino,155.0,9839.0,1575.4,999.5
2018,Mississippi,28,"Clay County, MS",28025,Black or African American,Not Hispanic or Latino,102.0,11334.0,899.9,887.5
2018,Mississippi,28,"Clay County, MS",28025,White,Not Hispanic or Latino,121.0,7502.0,1612.9,872.1
2018,Mississippi,28,"Coahoma County, MS",28027,Black or African American,Not Hispanic or Latino,202.0,17343.0,1164.7,1229.8
2018,Mississippi,28,"Coahoma County, MS",28027,White,Not Hispanic or Latino,88.0,4653.0,1891.3,970.5
2018,Mississippi,28,"Copiah County, MS",28029,Black or African American,Not Hispanic or Latino,122.0,14617.0,834.6,864.7
2018,Mississippi,28,"Copiah County, MS",28029,White,Not Hispanic or Latino,168.0,12469.0,1347.3,797.8
2018,Mississippi,28,"Covington County, MS",28031,Black or African American,Not Hispanic or Latino,77.0,6716.0,1146.5,1305.5
2018,Mississippi,28,"Covington County, MS",28031,White,Not Hispanic or Latino,196.0,11381.0,1722.2,1194.7
2018,Mississippi,28,"DeSoto County, MS",28033,Asian,Not Hispanic or Latino,15.0,2676.0,Unreliable,Unreliable
2018,Mississippi,28,"DeSoto County, MS",28033,Black or African American,Not Hispanic or Latino,249.0,52245.0,476.6,852.1
2018,Mississippi,28,"DeSoto County, MS",28033,White,Not Hispanic or Latino,1156.0,114911.0,1006.0,854.4
2018,Mississippi,28,"Forrest County, MS",28035,Black or African American,Not Hispanic or Latino,283.0,28151.0,1005.3,1291.2
2018,Mississippi,28,"Forrest County, MS",28035,White,Not Hispanic or Latino,535.0,42737.0,1251.8,973.2
2018,Mississippi,28,"Franklin County, MS",28037,Black or African American,Not Hispanic or Latino,34.0,2687.0,1265.4,1183.7
2018,Mississippi,28,"Franklin County, MS",28037,White,Not Hispanic or Latino,79.0,4892.0,1614.9,968.8
2018,Mississippi,28,"George County, MS",28039,Black or African American,Not Hispanic or Latino,10.0,1895.0,Unreliable,Unreliable
2018,Mississippi,28,"George County, MS",28039,White,Not Hispanic or Latino,258.0,21050.0,1225.7,1259.1
2018,Mississippi,28,"Greene County, MS",28041,Black or African American,Not Hispanic or Latino,25.0,3433.0,728.2,939.3
2018,Mississippi,28,"Greene County, MS",28041,White,Not Hispanic or Latino,110.0,9789.0,1123.7,922.5
2018,Mississippi,28,"Grenada County, MS",28043,Black or African American,Not Hispanic or Latino,144.0,8933.0,1612.0,1595.3
2018,Mississippi,28,"Grenada County, MS",28043,White,Not Hispanic or Latino,199.0,11465.0,1735.7,1225.2
2018,Mississippi,28,"Hancock County, MS",28045,Black or African American,Not Hispanic or Latino,35.0,3762.0,930.4,1017.6
2018,Mississippi,28,"Hancock County, MS",28045,White,Not Hispanic or Latino,446.0,40047.0,1113.7,784.7
2018,Mississippi,28,"Harrison County, MS",28047,Asian,Not Hispanic or Latino,30.0,5818.0,515.6,664.7
2018,Mississippi,28,"Harrison County, MS",28047,Black or African American,Not Hispanic or Latino,441.0,52021.0,847.7,1087.5
2018,Mississippi,28,"Harrison County, MS",28047,White,Hispanic or Latino,22.0,9489.0,231.8,361.1
2018,Mississippi,28,"Harrison County, MS",28047,White,Not Hispanic or Latino,1649.0,131276.0,1256.1,944.9
2018,Mississippi,28,"Hinds County, MS",28049,Black or African American,Not Hispanic or Latino,1440.0,171719.0,838.6,944.8
2018,Mississippi,28,"Hinds County, MS",28049,White,Not Hispanic or Latino,739.0,57381.0,1287.9,742.4
2018,Mississippi,28,"Holmes County, MS",28051,Black or African American,Not Hispanic or Latino,164.0,14442.0,1135.6,1111.7
2018,Mississippi,28,"Holmes County, MS",28051,White,Not Hispanic or Latino,38.0,2771.0,1371.3,751.5
2018,Mississippi,28,"Humphreys County, MS",28053,Black or African American,Not Hispanic or Latino,66.0,6177.0,1068.5,1027.2
2018,Mississippi,28,"Humphreys County, MS",28053,White,Not Hispanic or Latino,31.0,1666.0,1860.7,893.3
2018,Mississippi,28,"Issaquena County, MS",28055,Black or African American,Not Hispanic or Latino,17.0,824.0,Unreliable,Unreliable
2018,Mississippi,28,"Itawamba County, MS",28057,Black or African American,Not Hispanic or Latino,17.0,1616.0,Unreliable,Unreliable
2018,Mississippi,28,"Itawamba County, MS",28057,White,Not Hispanic or Latino,260.0,21123.0,1230.9,907.4
2018,Mississippi,28,"Jackson County, MS",28059,Asian,Not Hispanic or Latino,13.0,3251.0,Unreliable,Unreliable
2018,Mississippi,28,"Jackson County, MS",28059,Black or African American,Not Hispanic or Latino,268.0,30260.0,885.7,995.0
2018,Mississippi,28,"Jackson County, MS",28059,White,Hispanic or Latino,15.0,8494.0,Unreliable,Unreliable
2018,Mississippi,28,"Jackson County, MS",28059,White,Not Hispanic or Latino,1138.0,96554.0,1178.6,908.8
2018,Mississippi,28,"Jasper County, MS",28061,Black or African American,Not Hispanic or Latino,88.0,8712.0,1010.1,881.6
2018,Mississippi,28,"Jasper County, MS",28061,White,Not Hispanic or Latino,98.0,7300.0,1342.5,894.6
2018,Mississippi,28,"Jefferson County, MS",28063,Black or African American,Not Hispanic or Latino,83.0,6025.0,1377.6,1187.0
2018,Mississippi,28,"Jefferson County, MS",28063,White,Not Hispanic or Latino,10.0,935.0,Unreliable,Unreliable
2018,Mississippi,28,"Jefferson Davis County, MS",28065,Black or African American,Not Hispanic or Latino,98.0,6700.0,1462.7,1241.4
2018,Mississippi,28,"Jefferson Davis County, MS",28065,White,Not Hispanic or Latino,69.0,4205.0,1640.9,745.3
2018,Mississippi,28,"Jones County, MS",28067,Black or African American,Not Hispanic or Latino,166.0,19979.0,830.9,945.3
2018,Mississippi,28,"Jones County, MS",28067,White,Not Hispanic or Latino,631.0,44192.0,1427.9,997.8
2018,Mississippi,28,"Kemper County, MS",28069,Black or African American,Not Hispanic or Latino,58.0,6084.0,953.3,848.3
2018,Mississippi,28,"Kemper County, MS",28069,White,Not Hispanic or Latino,49.0,3400.0,1441.2,743.0
2018,Mississippi,28,"Lafayette County, MS",28071,Black or African American,Not Hispanic or Latino,83.0,12743.0,651.3,872.0
2018,Mississippi,28,"Lafayette County, MS",28071,White,Not Hispanic or Latino,283.0,38604.0,733.1,736.9
2018,Mississippi,28,"Lamar County, MS",28073,Black or African American,Not Hispanic or Latino,40.0,12835.0,311.6,430.5
2018,Mississippi,28,"Lamar County, MS",28073,White,Not Hispanic or Latino,396.0,46032.0,860.3,718.6
2018,Mississippi,28,"Lauderdale County, MS",28075,Black or African American,Not Hispanic or Latino,306.0,32983.0,927.8,967.1
2018,Mississippi,28,"Lauderdale County, MS",28075,White,Not Hispanic or Latino,578.0,39211.0,1474.1,937.0
2018,Mississippi,28,"Lawrence County, MS",28077,Black or African American,Not Hispanic or Latino,48.0,3972.0,1208.5,1166.7
2018,Mississippi,28,"Lawrence County, MS",28077,White,Not Hispanic or Latino,119.0,8069.0,1474.8,1091.1
