year,state,state_code,county,county_code,cause_category,cause,cause_code,deaths,population,crude_rate
2018,Mississippi,28,"Adams County, MS",28001,Malignant neoplasms,"Colon, unspecified - Malignant neoplasms",C18.9,10.0,31192.0,Unreliable
2018,Mississippi,28,"Adams County, MS",28001,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,14.0,31192.0,Unreliable
2018,Mississippi,28,"Adams County, MS",28001,Diabetes,"Unspecified diabetes mellitus, with renal complications",E14.2,11.0,31192.0,Unreliable
2018,Mississippi,28,"Adams County, MS",28001,Diabetes,"Unspecified diabetes mellitus, without complications",E14.9,24.0,31192.0,76.9
2018,Mississippi,28,"Adams County, MS",28001,Alzheimer disease and dementia,Unspecified dementia,F03,15.0,31192.0,Unreliable
2018,Mississippi,28,"Adams County, MS",28001,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,24.0,31192.0,76.9
2018,Mississippi,28,"Adams County, MS",28001,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,16.0,31192.0,Unreliable
2018,Mississippi,28,"Adams County, MS",28001,Other diseases of the circulatory system,Congestive heart failure,I50.0,14.0,31192.0,Unreliable
2018,Mississippi,28,"Adams County, MS",28001,Cerebrovascular diseases,"Stroke, not specified as haemorrhage or infarction",I64,16.0,31192.0,Unreliable
2018,Mississippi,28,"Adams County, MS",28001,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,14.0,31192.0,Unreliable
2018,Mississippi,28,"Alcorn County, MS",28003,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,26.0,36925.0,70.4
2018,Mississippi,28,"Alcorn County, MS",28003,Malignant neoplasms,Malignant neoplasm without specification of site,C80,12.0,36925.0,Unreliable
2018,Mississippi,28,"Alcorn County, MS",28003,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,21.0,36925.0,56.9
2018,Mississippi,28,"Alcorn County, MS",28003,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,31.0,36925.0,84.0
2018,Mississippi,28,"Alcorn County, MS",28003,Ischemic heart disease,Atherosclerotic heart disease,I25.1,22.0,36925.0,59.6
2018,Mississippi,28,"Alcorn County, MS",28003,Other diseases of the circulatory system,Congestive heart failure,I50.0,41.0,36925.0,111.0
2018,Mississippi,28,"Alcorn County, MS",28003,Other diseases of the circulatory system,"Heart disease, unspecified",I51.9,10.0,36925.0,Unreliable
2018,Mississippi,28,"Alcorn County, MS",28003,Cerebrovascular diseases,"Stroke, not specified as haemorrhage or infarction",I64,20.0,36925.0,54.2
2018,Mississippi,28,"Alcorn County, MS",28003,Influenza and pneumonia,"Pneumonia, unspecified",J18.9,14.0,36925.0,Unreliable
2018,Mississippi,28,"Alcorn County, MS",28003,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,38.0,36925.0,102.9
2018,Mississippi,28,"Amite County, MS",28005,Hypertensive diseases,Hypertensive heart disease without (congestive) heart failure,I11.9,28.0,12326.0,227.2
2018,Mississippi,28,"Attala County, MS",28007,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,13.0,18365.0,Unreliable
2018,Mississippi,28,"Attala County, MS",28007,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,23.0,18365.0,125.2
2018,Mississippi,28,"Attala County, MS",28007,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,14.0,18365.0,Unreliable
2018,Mississippi,28,"Attala County, MS",28007,Cerebrovascular diseases,"Stroke, not specified as haemorrhage or infarction",I64,13.0,18365.0,Unreliable
2018,Mississippi,28,"Attala County, MS",28007,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,16.0,18365.0,Unreliable
2018,Mississippi,28,"Bolivar County, MS",28011,Sepsis,"Septicaemia, unspecified",A41.9,11.0,31333.0,Unreliable
2018,Mississippi,28,"Bolivar County, MS",28011,Malignant neoplasms,"Colon, unspecified - Malignant neoplasms",C18.9,12.0,31333.0,Unreliable
