year,state,county,cause_category,cause,cause_code,deaths,population,crude_rate
2018,Mississippi,"Adams County, MS",Assault (homicide),Assault by other and unspecified firearm discharge,X95,12.0,31192.0,Unreliable
2018,Mississippi,"Alcorn County, MS",Intentional self-harm (suicide),Intentional self-harm by other and unspecified firearm discharge,X74,10.0,36925.0,Unreliable
2018,Mississippi,"DeSoto County, MS",Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,10.0,182001.0,Unreliable
2018,Mississippi,"DeSoto County, MS",Accidental drug overdose,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,11.0,182001.0,Unreliable
2018,Mississippi,"DeSoto County, MS",Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,17.0,182001.0,Unreliable
2018,Mississippi,"DeSoto County, MS",Intentional self-harm (suicide),Intentional self-harm by other and unspecified firearm discharge,X74,18.0,182001.0,Unreliable
2018,Mississippi,"Harrison County, MS",Transport accidents (unintentional injuries),"Pedestrian injured in collision with car, pick-up truck or van, traffic accident",V03.1,10.0,206650.0,Unreliable
2018,Mississippi,"Harrison County, MS",Accidental drug overdose,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,16.0,206650.0,Unreliable
2018,Mississippi,"Harrison County, MS",Intentional self-harm (suicide),"Intentional self-harm by hanging, strangulation and suffocation",X70,11.0,206650.0,Unreliable
2018,Mississippi,"Harrison County, MS",Intentional self-harm (suicide),Intentional self-harm by handgun discharge,X72,23.0,206650.0,11.1
2018,Mississippi,"Hinds County, MS",Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,11.0,237085.0,Unreliable
2018,Mississippi,"Hinds County, MS",Intentional self-harm (suicide),Intentional self-harm by other and unspecified firearm discharge,X74,21.0,237085.0,8.9
2018,Mississippi,"Hinds County, MS",Assault (homicide),Assault by other and unspecified firearm discharge,X95,76.0,237085.0,32.1
2018,Mississippi,"Jackson County, MS",Transport accidents (unintentional injuries),"Person injured in unspecified motor-vehicle accident, traffic",V89.2,10.0,143277.0,Unreliable
2018,Mississippi,"Jackson County, MS",Nontransport accidents,Unspecified fall,W19,11.0,143277.0,Unreliable
2018,Mississippi,"Jackson County, MS",Intentional self-harm (suicide),Intentional self-harm by other and unspecified firearm discharge,X74,19.0,143277.0,Unreliable
2018,Mississippi,"Jackson County, MS",Assault (homicide),Assault by other and unspecified firearm discharge,X95,11.0,143277.0,Unreliable
2018,Mississippi,"Rankin County, MS",Intentional self-harm (suicide),Intentional self-harm by other and unspecified firearm discharge,X74,23.0,153902.0,14.9
2018,Mississippi,"Washington County, MS",Assault (homicide),Assault by other and unspecified firearm discharge,X95,17.0,45063.0,Unreliable
