year,state,state_code,county,county_code,race,ethnicity,deaths,population,crude_rate,age_adjusted_rate
2018,Missouri,29,"Adair County, MO",29001,White,Not Hispanic or Latino,209.0,22840.0,915.1,772.2
2018,Missouri,29,"Andrew County, MO",29003,White,Not Hispanic or Latino,156.0,16576.0,941.1,673.6
2018,Missouri,29,"Atchison County, MO",29005,White,Not Hispanic or Latino,71.0,4990.0,1422.8,783.2
2018,Missouri,29,"Audrain County, MO",29007,Black or African American,Not Hispanic or Latino,20.0,1747.0,1144.8,1251.2
2018,Missouri,29,"Audrain County, MO",29007,White,Not Hispanic or Latino,287.0,22252.0,1289.8,930.1
2018,Missouri,29,"Barry County, MO",29009,White,Not Hispanic or Latino,439.0,30470.0,1440.8,938.9
2018,Missouri,29,"Barton County, MO",29011,White,Not Hispanic or Latino,122.0,10914.0,1117.8,691.1
2018,Missouri,29,"Bates County, MO",29013,White,Not Hispanic or Latino,182.0,15361.0,1184.8,840.6
2018,Missouri,29,"Benton County, MO",29015,White,Not Hispanic or Latino,325.0,18241.0,1781.7,925.9
2018,Missouri,29,"Bollinger County, MO",29017,White,Not Hispanic or Latino,143.0,11673.0,1225.0,828.5
2018,Missouri,29,"Boone County, MO",29019,Asian,Not Hispanic or Latino,20.0,9514.0,210.2,770.9
2018,Missouri,29,"Boone County, MO",29019,Black or African American,Not Hispanic or Latino,114.0,17125.0,665.7,1024.7
2018,Missouri,29,"Boone County, MO",29019,White,Not Hispanic or Latino,1075.0,140978.0,762.5,723.3
2018,Missouri,29,"Boone County, MO",29019,More than one race,Not Hispanic or Latino,12.0,5298.0,Unreliable,Unreliable
2018,Missouri,29,"Buchanan County, MO",29021,Black or African American,Not Hispanic or Latino,38.0,5019.0,757.1,1072.7
2018,Missouri,29,"Buchanan County, MO",29021,White,Hispanic or Latino,17.0,5194.0,Unreliable,Unreliable
2018,Missouri,29,"Buchanan County, MO",29021,White,Not Hispanic or Latino,894.0,73169.0,1221.8,897.2
2018,Missouri,29,"Butler County, MO",29023,Black or African American,Not Hispanic or Latino,28.0,2322.0,1205.9,1267.0
2018,Missouri,29,"Butler County, MO",29023,White,Not Hispanic or Latino,573.0,37748.0,1518.0,1077.1
2018,Missouri,29,"Caldwell County, MO",29025,White,Not Hispanic or Latino,116.0,8598.0,1349.2,915.1
2018,Missouri,29,"Callaway County, MO",29027,Black or African American,Not Hispanic or Latino,18.0,1962.0,Unreliable,Unreliable
2018,Missouri,29,"Callaway County, MO",29027,White,Not Hispanic or Latino,438.0,40436.0,1083.2,880.1
2018,Missouri,29,"Camden County, MO",29029,White,Not Hispanic or Latino,528.0,43052.0,1226.4,714.7
2018,Missouri,29,"Cape Girardeau County, MO",29031,Black or African American,Not Hispanic or Latino,29.0,5997.0,483.6,821.7
2018,Missouri,29,"Cape Girardeau County, MO",29031,White,Not Hispanic or Latino,782.0,67597.0,1156.9,821.6
2018,Missouri,29,"Carroll County, MO",29033,White,Not Hispanic or Latino,117.0,8276.0,1413.7,949.8
2018,Missouri,29,"Carter County, MO",29035,White,Not Hispanic or Latino,91.0,5682.0,1601.5,1109.3
2018,Missouri,29,"Cass County, MO",29037,Black or African American,Not Hispanic or Latino,29.0,4325.0,670.5,878.3
2018,Missouri,29,"Cass County, MO",29037,White,Hispanic or Latino,11.0,4089.0,Unreliable,Unreliable
2018,Missouri,29,"Cass County, MO",29037,White,Not Hispanic or Latino,972.0,91900.0,1057.7,778.5
2018,Missouri,29,"Cedar County, MO",29039,White,Not Hispanic or Latino,220.0,13383.0,1643.9,993.1
2018,Missouri,29,"Chariton County, MO",29041,White,Not Hispanic or Latino,91.0,7060.0,1289.0,692.7
2018,Missouri,29,"Christian County, MO",29043,White,Not Hispanic or Latino,675.0,80954.0,833.8,724.2
2018,Missouri,29,"Clark County, MO",29045,White,Not Hispanic or Latino,82.0,6613.0,1240.0,783.0
2018,Missouri,29,"Clay County, MO",29047,American Indian or Alaska Native,Not Hispanic or Latino,10.0,1181.0,Unreliable,Unreliable
