year,state,state_code,county,county_code,cause_category,cause,cause_code,deaths,population,crude_rate
2018,Missouri,29,"Adair County, MO",29001,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,10.0,25339.0,Unreliable
2018,Missouri,29,"Adair County, MO",29001,Other diseases of the circulatory system,Congestive heart failure,I50.0,12.0,25339.0,Unreliable
2018,Missouri,29,"Adair County, MO",29001,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,12.0,25339.0,Unreliable
2018,Missouri,29,"Andrew County, MO",29003,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,13.0,17607.0,Unreliable
2018,Missouri,29,"Audrain County, MO",29007,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,18.0,25473.0,Unreliable
2018,Missouri,29,"Audrain County, MO",29007,Alzheimer disease and dementia,Unspecified dementia,F03,16.0,25473.0,Unreliable
2018,Missouri,29,"Audrain County, MO",29007,Hypertensive diseases,Essential (primary) hypertension,I10,11.0,25473.0,Unreliable
2018,Missouri,29,"Audrain County, MO",29007,Ischemic heart disease,Atherosclerotic heart disease,I25.1,14.0,25473.0,Unreliable
2018,Missouri,29,"Audrain County, MO",29007,Other diseases of the circulatory system,"Heart disease, unspecified",I51.9,11.0,25473.0,Unreliable
2018,Missouri,29,"Audrain County, MO",29007,Cerebrovascular diseases,"Stroke, not specified as haemorrhage or infarction",I64,11.0,25473.0,Unreliable
2018,Missouri,29,"Audrain County, MO",29007,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,20.0,25473.0,78.5
2018,Missouri,29,"Barry County, MO",29009,Malignant neoplasms,"Colon, unspecified - Malignant neoplasms",C18.9,10.0,35886.0,Unreliable
2018,Missouri,29,"Barry County, MO",29009,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,20.0,35886.0,55.7
2018,Missouri,29,"Barry County, MO",29009,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,19.0,35886.0,Unreliable
2018,Missouri,29,"Barry County, MO",29009,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,61.0,35886.0,170.0
2018,Missouri,29,"Barry County, MO",29009,Influenza and pneumonia,"Pneumonia, unspecified",J18.9,11.0,35886.0,Unreliable
2018,Missouri,29,"Barry County, MO",29009,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,30.0,35886.0,83.6
2018,Missouri,29,"Barton County, MO",29011,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,19.0,11798.0,Unreliable
2018,Missouri,29,"Bates County, MO",29013,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,11.0,16320.0,Unreliable
2018,Missouri,29,"Bates County, MO",29013,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,13.0,16320.0,Unreliable
2018,Missouri,29,"Bates County, MO",29013,Cerebrovascular diseases,"Stroke, not specified as haemorrhage or infarction",I64,10.0,16320.0,Unreliable
2018,Missouri,29,"Bates County, MO",29013,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,19.0,16320.0,Unreliable
2018,Missouri,29,"Benton County, MO",29015,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,19.0,19278.0,Unreliable
2018,Missouri,29,"Benton County, MO",29015,Alzheimer disease and dementia,Unspecified dementia,F03,12.0,19278.0,Unreliable
2018,Missouri,29,"Benton County, MO",29015,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,11.0,19278.0,Unreliable
2018,Missouri,29,"Benton County, MO",29015,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,12.0,19278.0,Unreliable
2018,Missouri,29,"Benton County, MO",29015,Ischemic heart disease,Atherosclerotic heart disease,I25.1,10.0,19278.0,Unreliable
2018,Missouri,29,"Benton County, MO",29015,Cerebrovascular diseases,"Stroke, not specified as haemorrhage or infarction",I64,10.0,19278.0,Unreliable
2018,Missouri,29,"Benton County, MO",29015,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,21.0,19278.0,108.9
2018,Missouri,29,"Bollinger County, MO",29017,Ischemic heart disease,"Atherosclerotic cardiovascular disease, so described",I25.0,19.0,12169.0,Unreliable
2018,Missouri,29,"Bollinger County, MO",29017,Ischemic heart disease,Atherosclerotic heart disease,I25.1,13.0,12169.0,Unreliable
2018,Missouri,29,"Boone County, MO",29019,Sepsis,"Septicaemia, unspecified",A41.9,14.0,180005.0,Unreliable
2018,Missouri,29,"Boone County, MO",29019,Malignant neoplasms,"Colon, unspecified - Malignant neoplasms",C18.9,17.0,180005.0,Unreliable
2018,Missouri,29,"Boone County, MO",29019,Malignant neoplasms,"Pancreas, unspecified - Malignant neoplasms",C25.9,16.0,180005.0,Unreliable
2018,Missouri,29,"Boone County, MO",29019,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,72.0,180005.0,40.0
2018,Missouri,29,"Boone County, MO",29019,Malignant neoplasms,"Breast, unspecified - Malignant neoplasms",C50.9,17.0,180005.0,Unreliable
2018,Missouri,29,"Boone County, MO",29019,Malignant neoplasms,Malignant neoplasm of prostate,C61,14.0,180005.0,Unreliable
2018,Missouri,29,"Boone County, MO",29019,Malignant neoplasms,Malignant neoplasm without specification of site,C80,12.0,180005.0,Unreliable
2018,Missouri,29,"Boone County, MO",29019,Diabetes,"Unspecified diabetes mellitus, without complications",E14.9,16.0,180005.0,Unreliable
2018,Missouri,29,"Boone County, MO",29019,Alzheimer disease and dementia,"Vascular dementia, unspecified",F01.9,16.0,180005.0,Unreliable
2018,Missouri,29,"Boone County, MO",29019,Alzheimer disease and dementia,Unspecified dementia,F03,59.0,180005.0,32.8
2018,Missouri,29,"Boone County, MO",29019,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,41.0,180005.0,22.8
2018,Missouri,29,"Boone County, MO",29019,Hypertensive diseases,Hypertensive heart disease without (congestive) heart failure,I11.9,25.0,180005.0,13.9
2018,Missouri,29,"Boone County, MO",29019,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,21.0,180005.0,11.7
2018,Missouri,29,"Boone County, MO",29019,Ischemic heart disease,"Atherosclerotic cardiovascular disease, so described",I25.0,21.0,180005.0,11.7
2018,Missouri,29,"Boone County, MO",29019,Ischemic heart disease,Atherosclerotic heart disease,I25.1,50.0,180005.0,27.8
2018,Missouri,29,"Boone County, MO",29019,Other diseases of the circulatory system,Aortic (valve) stenosis,I35.0,13.0,180005.0,Unreliable
2018,Missouri,29,"Boone County, MO",29019,Other diseases of the circulatory system,"Cardiac arrest, unspecified",I46.9,12.0,180005.0,Unreliable
2018,Missouri,29,"Boone County, MO",29019,Other diseases of the circulatory system,Atrial fibrillation and flutter,I48,16.0,180005.0,Unreliable
2018,Missouri,29,"Boone County, MO",29019,Other diseases of the circulatory system,Congestive heart failure,I50.0,15.0,180005.0,Unreliable
2018,Missouri,29,"Boone County, MO",29019,Other diseases of the circulatory system,"Heart failure, unspecified",I50.9,10.0,180005.0,Unreliable
2018,Missouri,29,"Boone County, MO",29019,Cerebrovascular diseases,"Stroke, not specified as haemorrhage or infarction",I64,21.0,180005.0,11.7
2018,Missouri,29,"Boone County, MO",29019,Cerebrovascular diseases,"Sequelae of stroke, not specified as haemorrhage or infarction",I69.4,22.0,180005.0,12.2
2018,Missouri,29,"Boone County, MO",29019,Influenza and pneumonia,"Pneumonia, unspecified",J18.9,10.0,180005.0,Unreliable
2018,Missouri,29,"Boone County, MO",29019,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,49.0,180005.0,27.2
2018,Missouri,29,"Buchanan County, MO",29021,Sepsis,"Septicaemia, unspecified",A41.9,15.0,88571.0,Unreliable
2018,Missouri,29,"Buchanan County, MO",29021,Malignant neoplasms,"Pancreas, unspecified - Malignant neoplasms",C25.9,11.0,88571.0,Unreliable
2018,Missouri,29,"Buchanan County, MO",29021,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,61.0,88571.0,68.9
2018,Missouri,29,"Buchanan County, MO",29021,Malignant neoplasms,"Breast, unspecified - Malignant neoplasms",C50.9,11.0,88571.0,Unreliable
2018,Missouri,29,"Buchanan County, MO",29021,Malignant neoplasms,Malignant neoplasm without specification of site,C80,10.0,88571.0,Unreliable
2018,Missouri,29,"Buchanan County, MO",29021,Diabetes,"Unspecified diabetes mellitus, with renal complications",E14.2,11.0,88571.0,Unreliable
2018,Missouri,29,"Buchanan County, MO",29021,Diabetes,"Unspecified diabetes mellitus, without complications",E14.9,29.0,88571.0,32.7
2018,Missouri,29,"Buchanan County, MO",29021,Alzheimer disease and dementia,Unspecified dementia,F03,26.0,88571.0,29.4
2018,Missouri,29,"Buchanan County, MO",29021,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,40.0,88571.0,45.2
2018,Missouri,29,"Buchanan County, MO",29021,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,20.0,88571.0,22.6
2018,Missouri,29,"Buchanan County, MO",29021,Ischemic heart disease,"Atherosclerotic cardiovascular disease, so described",I25.0,27.0,88571.0,30.5
2018,Missouri,29,"Buchanan County, MO",29021,Ischemic heart disease,Atherosclerotic heart disease,I25.1,55.0,88571.0,62.1
2018,Missouri,29,"Buchanan County, MO",29021,Other diseases of the circulatory system,"Cardiomyopathy, unspecified",I42.9,11.0,88571.0,Unreliable
2018,Missouri,29,"Buchanan County, MO",29021,Other diseases of the circulatory system,Atrial fibrillation and flutter,I48,11.0,88571.0,Unreliable
2018,Missouri,29,"Buchanan County, MO",29021,Other diseases of the circulatory system,Congestive heart failure,I50.0,28.0,88571.0,31.6
2018,Missouri,29,"Buchanan County, MO",29021,Other diseases of the circulatory system,"Heart failure, unspecified",I50.9,10.0,88571.0,Unreliable
2018,Missouri,29,"Buchanan County, MO",29021,Cerebrovascular diseases,Cerebral atherosclerosis,I67.2,11.0,88571.0,Unreliable
2018,Missouri,29,"Buchanan County, MO",29021,Influenza and pneumonia,"Pneumonia, unspecified",J18.9,12.0,88571.0,Unreliable
2018,Missouri,29,"Buchanan County, MO",29021,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,62.0,88571.0,70.0
2018,Missouri,29,"Butler County, MO",29023,Sepsis,"Septicaemia, unspecified",A41.9,14.0,42639.0,Unreliable
2018,Missouri,29,"Butler County, MO",29023,Malignant neoplasms,"Colon, unspecified - Malignant neoplasms",C18.9,10.0,42639.0,Unreliable
2018,Missouri,29,"Butler County, MO",29023,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,48.0,42639.0,112.6
2018,Missouri,29,"Butler County, MO",29023,Diabetes,"Unspecified diabetes mellitus, without complications",E14.9,15.0,42639.0,Unreliable
2018,Missouri,29,"Butler County, MO",29023,Alzheimer disease and dementia,Unspecified dementia,F03,10.0,42639.0,Unreliable
2018,Missouri,29,"Butler County, MO",29023,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,32.0,42639.0,75.0
2018,Missouri,29,"Butler County, MO",29023,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,43.0,42639.0,100.8
2018,Missouri,29,"Butler County, MO",29023,Ischemic heart disease,Atherosclerotic heart disease,I25.1,17.0,42639.0,Unreliable
2018,Missouri,29,"Butler County, MO",29023,Other diseases of the circulatory system,Congestive heart failure,I50.0,21.0,42639.0,49.3
2018,Missouri,29,"Butler County, MO",29023,Other diseases of the circulatory system,"Heart failure, unspecified",I50.9,12.0,42639.0,Unreliable
2018,Missouri,29,"Butler County, MO",29023,Cerebrovascular diseases,"Stroke, not specified as haemorrhage or infarction",I64,10.0,42639.0,Unreliable
2018,Missouri,29,"Butler County, MO",29023,Influenza and pneumonia,"Pneumonia, unspecified",J18.9,16.0,42639.0,Unreliable
2018,Missouri,29,"Butler County, MO",29023,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,40.0,42639.0,93.8
2018,Missouri,29,"Butler County, MO",29023,Other diseases of the respiratory system,"Respiratory failure, unspecified",J96.9,10.0,42639.0,Unreliable
2018,Missouri,29,"Callaway County, MO",29027,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,28.0,44889.0,62.4
2018,Missouri,29,"Callaway County, MO",29027,Malignant neoplasms,"Breast, unspecified - Malignant neoplasms",C50.9,10.0,44889.0,Unreliable
2018,Missouri,29,"Callaway County, MO",29027,Diabetes,"Unspecified diabetes mellitus, without complications",E14.9,11.0,44889.0,Unreliable
2018,Missouri,29,"Callaway County, MO",29027,Alzheimer disease and dementia,Unspecified dementia,F03,11.0,44889.0,Unreliable
2018,Missouri,29,"Callaway County, MO",29027,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,13.0,44889.0,Unreliable
2018,Missouri,29,"Callaway County, MO",29027,Ischemic heart disease,Atherosclerotic heart disease,I25.1,21.0,44889.0,46.8
2018,Missouri,29,"Callaway County, MO",29027,Other diseases of the circulatory system,Congestive heart failure,I50.0,10.0,44889.0,Unreliable
2018,Missouri,29,"Callaway County, MO",29027,Cerebrovascular diseases,"Stroke, not specified as haemorrhage or infarction",I64,11.0,44889.0,Unreliable
2018,Missouri,29,"Callaway County, MO",29027,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,25.0,44889.0,55.7
2018,Missouri,29,"Camden County, MO",29029,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,53.0,45815.0,115.7
2018,Missouri,29,"Camden County, MO",29029,Malignant neoplasms,Malignant neoplasm without specification of site,C80,15.0,45815.0,Unreliable
2018,Missouri,29,"Camden County, MO",29029,Diabetes,"Unspecified diabetes mellitus, without complications",E14.9,13.0,45815.0,Unreliable
2018,Missouri,29,"Camden County, MO",29029,Alzheimer disease and dementia,Unspecified dementia,F03,14.0,45815.0,Unreliable
2018,Missouri,29,"Camden County, MO",29029,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,10.0,45815.0,Unreliable
2018,Missouri,29,"Camden County, MO",29029,Hypertensive diseases,Hypertensive heart disease without (congestive) heart failure,I11.9,16.0,45815.0,Unreliable
2018,Missouri,29,"Camden County, MO",29029,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,25.0,45815.0,54.6
2018,Missouri,29,"Camden County, MO",29029,Ischemic heart disease,Atherosclerotic heart disease,I25.1,26.0,45815.0,56.7
2018,Missouri,29,"Camden County, MO",29029,Influenza and pneumonia,"Pneumonia, unspecified",J18.9,12.0,45815.0,Unreliable
2018,Missouri,29,"Camden County, MO",29029,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,20.0,45815.0,43.7
2018,Missouri,29,"Cape Girardeau County, MO",29031,Sepsis,"Septicaemia, unspecified",A41.9,11.0,78753.0,Unreliable
2018,Missouri,29,"Cape Girardeau County, MO",29031,Malignant neoplasms,"Colon, unspecified - Malignant neoplasms",C18.9,11.0,78753.0,Unreliable
2018,Missouri,29,"Cape Girardeau County, MO",29031,Malignant neoplasms,"Pancreas, unspecified - Malignant neoplasms",C25.9,10.0,78753.0,Unreliable
2018,Missouri,29,"Cape Girardeau County, MO",29031,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,41.0,78753.0,52.1
2018,Missouri,29,"Cape Girardeau County, MO",29031,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,55.0,78753.0,69.8
2018,Missouri,29,"Cape Girardeau County, MO",29031,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,53.0,78753.0,67.3
2018,Missouri,29,"Cape Girardeau County, MO",29031,Ischemic heart disease,Atherosclerotic heart disease,I25.1,26.0,78753.0,33.0
