year,state,state_code,county,county_code,race,ethnicity,deaths,population,crude_rate,age_adjusted_rate
2018,Montana,30,"Beaverhead County, MT",30001,White,Not Hispanic or Latino,88.0,8490.0,1036.5,663.2
2018,Montana,30,"Big Horn County, MT",30003,American Indian or Alaska Native,Not Hispanic or Latino,89.0,8344.0,1066.6,1427.4
2018,Montana,30,"Big Horn County, MT",30003,White,Not Hispanic or Latino,42.0,3547.0,1184.1,740.4
2018,Montana,30,"Blaine County, MT",30005,American Indian or Alaska Native,Not Hispanic or Latino,24.0,3306.0,726.0,886.0
2018,Montana,30,"Blaine County, MT",30005,White,Not Hispanic or Latino,30.0,3013.0,995.7,546.0
2018,Montana,30,"Broadwater County, MT",30007,White,Not Hispanic or Latino,56.0,5665.0,988.5,721.1
2018,Montana,30,"Carbon County, MT",30009,White,Not Hispanic or Latino,104.0,10084.0,1031.3,578.1
2018,Montana,30,"Carter County, MT",30011,White,Not Hispanic or Latino,18.0,1189.0,Unreliable,Unreliable
2018,Montana,30,"Cascade County, MT",30013,American Indian or Alaska Native,Not Hispanic or Latino,40.0,3582.0,1116.7,1278.1
2018,Montana,30,"Cascade County, MT",30013,White,Not Hispanic or Latino,808.0,69408.0,1164.1,761.5
2018,Montana,30,"Cascade County, MT",30013,More than one race,Not Hispanic or Latino,27.0,2867.0,941.8,1941.4
2018,Montana,30,"Chouteau County, MT",30015,White,Not Hispanic or Latino,56.0,4421.0,1266.7,753.7
2018,Montana,30,"Custer County, MT",30017,White,Not Hispanic or Latino,132.0,10594.0,1246.0,787.1
2018,Montana,30,"Daniels County, MT",30019,White,Not Hispanic or Latino,24.0,1593.0,1506.6,705.7
2018,Montana,30,"Dawson County, MT",30021,White,Not Hispanic or Latino,87.0,7997.0,1087.9,616.2
2018,Montana,30,"Deer Lodge County, MT",30023,White,Not Hispanic or Latino,114.0,8196.0,1390.9,862.0
2018,Montana,30,"Fallon County, MT",30025,White,Not Hispanic or Latino,29.0,2774.0,1045.4,794.5
2018,Montana,30,"Fergus County, MT",30027,White,Not Hispanic or Latino,126.0,10441.0,1206.8,706.9
2018,Montana,30,"Flathead County, MT",30029,White,Not Hispanic or Latino,914.0,94680.0,965.4,706.9
2018,Montana,30,"Gallatin County, MT",30031,White,Not Hispanic or Latino,541.0,102084.0,530.0,560.2
2018,Montana,30,"Garfield County, MT",30033,White,Not Hispanic or Latino,15.0,1235.0,Unreliable,Unreliable
2018,Montana,30,"Glacier County, MT",30035,American Indian or Alaska Native,Not Hispanic or Latino,75.0,8654.0,866.7,1082.1
2018,Montana,30,"Glacier County, MT",30035,White,Not Hispanic or Latino,53.0,4187.0,1265.8,906.5
2018,Montana,30,"Granite County, MT",30039,White,Not Hispanic or Latino,31.0,3180.0,974.8,511.1
2018,Montana,30,"Hill County, MT",30041,American Indian or Alaska Native,Not Hispanic or Latino,43.0,3778.0,1138.2,1937.4
2018,Montana,30,"Hill County, MT",30041,White,Not Hispanic or Latino,104.0,11306.0,919.9,650.2
2018,Montana,30,"Jefferson County, MT",30043,White,Not Hispanic or Latino,106.0,11234.0,943.6,765.2
2018,Montana,30,"Judith Basin County, MT",30045,White,Not Hispanic or Latino,22.0,1882.0,1169.0,601.1
2018,Montana,30,"Lake County, MT",30047,American Indian or Alaska Native,Not Hispanic or Latino,74.0,6823.0,1084.6,1681.7
2018,Montana,30,"Lake County, MT",30047,White,Not Hispanic or Latino,225.0,19707.0,1141.7,626.4
2018,Montana,30,"Lewis and Clark County, MT",30049,American Indian or Alaska Native,Not Hispanic or Latino,16.0,1318.0,Unreliable,Unreliable
2018,Montana,30,"Lewis and Clark County, MT",30049,White,Not Hispanic or Latino,579.0,62641.0,924.3,680.3
2018,Montana,30,"Liberty County, MT",30051,White,Not Hispanic or Latino,15.0,2333.0,Unreliable,Unreliable
2018,Montana,30,"Lincoln County, MT",30053,White,Not Hispanic or Latino,241.0,18303.0,1316.7,728.3
2018,Montana,30,"McCone County, MT",30055,White,Not Hispanic or Latino,18.0,1577.0,Unreliable,Unreliable
2018,Montana,30,"Madison County, MT",30057,White,Not Hispanic or Latino,65.0,7901.0,822.7,452.3
2018,Montana,30,"Meagher County, MT",30059,White,Not Hispanic or Latino,25.0,1769.0,1413.2,711.7
2018,Montana,30,"Mineral County, MT",30061,White,Not Hispanic or Latino,49.0,3954.0,1239.3,723.2
2018,Montana,30,"Missoula County, MT",30063,American Indian or Alaska Native,Not Hispanic or Latino,21.0,2808.0,747.9,1380.6
2018,Montana,30,"Missoula County, MT",30063,White,Not Hispanic or Latino,850.0,105938.0,802.4,690.7
2018,Montana,30,"Musselshell County, MT",30065,White,Not Hispanic or Latino,72.0,4209.0,1710.6,1007.6
2018,Montana,30,"Park County, MT",30067,White,Not Hispanic or Latino,137.0,15591.0,878.7,601.6
2018,Montana,30,"Phillips County, MT",30071,White,Not Hispanic or Latino,63.0,3391.0,1857.9,1016.4
2018,Montana,30,"Pondera County, MT",30073,American Indian or Alaska Native,Not Hispanic or Latino,17.0,822.0,Unreliable,Unreliable
2018,Montana,30,"Pondera County, MT",30073,White,Not Hispanic or Latino,68.0,4838.0,1405.5,736.9
2018,Montana,30,"Powder River County, MT",30075,White,Not Hispanic or Latino,15.0,1603.0,Unreliable,Unreliable
2018,Montana,30,"Powell County, MT",30077,White,Not Hispanic or Latino,75.0,6187.0,1212.2,788.1
2018,Montana,30,"Prairie County, MT",30079,White,Not Hispanic or Latino,21.0,983.0,2136.3,827.2
2018,Montana,30,"Ravalli County, MT",30081,White,Not Hispanic or Latino,456.0,40018.0,1139.5,695.2
2018,Montana,30,"Richland County, MT",30083,White,Not Hispanic or Latino,84.0,9752.0,861.4,758.7
2018,Montana,30,"Roosevelt County, MT",30085,American Indian or Alaska Native,Not Hispanic or Latino,72.0,6415.0,1122.4,1633.8
2018,Montana,30,"Roosevelt County, MT",30085,White,Not Hispanic or Latino,47.0,3693.0,1272.7,796.2
2018,Montana,30,"Rosebud County, MT",30087,American Indian or Alaska Native,Not Hispanic or Latino,49.0,3265.0,1500.8,2464.8
2018,Montana,30,"Rosebud County, MT",30087,White,Not Hispanic or Latino,47.0,4979.0,944.0,567.6
2018,Montana,30,"Sanders County, MT",30089,White,Not Hispanic or Latino,142.0,10663.0,1331.7,714.3
2018,Montana,30,"Sheridan County, MT",30091,White,Not Hispanic or Latino,39.0,3089.0,1262.5,634.3
2018,Montana,30,"Silver Bow County, MT",30093,American Indian or Alaska Native,Not Hispanic or Latino,11.0,634.0,Unreliable,Unreliable
2018,Montana,30,"Silver Bow County, MT",30093,White,Not Hispanic or Latino,385.0,31384.0,1226.7,835.7
2018,Montana,30,"Stillwater County, MT",30095,White,Not Hispanic or Latino,81.0,8785.0,922.0,616.0
2018,Montana,30,"Sweet Grass County, MT",30097,White,Not Hispanic or Latino,28.0,3468.0,807.4,432.1
2018,Montana,30,"Teton County, MT",30099,White,Not Hispanic or Latino,54.0,5746.0,939.8,540.7
2018,Montana,30,"Toole County, MT",30101,White,Not Hispanic or Latino,67.0,4185.0,1601.0,941.5
2018,Montana,30,"Valley County, MT",30105,American Indian or Alaska Native,Not Hispanic or Latino,11.0,651.0,Unreliable,Unreliable
2018,Montana,30,"Valley County, MT",30105,White,Not Hispanic or Latino,83.0,6294.0,1318.7,700.9
2018,Montana,30,"Wheatland County, MT",30107,White,Not Hispanic or Latino,35.0,1984.0,1764.1,1134.8
2018,Montana,30,"Wibaux County, MT",30109,White,Not Hispanic or Latino,15.0,961.0,Unreliable,Unreliable
2018,Montana,30,"Yellowstone County, MT",30111,American Indian or Alaska Native,Not Hispanic or Latino,54.0,6518.0,828.5,1440.4
2018,Montana,30,"Yellowstone County, MT",30111,Black or African American,Not Hispanic or Latino,11.0,1052.0,Unreliable,Unreliable
2018,Montana,30,"Yellowstone County, MT",30111,White,Hispanic or Latino,28.0,7232.0,387.2,756.6
2018,Montana,30,"Yellowstone County, MT",30111,White,Not Hispanic or Latino,1498.0,137946.0,1085.9,771.2
2019,Montana,30,"Beaverhead County, MT",30001,White,Not Hispanic or Latino,77.0,8464.0,909.7,529.7
2019,Montana,30,"Big Horn County, MT",30003,American Indian or Alaska Native,Not Hispanic or Latino,114.0,8384.0,1359.7,1942.0
2019,Montana,30,"Big Horn County, MT",30003,White,Not Hispanic or Latino,47.0,3528.0,1332.2,685.0
2019,Montana,30,"Blaine County, MT",30005,American Indian or Alaska Native,Not Hispanic or Latino,40.0,3271.0,1222.9,1635.7
2019,Montana,30,"Blaine County, MT",30005,White,Not Hispanic or Latino,35.0,2929.0,1194.9,700.2
2019,Montana,30,"Broadwater County, MT",30007,White,Not Hispanic or Latino,53.0,5820.0,910.7,581.2
2019,Montana,30,"Carbon County, MT",30009,White,Not Hispanic or Latino,106.0,10082.0,1051.4,593.4
