year,state,state_code,county,county_code,cause_category,cause,cause_code,deaths,population,crude_rate
2018,Montana,30,"Cascade County, MT",30013,Sepsis,"Septicaemia, unspecified",A41.9,17.0,81643.0,Unreliable
2018,Montana,30,"Cascade County, MT",30013,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,38.0,81643.0,46.5
2018,Montana,30,"Cascade County, MT",30013,Malignant neoplasms,"Breast, unspecified - Malignant neoplasms",C50.9,12.0,81643.0,Unreliable
2018,Montana,30,"Cascade County, MT",30013,Malignant neoplasms,Malignant neoplasm of prostate,C61,11.0,81643.0,Unreliable
2018,Montana,30,"Cascade County, MT",30013,Alzheimer disease and dementia,Unspecified dementia,F03,44.0,81643.0,53.9
2018,Montana,30,"Cascade County, MT",30013,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,40.0,81643.0,49.0
2018,Montana,30,"Cascade County, MT",30013,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,18.0,81643.0,Unreliable
2018,Montana,30,"Cascade County, MT",30013,Ischemic heart disease,"Atherosclerotic cardiovascular disease, so described",I25.0,20.0,81643.0,24.5
2018,Montana,30,"Cascade County, MT",30013,Ischemic heart disease,Atherosclerotic heart disease,I25.1,40.0,81643.0,49.0
2018,Montana,30,"Cascade County, MT",30013,Other diseases of the circulatory system,Atrial fibrillation and flutter,I48,10.0,81643.0,Unreliable
2018,Montana,30,"Cascade County, MT",30013,Other diseases of the circulatory system,Congestive heart failure,I50.0,15.0,81643.0,Unreliable
2018,Montana,30,"Cascade County, MT",30013,Cerebrovascular diseases,"Stroke, not specified as haemorrhage or infarction",I64,21.0,81643.0,25.7
2018,Montana,30,"Cascade County, MT",30013,Chronic lower respiratory diseases,"Emphysema, unspecified",J43.9,19.0,81643.0,Unreliable
2018,Montana,30,"Cascade County, MT",30013,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,56.0,81643.0,68.6
2018,Montana,30,"Custer County, MT",30017,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,12.0,11586.0,Unreliable
2018,Montana,30,"Custer County, MT",30017,Alzheimer disease and dementia,Unspecified dementia,F03,10.0,11586.0,Unreliable
2018,Montana,30,"Dawson County, MT",30021,Alzheimer disease and dementia,Unspecified dementia,F03,13.0,8680.0,Unreliable
2018,Montana,30,"Deer Lodge County, MT",30023,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,11.0,9131.0,Unreliable
2018,Montana,30,"Deer Lodge County, MT",30023,Ischemic heart disease,"Atherosclerotic cardiovascular disease, so described",I25.0,16.0,9131.0,Unreliable
2018,Montana,30,"Deer Lodge County, MT",30023,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,11.0,9131.0,Unreliable
2018,Montana,30,"Fergus County, MT",30027,Alzheimer disease and dementia,Unspecified dementia,F03,12.0,11113.0,Unreliable
2018,Montana,30,"Flathead County, MT",30029,Sepsis,"Septicaemia, unspecified",A41.9,11.0,102106.0,Unreliable
2018,Montana,30,"Flathead County, MT",30029,Malignant neoplasms,"Pancreas, unspecified - Malignant neoplasms",C25.9,17.0,102106.0,Unreliable
2018,Montana,30,"Flathead County, MT",30029,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,40.0,102106.0,39.2
2018,Montana,30,"Flathead County, MT",30029,Malignant neoplasms,"Malignant neoplasm of kidney, except renal pelvis",C64,10.0,102106.0,Unreliable
2018,Montana,30,"Flathead County, MT",30029,Malignant neoplasms,"Brain, unspecified - Malignant neoplasms",C71.9,10.0,102106.0,Unreliable
2018,Montana,30,"Flathead County, MT",30029,Malignant neoplasms,Malignant neoplasm without specification of site,C80,18.0,102106.0,Unreliable
2018,Montana,30,"Flathead County, MT",30029,Alzheimer disease and dementia,Unspecified dementia,F03,70.0,102106.0,68.6
2018,Montana,30,"Flathead County, MT",30029,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,25.0,102106.0,24.5
2018,Montana,30,"Flathead County, MT",30029,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,14.0,102106.0,Unreliable
2018,Montana,30,"Flathead County, MT",30029,Ischemic heart disease,"Atherosclerotic cardiovascular disease, so described",I25.0,74.0,102106.0,72.5
2018,Montana,30,"Flathead County, MT",30029,Ischemic heart disease,Atherosclerotic heart disease,I25.1,28.0,102106.0,27.4
2018,Montana,30,"Flathead County, MT",30029,Other diseases of the circulatory system,Atrial fibrillation and flutter,I48,13.0,102106.0,Unreliable
