year,state,state_code,county,county_code,race,ethnicity,deaths,population,crude_rate,age_adjusted_rate
2018,Nebraska,31,"Adams County, NE",31001,White,Not Hispanic or Latino,330.0,26858.0,1228.7,819.1
2018,Nebraska,31,"Antelope County, NE",31003,White,Not Hispanic or Latino,72.0,6024.0,1195.2,645.4
2018,Nebraska,31,"Boone County, NE",31011,White,Not Hispanic or Latino,66.0,5035.0,1310.8,722.1
2018,Nebraska,31,"Box Butte County, NE",31013,White,Hispanic or Latino,10.0,1096.0,Unreliable,Unreliable
2018,Nebraska,31,"Box Butte County, NE",31013,White,Not Hispanic or Latino,102.0,8729.0,1168.5,741.1
2018,Nebraska,31,"Boyd County, NE",31015,White,Not Hispanic or Latino,26.0,1859.0,1398.6,629.2
2018,Nebraska,31,"Brown County, NE",31017,White,Not Hispanic or Latino,40.0,2837.0,1409.9,795.7
2018,Nebraska,31,"Buffalo County, NE",31019,White,Not Hispanic or Latino,353.0,42910.0,822.7,666.9
2018,Nebraska,31,"Burt County, NE",31021,White,Not Hispanic or Latino,96.0,5996.0,1601.1,807.2
2018,Nebraska,31,"Butler County, NE",31023,White,Not Hispanic or Latino,104.0,7596.0,1369.1,782.8
2018,Nebraska,31,"Cass County, NE",31025,White,Not Hispanic or Latino,224.0,24493.0,914.5,682.8
2018,Nebraska,31,"Cedar County, NE",31027,White,Not Hispanic or Latino,96.0,8134.0,1180.2,611.3
2018,Nebraska,31,"Chase County, NE",31029,White,Not Hispanic or Latino,58.0,3314.0,1750.2,812.7
2018,Nebraska,31,"Cherry County, NE",31031,White,Not Hispanic or Latino,62.0,5064.0,1224.3,664.4
2018,Nebraska,31,"Cheyenne County, NE",31033,White,Not Hispanic or Latino,98.0,8324.0,1177.3,762.1
2018,Nebraska,31,"Clay County, NE",31035,White,Not Hispanic or Latino,77.0,5520.0,1394.9,835.3
2018,Nebraska,31,"Colfax County, NE",31037,White,Not Hispanic or Latino,77.0,5180.0,1486.5,813.0
2018,Nebraska,31,"Cuming County, NE",31039,White,Not Hispanic or Latino,90.0,7831.0,1149.3,569.0
2018,Nebraska,31,"Custer County, NE",31041,White,Not Hispanic or Latino,138.0,10208.0,1351.9,726.8
