year,state,state_code,county,county_code,cause_category,cause,cause_code,deaths,population,crude_rate
2018,Nebraska,31,"Adams County, NE",31001,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,13.0,31511.0,Unreliable
2018,Nebraska,31,"Adams County, NE",31001,Alzheimer disease and dementia,Unspecified dementia,F03,13.0,31511.0,Unreliable
2018,Nebraska,31,"Adams County, NE",31001,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,26.0,31511.0,82.5
2018,Nebraska,31,"Adams County, NE",31001,Ischemic heart disease,"Atherosclerotic cardiovascular disease, so described",I25.0,10.0,31511.0,Unreliable
2018,Nebraska,31,"Adams County, NE",31001,Ischemic heart disease,Atherosclerotic heart disease,I25.1,11.0,31511.0,Unreliable
2018,Nebraska,31,"Adams County, NE",31001,Influenza and pneumonia,"Pneumonia, unspecified",J18.9,19.0,31511.0,Unreliable
2018,Nebraska,31,"Adams County, NE",31001,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,12.0,31511.0,Unreliable
2018,Nebraska,31,"Box Butte County, NE",31013,Other diseases of the circulatory system,"Heart disease, unspecified",I51.9,10.0,10772.0,Unreliable
2018,Nebraska,31,"Buffalo County, NE",31019,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,17.0,49615.0,Unreliable
2018,Nebraska,31,"Buffalo County, NE",31019,Alzheimer disease and dementia,Unspecified dementia,F03,15.0,49615.0,Unreliable
2018,Nebraska,31,"Buffalo County, NE",31019,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,11.0,49615.0,Unreliable
2018,Nebraska,31,"Buffalo County, NE",31019,Ischemic heart disease,Atherosclerotic heart disease,I25.1,22.0,49615.0,44.3
2018,Nebraska,31,"Buffalo County, NE",31019,Other diseases of the circulatory system,Congestive heart failure,I50.0,14.0,49615.0,Unreliable
2018,Nebraska,31,"Buffalo County, NE",31019,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,29.0,49615.0,58.5
2018,Nebraska,31,"Cass County, NE",31025,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,16.0,26159.0,Unreliable
2018,Nebraska,31,"Cass County, NE",31025,Ischemic heart disease,Atherosclerotic heart disease,I25.1,20.0,26159.0,76.5
2018,Nebraska,31,"Cass County, NE",31025,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,16.0,26159.0,Unreliable
2018,Nebraska,31,"Custer County, NE",31041,Alzheimer disease and dementia,Unspecified dementia,F03,10.0,10840.0,Unreliable
2018,Nebraska,31,"Custer County, NE",31041,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,11.0,10840.0,Unreliable
2018,Nebraska,31,"Custer County, NE",31041,Ischemic heart disease,Atherosclerotic heart disease,I25.1,12.0,10840.0,Unreliable
2018,Nebraska,31,"Dakota County, NE",31043,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,10.0,20083.0,Unreliable
2018,Nebraska,31,"Dawson County, NE",31047,Ischemic heart disease,Atherosclerotic heart disease,I25.1,19.0,23709.0,Unreliable
2018,Nebraska,31,"Dawson County, NE",31047,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,10.0,23709.0,Unreliable
2018,Nebraska,31,"Dodge County, NE",31053,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,22.0,36791.0,59.8
2018,Nebraska,31,"Dodge County, NE",31053,Diabetes,"Unspecified diabetes mellitus, without complications",E14.9,10.0,36791.0,Unreliable
2018,Nebraska,31,"Dodge County, NE",31053,Alzheimer disease and dementia,Unspecified dementia,F03,29.0,36791.0,78.8
2018,Nebraska,31,"Dodge County, NE",31053,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,24.0,36791.0,65.2
2018,Nebraska,31,"Dodge County, NE",31053,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,13.0,36791.0,Unreliable
2018,Nebraska,31,"Dodge County, NE",31053,Ischemic heart disease,Atherosclerotic heart disease,I25.1,24.0,36791.0,65.2
2018,Nebraska,31,"Dodge County, NE",31053,Cerebrovascular diseases,"Stroke, not specified as haemorrhage or infarction",I64,12.0,36791.0,Unreliable
2018,Nebraska,31,"Dodge County, NE",31053,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,38.0,36791.0,103.3
2018,Nebraska,31,"Douglas County, NE",31055,Sepsis,"Septicaemia, unspecified",A41.9,45.0,566880.0,7.9
2018,Nebraska,31,"Douglas County, NE",31055,Malignant neoplasms,"Oesophagus, unspecified - Malignant neoplasms",C15.9,22.0,566880.0,3.9
2018,Nebraska,31,"Douglas County, NE",31055,Malignant neoplasms,"Colon, unspecified - Malignant neoplasms",C18.9,61.0,566880.0,10.8
2018,Nebraska,31,"Douglas County, NE",31055,Malignant neoplasms,Malignant neoplasm of rectum,C20,15.0,566880.0,Unreliable
2018,Nebraska,31,"Douglas County, NE",31055,Malignant neoplasms,Liver cell carcinoma - Malignant neoplasms,C22.0,12.0,566880.0,Unreliable
2018,Nebraska,31,"Douglas County, NE",31055,Malignant neoplasms,"Pancreas, unspecified - Malignant neoplasms",C25.9,77.0,566880.0,13.6
2018,Nebraska,31,"Douglas County, NE",31055,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,203.0,566880.0,35.8
2018,Nebraska,31,"Douglas County, NE",31055,Malignant neoplasms,"Malignant melanoma of skin, unspecified - Malignant neoplasms",C43.9,14.0,566880.0,Unreliable
2018,Nebraska,31,"Douglas County, NE",31055,Malignant neoplasms,"Breast, unspecified - Malignant neoplasms",C50.9,51.0,566880.0,9.0
2018,Nebraska,31,"Douglas County, NE",31055,Malignant neoplasms,Endometrium - Malignant neoplasms,C54.1,11.0,566880.0,Unreliable
2018,Nebraska,31,"Douglas County, NE",31055,Malignant neoplasms,Malignant neoplasm of ovary,C56,18.0,566880.0,Unreliable
2018,Nebraska,31,"Douglas County, NE",31055,Malignant neoplasms,Malignant neoplasm of prostate,C61,48.0,566880.0,8.5
2018,Nebraska,31,"Douglas County, NE",31055,Malignant neoplasms,"Malignant neoplasm of kidney, except renal pelvis",C64,19.0,566880.0,Unreliable
2018,Nebraska,31,"Douglas County, NE",31055,Malignant neoplasms,"Bladder, unspecified - Malignant neoplasms",C67.9,23.0,566880.0,4.1
2018,Nebraska,31,"Douglas County, NE",31055,Malignant neoplasms,"Brain, unspecified - Malignant neoplasms",C71.9,27.0,566880.0,4.8
2018,Nebraska,31,"Douglas County, NE",31055,Malignant neoplasms,Malignant neoplasm without specification of site,C80,41.0,566880.0,7.2
2018,Nebraska,31,"Douglas County, NE",31055,Malignant neoplasms,Non-Hodgkin lymphoma large cell (diffuse),C83.3,11.0,566880.0,Unreliable
2018,Nebraska,31,"Douglas County, NE",31055,Malignant neoplasms,Multiple myeloma - Malignant neoplasms,C90.0,15.0,566880.0,Unreliable
2018,Nebraska,31,"Douglas County, NE",31055,Malignant neoplasms,Acute myeloid leukaemia - Malignant neoplasms,C92.0,16.0,566880.0,Unreliable
2018,Nebraska,31,"Douglas County, NE",31055,Diabetes,"Non-insulin-dependent diabetes mellitus, with renal complications",E11.2,26.0,566880.0,4.6
2018,Nebraska,31,"Douglas County, NE",31055,Diabetes,"Non-insulin-dependent diabetes mellitus, without complications",E11.9,22.0,566880.0,3.9
2018,Nebraska,31,"Douglas County, NE",31055,Diabetes,"Unspecified diabetes mellitus, with renal complications",E14.2,34.0,566880.0,6.0
2018,Nebraska,31,"Douglas County, NE",31055,Diabetes,"Unspecified diabetes mellitus, without complications",E14.9,78.0,566880.0,13.8
2018,Nebraska,31,"Douglas County, NE",31055,Alzheimer disease and dementia,"Vascular dementia, unspecified",F01.9,37.0,566880.0,6.5
2018,Nebraska,31,"Douglas County, NE",31055,Alzheimer disease and dementia,Unspecified dementia,F03,185.0,566880.0,32.6
2018,Nebraska,31,"Douglas County, NE",31055,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,175.0,566880.0,30.9
2018,Nebraska,31,"Douglas County, NE",31055,Alzheimer disease and dementia,"Senile degeneration of brain, not elsewhere classified",G31.1,31.0,566880.0,5.5
2018,Nebraska,31,"Douglas County, NE",31055,Alzheimer disease and dementia,Other specified degenerative diseases of nervous system,G31.8,13.0,566880.0,Unreliable
2018,Nebraska,31,"Douglas County, NE",31055,Hypertensive diseases,Essential (primary) hypertension,I10,65.0,566880.0,11.5
2018,Nebraska,31,"Douglas County, NE",31055,Hypertensive diseases,Hypertensive heart disease with (congestive) heart failure,I11.0,23.0,566880.0,4.1
2018,Nebraska,31,"Douglas County, NE",31055,Hypertensive diseases,Hypertensive heart disease without (congestive) heart failure,I11.9,15.0,566880.0,Unreliable
2018,Nebraska,31,"Douglas County, NE",31055,Hypertensive diseases,Hypertensive renal disease with renal failure,I12.0,23.0,566880.0,4.1
2018,Nebraska,31,"Douglas County, NE",31055,Hypertensive diseases,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure,I13.2,10.0,566880.0,Unreliable
2018,Nebraska,31,"Douglas County, NE",31055,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,82.0,566880.0,14.5
2018,Nebraska,31,"Douglas County, NE",31055,Ischemic heart disease,"Atherosclerotic cardiovascular disease, so described",I25.0,12.0,566880.0,Unreliable
2018,Nebraska,31,"Douglas County, NE",31055,Ischemic heart disease,Atherosclerotic heart disease,I25.1,226.0,566880.0,39.9
2018,Nebraska,31,"Douglas County, NE",31055,Ischemic heart disease,Ischaemic cardiomyopathy,I25.5,18.0,566880.0,Unreliable
2018,Nebraska,31,"Douglas County, NE",31055,Ischemic heart disease,"Chronic ischaemic heart disease, unspecified",I25.9,15.0,566880.0,Unreliable
2018,Nebraska,31,"Douglas County, NE",31055,Other diseases of the circulatory system,Pulmonary embolism without mention of acute cor pulmonale,I26.9,17.0,566880.0,Unreliable
2018,Nebraska,31,"Douglas County, NE",31055,Other diseases of the circulatory system,Other secondary pulmonary hypertension,I27.2,17.0,566880.0,Unreliable
2018,Nebraska,31,"Douglas County, NE",31055,Other diseases of the circulatory system,Aortic (valve) stenosis,I35.0,20.0,566880.0,3.5
2018,Nebraska,31,"Douglas County, NE",31055,Other diseases of the circulatory system,"Cardiomyopathy, unspecified",I42.9,20.0,566880.0,3.5
2018,Nebraska,31,"Douglas County, NE",31055,Other diseases of the circulatory system,"Cardiac arrest, unspecified",I46.9,13.0,566880.0,Unreliable
2018,Nebraska,31,"Douglas County, NE",31055,Other diseases of the circulatory system,Atrial fibrillation and flutter,I48,48.0,566880.0,8.5
2018,Nebraska,31,"Douglas County, NE",31055,Other diseases of the circulatory system,"Cardiac arrhythmia, unspecified",I49.9,11.0,566880.0,Unreliable
2018,Nebraska,31,"Douglas County, NE",31055,Other diseases of the circulatory system,Congestive heart failure,I50.0,75.0,566880.0,13.2
2018,Nebraska,31,"Douglas County, NE",31055,Other diseases of the circulatory system,"Heart failure, unspecified",I50.9,40.0,566880.0,7.1
2018,Nebraska,31,"Douglas County, NE",31055,Other diseases of the circulatory system,"Heart disease, unspecified",I51.9,42.0,566880.0,7.4
2018,Nebraska,31,"Douglas County, NE",31055,Cerebrovascular diseases,"Intracerebral haemorrhage, unspecified",I61.9,27.0,566880.0,4.8
2018,Nebraska,31,"Douglas County, NE",31055,Cerebrovascular diseases,"Cerebral infarction, unspecified",I63.9,19.0,566880.0,Unreliable
2018,Nebraska,31,"Douglas County, NE",31055,Cerebrovascular diseases,"Stroke, not specified as haemorrhage or infarction",I64,71.0,566880.0,12.5
2018,Nebraska,31,"Douglas County, NE",31055,Cerebrovascular diseases,"Sequelae of stroke, not specified as haemorrhage or infarction",I69.4,10.0,566880.0,Unreliable
2018,Nebraska,31,"Douglas County, NE",31055,Other diseases of the circulatory system,"Peripheral vascular disease, unspecified",I73.9,10.0,566880.0,Unreliable
2018,Nebraska,31,"Douglas County, NE",31055,Influenza and pneumonia,"Pneumonia, unspecified",J18.9,58.0,566880.0,10.2
2018,Nebraska,31,"Douglas County, NE",31055,Chronic lower respiratory diseases,"Emphysema, unspecified",J43.9,15.0,566880.0,Unreliable
2018,Nebraska,31,"Douglas County, NE",31055,Chronic lower respiratory diseases,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,24.0,566880.0,4.2
2018,Nebraska,31,"Douglas County, NE",31055,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,212.0,566880.0,37.4
2018,Nebraska,31,"Douglas County, NE",31055,Other diseases of the respiratory system,Pneumonitis due to food and vomit,J69.0,36.0,566880.0,6.4
2018,Nebraska,31,"Douglas County, NE",31055,Other diseases of the respiratory system,Other interstitial pulmonary diseases with fibrosis,J84.1,27.0,566880.0,4.8
2018,Nebraska,31,"Douglas County, NE",31055,Other diseases of the respiratory system,"Interstitial pulmonary disease, unspecified",J84.9,10.0,566880.0,Unreliable
2018,Nebraska,31,"Douglas County, NE",31055,Renal failure,"Chronic kidney disease, stage 5",N18.5,23.0,566880.0,4.1
2018,Nebraska,31,"Douglas County, NE",31055,Renal failure,"Chronic renal failure, unspecified",N18.9,12.0,566880.0,Unreliable
2018,Nebraska,31,"Douglas County, NE",31055,Renal failure,Unspecified renal failure,N19,11.0,566880.0,Unreliable
2018,Nebraska,31,"Gage County, NE",31067,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,17.0,21493.0,Unreliable
2018,Nebraska,31,"Gage County, NE",31067,Alzheimer disease and dementia,Unspecified dementia,F03,13.0,21493.0,Unreliable
2018,Nebraska,31,"Gage County, NE",31067,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,22.0,21493.0,102.4
2018,Nebraska,31,"Gage County, NE",31067,Ischemic heart disease,Atherosclerotic heart disease,I25.1,17.0,21493.0,Unreliable
2018,Nebraska,31,"Gage County, NE",31067,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,14.0,21493.0,Unreliable
2018,Nebraska,31,"Hall County, NE",31079,Malignant neoplasms,"Colon, unspecified - Malignant neoplasms",C18.9,10.0,61607.0,Unreliable
2018,Nebraska,31,"Hall County, NE",31079,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,24.0,61607.0,39.0
2018,Nebraska,31,"Hall County, NE",31079,Alzheimer disease and dementia,Unspecified dementia,F03,28.0,61607.0,45.4
2018,Nebraska,31,"Hall County, NE",31079,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,15.0,61607.0,Unreliable
2018,Nebraska,31,"Hall County, NE",31079,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,27.0,61607.0,43.8
2018,Nebraska,31,"Hall County, NE",31079,Ischemic heart disease,Atherosclerotic heart disease,I25.1,32.0,61607.0,51.9
2018,Nebraska,31,"Hall County, NE",31079,Other diseases of the circulatory system,Atrial fibrillation and flutter,I48,11.0,61607.0,Unreliable
2018,Nebraska,31,"Hall County, NE",31079,Other diseases of the circulatory system,Congestive heart failure,I50.0,13.0,61607.0,Unreliable
2018,Nebraska,31,"Hall County, NE",31079,Cerebrovascular diseases,"Stroke, not specified as haemorrhage or infarction",I64,11.0,61607.0,Unreliable
2018,Nebraska,31,"Hall County, NE",31079,Chronic lower respiratory diseases,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,10.0,61607.0,Unreliable
2018,Nebraska,31,"Hall County, NE",31079,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,28.0,61607.0,45.4
2018,Nebraska,31,"Holt County, NE",31089,Ischemic heart disease,Atherosclerotic heart disease,I25.1,14.0,10178.0,Unreliable
2018,Nebraska,31,"Holt County, NE",31089,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,11.0,10178.0,Unreliable
2018,Nebraska,31,"Lancaster County, NE",31109,Sepsis,"Septicaemia, unspecified",A41.9,21.0,317272.0,6.6
2018,Nebraska,31,"Lancaster County, NE",31109,Malignant neoplasms,"Oesophagus, unspecified - Malignant neoplasms",C15.9,12.0,317272.0,Unreliable
2018,Nebraska,31,"Lancaster County, NE",31109,Malignant neoplasms,"Colon, unspecified - Malignant neoplasms",C18.9,28.0,317272.0,8.8
2018,Nebraska,31,"Lancaster County, NE",31109,Malignant neoplasms,"Pancreas, unspecified - Malignant neoplasms",C25.9,34.0,317272.0,10.7
2018,Nebraska,31,"Lancaster County, NE",31109,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,103.0,317272.0,32.5
2018,Nebraska,31,"Lancaster County, NE",31109,Malignant neoplasms,"Breast, unspecified - Malignant neoplasms",C50.9,35.0,317272.0,11.0
2018,Nebraska,31,"Lancaster County, NE",31109,Malignant neoplasms,Endometrium - Malignant neoplasms,C54.1,10.0,317272.0,Unreliable
2018,Nebraska,31,"Lancaster County, NE",31109,Malignant neoplasms,Malignant neoplasm of ovary,C56,12.0,317272.0,Unreliable
2018,Nebraska,31,"Lancaster County, NE",31109,Malignant neoplasms,Malignant neoplasm of prostate,C61,32.0,317272.0,10.1
2018,Nebraska,31,"Lancaster County, NE",31109,Malignant neoplasms,"Malignant neoplasm of kidney, except renal pelvis",C64,11.0,317272.0,Unreliable
2018,Nebraska,31,"Lancaster County, NE",31109,Malignant neoplasms,"Bladder, unspecified - Malignant neoplasms",C67.9,23.0,317272.0,7.2
2018,Nebraska,31,"Lancaster County, NE",31109,Malignant neoplasms,"Brain, unspecified - Malignant neoplasms",C71.9,12.0,317272.0,Unreliable
2018,Nebraska,31,"Lancaster County, NE",31109,Malignant neoplasms,Malignant neoplasm without specification of site,C80,24.0,317272.0,7.6
2018,Nebraska,31,"Lancaster County, NE",31109,Malignant neoplasms,Multiple myeloma - Malignant neoplasms,C90.0,11.0,317272.0,Unreliable
2018,Nebraska,31,"Lancaster County, NE",31109,Malignant neoplasms,Acute myeloid leukaemia - Malignant neoplasms,C92.0,13.0,317272.0,Unreliable
2018,Nebraska,31,"Lancaster County, NE",31109,Malignant neoplasms,Malignant neoplasms of independent (primary) multiple sites,C97,13.0,317272.0,Unreliable
2018,Nebraska,31,"Lancaster County, NE",31109,Diabetes,"Non-insulin-dependent diabetes mellitus, without complications",E11.9,11.0,317272.0,Unreliable
2018,Nebraska,31,"Lancaster County, NE",31109,Diabetes,"Unspecified diabetes mellitus, with renal complications",E14.2,11.0,317272.0,Unreliable
2018,Nebraska,31,"Lancaster County, NE",31109,Diabetes,"Unspecified diabetes mellitus, without complications",E14.9,20.0,317272.0,6.3
2018,Nebraska,31,"Lancaster County, NE",31109,Alzheimer disease and dementia,"Vascular dementia, unspecified",F01.9,14.0,317272.0,Unreliable
2018,Nebraska,31,"Lancaster County, NE",31109,Alzheimer disease and dementia,Unspecified dementia,F03,85.0,317272.0,26.8
2018,Nebraska,31,"Lancaster County, NE",31109,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,93.0,317272.0,29.3
2018,Nebraska,31,"Lancaster County, NE",31109,Alzheimer disease and dementia,"Senile degeneration of brain, not elsewhere classified",G31.1,40.0,317272.0,12.6
2018,Nebraska,31,"Lancaster County, NE",31109,Hypertensive diseases,Essential (primary) hypertension,I10,21.0,317272.0,6.6
2018,Nebraska,31,"Lancaster County, NE",31109,Hypertensive diseases,Hypertensive heart disease with (congestive) heart failure,I11.0,18.0,317272.0,Unreliable
2018,Nebraska,31,"Lancaster County, NE",31109,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,38.0,317272.0,12.0
2018,Nebraska,31,"Lancaster County, NE",31109,Ischemic heart disease,"Atherosclerotic cardiovascular disease, so described",I25.0,17.0,317272.0,Unreliable
2018,Nebraska,31,"Lancaster County, NE",31109,Ischemic heart disease,Atherosclerotic heart disease,I25.1,121.0,317272.0,38.1
2018,Nebraska,31,"Lancaster County, NE",31109,Ischemic heart disease,Ischaemic cardiomyopathy,I25.5,10.0,317272.0,Unreliable
2018,Nebraska,31,"Lancaster County, NE",31109,Other diseases of the circulatory system,Pulmonary embolism without mention of acute cor pulmonale,I26.9,11.0,317272.0,Unreliable
2018,Nebraska,31,"Lancaster County, NE",31109,Other diseases of the circulatory system,"Cardiomyopathy, unspecified",I42.9,18.0,317272.0,Unreliable
2018,Nebraska,31,"Lancaster County, NE",31109,Other diseases of the circulatory system,Atrial fibrillation and flutter,I48,24.0,317272.0,7.6
2018,Nebraska,31,"Lancaster County, NE",31109,Other diseases of the circulatory system,Congestive heart failure,I50.0,50.0,317272.0,15.8
2018,Nebraska,31,"Lancaster County, NE",31109,Other diseases of the circulatory system,"Heart failure, unspecified",I50.9,21.0,317272.0,6.6
2018,Nebraska,31,"Lancaster County, NE",31109,Other diseases of the circulatory system,"Heart disease, unspecified",I51.9,11.0,317272.0,Unreliable
2018,Nebraska,31,"Lancaster County, NE",31109,Cerebrovascular diseases,"Intracerebral haemorrhage, unspecified",I61.9,15.0,317272.0,Unreliable
2018,Nebraska,31,"Lancaster County, NE",31109,Cerebrovascular diseases,"Intracranial haemorrhage (nontraumatic), unspecified",I62.9,13.0,317272.0,Unreliable
2018,Nebraska,31,"Lancaster County, NE",31109,Cerebrovascular diseases,"Cerebral infarction, unspecified",I63.9,21.0,317272.0,6.6
2018,Nebraska,31,"Lancaster County, NE",31109,Cerebrovascular diseases,"Stroke, not specified as haemorrhage or infarction",I64,24.0,317272.0,7.6
2018,Nebraska,31,"Lancaster County, NE",31109,Cerebrovascular diseases,"Sequelae of stroke, not specified as haemorrhage or infarction",I69.4,12.0,317272.0,Unreliable
2018,Nebraska,31,"Lancaster County, NE",31109,Influenza and pneumonia,"Pneumonia, unspecified",J18.9,21.0,317272.0,6.6
2018,Nebraska,31,"Lancaster County, NE",31109,Chronic lower respiratory diseases,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,10.0,317272.0,Unreliable
2018,Nebraska,31,"Lancaster County, NE",31109,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,130.0,317272.0,41.0
2018,Nebraska,31,"Lancaster County, NE",31109,Other diseases of the respiratory system,Pneumonitis due to food and vomit,J69.0,30.0,317272.0,9.5
2018,Nebraska,31,"Lancaster County, NE",31109,Other diseases of the respiratory system,Other interstitial pulmonary diseases with fibrosis,J84.1,12.0,317272.0,Unreliable
2018,Nebraska,31,"Lancaster County, NE",31109,Other diseases of the respiratory system,"Interstitial pulmonary disease, unspecified",J84.9,20.0,317272.0,6.3
2018,Nebraska,31,"Lancaster County, NE",31109,Renal failure,"Chronic kidney disease, stage 5",N18.5,10.0,317272.0,Unreliable
2018,Nebraska,31,"Lincoln County, NE",31111,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,17.0,35185.0,Unreliable
2018,Nebraska,31,"Lincoln County, NE",31111,Alzheimer disease and dementia,Unspecified dementia,F03,18.0,35185.0,Unreliable
2018,Nebraska,31,"Lincoln County, NE",31111,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,18.0,35185.0,Unreliable
2018,Nebraska,31,"Lincoln County, NE",31111,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,11.0,35185.0,Unreliable
2018,Nebraska,31,"Lincoln County, NE",31111,Ischemic heart disease,Atherosclerotic heart disease,I25.1,11.0,35185.0,Unreliable
2018,Nebraska,31,"Lincoln County, NE",31111,Other diseases of the circulatory system,Congestive heart failure,I50.0,12.0,35185.0,Unreliable
2018,Nebraska,31,"Lincoln County, NE",31111,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,25.0,35185.0,71.1
2018,Nebraska,31,"Madison County, NE",31119,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,13.0,35392.0,Unreliable
2018,Nebraska,31,"Madison County, NE",31119,Alzheimer disease and dementia,Unspecified dementia,F03,39.0,35392.0,110.2
2018,Nebraska,31,"Madison County, NE",31119,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,16.0,35392.0,Unreliable
2018,Nebraska,31,"Madison County, NE",31119,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,19.0,35392.0,Unreliable
2018,Nebraska,31,"Madison County, NE",31119,Ischemic heart disease,Atherosclerotic heart disease,I25.1,10.0,35392.0,Unreliable
