year,state,state_code,county,county_code,cause_category,cause,cause_code,deaths,population,crude_rate
2018,Nevada,32,"Churchill County, NV",32001,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,14.0,24440.0,Unreliable
2018,Nevada,32,"Churchill County, NV",32001,Ischemic heart disease,"Atherosclerotic cardiovascular disease, so described",I25.0,21.0,24440.0,85.9
2018,Nevada,32,"Churchill County, NV",32001,Ischemic heart disease,Atherosclerotic heart disease,I25.1,17.0,24440.0,Unreliable
2018,Nevada,32,"Churchill County, NV",32001,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,21.0,24440.0,85.9
2018,Nevada,32,"Clark County, NV",32003,Sepsis,"Septicaemia, unspecified",A41.9,94.0,2231647.0,4.2
2018,Nevada,32,"Clark County, NV",32003,Malignant neoplasms,"Tongue, unspecified - Malignant neoplasms",C02.9,17.0,2231647.0,Unreliable
2018,Nevada,32,"Clark County, NV",32003,Malignant neoplasms,"Pharynx, unspecified - Malignant neoplasms",C14.0,16.0,2231647.0,Unreliable
2018,Nevada,32,"Clark County, NV",32003,Malignant neoplasms,"Oesophagus, unspecified - Malignant neoplasms",C15.9,109.0,2231647.0,4.9
2018,Nevada,32,"Clark County, NV",32003,Malignant neoplasms,"Stomach, unspecified - Malignant neoplasms",C16.9,52.0,2231647.0,2.3
2018,Nevada,32,"Clark County, NV",32003,Malignant neoplasms,"Colon, unspecified - Malignant neoplasms",C18.9,259.0,2231647.0,11.6
2018,Nevada,32,"Clark County, NV",32003,Malignant neoplasms,Malignant neoplasm of rectosigmoid junction,C19,17.0,2231647.0,Unreliable
2018,Nevada,32,"Clark County, NV",32003,Malignant neoplasms,Malignant neoplasm of rectum,C20,44.0,2231647.0,2.0
2018,Nevada,32,"Clark County, NV",32003,Malignant neoplasms,Liver cell carcinoma - Malignant neoplasms,C22.0,76.0,2231647.0,3.4
2018,Nevada,32,"Clark County, NV",32003,Malignant neoplasms,Intrahepatic bile duct carcinoma - Malignant neoplasms,C22.1,29.0,2231647.0,1.3
2018,Nevada,32,"Clark County, NV",32003,Malignant neoplasms,"Liver, unspecified - Malignant neoplasms",C22.9,88.0,2231647.0,3.9
2018,Nevada,32,"Clark County, NV",32003,Malignant neoplasms,Malignant neoplasm of gallbladder,C23,12.0,2231647.0,Unreliable
2018,Nevada,32,"Clark County, NV",32003,Malignant neoplasms,"Pancreas, unspecified - Malignant neoplasms",C25.9,260.0,2231647.0,11.7
2018,Nevada,32,"Clark County, NV",32003,Malignant neoplasms,"Larynx, unspecified - Malignant neoplasms",C32.9,16.0,2231647.0,Unreliable
2018,Nevada,32,"Clark County, NV",32003,Malignant neoplasms,"Upper lobe, bronchus or lung - Malignant neoplasms",C34.1,10.0,2231647.0,Unreliable
2018,Nevada,32,"Clark County, NV",32003,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,855.0,2231647.0,38.3
2018,Nevada,32,"Clark County, NV",32003,Malignant neoplasms,"Malignant melanoma of skin, unspecified - Malignant neoplasms",C43.9,45.0,2231647.0,2.0
2018,Nevada,32,"Clark County, NV",32003,Malignant neoplasms,Skin of scalp and neck - Malignant neoplasms,C44.4,10.0,2231647.0,Unreliable
2018,Nevada,32,"Clark County, NV",32003,Malignant neoplasms,"Malignant neoplasm of skin, unspecified - Malignant neoplasms",C44.9,14.0,2231647.0,Unreliable
2018,Nevada,32,"Clark County, NV",32003,Malignant neoplasms,"Mesothelioma, unspecified - Malignant neoplasms",C45.9,13.0,2231647.0,Unreliable
2018,Nevada,32,"Clark County, NV",32003,Malignant neoplasms,"Connective and soft tissue, unspecified - Malignant neoplasms",C49.9,21.0,2231647.0,0.9
2018,Nevada,32,"Clark County, NV",32003,Malignant neoplasms,"Breast, unspecified - Malignant neoplasms",C50.9,282.0,2231647.0,12.6
