year,state,state_code,county,county_code,race,ethnicity,deaths,population,crude_rate,age_adjusted_rate
2018,New Hampshire,33,"Belknap County, NH",33001,White,Not Hispanic or Latino,768.0,57979.0,1324.6,836.7
2018,New Hampshire,33,"Carroll County, NH",33003,White,Not Hispanic or Latino,598.0,46670.0,1281.3,725.1
2018,New Hampshire,33,"Cheshire County, NH",33005,White,Not Hispanic or Latino,784.0,71839.0,1091.3,757.5
2018,New Hampshire,33,"Coos County, NH",33007,White,Not Hispanic or Latino,457.0,29983.0,1524.2,869.4
2018,New Hampshire,33,"Grafton County, NH",33009,White,Not Hispanic or Latino,883.0,81355.0,1085.4,673.0
2018,New Hampshire,33,"Hillsborough County, NH",33011,Asian,Not Hispanic or Latino,26.0,18461.0,140.8,278.5
2018,New Hampshire,33,"Hillsborough County, NH",33011,Black or African American,Not Hispanic or Latino,31.0,10345.0,299.7,481.7
2018,New Hampshire,33,"Hillsborough County, NH",33011,White,Hispanic or Latino,63.0,24780.0,254.2,485.0
2018,New Hampshire,33,"Hillsborough County, NH",33011,White,Not Hispanic or Latino,3346.0,349027.0,958.7,726.1
2018,New Hampshire,33,"Hillsborough County, NH",33011,White,Not Stated,10.0,Not Applicable,Not Applicable,Not Applicable
2018,New Hampshire,33,"Hillsborough County, NH",33011,More than one race,Not Hispanic or Latino,11.0,7326.0,Unreliable,Unreliable
2018,New Hampshire,33,"Merrimack County, NH",33013,White,Not Hispanic or Latino,1499.0,139373.0,1075.5,755.5
2018,New Hampshire,33,"Rockingham County, NH",33015,Black or African American,Not Hispanic or Latino,12.0,2406.0,Unreliable,Unreliable
2018,New Hampshire,33,"Rockingham County, NH",33015,White,Hispanic or Latino,19.0,7883.0,Unreliable,Unreliable
2018,New Hampshire,33,"Rockingham County, NH",33015,White,Not Hispanic or Latino,2551.0,285443.0,893.7,669.1
2018,New Hampshire,33,"Strafford County, NH",33017,Black or African American,Not Hispanic or Latino,11.0,1512.0,Unreliable,Unreliable
