year,state,state_code,county,county_code,cause_category,cause,cause_code,deaths,population,crude_rate
2018,New Hampshire,33,"Belknap County, NH",33001,Malignant neoplasms,"Pancreas, unspecified - Malignant neoplasms",C25.9,12.0,61022.0,Unreliable
2018,New Hampshire,33,"Belknap County, NH",33001,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,41.0,61022.0,67.2
2018,New Hampshire,33,"Belknap County, NH",33001,Malignant neoplasms,Malignant neoplasm of ovary,C56,10.0,61022.0,Unreliable
2018,New Hampshire,33,"Belknap County, NH",33001,Malignant neoplasms,Malignant neoplasm of prostate,C61,11.0,61022.0,Unreliable
2018,New Hampshire,33,"Belknap County, NH",33001,Malignant neoplasms,Malignant neoplasm without specification of site,C80,10.0,61022.0,Unreliable
2018,New Hampshire,33,"Belknap County, NH",33001,Alzheimer disease and dementia,Unspecified dementia,F03,86.0,61022.0,140.9
2018,New Hampshire,33,"Belknap County, NH",33001,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,13.0,61022.0,Unreliable
2018,New Hampshire,33,"Belknap County, NH",33001,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,29.0,61022.0,47.5
2018,New Hampshire,33,"Belknap County, NH",33001,Ischemic heart disease,"Atherosclerotic cardiovascular disease, so described",I25.0,22.0,61022.0,36.1
2018,New Hampshire,33,"Belknap County, NH",33001,Ischemic heart disease,Atherosclerotic heart disease,I25.1,34.0,61022.0,55.7
2018,New Hampshire,33,"Belknap County, NH",33001,Other diseases of the circulatory system,Atrial fibrillation and flutter,I48,10.0,61022.0,Unreliable
2018,New Hampshire,33,"Belknap County, NH",33001,Other diseases of the circulatory system,Congestive heart failure,I50.0,24.0,61022.0,39.3
2018,New Hampshire,33,"Belknap County, NH",33001,Cerebrovascular diseases,"Stroke, not specified as haemorrhage or infarction",I64,10.0,61022.0,Unreliable
2018,New Hampshire,33,"Belknap County, NH",33001,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,35.0,61022.0,57.4
2018,New Hampshire,33,"Belknap County, NH",33001,Other diseases of the respiratory system,Pneumonitis due to food and vomit,J69.0,14.0,61022.0,Unreliable
2018,New Hampshire,33,"Carroll County, NH",33003,Malignant neoplasms,"Colon, unspecified - Malignant neoplasms",C18.9,10.0,48779.0,Unreliable
2018,New Hampshire,33,"Carroll County, NH",33003,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,37.0,48779.0,75.9
2018,New Hampshire,33,"Carroll County, NH",33003,Alzheimer disease and dementia,"Vascular dementia, unspecified",F01.9,11.0,48779.0,Unreliable
2018,New Hampshire,33,"Carroll County, NH",33003,Alzheimer disease and dementia,Unspecified dementia,F03,29.0,48779.0,59.5
2018,New Hampshire,33,"Carroll County, NH",33003,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,16.0,48779.0,Unreliable
2018,New Hampshire,33,"Carroll County, NH",33003,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,15.0,48779.0,Unreliable
2018,New Hampshire,33,"Carroll County, NH",33003,Ischemic heart disease,"Atherosclerotic cardiovascular disease, so described",I25.0,23.0,48779.0,47.2
2018,New Hampshire,33,"Carroll County, NH",33003,Ischemic heart disease,Atherosclerotic heart disease,I25.1,32.0,48779.0,65.6
2018,New Hampshire,33,"Carroll County, NH",33003,Other diseases of the circulatory system,Atrial fibrillation and flutter,I48,12.0,48779.0,Unreliable
2018,New Hampshire,33,"Carroll County, NH",33003,Other diseases of the circulatory system,Congestive heart failure,I50.0,14.0,48779.0,Unreliable
2018,New Hampshire,33,"Carroll County, NH",33003,Cerebrovascular diseases,"Stroke, not specified as haemorrhage or infarction",I64,11.0,48779.0,Unreliable
2018,New Hampshire,33,"Carroll County, NH",33003,Influenza and pneumonia,"Pneumonia, unspecified",J18.9,11.0,48779.0,Unreliable
2018,New Hampshire,33,"Carroll County, NH",33003,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,22.0,48779.0,45.1
2018,New Hampshire,33,"Cheshire County, NH",33005,Sepsis,"Septicaemia, unspecified",A41.9,13.0,76493.0,Unreliable
2018,New Hampshire,33,"Cheshire County, NH",33005,Malignant neoplasms,"Oesophagus, unspecified - Malignant neoplasms",C15.9,12.0,76493.0,Unreliable
2018,New Hampshire,33,"Cheshire County, NH",33005,Malignant neoplasms,"Pancreas, unspecified - Malignant neoplasms",C25.9,12.0,76493.0,Unreliable
2018,New Hampshire,33,"Cheshire County, NH",33005,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,38.0,76493.0,49.7
2018,New Hampshire,33,"Cheshire County, NH",33005,Malignant neoplasms,Malignant neoplasm without specification of site,C80,10.0,76493.0,Unreliable
2018,New Hampshire,33,"Cheshire County, NH",33005,Alzheimer disease and dementia,Unspecified dementia,F03,36.0,76493.0,47.1
2018,New Hampshire,33,"Cheshire County, NH",33005,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,38.0,76493.0,49.7
2018,New Hampshire,33,"Cheshire County, NH",33005,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,26.0,76493.0,34.0
2018,New Hampshire,33,"Cheshire County, NH",33005,Ischemic heart disease,"Atherosclerotic cardiovascular disease, so described",I25.0,28.0,76493.0,36.6
2018,New Hampshire,33,"Cheshire County, NH",33005,Ischemic heart disease,Atherosclerotic heart disease,I25.1,33.0,76493.0,43.1
2018,New Hampshire,33,"Cheshire County, NH",33005,Other diseases of the circulatory system,Aortic (valve) stenosis,I35.0,11.0,76493.0,Unreliable
2018,New Hampshire,33,"Cheshire County, NH",33005,Other diseases of the circulatory system,Atrial fibrillation and flutter,I48,13.0,76493.0,Unreliable
2018,New Hampshire,33,"Cheshire County, NH",33005,Other diseases of the circulatory system,Congestive heart failure,I50.0,12.0,76493.0,Unreliable
2018,New Hampshire,33,"Cheshire County, NH",33005,Cerebrovascular diseases,"Stroke, not specified as haemorrhage or infarction",I64,11.0,76493.0,Unreliable
2018,New Hampshire,33,"Cheshire County, NH",33005,Influenza and pneumonia,"Pneumonia, unspecified",J18.9,24.0,76493.0,31.4
2018,New Hampshire,33,"Cheshire County, NH",33005,Chronic lower respiratory diseases,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,12.0,76493.0,Unreliable
2018,New Hampshire,33,"Cheshire County, NH",33005,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,28.0,76493.0,36.6
2018,New Hampshire,33,"Coos County, NH",33007,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,24.0,31589.0,76.0
2018,New Hampshire,33,"Coos County, NH",33007,Alzheimer disease and dementia,Unspecified dementia,F03,25.0,31589.0,79.1
2018,New Hampshire,33,"Coos County, NH",33007,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,22.0,31589.0,69.6
2018,New Hampshire,33,"Coos County, NH",33007,Hypertensive diseases,Hypertensive heart disease without (congestive) heart failure,I11.9,12.0,31589.0,Unreliable
2018,New Hampshire,33,"Coos County, NH",33007,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,13.0,31589.0,Unreliable
2018,New Hampshire,33,"Coos County, NH",33007,Ischemic heart disease,"Atherosclerotic cardiovascular disease, so described",I25.0,18.0,31589.0,Unreliable
2018,New Hampshire,33,"Coos County, NH",33007,Ischemic heart disease,Atherosclerotic heart disease,I25.1,23.0,31589.0,72.8
2018,New Hampshire,33,"Coos County, NH",33007,Cerebrovascular diseases,"Stroke, not specified as haemorrhage or infarction",I64,10.0,31589.0,Unreliable
2018,New Hampshire,33,"Coos County, NH",33007,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,27.0,31589.0,85.5
2018,New Hampshire,33,"Grafton County, NH",33009,Malignant neoplasms,"Colon, unspecified - Malignant neoplasms",C18.9,10.0,89786.0,Unreliable
2018,New Hampshire,33,"Grafton County, NH",33009,Malignant neoplasms,"Pancreas, unspecified - Malignant neoplasms",C25.9,12.0,89786.0,Unreliable
2018,New Hampshire,33,"Grafton County, NH",33009,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,46.0,89786.0,51.2
2018,New Hampshire,33,"Grafton County, NH",33009,Malignant neoplasms,"Breast, unspecified - Malignant neoplasms",C50.9,18.0,89786.0,Unreliable
2018,New Hampshire,33,"Grafton County, NH",33009,Malignant neoplasms,Malignant neoplasm of prostate,C61,11.0,89786.0,Unreliable
2018,New Hampshire,33,"Grafton County, NH",33009,Malignant neoplasms,Malignant neoplasm without specification of site,C80,11.0,89786.0,Unreliable
2018,New Hampshire,33,"Grafton County, NH",33009,Alzheimer disease and dementia,Unspecified dementia,F03,45.0,89786.0,50.1
2018,New Hampshire,33,"Grafton County, NH",33009,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,44.0,89786.0,49.0
2018,New Hampshire,33,"Grafton County, NH",33009,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,32.0,89786.0,35.6
2018,New Hampshire,33,"Grafton County, NH",33009,Ischemic heart disease,"Atherosclerotic cardiovascular disease, so described",I25.0,39.0,89786.0,43.4
2018,New Hampshire,33,"Grafton County, NH",33009,Ischemic heart disease,Atherosclerotic heart disease,I25.1,31.0,89786.0,34.5
2018,New Hampshire,33,"Grafton County, NH",33009,Other diseases of the circulatory system,Aortic (valve) stenosis,I35.0,10.0,89786.0,Unreliable
2018,New Hampshire,33,"Grafton County, NH",33009,Other diseases of the circulatory system,Atrial fibrillation and flutter,I48,15.0,89786.0,Unreliable
2018,New Hampshire,33,"Grafton County, NH",33009,Other diseases of the circulatory system,Congestive heart failure,I50.0,21.0,89786.0,23.4
2018,New Hampshire,33,"Grafton County, NH",33009,Cerebrovascular diseases,"Stroke, not specified as haemorrhage or infarction",I64,23.0,89786.0,25.6
2018,New Hampshire,33,"Grafton County, NH",33009,Influenza and pneumonia,"Pneumonia, unspecified",J18.9,12.0,89786.0,Unreliable
2018,New Hampshire,33,"Grafton County, NH",33009,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,42.0,89786.0,46.8
2018,New Hampshire,33,"Hillsborough County, NH",33011,Sepsis,"Septicaemia, unspecified",A41.9,36.0,415247.0,8.7
2018,New Hampshire,33,"Hillsborough County, NH",33011,Malignant neoplasms,"Oesophagus, unspecified - Malignant neoplasms",C15.9,24.0,415247.0,5.8
2018,New Hampshire,33,"Hillsborough County, NH",33011,Malignant neoplasms,"Stomach, unspecified - Malignant neoplasms",C16.9,12.0,415247.0,Unreliable
2018,New Hampshire,33,"Hillsborough County, NH",33011,Malignant neoplasms,"Colon, unspecified - Malignant neoplasms",C18.9,43.0,415247.0,10.4
2018,New Hampshire,33,"Hillsborough County, NH",33011,Malignant neoplasms,Malignant neoplasm of rectum,C20,10.0,415247.0,Unreliable
2018,New Hampshire,33,"Hillsborough County, NH",33011,Malignant neoplasms,Liver cell carcinoma - Malignant neoplasms,C22.0,17.0,415247.0,Unreliable
2018,New Hampshire,33,"Hillsborough County, NH",33011,Malignant neoplasms,"Pancreas, unspecified - Malignant neoplasms",C25.9,48.0,415247.0,11.6
2018,New Hampshire,33,"Hillsborough County, NH",33011,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,185.0,415247.0,44.6
2018,New Hampshire,33,"Hillsborough County, NH",33011,Malignant neoplasms,"Malignant melanoma of skin, unspecified - Malignant neoplasms",C43.9,12.0,415247.0,Unreliable
2018,New Hampshire,33,"Hillsborough County, NH",33011,Malignant neoplasms,"Breast, unspecified - Malignant neoplasms",C50.9,42.0,415247.0,10.1
2018,New Hampshire,33,"Hillsborough County, NH",33011,Malignant neoplasms,Endometrium - Malignant neoplasms,C54.1,11.0,415247.0,Unreliable
2018,New Hampshire,33,"Hillsborough County, NH",33011,Malignant neoplasms,"Malignant neoplasm of uterus, part unspecified",C55,10.0,415247.0,Unreliable
2018,New Hampshire,33,"Hillsborough County, NH",33011,Malignant neoplasms,Malignant neoplasm of ovary,C56,16.0,415247.0,Unreliable
2018,New Hampshire,33,"Hillsborough County, NH",33011,Malignant neoplasms,Malignant neoplasm of prostate,C61,31.0,415247.0,7.5
2018,New Hampshire,33,"Hillsborough County, NH",33011,Malignant neoplasms,"Malignant neoplasm of kidney, except renal pelvis",C64,15.0,415247.0,Unreliable
2018,New Hampshire,33,"Hillsborough County, NH",33011,Malignant neoplasms,"Bladder, unspecified - Malignant neoplasms",C67.9,34.0,415247.0,8.2
2018,New Hampshire,33,"Hillsborough County, NH",33011,Malignant neoplasms,"Brain, unspecified - Malignant neoplasms",C71.9,20.0,415247.0,4.8
2018,New Hampshire,33,"Hillsborough County, NH",33011,Malignant neoplasms,Malignant neoplasm without specification of site,C80,46.0,415247.0,11.1
2018,New Hampshire,33,"Hillsborough County, NH",33011,Malignant neoplasms,Multiple myeloma - Malignant neoplasms,C90.0,11.0,415247.0,Unreliable
2018,New Hampshire,33,"Hillsborough County, NH",33011,Malignant neoplasms,Acute myeloid leukaemia - Malignant neoplasms,C92.0,14.0,415247.0,Unreliable
