year,state,state_code,county,county_code,race,ethnicity,deaths,population,crude_rate,age_adjusted_rate
2018,New Jersey,34,"Atlantic County, NJ",34001,Asian,Not Hispanic or Latino,89.0,21585.0,412.3,409.7
2018,New Jersey,34,"Atlantic County, NJ",34001,Black or African American,Hispanic or Latino,10.0,6811.0,Unreliable,Unreliable
2018,New Jersey,34,"Atlantic County, NJ",34001,Black or African American,Not Hispanic or Latino,447.0,38657.0,1156.3,1056.9
2018,New Jersey,34,"Atlantic County, NJ",34001,White,Hispanic or Latino,173.0,40313.0,429.1,686.5
2018,New Jersey,34,"Atlantic County, NJ",34001,White,Not Hispanic or Latino,2095.0,148504.0,1410.7,845.8
2018,New Jersey,34,"Atlantic County, NJ",34001,More than one race,Not Hispanic or Latino,15.0,5103.0,Unreliable,Unreliable
2018,New Jersey,34,"Bergen County, NJ",34003,Asian,Not Hispanic or Latino,459.0,156299.0,293.7,306.4
2018,New Jersey,34,"Bergen County, NJ",34003,Black or African American,Hispanic or Latino,10.0,16683.0,Unreliable,Unreliable
2018,New Jersey,34,"Bergen County, NJ",34003,Black or African American,Not Hispanic or Latino,394.0,51581.0,763.8,683.9
2018,New Jersey,34,"Bergen County, NJ",34003,White,Hispanic or Latino,513.0,162793.0,315.1,421.0
2018,New Jersey,34,"Bergen County, NJ",34003,White,Not Hispanic or Latino,5899.0,521354.0,1131.5,614.8
2018,New Jersey,34,"Bergen County, NJ",34003,More than one race,Not Hispanic or Latino,18.0,13624.0,Unreliable,Unreliable
2018,New Jersey,34,"Burlington County, NJ",34005,Asian,Not Hispanic or Latino,68.0,23362.0,291.1,302.8
2018,New Jersey,34,"Burlington County, NJ",34005,Black or African American,Not Hispanic or Latino,654.0,74593.0,876.8,828.9
2018,New Jersey,34,"Burlington County, NJ",34005,White,Hispanic or Latino,92.0,27182.0,338.5,565.5
2018,New Jersey,34,"Burlington County, NJ",34005,White,Not Hispanic or Latino,3333.0,298536.0,1116.4,740.2
2018,New Jersey,34,"Burlington County, NJ",34005,More than one race,Not Hispanic or Latino,14.0,10785.0,Unreliable,Unreliable
2018,New Jersey,34,"Camden County, NJ",34007,Asian,Not Hispanic or Latino,104.0,29724.0,349.9,356.9
2018,New Jersey,34,"Camden County, NJ",34007,Black or African American,Not Hispanic or Latino,962.0,94402.0,1019.0,1016.8
2018,New Jersey,34,"Camden County, NJ",34007,White,Hispanic or Latino,344.0,65337.0,526.5,833.1
2018,New Jersey,34,"Camden County, NJ",34007,White,Not Hispanic or Latino,3657.0,285318.0,1281.7,842.7
2018,New Jersey,34,"Camden County, NJ",34007,More than one race,Not Hispanic or Latino,13.0,9199.0,Unreliable,Unreliable
2018,New Jersey,34,"Cape May County, NJ",34009,Black or African American,Not Hispanic or Latino,53.0,3800.0,1394.7,1126.6
