year,state,state_code,county,county_code,cause_category,cause,cause_code,deaths,population,crude_rate
2018,New Jersey,34,"Atlantic County, NJ",34001,Sepsis,"Septicaemia, unspecified",A41.9,43.0,265429.0,16.2
2018,New Jersey,34,"Atlantic County, NJ",34001,Malignant neoplasms,"Oesophagus, unspecified - Malignant neoplasms",C15.9,15.0,265429.0,Unreliable
2018,New Jersey,34,"Atlantic County, NJ",34001,Malignant neoplasms,"Colon, unspecified - Malignant neoplasms",C18.9,31.0,265429.0,11.7
2018,New Jersey,34,"Atlantic County, NJ",34001,Malignant neoplasms,Liver cell carcinoma - Malignant neoplasms,C22.0,11.0,265429.0,Unreliable
2018,New Jersey,34,"Atlantic County, NJ",34001,Malignant neoplasms,"Pancreas, unspecified - Malignant neoplasms",C25.9,53.0,265429.0,20.0
2018,New Jersey,34,"Atlantic County, NJ",34001,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,119.0,265429.0,44.8
2018,New Jersey,34,"Atlantic County, NJ",34001,Malignant neoplasms,"Malignant melanoma of skin, unspecified - Malignant neoplasms",C43.9,12.0,265429.0,Unreliable
2018,New Jersey,34,"Atlantic County, NJ",34001,Malignant neoplasms,"Breast, unspecified - Malignant neoplasms",C50.9,48.0,265429.0,18.1
2018,New Jersey,34,"Atlantic County, NJ",34001,Malignant neoplasms,Malignant neoplasm of prostate,C61,32.0,265429.0,12.1
2018,New Jersey,34,"Atlantic County, NJ",34001,Malignant neoplasms,"Bladder, unspecified - Malignant neoplasms",C67.9,11.0,265429.0,Unreliable
2018,New Jersey,34,"Atlantic County, NJ",34001,Malignant neoplasms,"Brain, unspecified - Malignant neoplasms",C71.9,13.0,265429.0,Unreliable
2018,New Jersey,34,"Atlantic County, NJ",34001,Malignant neoplasms,Malignant neoplasm without specification of site,C80,41.0,265429.0,15.4
2018,New Jersey,34,"Atlantic County, NJ",34001,Malignant neoplasms,"Non-Hodgkin lymphoma, unspecified type",C85.9,10.0,265429.0,Unreliable
2018,New Jersey,34,"Atlantic County, NJ",34001,Malignant neoplasms,Acute myeloid leukaemia - Malignant neoplasms,C92.0,11.0,265429.0,Unreliable
2018,New Jersey,34,"Atlantic County, NJ",34001,Diabetes,"Unspecified diabetes mellitus, without complications",E14.9,27.0,265429.0,10.2
2018,New Jersey,34,"Atlantic County, NJ",34001,Alzheimer disease and dementia,Unspecified dementia,F03,79.0,265429.0,29.8
2018,New Jersey,34,"Atlantic County, NJ",34001,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,109.0,265429.0,41.1
2018,New Jersey,34,"Atlantic County, NJ",34001,Alzheimer disease and dementia,"Senile degeneration of brain, not elsewhere classified",G31.1,11.0,265429.0,Unreliable
2018,New Jersey,34,"Atlantic County, NJ",34001,Hypertensive diseases,Essential (primary) hypertension,I10,27.0,265429.0,10.2
2018,New Jersey,34,"Atlantic County, NJ",34001,Hypertensive diseases,Hypertensive heart disease with (congestive) heart failure,I11.0,20.0,265429.0,7.5
2018,New Jersey,34,"Atlantic County, NJ",34001,Hypertensive diseases,Hypertensive heart disease without (congestive) heart failure,I11.9,36.0,265429.0,13.6
2018,New Jersey,34,"Atlantic County, NJ",34001,Hypertensive diseases,Hypertensive renal disease with renal failure,I12.0,11.0,265429.0,Unreliable
2018,New Jersey,34,"Atlantic County, NJ",34001,Ischemic heart disease,"Acute myocardial infarction, unspecified",I21.9,63.0,265429.0,23.7
2018,New Jersey,34,"Atlantic County, NJ",34001,Ischemic heart disease,"Atherosclerotic cardiovascular disease, so described",I25.0,107.0,265429.0,40.3
2018,New Jersey,34,"Atlantic County, NJ",34001,Ischemic heart disease,Atherosclerotic heart disease,I25.1,178.0,265429.0,67.1
2018,New Jersey,34,"Atlantic County, NJ",34001,Ischemic heart disease,Ischaemic cardiomyopathy,I25.5,16.0,265429.0,Unreliable
2018,New Jersey,34,"Atlantic County, NJ",34001,Other diseases of the circulatory system,Other secondary pulmonary hypertension,I27.2,10.0,265429.0,Unreliable
2018,New Jersey,34,"Atlantic County, NJ",34001,Other diseases of the circulatory system,Aortic (valve) stenosis,I35.0,20.0,265429.0,7.5
2018,New Jersey,34,"Atlantic County, NJ",34001,Other diseases of the circulatory system,"Cardiomyopathy, unspecified",I42.9,41.0,265429.0,15.4
2018,New Jersey,34,"Atlantic County, NJ",34001,Other diseases of the circulatory system,"Cardiac arrest, unspecified",I46.9,49.0,265429.0,18.5
2018,New Jersey,34,"Atlantic County, NJ",34001,Other diseases of the circulatory system,Atrial fibrillation and flutter,I48,23.0,265429.0,8.7
2018,New Jersey,34,"Atlantic County, NJ",34001,Other diseases of the circulatory system,Congestive heart failure,I50.0,53.0,265429.0,20.0
2018,New Jersey,34,"Atlantic County, NJ",34001,Other diseases of the circulatory system,"Heart failure, unspecified",I50.9,23.0,265429.0,8.7
2018,New Jersey,34,"Atlantic County, NJ",34001,Other diseases of the circulatory system,"Cardiovascular disease, unspecified",I51.6,31.0,265429.0,11.7
2018,New Jersey,34,"Atlantic County, NJ",34001,Other diseases of the circulatory system,"Heart disease, unspecified",I51.9,12.0,265429.0,Unreliable
2018,New Jersey,34,"Atlantic County, NJ",34001,Cerebrovascular diseases,"Intracranial haemorrhage (nontraumatic), unspecified",I62.9,10.0,265429.0,Unreliable
2018,New Jersey,34,"Atlantic County, NJ",34001,Cerebrovascular diseases,"Cerebral infarction, unspecified",I63.9,12.0,265429.0,Unreliable
2018,New Jersey,34,"Atlantic County, NJ",34001,Cerebrovascular diseases,"Stroke, not specified as haemorrhage or infarction",I64,41.0,265429.0,15.4
2018,New Jersey,34,"Atlantic County, NJ",34001,Influenza and pneumonia,"Pneumonia, unspecified",J18.9,42.0,265429.0,15.8
2018,New Jersey,34,"Atlantic County, NJ",34001,Chronic lower respiratory diseases,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,13.0,265429.0,Unreliable
2018,New Jersey,34,"Atlantic County, NJ",34001,Chronic lower respiratory diseases,"Chronic obstructive pulmonary disease, unspecified",J44.9,102.0,265429.0,38.4
2018,New Jersey,34,"Atlantic County, NJ",34001,Other diseases of the respiratory system,Pneumonitis due to food and vomit,J69.0,18.0,265429.0,Unreliable
2018,New Jersey,34,"Atlantic County, NJ",34001,Other diseases of the respiratory system,Other interstitial pulmonary diseases with fibrosis,J84.1,12.0,265429.0,Unreliable
2018,New Jersey,34,"Atlantic County, NJ",34001,Other diseases of the respiratory system,"Respiratory failure, unspecified",J96.9,10.0,265429.0,Unreliable
2018,New Jersey,34,"Atlantic County, NJ",34001,Renal failure,"Acute renal failure, unspecified",N17.9,13.0,265429.0,Unreliable
2018,New Jersey,34,"Atlantic County, NJ",34001,Renal failure,"Chronic kidney disease, stage 5",N18.5,30.0,265429.0,11.3
2018,New Jersey,34,"Atlantic County, NJ",34001,,Respiratory arrest,R09.2,51.0,265429.0,19.2
2018,New Jersey,34,"Bergen County, NJ",34003,Sepsis,"Septicaemia, unspecified",A41.9,143.0,936692.0,15.3
2018,New Jersey,34,"Bergen County, NJ",34003,Malignant neoplasms,"Oesophagus, unspecified - Malignant neoplasms",C15.9,26.0,936692.0,2.8
2018,New Jersey,34,"Bergen County, NJ",34003,Malignant neoplasms,"Stomach, unspecified - Malignant neoplasms",C16.9,37.0,936692.0,4.0
2018,New Jersey,34,"Bergen County, NJ",34003,Malignant neoplasms,"Colon, unspecified - Malignant neoplasms",C18.9,134.0,936692.0,14.3
2018,New Jersey,34,"Bergen County, NJ",34003,Malignant neoplasms,Malignant neoplasm of rectosigmoid junction,C19,10.0,936692.0,Unreliable
2018,New Jersey,34,"Bergen County, NJ",34003,Malignant neoplasms,Malignant neoplasm of rectum,C20,21.0,936692.0,2.2
2018,New Jersey,34,"Bergen County, NJ",34003,Malignant neoplasms,Liver cell carcinoma - Malignant neoplasms,C22.0,31.0,936692.0,3.3
2018,New Jersey,34,"Bergen County, NJ",34003,Malignant neoplasms,Intrahepatic bile duct carcinoma - Malignant neoplasms,C22.1,33.0,936692.0,3.5
2018,New Jersey,34,"Bergen County, NJ",34003,Malignant neoplasms,"Liver, unspecified - Malignant neoplasms",C22.9,17.0,936692.0,Unreliable
2018,New Jersey,34,"Bergen County, NJ",34003,Malignant neoplasms,"Pancreas, unspecified - Malignant neoplasms",C25.9,165.0,936692.0,17.6
2018,New Jersey,34,"Bergen County, NJ",34003,Malignant neoplasms,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,354.0,936692.0,37.8
2018,New Jersey,34,"Bergen County, NJ",34003,Malignant neoplasms,"Malignant melanoma of skin, unspecified - Malignant neoplasms",C43.9,29.0,936692.0,3.1
2018,New Jersey,34,"Bergen County, NJ",34003,Malignant neoplasms,"Connective and soft tissue, unspecified - Malignant neoplasms",C49.9,17.0,936692.0,Unreliable
2018,New Jersey,34,"Bergen County, NJ",34003,Malignant neoplasms,"Breast, unspecified - Malignant neoplasms",C50.9,129.0,936692.0,13.8
2018,New Jersey,34,"Bergen County, NJ",34003,Malignant neoplasms,"Cervix uteri, unspecified - Malignant neoplasms",C53.9,10.0,936692.0,Unreliable
2018,New Jersey,34,"Bergen County, NJ",34003,Malignant neoplasms,Endometrium - Malignant neoplasms,C54.1,28.0,936692.0,3.0
2018,New Jersey,34,"Bergen County, NJ",34003,Malignant neoplasms,"Malignant neoplasm of uterus, part unspecified",C55,19.0,936692.0,Unreliable
2018,New Jersey,34,"Bergen County, NJ",34003,Malignant neoplasms,Malignant neoplasm of ovary,C56,48.0,936692.0,5.1
2018,New Jersey,34,"Bergen County, NJ",34003,Malignant neoplasms,Malignant neoplasm of prostate,C61,88.0,936692.0,9.4
2018,New Jersey,34,"Bergen County, NJ",34003,Malignant neoplasms,"Malignant neoplasm of kidney, except renal pelvis",C64,36.0,936692.0,3.8
2018,New Jersey,34,"Bergen County, NJ",34003,Malignant neoplasms,"Bladder, unspecified - Malignant neoplasms",C67.9,47.0,936692.0,5.0
2018,New Jersey,34,"Bergen County, NJ",34003,Malignant neoplasms,"Brain, unspecified - Malignant neoplasms",C71.9,49.0,936692.0,5.2
2018,New Jersey,34,"Bergen County, NJ",34003,Malignant neoplasms,Malignant neoplasm of thyroid gland,C73,11.0,936692.0,Unreliable
2018,New Jersey,34,"Bergen County, NJ",34003,Malignant neoplasms,Malignant neoplasm without specification of site,C80,71.0,936692.0,7.6
2018,New Jersey,34,"Bergen County, NJ",34003,Malignant neoplasms,Non-Hodgkin lymphoma large cell (diffuse),C83.3,10.0,936692.0,Unreliable
2018,New Jersey,34,"Bergen County, NJ",34003,Malignant neoplasms,"Non-Hodgkin lymphoma, unspecified type",C85.9,35.0,936692.0,3.7
2018,New Jersey,34,"Bergen County, NJ",34003,Malignant neoplasms,Multiple myeloma - Malignant neoplasms,C90.0,38.0,936692.0,4.1
2018,New Jersey,34,"Bergen County, NJ",34003,Malignant neoplasms,Acute myeloid leukaemia - Malignant neoplasms,C92.0,34.0,936692.0,3.6
2018,New Jersey,34,"Bergen County, NJ",34003,Diabetes,"Non-insulin-dependent diabetes mellitus, without complications",E11.9,22.0,936692.0,2.3
2018,New Jersey,34,"Bergen County, NJ",34003,Diabetes,"Unspecified diabetes mellitus, with renal complications",E14.2,22.0,936692.0,2.3
2018,New Jersey,34,"Bergen County, NJ",34003,Diabetes,"Unspecified diabetes mellitus, without complications",E14.9,87.0,936692.0,9.3
2018,New Jersey,34,"Bergen County, NJ",34003,Alzheimer disease and dementia,"Vascular dementia, unspecified",F01.9,35.0,936692.0,3.7
2018,New Jersey,34,"Bergen County, NJ",34003,Alzheimer disease and dementia,Unspecified dementia,F03,363.0,936692.0,38.8
2018,New Jersey,34,"Bergen County, NJ",34003,Alzheimer disease and dementia,Alzheimer disease with late onset,G30.1,20.0,936692.0,2.1
2018,New Jersey,34,"Bergen County, NJ",34003,Alzheimer disease and dementia,"Alzheimer disease, unspecified",G30.9,350.0,936692.0,37.4
2018,New Jersey,34,"Bergen County, NJ",34003,Alzheimer disease and dementia,"Senile degeneration of brain, not elsewhere classified",G31.1,30.0,936692.0,3.2
2018,New Jersey,34,"Bergen County, NJ",34003,Alzheimer disease and dementia,Other specified degenerative diseases of nervous system,G31.8,24.0,936692.0,2.6
2018,New Jersey,34,"Bergen County, NJ",34003,Hypertensive diseases,Essential (primary) hypertension,I10,55.0,936692.0,5.9
2018,New Jersey,34,"Bergen County, NJ",34003,Hypertensive diseases,Hypertensive heart disease with (congestive) heart failure,I11.0,38.0,936692.0,4.1
2018,New Jersey,34,"Bergen County, NJ",34003,Hypertensive diseases,Hypertensive heart disease without (congestive) heart failure,I11.9,77.0,936692.0,8.2
